recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Kmag,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,Mass_calc,Mass,Mass_e
101,204238921,15 58 39.87,-23 07 10.8,,11.71,,6.12,0.0,5.97935982160881,6.12,1.9986,,,,"USco,bronze",no,Simbad,1,0.15857093308607584,0.173,0.0570870217639209
102,204594600,15 58 48.10,-21 41 34.2,,12.52,,6.84,0.53,6.719359821608808,6.31,0.6008,,,,"USco,silver",no,Simbad,1,,0.144,0.0
105,203397761,15 59 01.92,-26 16 33.1,,11.26,,5.94,0.0,5.529359821608809,5.94,0.5179,0.5938,,,"USco,gold",no,Simbad,1,0.2238273508463849,0.21,0.0570870217639209
108,204367110,15 59 12.43,-22 36 50.4,,11.79,,6.56,0.52,5.98935982160881,6.04,0.944,,,,"USco,gold",no,Simbad,1,0.1574291995026271,0.187,0.0570870217639209
110,204477741,15 59 18.38,-22 10 43.2,16.27,10.07,6.19,6.19,0.33,4.2993598216088085,5.86,0.8214,0.7623,,,"USco,gold",no,Simbad,1,0.5269083199158349,0.229,0.0570870217639209
112,204247509,15 59 25.90,-23 05 08.3,,11.57,,6.62,0.56,5.769359821608809,6.06,0.6198,,,,"USco,silver",no,Simbad,1,0.18427545555321428,0.183,0.0570870217639209
113,203462615,15 59 38.05,-26 03 23.6,,10.25,,6.24,0.16,4.4993598216088095,6.08,0.5201,0.4421,,,"USco,gold",no,Simbad,1,0.460830229928818,0.181,0.0570870217639209
122,204096760,16 00 07.04,-23 40 49.0,,10.61,,6.16,0.46,4.81935982160881,5.7,0.5255,1.8177,,,"USco,gold",no,Simbad,1,0.3706831715241429,0.275,0.0570870217639209
128,204270520,16 00 26.30,-22 59 41.4,,11.34,,6.49,0.42,5.5493598216088085,6.07,0.5123,,,,"USco,gold",no,Simbad,1,0.21999676493502549,0.182,0.0570870217639209
129,204769599,16 00 26.69,-20 56 31.8,18.6,12.51,6.09,6.09,0.44,6.719359821608808,5.65,1.6401,,,,"USco,gold",yes,Simbad,1,,0.289,0.0
131,204894208,16 00 29.45,-20 22 53.9,,11.29,,6.29,0.69,5.469359821608808,5.61,1.6968,,,,"USco,bronze",yes,Simbad,1,0.23454437532758268,0.304,0.0570870217639209
135,205153472,16 00 34.53,-19 08 16.1,,11.46,,6.65,0.42,5.6693598216088095,6.22,0.761,,,,"USco,bronze",no,Simbad,1,0.19877110597280218,0.156,0.0570870217639209
141,203895244,16 00 43.08,-24 30 50.5,,10.77,,5.84,0.2,5.019359821608809,5.65,0.5312,0.541,,,"USco,gold",no,Simbad,1,0.3222740560645261,0.292,0.0570870217639209
142,203811459,16 00 44.61,-24 50 34.1,,11.74,,6.8,0.53,5.949359821608809,6.27,1.4821,0.9133,,,"USco,bronze",no,Simbad,1,0.16157261961061517,0.149,0.0570870217639209
150,204428324,16 01 10.36,-22 22 27.9,,9.76,,5.98,0.36,3.97935982160881,5.62,0.325,0.5604,,,"USco,gold",no,Simbad,1,0.656935763562021,0.301,0.0570870217639209
158,204317321,16 01 29.84,-22 48 38.8,,10.49,,6.42,0.51,4.689359821608809,5.91,1.9313,1.0656,,,"USco,gold",no,Simbad,1,0.4031958182619494,0.217,0.0570870217639209
162,204897050,16 01 40.97,-20 22 08.3,,10.86,,6.55,0.75,5.039359821608809,5.8,0.2639,,,,"USco,gold",no,Simbad,1,0.317381742745509,0.247,0.0570870217639209
164,203853244,16 01 47.68,-24 41 01.3,,13.01,,6.56,0.48,7.209359821608809,6.08,0.6493,,,,"USco,gold",no,Simbad,1,,0.181,0.0
165,204435603,16 01 49.50,-22 20 45.5,,12.42,,6.79,0.46,6.6293598216088085,6.33,1.5936,,,,"USco,bronze",no,Simbad,1,,0.14,0.0
166,204054129,16 01 49.54,-23 51 08.5,,11.93,,6.32,0.59,6.119359821608809,5.72,0.5272,0.6122,,,"USco,bronze",no,Simbad,1,0.14382510821691832,0.269,0.0570870217639209
175,204388640,16 02 04.29,-22 31 47.0,,11.55,,8.82,2.7,5.469359821608808,6.12,2.6268,,,,"USco,bronze",yes,Simbad,1,0.23454437532758268,0.172,0.0570870217639209
176,204791347,16 02 04.29,-20 50 42.8,18.6,11.83,6.77,6.77,0.76,5.9993598216088095,6.02,0.4224,0.245,,,"USco,gold",maybe,Simbad,1,0.15630024480106516,0.192,0.0570870217639209
181,204258708,16 02 09.54,-23 02 27.9,,11.83,,6.18,0.23,6.06935982160881,5.95,0.4837,,,,"USco,bronze",no,Simbad,1,0.1490914051158656,0.207,0.0570870217639209
183,204948308,16 02 10.95,-20 07 49.8,,11.42,,6.19,0.57,5.609359821608809,5.63,0.9397,,,,"USco,gold",no,Simbad,1,0.2093099322037771,0.299,0.0570870217639209
