recno,EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
766,203452629,16 17 23.25,-26 05 25.0,,10.81,,6.61,0.64,10.73,5.97,3.7607,,,,"USco,bronze",no,Simbad,1,0.99997,3175.0,157.0,0.633,0.021,0.01051,-1.4018663541867622
767,203465939,16 17 24.53,-26 02 43.6,,11.24,,6.4,1.71,11.02,4.69,3.4351,,,,"USco,bronze",maybe,Simbad,1,0.999985,3370.0,157.0,0.634,0.021,0.0127,-1.297224922098956
768,203809634,16 17 26.14,-24 50 59.4,,9.85,,6.02,0.83,9.75,5.19,2.9647,1.2365,,,"USco,gold",no,Simbad,1,0.999751,3259.0,,,,,
769,203696274,16 17 26.58,-25 15 16.5,,10.39,,6.73,1.38,10.21,5.34,0.747,,,,"USco,bronze",no,Simbad,1,0.999994,3459.0,122.0,0.436,,,-0.8201897771212041
770,203934572,16 17 27.69,-24 21 02.9,,10.3,,6.37,0.87,10.18,5.51,1.1111,,,,"USco,gold",no,Simbad,1,0.999994,,,,,,
771,203809317,16 17 29.94,-24 51 03.2,,9.79,,5.71,1.16,9.64,4.55,6.4557,2.3893,,,"USco,gold",no,Simbad,1,0.999881,,,,,,
772,203863067,16 17 30.31,-24 38 39.2,,9.73,,5.38,0.47,9.67,4.91,6.0633,,,,"USco,gold",no,Simbad,1,0.999617,3643.0,195.9,0.527,0.1,0.05588,-0.868605918182627
773,203494280,16 17 31.71,-25 57 04.5,,10.53,,5.05,0.9,10.41,4.14,,,,,"USco,bronze",no,Simbad,1,1.0,4892.0,122.0,,,,
774,203495623,16 17 32.14,-25 56 48.2,,10.78,,5.68,0.69,10.69,5.0,,,,,"USco,bronze",no,Simbad,1,0.999999,4906.0,122.0,,,,
775,203910995,16 17 32.21,-24 27 00.3,,10.49,,6.43,0.96,10.37,5.47,1.4704,1.975,,,"USco,bronze",no,Simbad,1,0.999996,3008.0,157.0,0.62,0.021,0.00829,-1.5184140636323777
776,203565563,16 17 33.98,-25 42 26.0,,10.42,,4.79,0.01,10.42,4.78,10.2124,,,,"USco,bronze",no,Simbad,1,0.997667,3276.0,157.0,0.634,0.02,0.01144,-1.3455346664798542
777,203925874,16 17 34.56,-24 23 16.4,,11.57,,6.26,0.85,11.46,5.4,6.6099,,,,"USco,bronze",no,Simbad,1,0.999971,3075.0,157.0,0.51,0.021,0.0057,-1.674279141980588
778,203788453,16 17 37.22,-24 55 36.4,,10.42,,5.02,0.51,10.35,4.51,5.0061,,,,"USco,bronze",no,Simbad,1,0.999561,3976.0,122.0,0.62,,,-0.7190348519029067
779,203563208,16 17 38.94,-25 42 55.6,,10.55,,6.6,0.91,10.44,5.69,0.4307,0.5757,,,"USco,bronze",maybe,Simbad,1,0.999999,2960.0,157.0,0.624,0.022,0.0081,-1.5401553576117921
780,203789628,16 17 46.96,-24 55 21.1,,10.47,,6.78,1.17,10.32,5.61,1.2829,,,,"USco,bronze",no,Simbad,1,0.999996,,,,,,
781,203789325,16 17 47.68,-24 55 25.1,,11.74,,6.88,1.14,11.59,5.74,2.0229,1.2828,,,"USco,bronze",yes,Simbad,1,0.999999,2950.0,157.0,0.499,0.021,0.00478,-1.7664962396588655
782,203098364,16 17 53.82,-27 15 54.6,,11.17,,4.84,0.22,11.14,4.62,3.6979,,,,"USco,bronze",no,Simbad,1,0.999998,5212.0,123.0,,,,
783,203842482,16 17 54.81,-24 43 33.6,10.31,7.8,2.51,2.51,1.27,7.64,1.24,1.1862,,,,"USco,bronze",no,Simbad,1,0.999984,7097.0,562.6,1.575,0.415,2.72064,0.8120499232473583
784,203119637,16 17 55.01,-27 11 30.4,,9.9,,4.33,0.11,9.89,4.22,6.2874,,,,"USco,gold",maybe,Simbad,1,0.998258,4609.0,414.2,0.73,0.098,0.10143,-0.3275973188960082
785,202632400,16 17 56.07,-28 56 40.1,,11.97,,6.07,0.0,11.97,6.07,1.3723,,,,"USco,bronze",no,Simbad,1,0.999996,2951.0,157.0,0.429,0.021,0.0036,-1.8917733436250714
786,203511488,16 17 59.83,-25 53 35.0,,11.13,,5.03,0.3,11.09,4.73,,,,,"USco,bronze",no,Simbad,1,0.999995,4944.0,122.0,,,,
787,205596184,16 18 03.05,-16 30 15.2,,11.69,,5.93,0.7,11.6,5.23,2.0951,,,,"USco,bronze",no,Simbad,1,0.999997,2968.0,157.0,0.409,0.021,0.00334,-1.917933065714887
788,203542463,16 18 08.68,-25 47 12.8,,12.14,,8.43,2.15,11.86,6.28,1.5633,,,,"USco,bronze",yes,Simbad,1,1.0,2881.0,157.0,0.399,0.023,0.00302,-1.9888526392242025
