recno,EPIC_1,RAJ2000,DEJ2000,Vmag,Ksmag,(V-Ks)o,(V-Ks)u,E(V-Ks),Ksmag0,Per1,Per2,Per3,Per4,Memb,Simbad_1,single,PSS,(V-Ks)0,P1,P2,Mass,Disk,_RA,_DE,Separation
135,205153472,16 00 34.53,-19 08 16.1,,11.46,,6.65,0.42,11.4,0.761,,,,"USco,bronze",Simbad,1,0.999999,6.223,0.761,,0.156,,240.14395,-19.13775,0.32413690649362853
141,203895244,16 00 43.08,-24 30 50.5,,10.77,,5.84,0.2,10.75,0.5312,0.541,,,"USco,gold",Simbad,1,0.999948,5.646,0.5312,0.541,0.292,,240.17957,-24.51402,0.23098799330312145
142,203811459,16 00 44.61,-24 50 34.1,,11.74,,6.8,0.53,11.68,1.4821,0.9133,,,"USco,bronze",Simbad,1,0.999998,6.27,1.4821,0.9133,0.149,,240.1859,-24.84281,0.0832242392562983
150,204428324,16 01 10.36,-22 22 27.9,,9.76,,5.98,0.36,9.71,0.325,0.5604,,,"USco,gold",Simbad,1,0.999937,5.619,0.325,0.5604,0.301,,240.29323,-22.37435,0.31945505503669835
158,204317321,16 01 29.84,-22 48 38.8,,10.49,,6.42,0.51,10.42,1.9313,1.0656,,,"USco,gold",Simbad,1,0.999937,5.91,1.9313,1.0656,0.217,,240.37433,-22.8107,0.2802184085151026
162,204897050,16 01 40.97,-20 22 08.3,,10.86,,6.55,0.75,10.77,0.2639,,,,"USco,gold",Simbad,1,0.999999,5.801,0.2639,,0.247,,240.42076,-20.36889,0.34354148334113743
164,203853244,16 01 47.68,-24 41 01.3,,13.01,,6.56,0.48,12.94,0.6493,,,,"USco,gold",Simbad,1,0.999998,6.08,0.6493,,0.181,,240.44873,-24.68365,0.2617597536228846
165,204435603,16 01 49.50,-22 20 45.5,,12.42,,6.79,0.46,12.36,1.5936,,,,"USco,bronze",Simbad,1,0.999999,6.334,1.5936,,0.14,,240.45629,-22.34588,0.3577186128169031
166,204054129,16 01 49.54,-23 51 08.5,,11.93,,6.32,0.59,11.85,0.5272,0.6122,,,"USco,bronze",Simbad,1,0.999998,5.723,0.5272,0.6122,0.269,,240.45649,-23.85228,0.3788971525118685
175,204388640,16 02 04.29,-22 31 47.0,,11.55,,8.82,2.7,11.2,2.6268,,,,"USco,bronze",Simbad,1,0.998613,6.125,2.6268,,0.172,Y,240.51791,-22.52969,0.16432038908421262
176,204791347,16 02 04.29,-20 50 42.8,18.6,11.83,6.77,6.77,0.76,11.73,0.4224,0.245,,,"USco,gold",Simbad,1,0.999999,6.017,0.4224,0.245,0.192,,240.5179,-20.84516,0.23927042621325564
181,204258708,16 02 09.54,-23 02 27.9,,11.83,,6.18,0.23,11.8,0.4837,,,,"USco,bronze",Simbad,1,0.999994,5.95,0.4837,,0.207,,240.53982,-23.04104,0.2794852985732106
183,204948308,16 02 10.95,-20 07 49.8,,11.42,,6.19,0.57,11.34,0.9397,,,,"USco,gold",Simbad,1,0.999996,5.625,0.9397,,0.299,,240.54567,-20.13044,0.26418084237162737
186,203863529,16 02 14.88,-24 38 32.9,,11.15,,6.12,0.35,11.1,0.2543,0.3215,,,"USco,silver",Simbad,1,0.999998,5.766,0.2543,0.3215,0.257,,240.56206,-24.64238,0.3857056218712124
188,204271115,16 02 23.56,-22 59 33.5,,11.03,,6.38,0.28,11.0,1.0184,,,,"USco,gold",Simbad,1,0.999998,6.099,1.0184,,0.177,,240.59822,-22.99257,0.304537954033761
190,203629401,16 02 24.41,-25 29 12.5,,12.47,,6.43,0.28,12.43,0.4951,,,,"USco,bronze",Simbad,1,0.999997,6.147,0.4951,,0.169,,240.60166,-25.4867,0.4111813360919012
192,204417649,16 02 25.97,-22 24 57.7,,11.65,,6.18,0.23,11.62,1.435,,,,"USco,bronze",Simbad,1,0.999995,5.955,1.435,,0.206,,240.60827,-22.41597,0.29220120186650017
