   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       30    0.55000  5.47650600000E+06   1.41688   4.26358  10.54737 -30.00000   0.49982   0.00000  0.00000E+00  8.73120E-01  1.23400E-01  3.19000E-03     0.03520     0.97490     0.00000     0.00060    -0.00949  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1456580852
       31    0.55000  5.75674600000E+06   1.41758   4.26329  10.54829 -30.00000   0.49982   0.00000  0.00000E+00  8.69270E-01  1.27000E-01  3.42100E-03     0.03490     0.97530     0.00000     0.00060    -0.00957  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1531116006
       32    0.55000  6.03762600000E+06   1.41829   4.26300  10.54923 -30.00000   0.49982   0.00000  0.00000E+00  8.65240E-01  1.30800E-01  3.66800E-03     0.03450     0.97540     0.00000     0.00060    -0.00930  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1605821381
       33    0.55000  6.30570600000E+06   1.41897   4.26273  10.55013 -30.00000   0.49982   0.00000  0.00000E+00  8.61600E-01  1.34200E-01  3.90200E-03     0.03430     0.97580     0.00000     0.00060    -0.00947  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1677122352
       34    0.55000  6.58855600000E+06   1.41967   4.26243  10.55106 -30.00000   0.49982   0.00000  0.00000E+00  8.57760E-01  1.37800E-01  4.15600E-03     0.03400     0.97610     0.00000     0.00060    -0.00949  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1752351685
       35    0.55000  6.87182600000E+06   1.42039   4.26214  10.55201 -30.00000   0.49982   0.00000  0.00000E+00  8.53720E-01  1.41600E-01  4.42600E-03     0.03370     0.97620     0.00000     0.00060    -0.00925  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1827692725
       36    0.55000  7.14051600000E+06   1.42107   4.26186  10.55291 -30.00000   0.49982   0.00000  0.00000E+00  8.50110E-01  1.44900E-01  4.68000E-03     0.03340     0.97650     0.00000     0.00060    -0.00930  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1899155937
       37    0.55000  7.42578600000E+06   1.42178   4.26157  10.55383 -30.00000   0.49982   0.00000  0.00000E+00  8.46460E-01  1.48300E-01  4.94700E-03     0.03310     0.97680     0.00000     0.00060    -0.00922  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1975028915
       38    0.55000  7.72485600000E+06   1.42251   4.26127  10.55481 -30.00000   0.49982   0.00000  0.00000E+00  8.42360E-01  1.52100E-01  5.24800E-03     0.03280     0.97720     0.00000     0.00060    -0.00931  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2054572265
       39    0.55000  8.00401600000E+06   1.42322   4.26097  10.55575 -30.00000   0.49982   0.00000  0.00000E+00  8.38410E-01  1.55800E-01  5.54300E-03     0.03250     0.97730     0.00000     0.00060    -0.00916  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2128820173
