recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
69,1-3-3005,07 57 55.36,-61 15 12.30,0.297,19.97,17.15,14.7,7,6.48,,53.0,,-1.85,0.012,106,-2.55,0.39,0.41,-4.57,0.32,1,1,0.999899
70,1-3-4292,07 58 39.61,-61 13 24.45,,21.0,17.92,15.58,5,2.63,,29.0,,-2.12,,145,,-0.19,0.12,,0.22,0,1,0.999979
71,1-3-4335,07 58 40.90,-61 14 54.40,,19.57,16.92,14.58,9,7.8,<,8.0,*,-1.78,,98,,0.01,0.43,-6.08,0.36,0,1,0.99982
72,1-3-4380,07 58 41.83,-61 12 02.07,,17.48,15.13,13.01,37,18.6,<,8.0,*,-1.09,,44,,0.26,0.29,-4.72,0.61,0,1,0.996487
73,1-3-4503,07 58 46.35,-61 14 31.95,,19.66,17.01,14.85,11,21.05,<,8.0,*,-1.82,,102,,-0.04,0.04,,0.34,0,1,0.999527
74,1-3-461,07 56 27.54,-61 09 05.00,0.42,20.65,17.71,15.22,9,0.53,,46.3,,-2.06,0.049,134,-2.5,0.33,0.25,-4.65,0.24,1,1,0.999983
75,1-3-470,07 56 27.73,-61 09 16.57,,18.47,15.94,13.8,29,25.3,<,8.0,*,-1.4,,63,,0.04,0.0,-5.52,0.5,0,1,0.992964
76,1-3-664,07 56 35.06,-61 10 08.60,2.561,17.75,15.57,13.41,32,0.02,,9.3,,-1.28,0.024,55,-1.33,0.48,0.55,-4.44,0.55,1,1,0.998258
77,1-3-699,07 56 36.59,-61 13 17.60,1.59,19.25,16.62,14.33,20,0.57,,14.8,,-1.67,0.01,86,-1.73,0.46,0.48,-4.48,0.4,1,1,0.999324
78,1-3-927,07 56 45.57,-61 14 31.30,1.36,18.82,16.33,14.17,22,0.92,<,8.0,,-1.56,0.008,76,-1.75,0.39,0.45,-4.54,0.45,1,1,0.999146
79,1-4-1142,07 56 54.83,-61 05 26.21,,17.05,15.11,13.16,38,34.23,<,8.0,*,-1.11,,45,,0.07,0.08,-5.27,0.62,0,1,0.999245
80,1-4-1225,07 56 58.33,-61 02 08.10,0.741,20.62,17.68,15.0,8,1.26,<,8.0,,-2.04,0.021,132,-2.25,0.25,0.09,-4.77,0.25,1,1,0.999949
81,1-4-1313,07 57 01.29,-61 01 10.10,3.532,18.82,16.31,13.97,18,0.62,<,8.0,,-1.55,0.009,75,-1.33,0.36,0.41,-4.58,0.45,1,1,0.999389
82,1-4-1401,07 57 02.76,-61 05 20.20,0.352,19.64,16.78,14.38,16,0.61,,51.7,,-1.7,0.024,89,-2.4,0.41,0.48,-4.56,0.38,1,1,0.999813
83,1-4-155,07 56 23.06,-61 00 01.20,,20.24,17.38,14.88,8,8.95,<,8.0,*,-1.94,,117,,0.05,-0.04,-5.46,0.29,0,1,0.999958
84,1-4-1609,07 57 10.37,-61 01 13.50,0.742,18.72,16.19,13.83,22,1.39,,26.8,,-1.5,0.015,71,-1.98,0.45,0.5,-4.48,0.47,1,1,0.997667
85,1-4-1930,07 57 21.55,-61 03 56.50,6.065,19.12,16.55,14.26,18,0.96,<,8.0,,-1.64,0.015,84,-1.14,0.83,0.79,-4.22,0.41,1,1,0.999324
86,1-4-2288,07 57 37.23,-61 04 22.86,,17.25,14.82,12.75,35,1.39,<,8.0,,-0.96,,38,,0.04,0.01,-5.57,0.66,0,1,0.996487
87,1-4-2755,07 57 54.32,-61 05 29.60,2.741,19.65,16.95,14.51,9,0.28,,8.4,,-1.79,0.014,99,-1.56,0.3,0.29,-4.67,0.35,1,1,0.999712
88,1-4-2793,07 57 55.65,-61 04 17.20,0.595,19.81,17.03,14.63,5,2.08,,32.1,,-1.81,0.009,101,-2.23,0.26,0.35,-4.75,0.34,1,1,0.999896
89,1-4-2846,07 57 57.76,-61 02 03.80,0.918,19.29,16.65,14.32,16,0.02,,31.1,,-1.68,0.012,87,-1.98,0.45,0.36,-4.48,0.4,1,1,0.999488
90,1-4-3146,07 58 06.99,-60 58 32.21,,19.6,16.85,14.34,15,2.88,,41.9,,-1.74,,94,,0.34,0.38,-4.63,0.37,0,1,0.999838
91,1-4-3259,07 58 10.51,-61 04 10.97,,20.73,17.76,14.99,6,0.86,,26.4,,-2.08,,137,,0.2,0.1,-4.87,0.24,0,1,0.999978
92,1-4-3317,07 58 12.62,-61 04 29.70,0.599,19.65,16.87,14.67,13,0.27,,43.7,,-1.75,0.025,94,-2.2,0.3,0.37,-4.68,0.37,1,1,0.999826
93,1-4-3373,07 58 11.90,-61 01 41.90,0.148,19.12,16.33,13.82,18,16.09,,125.9,,-1.53,0.013,73,-2.69,0.55,0.47,-4.42,0.45,1,1,0.996487
94,1-4-3379,07 58 14.39,-61 00 00.90,6.422,17.96,15.69,13.48,28,10.4,,10.1,*,-1.32,0.011,58,-0.95,0.47,0.46,-4.45,0.54,1,1,0.998613
95,1-4-3439,07 58 16.00,-61 05 53.40,0.704,19.66,16.72,14.34,13,1.09,,31.2,,-1.66,0.017,85,-2.08,0.28,0.2,-4.72,0.39,1,1,0.999762
96,1-4-3464,07 58 16.53,-60 58 24.37,,18.87,16.26,14.0,23,17.44,,19.7,*,-1.52,,73,,0.21,0.28,-4.82,0.46,0,1,0.997667
97,1-4-3531,07 58 18.77,-61 03 07.75,,20.44,17.53,15.03,8,1.74,,22.4,,-1.99,,124,,0.16,0.21,-4.98,0.26,0,1,0.999948
98,1-4-355,07 56 28.90,-61 02 01.10,2.392,17.8,15.46,13.22,31,0.89,,9.0,,-1.23,0.014,52,-1.33,0.42,0.48,-4.51,0.57,1,1,0.999019
99,1-4-3693,07 58 24.23,-60 58 53.04,,18.24,15.89,13.71,25,27.76,<,8.0,*,-1.39,,63,,0.09,0.03,-5.16,0.51,0,1,0.92974
100,1-4-3776,07 58 27.23,-61 02 45.40,0.639,19.99,17.03,14.53,12,2.55,,25.0,,-1.78,0.011,98,-2.19,0.2,0.29,-4.88,0.34,1,1,0.99979
101,1-4-3820,07 58 28.72,-61 03 18.26,,16.98,15.15,13.26,34,10.75,<,8.0,*,-1.16,,48,,0.11,0.13,-5.06,0.61,0,1,0.999862
102,1-4-3893,07 58 31.27,-61 04 33.80,1.036,19.02,16.24,13.74,21,3.17,,34.6,*,-1.49,0.019,70,-1.83,0.41,0.4,-4.54,0.46,1,1,0.999245
103,1-4-3936,07 58 32.59,-60 59 45.95,,16.79,15.02,13.09,38,0.76,<,8.0,,-1.12,,46,,0.52,0.64,-4.36,0.63,0,1,0.999561
104,1-4-3974,07 58 34.23,-60 59 50.30,0.362,20.79,17.73,15.35,8,2.08,,40.1,,-2.05,0.021,134,-2.57,0.24,0.22,-4.81,0.24,1,1,0.999827
105,1-4-401,07 56 29.76,-60 59 59.79,,17.22,15.16,13.0,34,0.05,,23.0,,-1.12,,46,,0.28,0.3,-4.67,0.61,0,1,0.998258
106,1-4-4038,07 58 36.78,-61 03 54.80,0.269,18.64,16.06,13.78,23,0.26,,84.7,,-1.45,0.023,66,-2.39,0.57,0.63,-4.38,0.48,1,1,0.997667
107,1-4-4069,07 58 38.22,-61 03 31.20,0.446,20.45,17.55,,9,0.52,,40.5,,-2.0,0.023,126,-2.45,0.41,0.33,-4.56,0.26,1,1,0.999959
108,1-4-470,07 56 31.38,-60 59 32.93,,17.23,14.99,12.81,37,0.52,<,8.0,,-1.04,,42,,0.38,0.38,-4.54,0.63,0,1,0.992964
109,1-4-559,07 56 34.98,-60 59 29.01,,18.42,16.03,13.95,20,9.05,<,8.0,*,-1.45,,67,,0.02,-0.01,-5.83,0.49,0,1,0.998258
110,1-4-673,07 56 39.05,-61 03 46.60,,17.32,15.37,13.34,35,0.89,<,8.0,,-1.21,,51,,0.4,0.47,-4.51,0.58,0,1,0.999527
111,1-4-679,07 56 39.13,-61 06 46.61,,18.93,16.36,14.09,19,1.09,,9.2,,-1.56,,76,,0.37,0.42,-4.57,0.44,0,1,0.999932
112,1-4-778,07 56 42.61,-61 05 48.36,,19.24,16.55,14.32,20,26.23,<,8.0,*,-1.63,,82,,0.13,0.12,-5.02,0.41,0,1,0.99885
