recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS
291,2-4-2259,08 00 07.40,-60 31 17.29,,20.99,17.92,15.53,7,13.78,<,8.0,*,-2.12,,145,,0.21,0.13,-4.87,0.22,0,1,0.999976
292,2-4-2314,08 00 09.16,-60 28 16.10,4.292,19.99,17.2,14.95,10,0.29,,8.1,,-1.88,0.01,109,-1.4,0.05,0.17,-5.47,0.31,1,1,0.999848
293,2-4-2408,08 00 11.82,-60 25 05.40,5.656,18.55,16.07,13.88,11,1.69,,8.6,,-1.46,0.014,67,-1.08,0.56,0.6,-4.39,0.48,1,1,0.998613
294,2-4-2573,08 00 17.40,-60 31 32.29,,20.84,17.8,15.23,8,0.32,,21.7,,-2.08,,138,,0.29,0.14,-4.72,0.23,0,1,0.999971
295,2-4-2908,08 00 27.65,-60 24 49.62,,19.72,16.79,14.23,7,0.29,,17.6,,-1.69,,88,,0.29,0.26,-4.71,0.38,0,1,0.999442
296,2-4-3227,08 00 38.32,-60 30 47.45,,20.41,17.62,15.46,7,0.34,<,8.0,,-2.04,,132,,0.09,-0.15,-5.23,0.25,0,1,0.999975
297,2-4-3516,08 00 34.92,-60 31 27.38,,16.77,14.86,13.12,45,219.34,<,8.0,*,-1.02,,41,,0.15,0.0,-4.94,0.65,0,1,0.999997
298,2-4-3615,08 00 51.72,-60 31 44.05,,19.9,17.24,14.82,9,38.81,<,8.0,*,-1.91,,113,,-0.02,-0.09,,0.31,0,1,0.999934
299,2-4-4035,08 01 04.82,-60 29 18.11,,19.33,16.62,14.45,9,1.45,,8.9,,-1.66,,85,,0.35,0.29,-4.61,0.4,0,1,0.999146
300,2-4-818,07 59 21.50,-60 27 52.97,,18.06,15.74,13.6,12,38.63,<,8.0,*,-1.34,,59,,0.03,0.02,-5.61,0.53,0,1,0.992964
301,2-5-107,08 01 22.88,-60 53 05.67,,16.64,14.8,12.97,45,0.51,<,8.0,,-1.01,,40,,0.31,0.39,-4.6,0.66,0,1,0.999561
302,2-5-1074,08 01 47.18,-60 57 54.50,0.864,19.17,16.55,14.28,15,0.41,,23.3,,-1.64,0.008,83,-1.98,0.28,0.42,-4.69,0.41,1,1,0.999019
303,2-5-1173,08 01 58.69,-60 50 49.05,,16.49,14.78,13.99,45,19.73,<,8.0,*,-1.02,,41,,-0.02,-0.01,,0.66,0,1,0.999992
304,2-5-1251,08 01 55.47,-60 52 13.20,,21.17,17.85,14.11,8,2.12,,25.9,,-2.06,,135,,0.34,0.22,-4.69,0.23,0,1,0.999989
305,2-5-1285,08 02 01.24,-60 55 11.98,,21.01,17.98,15.62,5,3.23,,26.0,,-2.15,,150,,0.19,0.18,-4.9,0.21,0,1,0.999991
306,2-5-1321,08 02 01.92,-60 58 50.27,,15.59,14.1,12.01,50,14.46,<,8.0,*,-0.74,,29,,0.5,0.55,-4.4,0.75,0,1,0.992964
307,2-5-1498,08 02 07.82,-60 59 19.81,,20.29,17.55,15.24,6,13.32,<,8.0,*,-2.02,,129,,0.04,0.07,-5.54,0.26,0,1,0.989146
308,2-5-1527,08 02 08.72,-60 55 45.35,,18.22,15.76,13.59,24,12.05,,8.6,*,-1.33,,59,,0.05,0.03,-5.46,0.53,0,1,0.99885
309,2-5-162,08 01 24.78,-60 53 13.67,,17.61,15.12,12.28,39,6.04,<,8.0,*,-1.08,,44,,0.03,-0.02,-5.64,0.62,0,2,
310,2-5-1637,08 02 12.20,-60 55 26.14,,16.45,14.7,12.8,41,0.91,<,8.0,,-0.99,,40,,0.28,0.27,-4.63,0.67,0,1,0.999488
311,2-5-1670,08 02 13.46,-60 54 40.18,,19.22,16.6,14.41,17,17.97,<,8.0,*,-1.66,,85,,-0.01,-0.02,,0.41,0,1,0.999561
312,2-5-1750,08 02 15.48,-60 51 21.81,,16.67,14.91,13.1,42,7.98,<,8.0,*,-1.08,,43,,0.02,0.04,-5.87,0.64,0,1,0.999146
313,2-5-2067,08 02 25.76,-60 54 45.20,0.488,19.73,16.51,13.8,20,17.68,,35.4,*,-1.54,0.043,74,-2.18,0.55,0.54,-4.46,0.42,1,1,0.999991
314,2-5-2268,08 02 32.23,-60 57 52.80,1.143,19.69,16.92,14.59,9,1.56,,21.5,,-1.77,0.019,96,-1.93,0.43,0.34,-4.52,0.36,1,1,0.999806
315,2-5-2422,08 02 37.27,-60 51 14.81,,18.04,15.9,14.81,24,7.11,<,8.0,*,-1.41,,64,,-0.06,-0.04,,0.5,0,1,0.999987
316,2-5-2476,08 02 38.97,-60 57 23.00,1.262,18.88,16.19,13.9,16,0.08,,19.5,,-1.48,0.008,70,-1.74,0.3,0.42,-4.67,0.47,1,1,0.998258
317,2-5-2556,08 02 42.28,-60 54 14.91,,19.65,17.04,15.04,12,46.7,<,8.0,*,-1.84,,104,,-0.03,-0.08,,0.34,0,1,0.999772
318,2-5-2581,08 02 43.17,-60 53 05.10,0.359,18.85,16.08,13.79,20,0.32,,23.5,,-1.43,0.006,65,-2.26,0.27,0.26,-4.73,0.48,1,1,0.878061
319,2-5-2742,08 02 48.75,-60 52 00.90,,18.17,15.86,13.8,23,0.0,<,8.0,,-1.39,,62,,0.44,0.47,-4.48,0.51,0,1,0.998258
320,2-5-2906,08 02 56.33,-60 50 50.93,,19.49,16.94,14.81,11,14.75,<,8.0,*,-1.8,,100,,0.03,0.07,-5.65,0.35,0,1,0.999884
321,2-5-2945,08 02 56.42,-60 58 44.80,1.011,20.01,17.14,15.13,7,4.37,,10.5,*,-1.84,0.025,105,-2.01,0.33,0.28,-4.64,0.32,1,1,0.999956
322,2-5-358,08 01 30.70,-60 51 00.90,1.675,18.86,16.35,14.3,20,0.35,,14.5,,-1.56,0.007,76,-1.66,0.47,0.57,-4.47,0.44,1,1,0.999146
323,2-5-4520,08 03 47.57,-60 51 50.20,0.528,20.6,17.59,15.32,6,0.17,,32.9,,-2.0,0.013,125,-2.38,0.46,0.54,-4.53,0.26,1,1,0.999975
324,2-5-494,08 01 35.30,-60 53 42.20,,19.24,16.67,14.37,16,0.77,<,8.0,,-1.69,,88,,0.24,0.19,-4.76,0.4,0,1,0.999146
325,2-5-949,08 01 51.78,-60 56 30.55,,18.58,16.17,14.03,20,16.76,<,8.0,*,-1.5,,71,,0.07,-0.03,-5.29,0.47,0,1,0.997667
326,2-6-1094,08 01 55.82,-60 42 55.80,2.355,17.26,15.22,13.19,41,0.06,<,8.0,,-1.15,0.021,47,-1.3,0.58,0.62,-4.36,0.6,1,2,1.0E-6
327,2-6-117,08 01 22.49,-60 42 47.63,,16.15,14.17,13.06,66,36.14,<,8.0,*,-0.73,,29,,-0.02,-0.02,,0.74,0,1,0.999979
328,2-6-1200,08 01 58.39,-60 42 50.80,4.717,16.66,14.79,12.92,49,1.09,<,8.0,,-1.0,0.01,40,-0.93,0.25,0.32,-4.7,0.66,1,1,0.997667
329,2-6-121,08 01 23.27,-60 46 14.50,0.332,17.37,15.09,12.94,41,0.17,,51.7,,-1.08,0.026,44,-2.12,0.6,0.71,-4.35,0.62,1,1,0.992964
330,2-6-1250,08 01 58.22,-60 43 22.70,4.116,17.62,15.54,13.51,32,0.21,<,8.0,,-1.27,0.03,55,-1.12,0.54,0.58,-4.39,0.56,1,1,0.999146
331,2-6-136,08 01 24.05,-60 47 23.96,,20.02,17.29,14.91,11,28.45,,8.5,*,-1.92,,115,,0.01,-0.04,-6.45,0.3,0,1,0.999924
332,2-6-1571,08 02 09.97,-60 42 42.10,8.363,17.26,15.22,13.27,36,1.43,<,8.0,,-1.15,0.017,47,-0.75,0.34,0.42,-4.59,0.6,1,1,0.998258
333,2-6-1700,08 02 14.47,-60 45 43.90,0.771,19.58,16.87,14.65,14,0.9,,18.4,,-1.76,0.009,95,-2.09,0.46,0.4,-4.48,0.37,1,1,0.999488
334,2-6-1739,08 02 15.23,-60 45 27.47,,20.17,17.42,14.75,8,52.55,,54.2,*,-1.97,,121,,0.17,0.24,-4.93,0.28,0,1,0.999887
335,2-6-1857,08 02 18.74,-60 45 18.59,,17.44,15.4,13.44,35,0.2,<,8.0,,-1.22,,51,,0.18,0.23,-4.85,0.58,0,1,0.99885
336,2-6-2033,08 02 24.67,-60 42 37.40,3.919,18.58,16.0,13.72,25,2.97,<,8.0,*,-1.42,0.006,65,-1.22,0.21,0.19,-4.81,0.49,1,1,0.896753
337,2-6-2207,08 02 30.90,-60 48 44.40,0.715,20.02,17.2,14.71,12,0.62,,34.4,,-1.87,0.029,108,-2.18,0.35,0.37,-4.62,0.31,1,1,0.99987
338,2-6-2346,08 02 34.70,-60 46 04.70,10.988,18.26,15.69,13.43,32,0.29,,18.5,,-1.3,0.027,56,-0.71,0.42,0.46,-4.51,0.54,1,2,1.0E-6
339,2-6-240,08 01 27.59,-60 41 40.80,8.774,16.64,14.79,12.99,44,0.05,<,8.0,,-1.01,0.022,40,-0.66,0.36,0.44,-4.53,0.66,1,1,0.99968
340,2-6-2407,08 02 36.87,-60 47 26.00,0.363,19.13,16.33,13.88,22,12.02,,53.5,*,-1.52,0.01,73,-2.3,0.37,0.38,-4.59,0.45,1,1,0.999146
341,2-6-2478,08 02 39.22,-60 46 20.75,,20.44,17.56,14.99,9,2.4,,28.6,,-2.0,,127,,0.38,0.39,-4.59,0.26,0,1,0.999899
342,2-6-2753,08 02 48.35,-60 47 09.50,10.406,18.25,15.96,13.9,26,1.19,<,8.0,,-1.43,0.013,65,-0.8,0.29,0.33,-4.66,0.5,1,1,0.999019
343,2-6-2921,08 02 46.18,-60 43 10.74,,16.66,14.77,12.92,48,23.16,<,8.0,*,-0.99,,39,,0.09,0.11,-5.16,0.66,0,1,0.999146
344,2-6-3335,08 03 06.00,-60 42 53.80,0.85,19.4,16.57,14.08,18,31.03,,23.6,*,-1.62,0.017,81,-1.98,0.23,0.33,-4.8,0.41,1,1,0.999245
345,2-6-3567,08 03 12.91,-60 49 03.98,,18.38,15.78,13.53,27,4.38,<,8.0,*,-1.33,,58,,0.06,0.0,-5.38,0.52,0,1,0.997667
346,2-6-3707,08 03 17.81,-60 49 58.10,3.297,17.08,15.22,13.31,32,0.3,<,8.0,,-1.18,0.01,49,-1.17,0.5,0.57,-4.4,0.6,1,1,0.998258
347,2-6-4103,08 03 29.88,-60 46 51.40,,19.68,16.52,13.96,12,29.3,,9.8,*,-1.55,,75,,0.08,0.08,-5.29,0.42,0,1,0.999949
348,2-6-4162,08 03 32.00,-60 49 11.55,,20.1,16.89,14.4,7,15.35,,17.0,*,-1.69,,88,,-0.02,-0.02,,0.36,0,1,0.999979
349,2-6-4184,08 03 32.16,-60 44 26.20,1.857,18.99,16.46,14.31,13,0.61,,15.5,,-1.61,0.018,81,-1.64,0.44,0.46,-4.49,0.43,1,1,0.999146
350,2-6-429,08 01 34.66,-60 41 49.50,1.179,19.22,16.47,13.99,14,1.15,,18.8,,-1.59,0.009,79,-1.82,0.23,0.2,-4.79,0.42,1,1,0.999488
351,2-6-440,08 01 34.70,-60 43 52.60,2.799,17.34,15.08,12.96,38,0.3,,8.8,,-1.08,0.012,43,-1.19,0.53,0.61,-4.4,0.62,1,1,0.996487
352,2-6-4563,08 03 42.78,-60 44 37.70,1.322,19.64,16.96,14.66,6,1.14,<,8.0,,-1.8,0.012,99,-1.88,0.16,0.26,-4.95,0.35,1,1,0.99979
353,2-6-4584,08 03 43.86,-60 47 47.68,,19.17,16.61,14.49,11,20.89,<,8.0,*,-1.67,,86,,-0.08,0.02,,0.4,0,1,0.999488
354,2-6-494,08 01 36.39,-60 45 27.80,0.489,16.96,14.96,12.76,39,0.93,,47.8,,-1.04,0.009,42,-1.93,0.76,0.91,-4.24,0.64,1,1,0.996487
355,2-6-565,08 01 39.71,-60 47 47.22,,17.67,15.59,13.6,31,37.99,<,8.0,*,-1.29,,56,,0.05,0.05,-5.39,0.55,0,1,0.999617
356,2-6-612,08 01 41.24,-60 44 42.70,1.758,18.99,16.44,14.13,20,1.04,,12.1,,-1.6,0.018,80,-1.66,0.4,0.44,-4.53,0.43,1,1,0.996487
357,2-6-649,08 01 42.37,-60 44 08.80,0.809,20.16,17.39,15.06,10,0.25,,27.3,,-1.95,0.037,119,-2.17,0.16,0.39,-4.96,0.28,1,1,0.999906
358,2-6-93,08 01 22.13,-60 41 38.40,,16.24,14.29,13.29,54,28.98,<,8.0,*,-0.78,,31,,-0.04,-0.04,,0.73,0,1,0.999986
359,2-7-154,08 01 24.96,-60 40 35.03,,20.61,17.67,15.1,8,3.66,,22.7,,-2.04,,132,,0.36,0.23,-4.62,0.25,0,1,0.999982
360,2-7-1803,08 02 18.19,-60 36 50.18,,20.62,17.59,15.04,8,0.33,,34.0,,-1.99,,125,,0.4,0.42,-4.59,0.26,0,1,0.999955
361,2-7-2171,08 02 29.60,-60 40 56.78,,21.08,17.91,15.27,7,1.7,,38.7,,-2.11,,143,,0.19,0.29,-4.93,0.22,0,1,0.999977
362,2-7-2350,08 02 35.08,-60 37 11.30,0.564,19.98,17.2,14.68,9,0.44,,25.4,,-1.88,0.014,109,-2.29,0.41,0.34,-4.55,0.31,1,1,0.999884
363,2-7-2354,08 02 35.32,-60 40 19.60,4.971,17.12,15.16,13.3,37,0.06,<,8.0,,-1.13,0.008,46,-0.97,0.33,0.38,-4.6,0.61,1,1,0.998258
364,2-7-2368,08 02 36.02,-60 37 55.50,0.542,20.49,17.59,15.24,8,1.15,,38.2,,-2.01,0.023,128,-2.37,0.29,0.5,-4.71,0.26,1,1,0.999887
365,2-7-2526,08 02 40.76,-60 37 36.43,,19.68,16.85,14.5,12,0.33,,26.0,,-1.73,,92,,0.06,0.03,-5.41,0.37,0,1,0.999712
366,2-7-2687,08 02 46.14,-60 37 15.10,1.516,19.83,17.05,14.72,7,0.07,,12.0,,-1.82,0.024,102,-1.83,0.27,0.24,-4.72,0.34,1,1,0.999826
367,2-7-28,08 01 20.29,-60 34 02.70,0.664,18.25,15.96,13.74,5,2.49,,32.4,,-1.43,0.02,65,-1.99,0.6,0.63,-4.35,0.5,1,1,0.999245
368,2-7-2821,08 02 51.36,-60 41 02.51,,18.82,16.23,14.11,21,4.25,<,8.0,*,-1.51,,72,,-0.01,0.0,,0.46,0,1,0.998258
369,2-7-2941,08 02 55.15,-60 39 24.50,6.881,16.72,14.92,13.02,37,0.71,<,8.0,,-1.07,0.036,43,-0.8,0.34,0.41,-4.56,0.64,1,1,0.999245
370,2-7-432,08 01 33.39,-60 34 22.24,,15.86,14.63,12.86,12,1.8,<,8.0,,-0.93,,37,,0.05,0.17,-5.44,0.68,0,1,0.999561
371,2-7-495,08 01 36.44,-60 41 05.51,,18.72,15.94,13.57,27,3.73,<,8.0,*,-1.37,,61,,0.1,0.04,-5.17,0.5,0,1,0.998613
372,2-7-533,08 01 37.96,-60 40 51.23,,21.12,18.12,15.67,6,3.22,,30.7,,-2.22,,161,,0.33,0.25,-4.66,0.2,0,1,0.999994
373,2-8-226,08 01 27.59,-60 31 40.97,,16.64,14.72,13.55,21,43.8,<,8.0,*,-0.96,,38,,-0.08,-0.05,,0.67,0,1,0.999989
374,3-1-1124,07 51 39.09,-61 06 40.95,,20.81,17.94,15.39,6,58.81,<,8.0,*,-2.16,,152,,-0.02,-0.21,,0.22,0,1,0.999994
375,3-1-1370,07 51 49.31,-61 13 36.76,,16.63,14.65,12.62,43,6.92,<,8.0,*,-0.92,,36,,0.15,0.2,-4.96,0.68,0,1,0.997667
376,3-1-1526,07 51 54.82,-61 11 54.31,,16.06,14.66,13.0,42,43.76,<,8.0,*,-0.95,,38,,-0.03,-0.01,,0.68,0,1,0.999937
377,3-1-1583,07 51 56.64,-61 09 34.10,0.518,18.95,16.17,13.89,20,1.28,,41.0,,-1.46,0.014,68,-2.12,0.38,0.46,-4.58,0.47,1,1,0.998258
378,3-1-2130,07 52 15.81,-61 09 14.31,,20.51,17.71,14.98,7,1.46,,11.9,,-2.08,,138,,-0.13,0.0,,0.24,0,1,0.999881
379,3-1-2177,07 52 17.37,-61 05 48.91,,20.79,17.81,15.05,6,26.76,<,8.0,*,-2.09,,140,,-0.04,-0.11,,0.23,0,1,0.999938
380,3-1-2182,07 52 17.97,-61 10 51.80,0.737,20.74,17.78,15.03,6,0.05,,28.8,,-2.08,0.014,139,-2.27,0.05,0.34,-5.51,0.23,1,1,0.999939
381,3-1-2230,07 52 20.76,-61 14 36.40,0.975,20.05,17.25,14.99,10,0.54,,15.8,,-1.89,0.03,111,-2.06,0.25,0.29,-4.76,0.3,1,1,0.99968
382,3-1-2445,07 52 28.65,-61 06 03.50,2.904,19.23,16.51,14.31,18,0.87,,9.9,,-1.61,0.013,81,-1.44,0.39,0.36,-4.56,0.42,1,1,0.998258
383,3-1-2585,07 52 32.38,-61 12 56.70,,17.04,15.08,13.05,36,3.06,,63.4,,-1.09,,44,,0.58,0.75,-4.36,0.62,0,1,0.996487
384,3-1-2640,07 52 35.71,-61 08 42.32,,20.45,17.47,15.06,10,3.38,,50.9,,-1.95,,119,,0.46,0.48,-4.52,0.27,0,1,0.999956
385,3-1-2700,07 52 37.25,-61 06 48.11,,16.3,14.76,13.0,45,82.56,<,8.0,*,-1.0,,40,,-0.13,-0.15,,0.66,0,1,0.999995
386,3-1-2703,07 52 37.65,-61 08 34.23,,19.55,16.59,14.06,16,0.31,,28.1,,-1.61,,80,,0.17,0.26,-4.96,0.41,0,1,0.999712
387,3-1-2708,07 52 37.75,-61 05 53.02,,21.44,18.28,,5,1.04,,15.2,,-2.26,,169,,0.23,0.29,-4.84,0.18,0,1,0.999991
388,3-1-2816,07 52 42.12,-61 11 30.28,,18.62,16.19,13.94,19,22.86,<,8.0,*,-1.51,,71,,0.03,-0.05,-5.63,0.47,0,1,0.997667
389,3-1-288,07 51 10.75,-61 08 35.10,1.03,18.43,15.84,13.64,19,9.84,,48.1,*,-1.36,0.015,60,-1.77,0.55,0.6,-4.4,0.51,1,1,0.996487
390,3-1-3066,07 52 50.01,-61 11 27.67,,19.34,16.57,14.3,16,17.3,,8.2,*,-1.63,,82,,0.06,0.05,-5.36,0.41,0,1,0.999245
391,3-1-3103,07 52 51.98,-61 12 56.01,,19.05,16.57,14.28,16,3.08,<,8.0,*,-1.66,,85,,-0.04,-0.03,,0.41,0,1,0.999488
392,3-1-3373,07 53 00.35,-61 06 55.39,,20.39,17.36,15.15,10,15.94,,14.5,*,-1.9,,113,,0.17,0.25,-4.96,0.29,0,1,0.999947
393,3-1-3604,07 53 07.23,-61 06 46.10,11.35,18.39,15.69,13.45,29,15.36,<,8.0,*,-1.29,0.006,55,-0.69,0.15,0.13,-4.96,0.54,1,1,0.998613
394,3-1-3674,07 53 10.29,-61 13 07.22,,21.0,17.76,15.12,8,2.39,,35.9,,-2.04,,132,,0.33,0.25,-4.69,0.24,0,1,0.999983
395,3-1-3691,07 53 10.79,-61 10 49.16,,19.92,17.14,14.72,10,12.92,,16.2,*,-1.85,,106,,-0.03,-0.08,,0.32,0,1,0.997266
396,3-1-3911,07 53 17.55,-61 08 18.99,,20.33,17.37,15.02,10,18.35,,13.1,*,-1.92,,115,,0.1,0.15,-5.18,0.29,0,1,0.999972
397,3-1-3934,07 53 18.45,-61 10 59.93,,16.94,15.14,13.36,29,29.37,<,8.0,*,-1.16,,48,,-0.02,-0.01,,0.61,0,1,0.999904
398,3-1-3941,07 53 18.85,-61 07 42.70,0.667,19.35,16.63,14.37,17,0.71,,27.1,,-1.66,0.029,85,-2.11,0.27,0.36,-4.73,0.4,1,1,0.999527
399,3-1-3950,07 53 19.44,-61 12 39.23,,20.11,17.06,14.49,13,0.2,,27.0,,-1.78,,98,,0.24,0.23,-4.81,0.34,0,1,0.999965
400,3-1-4095,07 53 24.37,-61 10 14.70,,18.65,16.13,13.78,22,0.03,,22.7,,-1.48,,69,,0.65,0.57,-4.32,0.47,0,1,0.99885
401,3-1-4112,07 53 24.90,-61 08 19.07,,20.27,17.22,14.73,11,23.48,<,8.0,*,-1.85,,105,,0.17,0.21,-4.95,0.31,0,1,0.99989
402,3-1-4161,07 53 26.90,-61 09 27.90,0.689,20.98,17.94,15.57,5,22.59,,23.3,*,-2.14,0.02,147,-2.33,0.07,0.18,-5.37,0.22,1,1,0.999968
403,3-1-4200,07 53 28.35,-61 10 13.70,,19.9,17.24,15.16,7,40.4,<,8.0,*,-1.91,,113,,0.03,-0.02,-5.7,0.31,0,1,0.999826
404,3-1-4252,07 53 30.83,-61 10 52.21,,20.99,17.56,15.42,6,31.12,,15.8,*,-1.93,,116,,-0.22,-0.24,,0.26,0,1,0.99885
405,3-1-719,07 51 25.82,-61 08 26.79,,19.99,17.14,14.71,9,13.26,,19.1,*,-1.84,,105,,0.08,-0.05,-5.29,0.32,0,1,0.999862
406,3-1-872,07 51 30.80,-61 10 16.94,,21.17,18.0,15.44,7,1.57,<,8.0,,-2.14,,148,,0.05,-0.08,-5.51,0.21,0,1,0.999994
407,3-1-892,07 51 30.99,-61 07 22.06,,20.19,17.44,14.91,8,40.36,<,8.0,*,-1.98,,122,,0.02,-0.02,-5.88,0.28,0,1,0.999932
408,3-2-1169,07 51 41.23,-61 04 53.16,,18.07,15.76,13.63,26,11.79,,9.1,*,-1.35,,59,,0.07,0.05,-5.31,0.53,0,1,0.999389
409,3-2-1409,07 51 48.44,-60 58 53.69,,19.39,16.83,14.46,12,35.39,<,8.0,*,-1.76,,95,,-0.05,-0.07,,0.37,0,1,0.999324
410,3-2-1428,07 51 49.37,-61 05 21.39,,20.22,17.22,14.54,11,2.77,,29.4,,-1.85,,106,,0.26,0.22,-4.76,0.31,0,1,0.999913
411,3-2-1709,07 51 58.89,-60 59 18.55,,20.45,17.58,15.26,8,11.37,<,8.0,*,-2.01,,128,,0.03,0.06,-5.66,0.26,0,1,0.999971
412,3-2-1754,07 52 00.72,-61 02 25.60,1.054,19.46,16.83,14.57,14,0.73,,27.5,,-1.75,0.024,95,-1.95,0.34,0.39,-4.61,0.37,1,1,0.999146
413,3-2-1798,07 52 02.01,-61 05 08.92,,17.89,15.39,13.22,32,19.62,<,8.0,*,-1.19,,49,,0.06,0.02,-5.33,0.58,0,2,1.0E-6
414,3-2-1830,07 52 03.54,-61 02 04.31,,20.61,17.66,15.44,8,2.65,,33.8,,-2.03,,131,,0.21,0.53,-4.85,0.25,0,1,0.999901
415,3-2-1895,07 52 05.22,-60 59 27.54,,21.0,17.87,15.06,5,0.49,<,8.0,,-2.1,,141,,0.14,0.09,-5.04,0.22,0,1,0.999973
416,3-2-2145,07 52 13.76,-61 01 27.25,,20.45,17.55,14.58,8,0.75,,37.8,,-2.0,,126,,0.48,0.36,-4.49,0.26,0,1,0.999944
417,3-2-2387,07 52 22.35,-60 58 44.62,,19.47,16.76,14.57,14,5.4,<,8.0,*,-1.71,,90,,-0.12,-0.05,,0.38,0,1,0.999019
418,3-2-2514,07 52 28.06,-61 04 14.31,,21.13,18.04,15.63,6,1.69,,29.1,,-2.17,,153,,0.2,0.36,-4.89,0.2,0,1,0.999983
419,3-2-2625,07 52 30.16,-60 56 26.03,,16.13,14.21,13.2,59,29.65,<,8.0,*,-0.76,,30,,-0.01,-0.02,,0.74,0,1,0.999992
420,3-2-2921,07 52 41.65,-61 05 16.20,,19.58,16.76,14.55,14,12.72,<,8.0,*,-1.7,,89,,0.14,0.01,-5.01,0.38,0,1,0.999617
421,3-2-3091,07 52 48.14,-61 02 25.56,,19.32,16.71,14.49,16,26.36,<,8.0,*,-1.7,,90,,0.02,-0.05,-5.78,0.39,0,1,0.99964
422,3-2-3142,07 52 50.19,-61 00 03.00,13.612,17.3,15.26,13.32,31,0.81,<,8.0,,-1.16,0.01,48,-0.55,0.13,0.18,-5.0,0.6,1,1,0.999697
423,3-2-3348,07 52 58.44,-61 03 56.97,,18.84,16.21,13.9,20,21.25,<,8.0,*,-1.5,,71,,-0.02,-0.01,,0.46,0,1,0.998613
424,3-2-3359,07 52 58.88,-61 03 42.60,,16.3,14.58,12.77,50,25.6,<,8.0,*,-0.94,,37,,0.0,0.05,-6.6,0.69,0,1,0.999884
425,3-2-3733,07 53 12.88,-61 04 02.40,1.452,19.83,17.07,14.55,12,0.28,,25.2,,-1.83,0.013,103,-1.85,0.28,0.29,-4.7,0.33,1,1,0.999739
426,3-2-3869,07 53 18.51,-61 04 05.44,,19.99,17.31,15.28,11,24.43,,21.5,*,-1.93,,117,,0.05,-0.04,-5.44,0.3,0,1,0.999838
427,3-2-3925,07 53 21.07,-60 58 13.00,2.515,17.68,15.56,13.35,30,0.18,<,8.0,,-1.28,0.005,55,-1.34,0.76,0.79,-4.24,0.55,1,1,0.99885
428,3-2-3930,07 53 21.64,-61 02 13.00,2.342,18.15,15.82,13.68,26,0.21,<,8.0,,-1.37,0.008,61,-1.41,0.53,0.68,-4.41,0.52,1,1,0.998258
429,3-2-3954,07 53 23.14,-61 02 42.92,,16.4,14.37,12.34,55,0.37,<,8.0,,-0.81,,32,,0.47,0.58,-4.45,0.71,0,1,0.996487
430,3-2-4043,07 53 27.74,-61 00 58.91,,19.48,16.78,14.49,15,0.57,,21.0,,-1.72,,91,,0.45,0.43,-4.49,0.38,0,1,0.999906
431,3-2-588,07 51 20.90,-61 05 08.30,0.807,20.39,17.47,14.9,8,1.31,,25.5,,-1.96,0.032,121,-2.17,0.4,0.58,-4.57,0.27,1,1,0.999966
432,3-2-795,07 51 27.14,-61 04 49.57,,15.93,14.43,13.48,43,20.2,<,8.0,*,-0.87,,34,,0.0,0.01,-6.5,0.71,0,1,0.999986
433,3-3-1908,07 52 03.92,-60 55 36.70,0.707,20.69,17.71,15.82,7,0.33,,28.9,,-2.05,0.02,134,-2.28,0.25,0.31,-4.78,0.24,1,1,0.999962
434,3-3-2514,07 52 25.85,-60 55 24.41,,17.82,15.72,13.69,26,18.25,<,8.0,*,-1.34,,59,,0.11,0.05,-5.08,0.53,0,1,0.999832
435,3-3-2975,07 52 39.38,-60 55 40.60,,17.12,15.19,13.28,34,23.05,<,8.0,*,-1.15,,47,,0.04,0.03,-5.57,0.61,0,1,0.999726
436,3-3-3266,07 52 49.28,-60 55 06.64,,21.04,18.03,15.33,6,0.9,<,8.0,,-2.18,,154,,0.25,0.18,-4.79,0.21,0,1,0.999989
437,3-3-3323,07 52 50.72,-60 54 17.60,0.29,17.92,15.65,13.54,24,3.09,,79.5,,-1.3,0.014,57,-2.29,0.52,0.59,-4.41,0.54,1,1,0.998258
438,3-3-3637,07 53 00.56,-60 48 09.40,11.614,17.67,15.49,13.32,32,0.01,<,8.0,,-1.25,0.006,53,-0.66,0.2,0.21,-4.83,0.56,1,1,0.998258
439,3-3-3724,07 53 02.58,-60 50 25.90,0.328,16.47,14.79,12.81,40,0.68,,95.9,,-1.02,0.045,41,-2.1,0.53,0.74,-4.35,0.66,1,1,0.997667
440,3-3-3858,07 53 05.00,-60 51 57.54,,21.02,17.79,15.01,7,2.42,,11.2,,-2.05,,134,,0.32,0.28,-4.7,0.23,0,1,0.999983
441,3-3-4100,07 53 15.49,-60 48 21.09,,15.8,14.18,12.53,53,106.3,<,8.0,*,-0.78,,31,,0.03,0.0,-5.62,0.74,0,1,0.992964
442,3-4-3738,07 53 10.31,-60 46 39.90,2.205,18.49,16.03,13.74,23,0.72,,9.4,,-1.44,0.017,66,-1.48,0.4,0.51,-4.53,0.49,1,1,0.998613
443,3-4-3791,07 53 11.78,-60 41 38.90,4.578,17.97,15.74,13.79,23,1.1,<,8.0,,-1.34,0.013,59,-1.11,0.35,0.5,-4.58,0.53,1,1,0.996487
444,3-4-4335,07 53 29.35,-60 42 59.07,,19.69,16.92,14.64,14,5.99,<,8.0,*,-1.77,,96,,0.08,0.0,-5.26,0.36,0,1,0.99964
