,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
32,33,1-2-2824,07 57 56.96,-61 18 43.90,2.076,19.04,16.53,14.15,13,0.69,,15.3,,-1.64,0.01,83,-1.6,0.46,0.41,-4.47,1,1,3373.0,157.0,0.468,0.028,0.02578,0.00746,0.2756637168141593,0.033371469090881234
33,34,1-2-2994,07 58 02.87,-61 24 36.14,,17.08,15.12,13.12,31,5.74,<,8.0,*,-1.11,,45,,0.07,0.11,-5.25,0,1,3756.0,157.0,0.624,0.021,0.07488,0.01745,0.49554140127388535,0.033371469090881234
34,35,1-2-31,07 56 16.53,-61 17 12.77,,20.39,17.4,14.93,12,1.09,,13.6,,-1.93,,116,,0.32,0.28,-4.67,0,1,3191.0,162.0,0.29,0.037,0.00908,0.00358,0.19565789473684211,0.033371469090881234
35,36,1-2-3412,07 58 15.90,-61 18 29.08,,18.09,15.87,13.82,18,10.33,<,8.0,*,-1.4,,63,,-0.02,0.02,,0,1,3556.0,157.0,0.449,0.024,0.02951,0.00754,0.37191011235955057,0.033371469090881234
36,37,1-2-3472,07 58 18.25,-61 21 09.00,4.432,17.45,15.37,13.42,23,0.98,<,8.0,,-1.21,0.021,50,-1.06,0.46,0.57,-4.46,1,1,3704.0,157.0,0.537,0.022,0.04954,0.01179,0.4624203821656051,0.033371469090881234
37,38,1-2-3503,07 58 19.17,-61 23 52.24,,16.22,14.67,12.77,36,0.13,<,8.0,,-0.97,,38,,0.43,0.5,-4.46,0,1,4387.0,173.0,0.69,,0.12869,,1.06875,0.033371469090881234
38,39,1-2-3572,07 58 21.56,-61 17 15.91,,19.23,16.65,14.43,10,42.37,<,8.0,*,-1.68,,87,,0.11,0.11,-5.11,0,1,3351.0,157.0,0.202,0.022,0.00615,0.00178,0.265929203539823,0.033371469090881234
39,40,1-2-369,07 56 28.62,-61 17 11.80,0.275,17.07,15.0,12.86,40,18.12,,105.1,*,-1.06,0.023,42,-2.19,0.88,1.38,-4.17,1,1,3598.0,157.0,0.523,0.021,0.04174,0.01005,0.3955056179775281,0.033371469090881234
40,41,1-2-4076,07 58 40.52,-61 16 46.90,,18.28,15.65,13.48,23,60.75,,13.7,*,-1.28,,55,,0.1,0.01,-5.16,0,1,3303.0,157.0,0.416,0.022,0.01912,0.00503,0.24469026548672568,0.033371469090881234
41,42,1-2-4256,07 58 47.02,-61 23 46.60,0.808,20.47,17.57,14.93,6,2.5,,30.9,,-2.0,0.017,127,-2.2,0.18,0.38,-4.92,1,1,3312.0,160.0,0.306,0.038,0.01149,0.00435,0.24867256637168142,0.033371469090881234
42,43,1-2-463,07 56 32.23,-61 21 46.47,,17.87,15.57,13.37,26,3.75,,9.7,*,-1.27,,54,,0.19,0.21,-4.85,0,1,3530.0,157.0,0.56,0.024,0.04486,0.01149,0.35730337078651686,0.033371469090881234
43,44,1-2-619,07 56 38.03,-61 23 59.93,,19.45,16.73,14.31,13,0.15,,19.5,,-1.7,,89,,0.37,0.39,-4.58,0,1,3330.0,157.0,0.417,0.03,0.0198,0.00598,0.25663716814159293,0.033371469090881234
44,45,1-2-752,07 56 42.49,-61 17 48.59,,17.81,15.39,13.2,27,31.35,<,8.0,*,-1.19,,50,,0.03,0.0,-5.64,0,1,3453.0,157.0,0.491,0.022,0.03113,0.00782,0.3140449438202247,0.033371469090881234
45,46,1-2-816,07 56 45.30,-61 24 21.22,,18.97,16.31,13.99,15,9.88,<,8.0,*,-1.54,,74,,0.07,0.04,-5.31,0,1,3328.0,157.0,0.374,0.025,0.01632,0.00456,0.2557522123893805,0.033371469090881234
46,47,1-2-836,07 56 46.03,-61 17 09.30,1.271,19.67,16.99,14.45,16,0.34,,19.2,,-1.81,0.027,101,-1.9,0.37,0.4,-4.57,1,1,3336.0,158.0,0.356,0.035,0.01521,0.00516,0.2592920353982301,0.033371469090881234
47,48,1-3-118,07 56 19.66,-61 12 05.80,0.639,20.51,17.61,15.12,10,1.47,,33.3,,-2.02,0.038,129,-2.3,0.44,0.45,-4.53,1,1,3461.0,172.0,0.304,0.044,0.01359,0.00573,0.3185393258426966,0.033371469090881234
48,49,1-3-1198,07 56 54.17,-61 16 04.97,,20.02,17.29,14.93,12,16.11,,10.6,*,-1.92,,115,,0.02,-0.03,-5.96,0,1,3348.0,162.0,0.332,0.038,0.01371,0.00508,0.2646017699115044,0.033371469090881234
49,50,1-3-1523,07 57 04.55,-61 09 14.10,,20.36,17.52,15.34,9,12.05,<,8.0,*,-1.99,,125,,-0.01,-0.09,,0,1,3396.0,163.0,0.253,0.039,0.00936,0.00394,0.28584070796460176,0.033371469090881234
50,51,1-3-1638,07 57 03.73,-61 09 44.37,,19.66,17.04,14.65,16,29.98,<,8.0,*,-1.84,,104,,0.04,-0.01,-5.59,0,1,3452.0,159.0,0.535,0.051,0.0372,0.01438,0.31348314606741573,0.033371469090881234
51,52,1-3-1683,07 57 09.42,-61 14 23.80,0.77,21.13,18.04,15.04,7,2.22,,17.6,,-2.17,0.019,153,-2.3,0.12,0.33,-5.13,1,1,,,,,,,,0.033371469090881234
52,53,1-3-1740,07 57 10.65,-61 11 16.00,,16.57,14.82,12.96,39,0.78,<,8.0,,-1.04,,42,,0.31,0.38,-4.58,0,1,3938.0,157.0,0.618,0.021,0.08812,0.01964,0.6251968503937008,0.033371469090881234
