,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Teff,s_Teff,Mass,s_Mass,Lum,s_Lum,Mass_calc,Mass_e
215,216,1-8-688,07 59 10.34,-61 02 55.70,5.229,17.03,15.1,13.2,35,0.03,<,8.0,,-1.11,0.004,45,-0.94,0.32,0.32,-4.61,1,1,3822.0,157.0,0.598,0.022,0.07213,0.0169,0.5412587412587413,0.033371469090881234
216,217,1-8-770,07 59 13.31,-61 05 47.84,,16.57,14.7,13.99,40,71.17,<,8.0,*,-0.97,,38,,0.04,0.02,-5.55,0,1,6361.0,122.0,1.27,,2.0691,,,0.033371469090881234
217,218,1-8-862,07 59 15.57,-60 59 17.30,1.545,20.04,17.18,15.02,10,0.61,,21.4,,-1.86,0.041,107,-1.84,0.28,0.33,-4.73,2,1,3224.0,160.0,0.326,0.045,0.01142,0.00473,0.2097345132743363,0.033371469090881234
218,219,1-8-946,07 59 19.29,-61 02 51.90,1.142,20.03,17.18,14.71,11,0.41,,19.0,,-1.86,0.015,107,-1.97,0.29,0.25,-4.71,1,1,3348.0,162.0,0.337,0.04,0.01406,0.00533,0.2646017699115044,0.033371469090881234
219,220,2-1-1063,07 59 21.09,-60 50 52.74,,19.32,16.33,13.84,19,0.23,,30.2,,-1.5,,71,,0.43,0.49,-4.55,0,1,,,,,,,,0.033371469090881234
220,221,2-1-1237,07 59 26.93,-60 56 00.49,,19.26,16.6,14.42,15,0.29,,9.6,,-1.66,,85,,0.2,0.24,-4.85,0,1,3383.0,157.0,0.357,0.032,0.01613,0.00512,0.2800884955752212,0.033371469090881234
221,222,2-1-1265,07 59 27.46,-60 51 39.10,0.586,20.5,17.57,15.23,7,0.21,,28.1,,-2.0,0.015,126,-2.33,0.21,0.41,-4.86,1,1,3372.0,161.0,0.232,0.038,0.00789,0.00339,0.27522123893805306,0.033371469090881234
222,223,2-1-144,07 58 53.58,-60 54 24.20,1.603,16.76,14.72,12.67,44,0.8,,42.3,,-0.95,0.023,37,-1.37,0.57,0.69,-4.36,1,2,3659.0,157.0,0.657,0.021,0.07709,0.01823,0.4337579617834395,0.033371469090881234
223,224,2-1-1776,07 59 44.71,-60 58 30.30,2.716,17.8,15.58,13.54,26,0.87,<,8.0,,-1.28,0.024,55,-1.31,0.55,0.59,-4.38,1,1,3666.0,157.0,0.527,0.024,0.04582,0.01156,0.43821656050955415,0.033371469090881234
224,225,2-1-1843,07 59 46.58,-60 51 21.30,1.647,18.81,16.24,14.02,15,1.01,,9.9,,-1.52,0.009,72,-1.64,0.38,0.39,-4.56,1,1,3431.0,157.0,0.436,0.028,0.02419,0.00691,0.30168539325842697,0.033371469090881234
225,226,2-1-2066,07 59 56.29,-60 57 27.62,,19.64,16.85,14.65,11,29.4,<,8.0,*,-1.74,,93,,0.08,-0.06,-5.23,0,1,3254.0,158.0,0.24,0.028,0.00721,0.00244,0.22300884955752212,0.033371469090881234
226,227,2-1-2166,07 59 59.62,-60 51 47.50,0.321,20.8,17.77,15.72,5,7.07,,45.5,,-2.07,0.016,137,-2.63,0.11,0.3,-5.16,1,1,3454.0,142.0,,,,,0.3146067415730337,0.033371469090881234
227,228,2-1-2213,08 00 01.44,-60 55 17.70,1.025,19.95,17.1,14.77,7,1.44,<,8.0,,-1.83,0.017,103,-2.0,0.21,0.46,-4.84,1,1,3309.0,158.0,0.328,0.04,0.01284,0.00484,0.24734513274336284,0.033371469090881234
228,229,2-1-228,07 58 55.49,-60 55 59.60,1.051,17.4,15.31,13.26,27,1.52,,26.6,,-1.18,0.025,49,-1.67,0.93,1.03,-4.15,1,1,3728.0,157.0,0.582,0.022,0.06108,0.01456,0.47770700636942676,0.033371469090881234
229,230,2-1-2573,08 00 13.25,-60 55 16.48,,20.05,17.01,14.55,9,4.01,,43.3,,-1.76,,96,,0.15,0.28,-5.01,0,1,3115.0,159.0,0.356,0.04,0.01152,0.00439,0.11,0.033371469090881234
230,231,2-1-2586,08 00 13.07,-60 53 12.90,1.3,16.45,14.53,12.49,33,21.54,,23.1,*,-0.88,0.008,35,-1.43,0.27,0.27,-4.67,1,1,3938.0,122.0,0.61,,0.17444,,0.6251968503937008,0.033371469090881234
231,232,2-1-259,07 58 56.58,-60 52 15.90,0.959,17.51,15.29,13.24,32,0.14,,28.7,,-1.17,0.022,48,-1.7,0.46,0.56,-4.47,1,1,3606.0,157.0,0.441,0.043,0.03018,0.01049,0.4,0.033371469090881234
232,233,2-1-2681,08 00 15.95,-60 53 29.20,1.904,19.59,16.85,14.62,8,0.09,,19.8,,-1.74,0.01,94,-1.69,0.25,0.32,-4.75,1,1,3263.0,158.0,0.398,0.039,0.01681,0.00598,0.2269911504424779,0.033371469090881234
233,234,2-1-2752,08 00 16.98,-60 51 12.45,,19.68,17.06,14.87,6,38.1,<,8.0,*,-1.84,,105,,0.17,-0.16,-4.91,0,1,3472.0,162.0,0.61,0.078,0.0516,0.02626,0.3247191011235955,0.033371469090881234
234,235,2-1-304,07 58 58.18,-60 56 32.90,7.835,16.57,14.9,13.06,37,0.01,<,8.0,,-1.07,0.008,43,-0.74,0.29,0.41,-4.61,1,1,3935.0,157.0,0.596,0.021,0.08037,0.01806,0.6228346456692913,0.033371469090881234
235,236,2-1-4131,08 01 05.46,-60 53 14.35,,21.01,17.93,15.27,5,4.72,,12.7,*,-2.13,,146,,0.61,0.44,-4.41,0,2,,,,,,,,0.033371469090881234
236,237,2-1-4208,08 01 08.39,-60 54 13.20,5.72,18.79,16.3,14.04,21,0.42,<,8.0,,-1.55,0.005,75,-1.12,0.33,0.34,-4.61,1,1,3453.0,157.0,0.455,0.027,0.02689,0.00755,0.3140449438202247,0.033371469090881234
237,238,2-1-4379,08 01 15.19,-60 56 11.10,0.267,18.8,16.27,14.03,17,2.0,,57.9,,-1.53,0.007,73,-2.44,0.35,0.48,-4.59,1,1,3437.0,157.0,0.417,0.026,0.02247,0.00626,0.3050561797752809,0.033371469090881234
238,239,2-1-641,07 59 08.80,-60 57 02.70,6.575,17.3,15.25,13.27,31,0.47,<,8.0,,-1.16,0.013,48,-0.86,0.36,0.46,-4.57,1,1,3769.0,157.0,0.579,0.022,0.06316,0.01484,0.5041958041958042,0.033371469090881234
239,240,2-1-683,07 59 09.59,-60 50 51.50,0.761,17.57,15.36,13.35,30,0.71,,28.1,,-1.19,0.031,50,-1.82,0.52,0.57,-4.41,1,1,3712.0,157.0,0.56,0.022,0.05491,0.01326,0.467515923566879,0.033371469090881234
240,241,2-1-833,07 59 14.87,-60 57 31.43,,17.75,15.54,13.46,24,1.72,<,8.0,*,-1.27,,54,,0.18,0.17,-4.88,0,1,3622.0,157.0,0.562,0.026,0.05027,0.01333,0.4101910828025478,0.033371469090881234
241,242,2-1-912,07 59 17.09,-60 54 12.50,0.481,20.51,17.48,15.01,8,3.86,,44.2,,-1.95,0.032,119,-2.39,0.36,0.31,-4.64,1,1,3315.0,164.0,0.317,0.046,0.01222,0.00522,0.25,0.033371469090881234
242,243,2-1-943,07 59 18.48,-60 55 06.11,,17.98,15.62,13.5,26,21.12,,11.7,*,-1.29,,55,,0.03,0.0,-5.67,0,1,3528.0,157.0,0.574,0.023,0.04745,0.01213,0.3561797752808989,0.033371469090881234
243,244,2-2-1247,07 59 36.56,-60 47 23.31,,18.33,15.97,,15,1.61,,8.0,,-1.43,,65,,0.37,0.39,-4.56,0,1,3692.0,122.0,0.55,,0.03794,,0.4547770700636943,0.033371469090881234
244,245,2-2-1299,07 59 39.16,-60 50 15.39,,20.97,17.94,15.52,5,1.24,<,8.0,,-2.14,,148,,0.21,0.31,-4.87,0,1,3583.0,158.0,,,,,0.38707865168539324,0.033371469090881234
245,246,2-2-1311,07 59 39.14,-60 45 37.30,0.367,18.66,16.08,13.83,9,7.24,,44.1,,-1.45,0.024,67,-2.26,0.43,0.45,-4.51,1,1,3344.0,157.0,0.505,0.028,0.02902,0.00832,0.2628318584070796,0.033371469090881234
246,247,2-2-1402,07 59 42.35,-60 50 27.86,,16.17,14.6,12.89,41,1.61,<,8.0,*,-0.94,,37,,0.27,0.33,-4.67,0,1,4229.0,122.0,0.66,,0.11892,,0.8716981132075472,0.033371469090881234
247,248,2-2-169,07 58 56.42,-60 47 22.80,0.452,17.11,15.2,13.13,18,3.1,,55.3,,-1.16,0.024,48,-2.02,0.53,0.56,-4.38,1,1,3807.0,157.0,0.585,0.022,0.06717,0.01582,0.5307692307692308,0.033371469090881234
248,249,2-2-19,07 58 50.90,-60 48 36.04,,20.15,17.29,,7,1.19,,21.3,,-1.9,,112,,0.36,0.25,-4.61,0,1,,,,,,,,0.033371469090881234
249,250,2-2-1907,08 00 02.42,-60 48 44.73,,19.35,16.69,14.51,10,2.2,,21.0,,-1.69,,88,,0.29,0.37,-4.68,0,1,3403.0,159.0,0.409,0.034,0.02089,0.00675,0.2889380530973451,0.033371469090881234
250,251,2-2-2153,08 00 11.63,-60 48 32.40,6.784,17.0,15.05,13.08,20,1.94,<,8.0,*,-1.08,0.015,44,-0.81,0.37,0.48,-4.55,1,1,3830.0,157.0,0.59,0.021,0.07048,0.01628,0.5468531468531468,0.033371469090881234
251,252,2-2-2387,08 00 18.18,-60 48 17.20,2.247,18.37,15.98,13.88,11,0.09,,9.6,,-1.43,0.009,65,-1.46,0.48,0.5,-4.45,1,1,3532.0,157.0,0.468,0.025,0.03096,0.00819,0.35842696629213483,0.033371469090881234
252,253,2-2-3180,08 00 42.27,-60 46 50.69,,18.66,16.27,14.2,15,13.37,<,8.0,*,-1.54,,74,,-0.02,0.02,,0,1,3507.0,157.0,0.416,0.028,0.02426,0.00683,0.34438202247191013,0.033371469090881234
253,254,2-2-3311,08 00 47.43,-60 46 21.43,,20.51,17.6,15.12,9,0.93,,55.4,,-2.02,,128,,0.16,0.48,-4.96,0,1,3312.0,162.0,0.294,0.048,0.01074,0.00482,0.24867256637168142,0.033371469090881234
254,255,2-2-3336,08 00 48.53,-60 48 12.13,,21.26,18.17,15.42,6,1.93,,13.8,,-2.22,,162,,0.21,0.31,-4.88,0,1,3449.0,161.0,,,,,0.31179775280898875,0.033371469090881234
255,256,2-2-3494,08 00 52.80,-60 49 09.26,,15.64,14.27,12.45,57,7.38,<,8.0,*,-0.8,,31,,0.05,0.11,-5.38,0,1,3991.0,157.0,0.636,0.021,0.10019,0.02198,0.6669291338582677,0.033371469090881234
256,257,2-2-3759,08 01 03.29,-60 48 15.96,,20.3,17.29,14.75,12,2.3,,40.4,,-1.88,,110,,0.4,0.4,-4.58,0,1,,,,,,,,0.033371469090881234
257,258,2-2-3845,08 01 04.95,-60 41 55.99,,19.48,16.92,14.64,10,2.6,<,8.0,*,-1.79,,99,,0.03,-0.01,-5.61,0,1,3416.0,158.0,0.495,0.042,0.03031,0.01054,0.29469026548672567,0.033371469090881234
258,259,2-2-3933,08 01 07.66,-60 43 35.20,8.677,17.95,15.78,13.62,27,70.99,<,8.0,*,-1.36,0.016,60,-0.84,0.69,0.4,-4.28,1,1,3834.0,122.0,0.59,,0.13979,,0.5496503496503496,0.033371469090881234
259,260,2-2-4051,08 01 12.71,-60 48 25.30,10.033,18.08,15.79,13.64,27,1.09,<,8.0,,-1.36,0.018,60,-0.78,0.56,0.59,-4.38,1,1,3555.0,157.0,0.523,0.024,0.03987,0.01027,0.37134831460674156,0.033371469090881234
260,261,2-2-464,07 59 06.93,-60 46 50.78,,16.29,14.8,13.19,32,33.03,<,8.0,*,-1.02,,41,,0.14,0.16,-4.94,0,1,4531.0,122.0,0.71,,0.34337,,1.2,0.033371469090881234
261,262,2-2-511,07 59 09.08,-60 47 57.00,0.392,19.56,16.64,14.3,10,1.15,,40.3,,-1.63,0.041,83,-2.32,0.42,0.16,-4.55,1,1,3317.0,159.0,0.44,0.036,0.02152,0.00719,0.25088495575221237,0.033371469090881234
262,263,2-2-745,07 59 17.98,-60 45 18.82,,17.62,15.3,13.09,21,0.12,,14.8,,-1.16,,48,,0.46,0.52,-4.47,0,1,3549.0,157.0,0.593,0.024,0.05242,0.01361,0.36797752808988765,0.033371469090881234
263,264,2-2-90,07 58 54.31,-60 50 05.75,,19.05,16.44,14.22,14,53.42,<,8.0,*,-1.6,,79,,0.06,-0.02,-5.37,0,1,3552.0,159.0,0.304,0.025,0.01505,0.00423,0.36966292134831463,0.033371469090881234
264,265,2-3-1157,07 59 36.36,-60 33 04.90,3.402,17.79,15.5,13.36,33,1.0,,12.0,,-1.24,0.02,53,-1.19,0.53,0.54,-4.41,1,2,3606.0,157.0,0.554,0.042,0.04779,0.01612,0.4,0.033371469090881234
265,266,2-3-1199,07 59 37.51,-60 32 45.57,,18.61,16.14,,19,0.53,,34.8,,-1.48,,70,,0.51,0.49,-4.42,0,1,3721.0,123.0,0.56,,0.02978,,0.4732484076433121,0.033371469090881234
266,267,2-3-1361,07 59 44.31,-60 32 19.72,,18.13,15.65,13.41,28,2.26,,41.1,,-1.29,,56,,0.63,0.65,-4.34,0,2,3490.0,158.0,0.525,0.024,0.0373,0.00975,0.3348314606741573,0.033371469090881234
267,268,2-3-1480,07 59 48.60,-60 33 33.71,,18.27,16.02,13.8,22,8.33,<,8.0,*,-1.45,,67,,0.1,0.08,-5.15,0,1,3673.0,158.0,0.604,0.026,0.0629,0.01662,0.4426751592356688,0.033371469090881234
268,269,2-3-1757,07 59 55.85,-60 37 45.71,,19.7,16.72,14.12,10,0.15,,43.3,,-1.66,,85,,0.26,0.28,-4.76,0,1,,,,,,,,0.033371469090881234
269,270,2-3-1984,07 59 55.72,-60 33 47.15,,20.22,17.19,14.64,10,1.26,,24.5,,-1.84,,104,,0.23,0.16,-4.83,0,1,,,,,,,,0.033371469090881234
270,271,2-3-2156,08 00 06.39,-60 38 21.46,,19.24,16.64,14.37,9,33.29,,21.6,*,-1.68,,87,,0.04,0.05,-5.52,0,1,3486.0,159.0,0.444,0.032,0.02663,0.00805,0.3325842696629213,0.033371469090881234
271,272,2-3-2191,08 00 07.19,-60 33 38.48,,19.78,17.03,14.49,14,17.87,,9.3,*,-1.81,,102,,0.02,-0.07,-5.85,0,1,3560.0,166.0,0.31,0.031,0.01568,0.00509,0.3741573033707865,0.033371469090881234
272,273,2-3-2256,08 00 09.22,-60 39 30.45,,17.6,15.03,12.84,17,9.51,<,8.0,*,-1.03,,41,,0.1,-0.01,-5.12,0,1,3385.0,157.0,0.507,0.021,0.0307,0.00771,0.2809734513274336,0.033371469090881234
273,274,2-3-2921,08 00 37.60,-60 36 22.76,,15.49,14.07,12.59,30,0.71,<,8.0,,-0.72,,29,,0.32,0.38,-4.6,0,1,,,,,,,,0.033371469090881234
274,275,2-3-2979,08 00 40.83,-60 39 47.18,,18.24,15.5,13.25,7,16.75,,20.8,*,-1.2,,50,,0.19,-0.02,-4.88,0,1,3310.0,157.0,0.235,0.02,0.00746,0.00191,0.24778761061946902,0.033371469090881234
275,276,2-3-3015,08 00 42.32,-60 36 56.30,1.392,20.31,17.38,15.06,6,0.85,,18.8,,-1.93,0.023,116,-1.92,0.34,0.34,-4.64,1,1,3237.0,158.0,0.257,0.036,0.0079,0.00315,0.21548672566371682,0.033371469090881234
276,277,2-3-3402,08 00 57.82,-60 33 33.00,3.168,17.3,15.09,12.91,30,0.33,,9.4,,-1.08,0.013,44,-1.14,0.41,0.46,-4.51,1,1,3598.0,157.0,0.41,0.039,0.02622,0.0087,0.3955056179775281,0.033371469090881234
277,278,2-3-3475,08 01 00.97,-60 34 20.60,0.713,20.12,17.06,14.64,8,0.07,,27.9,,-1.78,0.015,98,-2.14,0.24,0.33,-4.82,1,1,3123.0,162.0,0.289,0.04,0.0083,0.00344,0.11,0.033371469090881234
278,279,2-3-3537,08 01 04.02,-60 35 22.40,6.364,17.77,15.58,13.54,14,0.86,<,8.0,,-1.28,0.015,55,-0.94,0.44,0.57,-4.48,1,1,3625.0,157.0,0.531,0.023,0.04442,0.01103,0.4121019108280255,0.033371469090881234
279,280,2-3-3611,08 01 07.20,-60 35 46.63,,18.66,16.15,14.08,10,1.54,,30.0,,-1.49,,70,,0.51,0.5,-4.43,0,1,3438.0,157.0,0.44,0.026,0.02482,0.00684,0.3056179775280899,0.033371469090881234
280,281,2-3-415,07 59 08.61,-60 32 59.74,,18.0,15.7,13.72,12,1.34,<,8.0,,-1.32,,58,,0.51,0.53,-4.42,0,1,3635.0,157.0,0.489,0.023,0.03795,0.00943,0.41847133757961785,0.033371469090881234
281,282,2-3-851,07 59 25.70,-60 35 00.08,,19.73,17.05,14.77,8,0.03,,18.8,,-1.83,,104,,0.2,0.27,-4.84,0,1,,,,,,,,0.033371469090881234
282,283,2-3-933,07 59 29.02,-60 39 41.70,0.332,17.47,15.35,13.33,9,1.63,,67.5,,-1.2,0.017,50,-2.18,0.15,0.69,-4.96,1,1,3707.0,157.0,0.557,0.022,0.05403,0.01306,0.4643312101910828,0.033371469090881234
283,284,2-4-1242,07 59 34.86,-60 30 09.00,3.345,19.09,16.4,14.1,15,20.47,,9.8,*,-1.57,0.017,77,-1.36,0.23,0.23,-4.79,1,1,3392.0,157.0,0.346,0.026,0.01544,0.00438,0.28407079646017697,0.033371469090881234
284,285,2-4-1691,07 59 48.19,-60 30 03.49,,18.74,16.31,14.08,19,25.47,<,8.0,*,-1.56,,75,,-0.01,-0.03,,0,1,,,,,,,,0.033371469090881234
285,286,2-4-1867,07 59 52.01,-60 29 13.44,,17.75,15.38,13.11,35,0.54,,55.8,,-1.19,,50,,0.48,0.65,-4.45,0,2,3489.0,157.0,0.611,0.022,0.05272,0.01333,0.3342696629213483,0.033371469090881234
286,287,2-4-1870,07 59 53.99,-60 29 16.88,,19.15,16.54,14.38,13,1.98,,17.4,,-1.64,,83,,0.39,0.36,-4.55,0,1,3437.0,157.0,0.399,0.031,0.02078,0.00636,0.3050561797752809,0.033371469090881234
287,288,2-4-1973,07 59 58.37,-60 24 17.18,,15.88,14.52,12.47,22,0.42,,63.8,,-0.89,,35,,0.51,0.73,-4.41,0,1,4066.0,122.0,0.64,,0.1463,,0.7275,0.033371469090881234
288,289,2-4-2028,07 59 50.36,-60 31 47.51,,16.45,14.29,12.61,71,61.66,,20.5,*,-0.77,,31,,0.02,-0.01,-5.87,0,1,5909.0,122.0,1.07,,5.33196,,1.2,0.033371469090881234
289,290,2-4-2110,08 00 02.13,-60 30 30.90,1.159,18.64,16.31,14.13,22,0.65,,20.8,,-1.56,0.012,76,-1.82,0.51,0.6,-4.42,1,1,3501.0,157.0,0.436,0.026,0.02624,0.00715,0.34101123595505617,0.033371469090881234
290,291,2-4-2259,08 00 07.40,-60 31 17.29,,20.99,17.92,15.53,7,13.78,<,8.0,*,-2.12,,145,,0.21,0.13,-4.87,0,1,,,,,,,,0.033371469090881234
291,292,2-4-2314,08 00 09.16,-60 28 16.10,4.292,19.99,17.2,14.95,10,0.29,,8.1,,-1.88,0.01,109,-1.4,0.05,0.17,-5.47,1,1,3333.0,160.0,0.312,0.037,0.01216,0.00448,0.2579646017699115,0.033371469090881234
292,293,2-4-2408,08 00 11.82,-60 25 05.40,5.656,18.55,16.07,13.88,11,1.69,,8.6,,-1.46,0.014,67,-1.08,0.56,0.6,-4.39,1,1,3505.0,157.0,0.483,0.025,0.03204,0.00843,0.34325842696629216,0.033371469090881234
293,294,2-4-2573,08 00 17.40,-60 31 32.29,,20.84,17.8,15.23,8,0.32,,21.7,,-2.08,,138,,0.29,0.14,-4.72,0,1,,,,,,,,0.033371469090881234
294,295,2-4-2908,08 00 27.65,-60 24 49.62,,19.72,16.79,14.23,7,0.29,,17.6,,-1.69,,88,,0.29,0.26,-4.71,0,1,3228.0,158.0,0.414,0.03,0.01723,0.00535,0.21150442477876108,0.033371469090881234
295,296,2-4-3227,08 00 38.32,-60 30 47.45,,20.41,17.62,15.46,7,0.34,<,8.0,,-2.04,,132,,0.09,-0.15,-5.23,0,1,3406.0,132.0,,,,,0.2902654867256637,0.033371469090881234
296,297,2-4-3516,08 00 34.92,-60 31 27.38,,16.77,14.86,13.12,45,219.34,<,8.0,*,-1.02,,41,,0.15,0.0,-4.94,0,1,4638.0,122.0,,,,,1.2,0.033371469090881234
297,298,2-4-3615,08 00 51.72,-60 31 44.05,,19.9,17.24,14.82,9,38.81,<,8.0,*,-1.91,,113,,-0.02,-0.09,,0,1,3360.0,160.0,0.324,0.037,0.01339,0.00487,0.26991150442477874,0.033371469090881234
298,299,2-4-4035,08 01 04.82,-60 29 18.11,,19.33,16.62,14.45,9,1.45,,8.9,,-1.66,,85,,0.35,0.29,-4.61,0,1,3395.0,159.0,0.371,0.032,0.01745,0.00553,0.2853982300884956,0.033371469090881234
299,300,2-4-818,07 59 21.50,-60 27 52.97,,18.06,15.74,13.6,12,38.63,<,8.0,*,-1.34,,59,,0.03,0.02,-5.61,0,1,3537.0,157.0,0.631,0.025,0.06063,0.01609,0.3612359550561798,0.033371469090881234
300,301,2-5-107,08 01 22.88,-60 53 05.67,,16.64,14.8,12.97,45,0.51,<,8.0,,-1.01,,40,,0.31,0.39,-4.6,0,1,4132.0,122.0,0.65,,0.10422,,0.7825,0.033371469090881234
301,302,2-5-1074,08 01 47.18,-60 57 54.50,0.864,19.17,16.55,14.28,15,0.41,,23.3,,-1.64,0.008,83,-1.98,0.28,0.42,-4.69,1,1,3404.0,159.0,0.448,0.035,0.02463,0.00794,0.2893805309734513,0.033371469090881234
302,303,2-5-1173,08 01 58.69,-60 50 49.05,,16.49,14.78,13.99,45,19.73,<,8.0,*,-1.02,,41,,-0.02,-0.01,,0,1,6047.0,122.0,1.12,,1.77029,,,0.033371469090881234
303,304,2-5-1251,08 01 55.47,-60 52 13.20,,21.17,17.85,14.11,8,2.12,,25.9,,-2.06,,135,,0.34,0.22,-4.69,0,1,,,,,,,,0.033371469090881234
304,305,2-5-1285,08 02 01.24,-60 55 11.98,,21.01,17.98,15.62,5,3.23,,26.0,,-2.15,,150,,0.19,0.18,-4.9,0,1,,,,,,,,0.033371469090881234
305,306,2-5-1321,08 02 01.92,-60 58 50.27,,15.59,14.1,12.01,50,14.46,<,8.0,*,-0.74,,29,,0.5,0.55,-4.4,0,1,3659.0,157.0,0.622,0.021,0.06668,0.01562,0.4337579617834395,0.033371469090881234
306,307,2-5-1498,08 02 07.82,-60 59 19.81,,20.29,17.55,15.24,6,13.32,<,8.0,*,-2.02,,129,,0.04,0.07,-5.54,0,1,,,,,,,,0.033371469090881234
307,308,2-5-1527,08 02 08.72,-60 55 45.35,,18.22,15.76,13.59,24,12.05,,8.6,*,-1.33,,59,,0.05,0.03,-5.46,0,1,3499.0,157.0,0.489,0.024,0.03248,0.0085,0.3398876404494382,0.033371469090881234
308,309,2-5-162,08 01 24.78,-60 53 13.67,,17.61,15.12,12.28,39,6.04,<,8.0,*,-1.08,,44,,0.03,-0.02,-5.64,0,2,,,,,,,,0.033371469090881234
309,310,2-5-1637,08 02 12.20,-60 55 26.14,,16.45,14.7,12.8,41,0.91,<,8.0,,-0.99,,40,,0.28,0.27,-4.63,0,1,3956.0,157.0,0.641,0.024,0.09854,0.02377,0.6393700787401575,0.033371469090881234
310,311,2-5-1670,08 02 13.46,-60 54 40.18,,19.22,16.6,14.41,17,17.97,<,8.0,*,-1.66,,85,,-0.01,-0.02,,0,1,3386.0,157.0,0.413,0.033,0.02085,0.00654,0.2814159292035398,0.033371469090881234
311,312,2-5-1750,08 02 15.48,-60 51 21.81,,16.67,14.91,13.1,42,7.98,<,8.0,*,-1.08,,43,,0.02,0.04,-5.87,0,1,3898.0,157.0,0.613,0.021,0.08281,0.01887,0.5944055944055944,0.033371469090881234
312,313,2-5-2067,08 02 25.76,-60 54 45.20,0.488,19.73,16.51,13.8,20,17.68,,35.4,*,-1.54,0.043,74,-2.18,0.55,0.54,-4.46,1,1,3044.0,158.0,0.27,0.023,0.00668,0.00199,0.11,0.033371469090881234
313,314,2-5-2268,08 02 32.23,-60 57 52.80,1.143,19.69,16.92,14.59,9,1.56,,21.5,,-1.77,0.019,96,-1.93,0.43,0.34,-4.52,1,1,3289.0,160.0,0.375,0.039,0.01566,0.00567,0.23849557522123893,0.033371469090881234
314,315,2-5-2422,08 02 37.27,-60 51 14.81,,18.04,15.9,14.81,24,7.11,<,8.0,*,-1.41,,64,,-0.06,-0.04,,0,1,5740.0,125.0,1.03,,1.10693,,1.1,0.033371469090881234
315,316,2-5-2476,08 02 38.97,-60 57 23.00,1.262,18.88,16.19,13.9,16,0.08,,19.5,,-1.48,0.008,70,-1.74,0.3,0.42,-4.67,1,1,3316.0,157.0,0.389,0.056,0.01721,0.00753,0.2504424778761062,0.033371469090881234
316,317,2-5-2556,08 02 42.28,-60 54 14.91,,19.65,17.04,15.04,12,46.7,<,8.0,*,-1.84,,104,,-0.03,-0.08,,0,1,3385.0,158.0,0.485,0.055,0.0281,0.01142,0.2809734513274336,0.033371469090881234
317,318,2-5-2581,08 02 43.17,-60 53 05.10,0.359,18.85,16.08,13.79,20,0.32,,23.5,,-1.43,0.006,65,-2.26,0.27,0.26,-4.73,1,1,,,,,,,,0.033371469090881234
318,319,2-5-2742,08 02 48.75,-60 52 00.90,,18.17,15.86,13.8,23,0.0,<,8.0,,-1.39,,62,,0.44,0.47,-4.48,0,1,3539.0,157.0,0.505,0.024,0.0364,0.00943,0.36235955056179775,0.033371469090881234
319,320,2-5-2906,08 02 56.33,-60 50 50.93,,19.49,16.94,14.81,11,14.75,<,8.0,*,-1.8,,100,,0.03,0.07,-5.65,0,1,3363.0,159.0,0.487,0.046,0.02753,0.01016,0.27123893805309734,0.033371469090881234
320,321,2-5-2945,08 02 56.42,-60 58 44.80,1.011,20.01,17.14,15.13,7,4.37,,10.5,*,-1.84,0.025,105,-2.01,0.33,0.28,-4.64,1,1,3335.0,159.0,0.267,0.035,0.00946,0.00355,0.2588495575221239,0.033371469090881234
321,322,2-5-358,08 01 30.70,-60 51 00.90,1.675,18.86,16.35,14.3,20,0.35,,14.5,,-1.56,0.007,76,-1.66,0.47,0.57,-4.47,1,1,3401.0,158.0,0.406,0.029,0.02055,0.00604,0.28805309734513274,0.033371469090881234
322,323,2-5-4520,08 03 47.57,-60 51 50.20,0.528,20.6,17.59,15.32,6,0.17,,32.9,,-2.0,0.013,125,-2.38,0.46,0.54,-4.53,1,1,3236.0,165.0,0.235,0.043,0.00683,0.00329,0.21504424778761064,0.033371469090881234
323,324,2-5-494,08 01 35.30,-60 53 42.20,,19.24,16.67,14.37,16,0.77,<,8.0,,-1.69,,88,,0.24,0.19,-4.76,0,1,3375.0,157.0,0.429,0.039,0.02203,0.00754,0.27654867256637167,0.033371469090881234
324,325,2-5-949,08 01 51.78,-60 56 30.55,,18.58,16.17,14.03,20,16.76,<,8.0,*,-1.5,,71,,0.07,-0.03,-5.29,0,1,3494.0,157.0,0.512,0.028,0.03545,0.00999,0.33707865168539325,0.033371469090881234
325,326,2-6-1094,08 01 55.82,-60 42 55.80,2.355,17.26,15.22,13.19,41,0.06,<,8.0,,-1.15,0.021,47,-1.3,0.58,0.62,-4.36,1,2,3750.0,157.0,0.579,0.022,0.06174,0.01452,0.5,0.033371469090881234
326,327,2-6-117,08 01 22.49,-60 42 47.63,,16.15,14.17,13.06,66,36.14,<,8.0,*,-0.73,,29,,-0.02,-0.02,,0,1,6150.0,122.0,1.17,,1.89975,,,0.033371469090881234
327,328,2-6-1200,08 01 58.39,-60 42 50.80,4.717,16.66,14.79,12.92,49,1.09,<,8.0,,-1.0,0.01,40,-0.93,0.25,0.32,-4.7,1,1,3891.0,157.0,0.6,0.021,0.0781,0.01783,0.5895104895104895,0.033371469090881234
