,recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,Mass,I07,single,PSS,Mass_calc,Mass_e
120,121,1-5-230,07 58 56.29,-61 31 12.50,0.375,9.699990748440745,15.5,13.4,19,2.69,,53.0,,-1.25,0.025,53,-2.15,0.55,0.66,-4.38,0.56,1,1,0.997667,0.4926390454539827,0.054546516370542725
121,122,1-5-2323,08 00 14.23,-61 27 10.50,5.716,9.259990748440748,15.1,13.23,39,1.32,<,8.0,,-1.1,0.024,45,-0.89,0.45,0.53,-4.47,0.62,1,1,0.99885,0.5350843416772331,0.054546516370542725
122,123,1-5-2593,08 00 24.53,-61 25 53.96,,12.799990748440747,17.57,14.81,8,9.2,,11.0,*,-1.97,,121,,0.2,0.36,-4.9,0.26,0,1,0.999972,0.1794698696685195,0.054546516370542725
123,124,1-5-2756,08 00 31.01,-61 25 57.11,,12.979990748440747,17.91,15.27,7,0.99,,21.0,,-2.13,,146,,0.26,0.47,-4.77,0.22,0,1,0.999964,0.16791463337828727,0.054546516370542725
124,125,1-5-283,07 58 57.97,-61 32 39.40,0.698,9.799990748440747,15.5,13.25,19,3.16,,24.9,*,-1.25,0.007,53,-1.88,0.67,0.8,-4.3,0.56,1,1,0.992964,0.4825533133543008,0.054546516370542725
125,126,1-5-2858,08 00 33.84,-61 25 58.40,,9.429990748440746,15.21,13.28,36,11.17,<,8.0,*,-1.14,,47,,0.02,0.0,-5.74,0.6,0,1,0.999619,0.5187410278227673,0.054546516370542725
126,127,1-5-925,07 59 19.07,-61 27 59.70,1.314,11.259990748440748,16.58,14.49,7,1.98,,35.0,,-1.65,0.008,85,-1.81,0.22,0.41,-4.8,0.41,1,1,0.99885,0.3217825922204149,0.054546516370542725
127,128,1-6-1056,07 59 25.20,-61 23 10.37,,12.579990748440748,17.63,14.96,8,1.77,,24.6,,-2.03,,131,,0.3,0.1,-4.69,0.25,0,1,0.999937,0.19393548774001276,0.054546516370542725
128,129,1-6-1146,07 59 27.62,-61 17 42.93,,11.079990748440748,16.48,14.25,17,8.21,<,8.0,*,-1.62,,81,,0.03,0.0,-5.69,0.42,0,1,0.997667,0.34374824811427446,0.054546516370542725
129,130,1-6-1165,07 59 29.02,-61 22 14.85,,12.149990748440745,17.13,14.68,8,0.66,,35.7,,-1.82,,103,,0.25,0.18,-4.79,0.32,0,1,0.999926,0.2325710399567782,0.054546516370542725
130,131,1-6-1250,07 59 32.09,-61 19 10.20,,12.559990748440745,17.64,15.05,7,50.14,,47.9,*,-2.04,,132,,0.28,0.37,-4.71,0.25,0,1,0.999949,0.19535428019799728,0.054546516370542725
131,132,1-6-1371,07 59 36.07,-61 21 06.80,0.941,12.209990748440747,17.28,14.59,11,1.82,,25.8,,-1.9,0.026,112,-2.07,0.13,0.16,-5.04,0.3,1,1,0.999915,0.22674848144363113,0.054546516370542725
132,133,1-6-1450,07 59 38.51,-61 16 44.25,,12.559990748440745,17.34,14.95,10,0.82,,20.9,,-1.88,,109,,0.16,0.11,-4.99,0.29,0,1,0.999219,0.19535428019799728,0.054546516370542725
133,134,1-6-1655,07 59 44.93,-61 19 03.83,,11.489990748440748,16.57,14.15,18,14.41,<,8.0,*,-1.62,,81,,0.06,0.03,-5.37,0.41,0,1,0.999527,0.29545259031158916,0.054546516370542725
134,135,1-6-1682,07 59 45.85,-61 17 55.63,,9.729990748440747,15.43,13.31,34,0.7,<,8.0,,-1.22,,51,,0.04,0.08,-5.54,0.57,0,1,0.992964,0.48920085196654267,0.054546516370542725
135,136,1-6-189,07 58 55.13,-61 18 34.40,12.232,9.969990748440745,15.77,13.65,20,0.63,<,8.0,,-1.36,0.014,60,-0.69,0.26,0.26,-4.71,0.52,1,1,0.992964,0.46534930422140686,0.054546516370542725
136,137,1-6-215,07 58 56.18,-61 23 16.22,,10.239990748440748,15.8,13.64,20,1.53,<,8.0,,-1.36,,60,,0.04,0.01,-5.5,0.52,0,1,0.810485,0.43774266276437335,0.054546516370542725
137,138,1-6-2353,08 00 09.53,-61 22 32.62,,12.989990748440748,17.94,15.32,6,3.81,,25.7,,-2.15,,149,,-0.04,0.22,,0.22,0,1,0.999966,0.16744322841865744,0.054546516370542725
138,139,1-6-2526,08 00 15.08,-61 23 37.80,2.315,8.369990748440747,14.46,12.42,58,8.86,,36.4,*,-0.88,0.024,35,-1.17,0.51,0.61,-4.39,0.7,1,1,0.992964,0.6213070247968981,0.054546516370542725
139,140,1-6-2689,08 00 20.46,-61 18 53.32,,11.349990748440748,16.63,14.26,16,39.77,<,8.0,*,-1.67,,86,,-0.01,-0.07,,0.4,0,1,0.999389,0.31105138933789417,0.054546516370542725
140,141,1-6-2837,08 00 24.76,-61 18 05.70,8.698,9.459990748440747,15.3,13.32,32,1.11,<,8.0,,-1.18,0.012,49,-0.75,0.36,0.46,-4.56,0.59,1,1,0.997667,0.515996269596533,0.054546516370542725
141,142,1-6-2926,08 00 27.50,-61 18 13.06,,12.329990748440748,17.3,14.7,10,2.66,,26.9,,-1.89,,111,,0.06,0.14,-5.38,0.3,0,1,0.99994,0.21535589902248847,0.054546516370542725
142,143,1-6-3083,08 00 32.04,-61 16 34.00,0.488,12.889990748440747,17.82,14.96,7,2.0,,46.5,,-2.1,0.03,141,-2.46,0.73,0.59,-4.32,0.23,1,1,0.999973,0.17354688105599078,0.054546516370542725
143,144,1-6-3124,08 00 33.56,-61 17 27.57,,9.829990748440748,15.4,13.23,27,24.47,,41.3,*,-1.2,,50,,0.08,0.05,-5.25,0.58,0,1,0.998613,0.47909120046155407,0.054546516370542725
144,145,1-6-3322,08 00 40.87,-61 17 48.34,,8.399990748440745,14.54,12.56,52,41.68,<,8.0,*,-0.92,,36,,0.04,0.03,-5.48,0.69,0,1,0.998258,0.619008582853781,0.054546516370542725
145,146,1-6-3339,08 00 42.16,-61 25 03.80,0.499,12.599990748440748,17.57,14.99,9,0.39,,31.9,,-2.0,0.046,126,-2.4,0.23,0.18,-4.82,0.26,1,1,0.999982,0.1927985717289121,0.054546516370542725
146,147,1-6-34,07 58 49.60,-61 25 10.56,,8.499990748440746,14.84,13.86,32,2.71,<,8.0,*,-1.04,,42,,-0.03,-0.01,,0.65,0,1,0.99999,0.6085351517516465,0.054546516370542725
147,148,1-6-3404,08 00 44.81,-61 25 08.60,1.467,10.359990748440746,15.92,13.67,23,0.63,,16.8,,-1.41,0.019,63,-1.64,0.57,0.59,-4.37,0.5,1,1,0.998613,0.4255455573352563,0.054546516370542725
148,149,1-6-3423,08 00 45.00,-61 18 58.59,,12.999990748440746,17.86,15.11,6,5.8,,14.6,*,-2.1,,141,,0.12,0.03,-5.1,0.22,0,1,0.999989,0.1669802450613259,0.054546516370542725
149,150,1-6-3435,08 00 45.65,-61 23 51.90,1.415,10.849990748440748,16.28,14.02,20,0.23,,20.8,,-1.54,0.007,74,-1.72,0.69,0.66,-4.3,0.45,1,1,0.996487,0.37135408368068606,0.054546516370542725
150,151,1-6-3564,08 00 49.54,-61 21 43.60,0.635,12.579990748440748,17.57,15.02,7,0.54,,32.6,,-2.0,0.011,126,-2.3,0.23,0.37,-4.81,0.26,1,1,0.999932,0.19393548774001276,0.054546516370542725
151,152,1-6-3599,08 00 50.46,-61 20 53.83,,8.709990748440747,14.84,12.9,45,95.35,<,8.0,*,-1.04,,42,,0.05,0.03,-5.36,0.65,0,1,0.999442,0.5882762748956936,0.054546516370542725
152,153,1-6-3648,08 00 52.40,-61 17 51.64,,12.029990748440747,16.98,14.37,11,13.24,<,8.0,*,-1.76,,96,,0.04,-0.03,-5.6,0.35,0,1,0.999781,0.24378662821462013,0.054546516370542725
153,154,1-6-4071,08 01 07.05,-61 25 04.30,0.793,11.889990748440747,17.0,14.46,11,0.3,,25.5,,-1.79,0.025,99,-2.1,0.14,0.34,-5.03,0.35,1,1,0.999904,0.25720026480476915,0.054546516370542725
154,155,1-6-41,07 58 49.08,-61 18 12.50,,8.359990748440746,14.48,13.38,41,48.14,<,8.0,*,-0.89,,35,,-0.01,-0.01,,0.7,0,1,0.999972,0.6224860464161707,0.054546516370542725
155,156,1-6-4112,08 01 08.19,-61 23 29.50,2.391,10.829990748440748,16.27,13.94,17,1.02,<,8.0,,-1.53,0.007,74,-1.49,0.49,0.53,-4.44,0.45,1,1,0.998258,0.3734856220551624,0.054546516370542725
156,157,1-6-4160,08 01 09.85,-61 23 51.70,1.225,10.879990748440745,16.17,13.78,18,0.59,,12.6,,-1.48,0.012,69,-1.75,0.32,0.36,-4.64,0.47,1,1,0.992964,0.3675882187657751,0.054546516370542725
157,158,1-6-59,07 58 50.93,-61 24 48.82,,12.589990748440746,17.68,15.19,5,13.91,<,8.0,*,-2.06,,135,,0.07,-0.06,-5.34,0.25,0,1,0.999986,0.19335734618585815,0.054546516370542725
158,159,1-6-610,07 59 09.96,-61 22 42.33,,12.699990748440745,17.65,15.33,7,0.08,,37.4,,-2.03,,130,,0.55,0.22,-4.44,0.25,0,1,0.999983,0.18604968283686804,0.054546516370542725
159,160,1-6-612,07 59 09.80,-61 18 45.92,,12.929990748440746,17.97,14.83,5,16.88,,26.6,*,-2.17,,153,,0.25,0.07,-4.78,0.21,0,1,0.999997,0.17089295634931828,0.054546516370542725
160,161,1-6-697,07 59 12.88,-61 19 10.00,2.223,10.339990748440746,15.92,13.53,16,0.03,,13.6,,-1.41,0.011,64,-1.46,0.56,0.61,-4.38,0.5,1,1,0.992964,0.42768520705433116,0.054546516370542725
161,162,1-6-88,07 58 51.35,-61 19 45.99,,8.209990748440747,14.11,13.04,63,34.9,<,8.0,*,-0.7,,28,,-0.04,-0.02,,0.75,0,1,0.999981,0.6371389490727012,0.054546516370542725
162,163,1-6-91,07 58 52.18,-61 23 59.20,2.237,10.959990748440747,16.36,14.05,17,0.63,,11.4,,-1.57,0.018,77,-1.53,0.56,0.66,-4.39,0.44,1,1,0.998258,0.35818356278026964,0.054546516370542725
163,164,1-7-105,07 58 50.90,-61 11 44.30,0.762,10.289990748440745,15.78,13.45,26,0.02,,16.6,,-1.34,0.005,59,-1.89,0.5,0.58,-4.43,0.52,1,1,0.996487,0.43238571813896387,0.054546516370542725
164,165,1-7-1184,07 59 24.05,-61 11 28.00,0.581,12.579990748440748,17.49,14.6,9,0.68,,28.7,,-1.96,0.045,120,-2.31,0.1,0.32,-5.18,0.27,1,1,0.999978,0.19393548774001276,0.054546516370542725
165,166,1-7-1246,07 59 26.54,-61 15 30.51,,12.309990748440745,17.38,14.86,10,0.93,,30.4,,-1.94,,117,,0.33,0.38,-4.65,0.29,0,1,0.999901,0.21709897444925497,0.054546516370542725
166,167,1-7-1315,07 59 27.53,-61 09 02.21,,11.949990748440745,17.07,14.69,10,0.85,,24.4,,-1.82,,102,,0.24,0.4,-4.79,0.33,0,1,0.999712,0.25141998459670944,0.054546516370542725
167,168,1-7-1678,07 59 40.72,-61 15 54.03,,12.229990748440747,17.1,14.45,13,0.93,,37.0,,-1.8,,100,,0.25,0.28,-4.8,0.33,0,1,0.99998,0.2249302679498716,0.054546516370542725
168,169,1-7-1773,07 59 41.78,-61 11 18.09,,8.249990748440746,14.49,12.56,53,8.96,<,8.0,*,-0.91,,36,,0.12,0.13,-5.01,0.7,0,1,0.996487,0.6336704017473411,0.054546516370542725
169,170,1-7-1862,07 59 45.39,-61 11 06.40,1.415,10.859990748440746,16.27,13.88,13,0.93,,10.2,,-1.53,0.01,73,-1.72,0.56,0.64,-4.39,0.45,1,1,0.998613,0.37026286089658683,0.054546516370542725
170,171,1-7-1959,07 59 48.65,-61 11 50.35,,12.539990748440745,17.38,14.84,9,2.46,,23.9,,-1.9,,113,,0.24,0.26,-4.81,0.29,0,1,0.99998,0.1967848731565174,0.054546516370542725
171,172,1-7-1986,07 59 49.49,-61 10 26.79,,12.179990748440746,17.24,14.78,9,1.76,,8.9,,-1.88,,110,,0.31,0.31,-4.68,0.31,0,1,0.999887,0.22966165063543353,0.054546516370542725
172,173,1-7-2049,07 59 51.44,-61 08 01.60,2.805,10.199990748440745,15.74,13.52,25,0.19,,16.3,,-1.33,0.01,58,-1.32,0.49,0.52,-4.44,0.53,1,1,0.997667,0.4419928709080363,0.054546516370542725
173,174,1-7-2545,08 00 09.34,-61 13 28.40,1.749,10.309990748440745,15.87,13.53,26,1.35,,9.1,,-1.38,0.011,62,-1.55,0.5,0.57,-4.43,0.51,1,1,0.998258,0.43081496843868655,0.054546516370542725
174,175,1-7-2921,08 00 22.05,-61 13 58.20,0.749,11.889990748440747,17.03,14.58,11,0.94,,26.4,,-1.81,0.01,101,-2.13,0.32,0.29,-4.65,0.34,1,1,0.99979,0.25720026480476915,0.054546516370542725
175,176,1-7-2945,08 00 22.90,-61 14 25.01,,12.419990748440748,17.44,14.93,8,0.45,,9.3,,-1.95,,119,,0.26,0.36,-4.75,0.28,0,1,0.999982,0.20671205169924184,0.054546516370542725
176,177,1-7-3076,08 00 27.20,-61 09 30.10,0.545,12.399990748440745,17.52,15.09,5,3.0,,24.7,,-2.0,0.022,126,-2.36,0.1,0.29,-5.16,0.27,1,1,0.999966,0.20870731974827383,0.054546516370542725
177,178,1-7-3212,08 00 32.34,-61 13 14.10,6.795,9.469990748440745,15.25,13.12,33,1.02,,10.9,,-1.15,0.006,48,-0.85,0.35,0.46,-4.57,0.6,1,1,0.996487,0.5148357510796298,0.054546516370542725
178,179,1-7-3219,08 00 33.01,-61 15 10.70,0.863,11.889990748440747,17.01,14.51,13,0.9,,19.1,,-1.8,0.011,100,-2.06,0.43,0.35,-4.53,0.34,1,1,0.999661,0.25720026480476915,0.054546516370542725
179,180,1-7-3292,08 00 35.55,-61 11 38.69,,12.869990748440747,17.85,15.05,5,2.13,,16.8,,-2.12,,144,,0.06,0.03,-5.43,0.23,0,1,0.999948,0.17488039058728513,0.054546516370542725
180,181,1-7-3688,08 00 47.13,-61 11 49.60,0.308,12.329990748440748,17.29,14.93,7,0.7,,29.1,,-1.88,0.021,110,-2.55,0.45,0.26,-4.53,0.3,1,1,0.999937,0.21535589902248847,0.054546516370542725
181,182,1-7-3741,08 00 49.32,-61 12 15.70,0.916,9.989990748440748,15.59,13.28,24,1.42,,29.7,,-1.28,0.015,55,-1.78,0.66,0.73,-4.31,0.55,1,1,0.99885,0.46318128673289766,0.054546516370542725
182,183,1-7-3757,08 00 50.02,-61 13 54.45,,8.509990748440748,14.34,12.38,48,31.66,<,8.0,*,-0.79,,31,,0.07,0.03,-5.25,0.72,0,2,0.585271,0.6081107556713071,0.054546516370542725
183,184,1-7-3787,08 00 50.94,-61 11 46.67,,9.069990748440746,14.88,12.86,30,22.28,<,8.0,*,-1.01,,40,,0.05,0.06,-5.4,0.65,0,1,0.996487,0.5533815763012809,0.054546516370542725
184,185,1-7-3887,08 00 53.19,-61 07 18.50,4.584,11.379990748440745,16.68,14.35,7,0.07,,10.9,,-1.69,0.013,88,-1.28,0.06,0.18,-5.35,0.39,1,1,0.999488,0.307684252134134,0.054546516370542725
185,186,1-7-4606,08 01 18.72,-61 13 35.64,,11.229990748440747,16.54,14.3,10,0.59,,17.9,,-1.64,,83,,0.42,0.37,-4.52,0.41,0,1,0.999661,0.32569387822042223,0.054546516370542725
186,187,1-7-533,07 59 02.95,-61 08 32.82,,12.059990748440745,17.26,12.96,9,0.55,,26.5,,-1.91,,113,,0.46,0.29,-4.49,0.3,0,1,0.999926,0.24113755314686625,0.054546516370542725
187,188,1-7-698,07 59 08.19,-61 12 30.95,,12.969990748440745,17.93,15.34,6,2.01,,21.1,,-2.14,,148,,1.73,1.92,-3.94,0.22,0,1,0.999982,0.16861675816939395,0.054546516370542725
188,189,1-7-907,07 59 15.05,-61 11 26.53,,12.209990748440747,17.16,14.67,12,5.59,<,8.0,*,-1.83,,104,,0.05,0.11,-5.46,0.32,0,1,0.99996,0.22674848144363113,0.054546516370542725
189,190,1-8-1118,07 59 24.44,-61 00 18.17,,7.779990748440747,14.2,12.2,53,2.67,<,8.0,*,-0.78,,31,,0.11,0.15,-5.06,0.74,0,1,0.992964,0.6794245973614446,0.054546516370542725
190,191,1-8-1232,07 59 28.77,-61 05 23.90,1.184,12.349990748440748,17.39,15.21,9,0.39,,20.3,,-1.94,0.028,117,-1.99,0.25,0.27,-4.77,0.28,1,1,0.999884,0.21326309385907155,0.054546516370542725
191,192,1-8-1419,07 59 33.96,-60 59 07.50,1.465,11.089990748440746,16.48,14.09,17,0.05,,17.2,,-1.62,0.015,81,-1.74,0.32,0.4,-4.64,0.42,2,1,0.999324,0.34222672447851604,0.054546516370542725
192,193,1-8-1620,07 59 40.66,-60 59 34.50,,12.549990748440747,17.53,14.91,7,4.3,,41.7,,-1.98,,123,,0.34,0.27,-4.64,0.26,0,1,0.99998,0.19592730094543565,0.054546516370542725
193,194,1-8-1621,07 59 40.92,-61 01 26.57,,10.489990748440748,15.86,13.73,21,20.71,<,8.0,*,-1.37,,61,,0.02,-0.04,-5.91,0.51,0,1,0.992964,0.4125016910532498,0.054546516370542725
194,195,1-8-1630,07 59 41.26,-61 02 06.19,,12.349990748440748,17.37,14.98,9,36.86,<,8.0,*,-1.93,,116,,0.09,-0.06,-5.22,0.29,0,1,0.99989,0.21326309385907155,0.054546516370542725
195,196,1-8-175,07 58 52.73,-61 02 02.10,4.073,10.559990748440745,16.06,13.77,23,1.45,,10.1,,-1.46,0.016,67,-1.22,0.56,0.6,-4.38,0.48,1,1,0.998258,0.4052638028548657,0.054546516370542725
196,197,1-8-1946,07 59 52.47,-61 02 00.90,8.198,8.999990748440746,15.1,13.15,27,0.52,<,8.0,,-1.14,0.013,47,-0.76,0.32,0.37,-4.58,0.62,1,1,0.999019,0.5602662816610156,0.054546516370542725
197,198,1-8-1964,07 59 54.16,-61 06 17.70,0.482,12.459990748440747,17.42,14.89,8,0.14,,30.3,,-1.94,0.017,117,-2.39,0.26,0.37,-4.76,0.28,1,1,0.999973,0.20296193373658872,0.054546516370542725
198,199,1-8-1974,07 59 53.64,-61 00 41.70,0.63,11.559990748440745,16.81,14.49,10,0.92,,31.9,,-1.74,0.015,93,-2.17,0.36,0.32,-4.59,0.37,1,1,0.999389,0.2887142236848983,0.054546516370542725
199,200,1-8-2018,07 59 55.83,-61 02 49.90,6.488,9.469990748440745,15.39,13.49,24,0.45,<,8.0,,-1.22,0.006,51,-0.9,0.23,0.31,-4.76,0.58,1,1,0.996487,0.5148357510796298,0.054546516370542725
200,201,1-8-2316,08 00 07.45,-60 59 51.12,,12.409990748440746,17.55,15.13,6,18.09,<,8.0,*,-2.01,,128,,-0.01,-0.16,,0.26,0,1,0.999926,0.20772856363222836,0.054546516370542725
201,202,1-8-2812,08 00 24.25,-61 00 15.74,,9.079990748440748,15.01,13.02,20,24.32,<,8.0,*,-1.06,,43,,0.06,0.06,-5.33,0.63,0,1,0.998258,0.5529431528294246,0.054546516370542725
202,203,1-8-310,07 58 57.72,-61 06 21.85,,8.779990748440747,14.82,13.48,36,349.24,<,8.0,*,-1.01,,40,,0.01,-0.04,-6.15,0.66,0,1,0.99999,0.5819649611003717,0.054546516370542725
203,204,1-8-3126,08 00 37.02,-61 03 07.77,,9.089990748440746,14.87,12.79,19,0.31,,13.1,,-1.0,,40,,0.57,0.57,-4.37,0.65,0,1,0.896753,0.5516565362008776,0.054546516370542725
204,205,1-8-3156,08 00 38.67,-61 06 24.51,,10.939990748440747,16.29,14.1,11,0.46,,9.9,,-1.54,,74,,0.47,0.49,-4.47,0.45,0,1,0.999389,0.36026429781868635,0.054546516370542725
205,206,1-8-355,07 58 58.97,-61 06 10.26,,8.729990748440747,14.79,13.76,33,23.51,<,8.0,*,-1.0,,40,,-0.05,-0.05,,0.66,0,1,0.999987,0.5866722958807536,0.054546516370542725
206,207,1-8-3644,08 00 44.50,-60 58 16.19,,7.869990748440747,14.05,12.35,41,0.05,<,8.0,,-0.74,,29,,0.48,0.58,-4.4,0.76,0,1,0.92198,0.6706610922432011,0.054546516370542725
207,208,1-8-3730,08 00 59.16,-61 06 24.30,0.36,9.889990748440747,15.43,13.38,19,3.6,,62.0,,-1.21,0.014,51,-2.15,0.47,0.55,-4.46,0.57,1,1,0.997667,0.47299473286931415,0.054546516370542725
208,209,1-8-39,07 58 48.77,-60 58 50.50,,11.149990748440745,16.52,14.38,15,1.43,<,8.0,,-1.63,,83,,0.05,-0.02,-5.42,0.42,0,1,0.999019,0.33511181335305695,0.054546516370542725
209,210,1-8-421,07 59 00.77,-61 01 13.29,,12.589990748440746,17.64,15.36,7,1.41,,32.1,,-2.04,,131,,0.18,0.31,-4.91,0.25,0,1,0.999938,0.19335734618585815,0.054546516370542725
210,211,1-8-441,07 59 01.32,-61 02 09.70,,11.199990748440745,16.56,14.44,17,5.69,<,8.0,*,-1.65,,84,,0.05,-0.04,-5.43,0.41,0,1,0.99885,0.3291271870772032,0.054546516370542725
211,212,1-8-475,07 59 03.06,-61 06 24.40,5.065,9.959990748440747,15.69,13.51,24,0.17,<,8.0,,-1.33,0.011,58,-1.06,0.48,0.51,-4.44,0.54,1,1,0.998613,0.465865965824983,0.054546516370542725
212,213,1-8-555,07 59 05.79,-61 01 51.97,,12.889990748440747,17.92,15.29,6,33.2,<,8.0,*,-2.15,,149,,0.25,-0.02,-4.78,0.22,0,1,0.999985,0.17354688105599078,0.054546516370542725
213,214,1-8-587,07 59 07.15,-61 05 03.90,0.505,9.739990748440748,15.51,13.5,29,2.13,,26.5,*,-1.26,0.015,54,-2.03,0.41,0.66,-4.51,0.56,1,1,0.996487,0.48869598374404544,0.054546516370542725
214,215,1-8-617,07 59 07.49,-61 00 30.20,,9.919990748440748,15.69,13.24,23,4.95,<,8.0,*,-1.33,,58,,0.15,0.13,-4.95,0.54,0,1,0.999019,0.47034060392591914,0.054546516370542725
215,216,1-8-688,07 59 10.34,-61 02 55.70,5.229,9.099990748440748,15.1,13.2,35,0.03,<,8.0,,-1.11,0.004,45,-0.94,0.32,0.32,-4.61,0.62,1,1,0.999245,0.5504963676824145,0.054546516370542725
216,217,1-8-770,07 59 13.31,-61 05 47.84,,8.639990748440747,14.7,13.99,40,71.17,<,8.0,*,-0.97,,38,,0.04,0.02,-5.55,0.67,0,1,0.999988,0.5954975172935018,0.054546516370542725
217,218,1-8-862,07 59 15.57,-60 59 17.30,1.545,12.109990748440746,17.18,15.02,10,0.61,,21.4,,-1.86,0.041,107,-1.84,0.28,0.33,-4.73,0.32,2,1,0.999751,0.2362664850635426,0.054546516370542725
218,219,1-8-946,07 59 19.29,-61 02 51.90,1.142,12.099990748440748,17.18,14.71,11,0.41,,19.0,,-1.86,0.015,107,-1.97,0.29,0.25,-4.71,0.32,1,1,0.999939,0.23735842123573195,0.054546516370542725
219,220,2-1-1063,07 59 21.09,-60 50 52.74,,11.389990748440747,16.33,13.84,19,0.23,,30.2,,-1.5,,71,,0.43,0.49,-4.55,0.45,0,1,0.999442,0.30627817637505383,0.054546516370542725
220,221,2-1-1237,07 59 26.93,-60 56 00.49,,11.329990748440748,16.6,14.42,15,0.29,,9.6,,-1.66,,85,,0.2,0.24,-4.85,0.41,0,1,0.999442,0.31345783751945383,0.054546516370542725
221,222,2-1-1265,07 59 27.46,-60 51 39.10,0.586,12.569990748440746,17.57,15.23,7,0.21,,28.1,,-2.0,0.015,126,-2.33,0.21,0.41,-4.86,0.26,1,1,0.99995,0.19478903889895488,0.054546516370542725
222,223,2-1-144,07 58 53.58,-60 54 24.20,1.603,8.829990748440748,14.72,12.67,44,0.8,,42.3,,-0.95,0.023,37,-1.37,0.57,0.69,-4.36,0.67,1,2,1e-06,0.576541385489477,0.054546516370542725
223,224,2-1-1776,07 59 44.71,-60 58 30.30,2.716,9.869990748440747,15.58,13.54,26,0.87,<,8.0,,-1.28,0.024,55,-1.31,0.55,0.59,-4.38,0.55,1,1,0.999245,0.4752625700298379,0.054546516370542725
224,225,2-1-1843,07 59 46.58,-60 51 21.30,1.647,10.879990748440745,16.24,14.02,15,1.01,,9.9,,-1.52,0.009,72,-1.64,0.38,0.39,-4.56,0.46,1,1,0.998613,0.3675882187657751,0.054546516370542725
225,226,2-1-2066,07 59 56.29,-60 57 27.62,,11.709990748440747,16.85,14.65,11,29.4,<,8.0,*,-1.74,,93,,0.08,-0.06,-5.23,0.37,0,1,0.99968,0.27433164651523867,0.054546516370542725
226,227,2-1-2166,07 59 59.62,-60 51 47.50,0.321,12.869990748440747,17.77,15.72,5,7.07,,45.5,,-2.07,0.016,137,-2.63,0.11,0.3,-5.16,0.23,1,1,0.99999,0.17488039058728513,0.054546516370542725
227,228,2-1-2213,08 00 01.44,-60 55 17.70,1.025,12.019990748440746,17.1,14.77,7,1.44,<,8.0,,-1.83,0.017,103,-2.0,0.21,0.46,-4.84,0.33,1,1,0.999893,0.24491303335153583,0.054546516370542725
228,229,2-1-228,07 58 55.49,-60 55 59.60,1.051,9.469990748440745,15.31,13.26,27,1.52,,26.6,,-1.18,0.025,49,-1.67,0.93,1.03,-4.15,0.59,1,1,0.998258,0.5148357510796298,0.054546516370542725
229,230,2-1-2573,08 00 13.25,-60 55 16.48,,12.119990748440747,17.01,14.55,9,4.01,,43.3,,-1.76,,96,,0.15,0.28,-5.01,0.34,0,1,0.999904,0.23519565965543038,0.054546516370542725
230,231,2-1-2586,08 00 13.07,-60 53 12.90,1.3,8.519990748440746,14.53,12.49,33,21.54,,23.1,*,-0.88,0.008,35,-1.43,0.27,0.27,-4.67,0.69,1,1,0.992964,0.606714080750317,0.054546516370542725
231,232,2-1-259,07 58 56.58,-60 52 15.90,0.959,9.579990748440748,15.29,13.24,32,0.14,,28.7,,-1.17,0.022,48,-1.7,0.46,0.56,-4.47,0.59,1,1,0.992964,0.5042772549385236,0.054546516370542725
232,233,2-1-2681,08 00 15.95,-60 53 29.20,1.904,11.659990748440746,16.85,14.62,8,0.09,,19.8,,-1.74,0.01,94,-1.69,0.25,0.32,-4.75,0.37,1,1,0.999901,0.27921509174768566,0.054546516370542725
233,234,2-1-2752,08 00 16.98,-60 51 12.45,,11.749990748440746,17.06,14.87,6,38.1,<,8.0,*,-1.84,,105,,0.17,-0.16,-4.91,0.34,0,1,0.999772,0.2707167740397581,0.054546516370542725
234,235,2-1-304,07 58 58.18,-60 56 32.90,7.835,8.639990748440747,14.9,13.06,37,0.01,<,8.0,,-1.07,0.008,43,-0.74,0.29,0.41,-4.61,0.65,1,1,0.999488,0.5954975172935018,0.054546516370542725
235,236,2-1-4131,08 01 05.46,-60 53 14.35,,13.079990748440748,17.93,15.27,5,4.72,,12.7,*,-2.13,,146,,0.61,0.44,-4.41,0.22,0,2,,0.16270200274730248,0.054546516370542725
236,237,2-1-4208,08 01 08.39,-60 54 13.20,5.72,10.859990748440746,16.3,14.04,21,0.42,<,8.0,,-1.55,0.005,75,-1.12,0.33,0.34,-4.61,0.45,1,1,0.999019,0.37026286089658683,0.054546516370542725
237,238,2-1-4379,08 01 15.19,-60 56 11.10,0.267,10.869990748440747,16.27,14.03,17,2.0,,57.9,,-1.53,0.007,73,-2.44,0.35,0.48,-4.59,0.45,1,1,0.998613,0.3686832212666427,0.054546516370542725
238,239,2-1-641,07 59 08.80,-60 57 02.70,6.575,9.369990748440747,15.25,13.27,31,0.47,<,8.0,,-1.16,0.013,48,-0.86,0.36,0.46,-4.57,0.6,1,1,0.999146,0.525016338030411,0.054546516370542725
239,240,2-1-683,07 59 09.59,-60 50 51.50,0.761,9.639990748440747,15.36,13.35,30,0.71,,28.1,,-1.19,0.031,50,-1.82,0.52,0.57,-4.41,0.58,1,1,0.996487,0.49884934418170845,0.054546516370542725
