recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,Mass_calc,Mass_e
1126,203975467,16 27 11.87,-24 10 31.2,18.68,9.64,9.04,9.04,5.08,8.99,3.96,8.3048,,,,"ROph,gold",no,Simbad,1,1.0,18.029999,11.245323238465817,4645.3,5.5933,,,0.013866982803217402
1127,203120347,16 27 12.52,-27 11 21.9,8.25,7.19,1.06,1.06,0.0,7.19,1.06,,,,,"USco,bronze",no,Simbad,1,0.996487,8.25,2.563774238465814,6592.2,0.0004,0.7051107296819831,1.4121656050955413,0.013866982803217402
1128,203749770,16 27 12.72,-25 04 02.1,,9.38,,5.38,1.46,9.19,3.92,4.8208,,,,"USco,gold",yes,Simbad,1,0.998613,14.57,7.935833238465815,3813.1,1.0674,-0.8787685360781292,0.49173611111111104,0.013866982803217402
1129,203945512,16 27 13.72,-24 18 16.8,,9.29,,,10.2,,,,,,,"ROph,bronze",yes,Simbad,1,1.0,,12.473235238465817,3743.1,5.7555,-0.6574391477413285,0.44312499999999994,0.013866982803217402
1130,203842632,16 27 13.82,-24 43 31.6,,9.98,,,,,,,,,,"ROph,bronze",yes,Simbad,1,0.999999,,13.614329238465814,,,,,0.013866982803217402
1131,203390805,16 27 14.36,-26 17 58.7,,9.53,,3.85,0.7,9.44,3.15,4.7328,,,,"USco,bronze",no,Simbad,1,0.997667,13.289999,7.162162238465815,4180.8,0.5244,-0.6641010081564435,0.8,0.013866982803217402
1132,203807051,16 27 14.48,-24 51 33.7,16.44,10.38,6.06,6.06,0.83,10.27,5.23,2.6051,,,,"USco,bronze",no,Simbad,1,0.999938,16.33,9.238613238465817,3419.7,1.2721,-1.4250432430265851,0.24985714285714278,0.013866982803217402
1133,203806628,16 27 15.11,-24 51 38.8,15.02,9.39,5.63,5.63,1.7,9.17,3.93,,,,,"USco,bronze",yes,Simbad,1,0.992964,14.8,8.217155238465816,3633.4,1.0948,-1.013093973549431,0.3694871794871796,0.013866982803217402
1134,205488952,16 27 16.44,-17 15 11.6,,12.45,,6.64,1.91,12.2,4.74,,,,,"USco,bronze",no,Simbad,1,0.999968,18.84,11.473748238465816,,,-1.7135435485766424,,0.013866982803217402
1135,203989869,16 27 16.89,-24 06 47.7,,8.6,,8.72,5.97,7.84,2.75,,,,,"ROph,bronze",no,Simbad,1,1.0,16.560001,9.528736238465816,,,,,0.013866982803217402
1136,203826602,16 27 17.07,-24 47 11.1,,9.49,,9.57,7.08,8.58,2.49,,,,,"ROph,bronze",no,Simbad,1,1.0,18.15,10.994147238465814,7032.1,6.1688,,,0.013866982803217402
1137,203791768,16 27 18.34,-24 54 53.9,,10.06,,5.91,0.78,9.96,5.14,2.7065,,,,"USco,bronze",yes,Simbad,1,0.999617,15.87,9.230079238465816,3408.1,0.6689,-1.3588234500276832,0.2443333333333333,0.013866982803217402
1138,204134902,16 27 18.95,-23 31 38.0,,8.61,,3.95,0.7,8.52,3.25,2.4681,,,,"USco,bronze",no,Simbad,1,0.999991,12.47,6.402847238465816,6147.3,2.1168,0.0954378603854692,1.26225,0.013866982803217402
1139,203850605,16 27 19.49,-24 41 40.3,13.28,8.41,4.87,4.87,0.02,8.41,4.85,3.9176,3.5199,,,"USco,gold",yes,Simbad,1,0.996487,13.28,6.640591238465815,,,,,0.013866982803217402
1140,203946777,16 27 22.91,-24 17 57.3,,9.45,,17.42,13.88,7.67,3.54,5.3734,,,,"ROph,bronze",yes,Simbad,1,1.0,25.09,14.714625238465814,,,,,0.013866982803217402
1141,203822485,16 27 22.95,-24 48 07.3,,9.39,,6.9,1.67,9.17,5.23,8.8495,,,,"ROph,gold",yes,Simbad,1,0.999994,16.07,9.115779238465816,,,-1.293367560439418,,0.013866982803217402
1142,204608421,16 27 25.51,-21 38 04.0,,11.26,,6.46,0.88,11.15,5.58,1.8322,,,,"USco,bronze",no,Simbad,1,0.999996,17.61,10.227591238465816,3571.3,1.5249,-1.7347103828802517,0.3296794871794873,0.013866982803217402
1143,203915424,16 27 26.58,-24 25 54.3,,11.84,,8.16,0.7,11.75,7.46,2.8842,,,,"USco,bronze",yes,Simbad,1,0.999998,19.91,11.715571238465817,2668.8,0.5632,-1.9430951413405235,0.1,0.013866982803217402
1144,203893434,16 27 27.38,-24 31 16.5,,9.32,,15.72,11.76,7.8,3.96,,,,,"ROph,bronze",yes,Simbad,1,1.0,23.52,13.649439238465815,,,,,0.013866982803217402
1145,202787821,16 27 27.64,-28 21 50.6,,10.02,,4.69,0.19,9.99,4.5,4.2599,,,,"USco,gold",no,Simbad,2,1e-06,14.68,8.091481238465816,3590.6,0.5451,-0.92434357085594,0.342051282051282,0.013866982803217402
1146,203793391,16 27 28.72,-24 54 32.1,,11.69,,5.66,0.43,11.64,5.23,0.8805,,,,"ROph,silver",no,Simbad,1,0.99987,17.3,10.263450238465817,3284.7,0.7042,-1.8840568299189424,0.19044164037854885,0.013866982803217402
1147,203978911,16 27 28.76,-24 09 37.9,,10.82,,8.16,7.15,9.9,1.01,,,,,"ROph,bronze",no,Simbad,1,1.0,18.06,10.630532238465817,,,,,0.013866982803217402
1148,203825455,16 27 30.83,-24 47 27.0,,9.5,,11.12,6.9,8.61,4.22,1.2444,,,,"ROph,bronze",yes,Simbad,1,1.0,19.73,12.205559238465815,,,,,0.013866982803217402
1149,203919315,16 27 30.84,-24 24 56.0,,10.07,,12.36,7.58,9.1,4.78,6.1462,,,,"ROph,silver",yes,Simbad,1,1.0,21.46,12.389048238465817,,,,,0.013866982803217402
1150,203796922,16 27 32.86,-24 53 45.4,,8.34,,7.31,3.87,7.84,3.44,13.3542,,,,"ROph,bronze",no,Simbad,1,0.999999,15.15,8.388529238465816,6245.7,4.6675,,,0.013866982803217402
1151,203852282,16 27 33.11,-24 41 15.2,,7.81,,12.37,8.7,6.69,3.67,,,,,"ROph,bronze",yes,Simbad,1,1.0,19.06,11.579625238465816,,,,,0.013866982803217402
1152,202790830,16 27 33.20,-28 21 10.0,,10.51,,4.93,0.15,10.49,4.78,3.8927,,,,"USco,gold",no,Simbad,2,1e-06,15.42,8.679874238465816,3486.7,0.5838,-1.3018994626248446,0.28176190476190466,0.013866982803217402
1153,203863479,16 27 35.26,-24 38 33.3,,9.67,,8.49,2.84,9.3,5.65,1.6257,2.2433,,,"ROph,bronze",no,Simbad,1,1.0,17.79,10.078386238465816,,,,,0.013866982803217402
1154,203896277,16 27 37.18,-24 30 35.0,,7.58,,11.31,11.27,6.13,0.04,,,,,"ROph,bronze",yes,Simbad,1,1.0,17.44,10.698420238465816,,,,,0.013866982803217402
1155,203895738,16 27 38.12,-24 30 42.9,,9.66,,14.41,9.18,8.48,5.23,,,,,"ROph,bronze",yes,Simbad,1,1.0,22.89,13.169293238465816,,,,,0.013866982803217402
1156,203870022,16 27 38.32,-24 36 58.5,,8.27,,14.53,11.18,6.83,3.35,,,,,"ROph,silver",yes,Simbad,1,1.0,21.36,11.598698238465817,4219.6,6.011,,,0.013866982803217402
1157,203863066,16 27 38.63,-24 38 39.1,,11.08,,12.85,3.57,10.62,9.28,4.1143,,,,"ROph,bronze",yes,Simbad,1,1.0,23.470001,13.639775238465816,,,-1.7423214031062906,,0.013866982803217402
1158,203860592,16 27 39.42,-24 39 15.5,,8.46,,8.95,5.6,7.74,3.35,6.2229,,,,"ROph,silver",yes,Simbad,1,1.0,16.689999,9.738481238465816,7995.3,6.0329,-0.7487025357070654,1.5,0.013866982803217402
1159,204330922,16 27 39.53,-22 45 23.0,11.65,8.08,3.56,3.56,1.11,7.94,2.45,4.1633,,,,"USco,gold",no,Simbad,1,0.999944,11.5,5.577557238465815,5246.4,1.2893,,,0.013866982803217402
1160,203930599,16 27 40.27,-24 22 04.1,11.53,7.21,4.33,4.33,0.98,7.08,3.35,,,,,"ROph,bronze",yes,Simbad,1,0.999947,11.41,5.416890238465815,5693.3,1.8383,,,0.013866982803217402
1161,203425127,16 27 40.90,-26 10 56.9,,10.51,,5.96,0.55,10.44,5.41,0.5312,,,,"USco,bronze",no,Simbad,1,0.999877,16.4,9.238975238465816,3464.6,1.2036,,,0.013866982803217402
1162,203862309,16 27 42.70,-24 38 50.6,,10.54,,13.44,8.94,9.39,4.5,4.3647,,,,"ROph,bronze",yes,Simbad,1,1.0,22.83,13.397499238465816,,,-1.323489305081107,,0.013866982803217402
1163,204853319,16 27 43.41,-20 34 01.7,,12.68,,8.68,3.38,12.25,5.3,,,,,"USco,bronze",no,Simbad,1,0.999999,20.93,12.781609238465816,3567.7,2.9598,-2.0030507642260216,0.32737179487179474,0.013866982803217402
1164,203751997,16 27 45.21,-25 03 33.1,,11.45,,5.94,0.32,11.41,5.61,2.7362,,,,"USco,bronze",no,Simbad,1,0.999952,17.35,10.171093238465817,,,-1.7101881639902885,,0.013866982803217402
1165,203891751,16 27 46.29,-24 31 41.1,,11.32,,13.36,4.89,10.69,8.47,,,,,"ROph,bronze",yes,Simbad,1,0.999999,24.05,14.234198238465815,,,,,0.013866982803217402
1166,203781195,16 27 47.98,-24 57 13.7,,12.11,,8.43,2.83,11.75,5.6,0.4139,,,,"USco,gold",no,Simbad,1,1.0,20.18,12.563467238465815,,,-1.825940203986945,,0.013866982803217402
1167,203465909,16 27 49.03,-26 02 44.0,,9.18,,5.95,0.7,9.09,5.25,3.8128,,,,"USco,bronze",yes,Simbad,1,0.999245,15.04,8.567824238465816,,,-1.169090703892283,,0.013866982803217402
