recno,EPIC,RAJ2000,DEJ2000,Vmago,Ksmag,(V-Ks)o,VmKsu,E(V-Ks),Ksmag0,(V-Ks)0,Per1,Per2,Per3,Per4,Memb,Disk,Simbad,single,PSS,Vmag,Gmag,Teff,AG,logL,S18_Mass,Tess_Mass,Tess_s_Mass,iso_Mass_calc,iso_Mass_e,rml_Mass_calc,rml_Mass_e
70,203521205,15 57 42.47,-25 51 35.7,,10.81,,5.7,0.05,10.81,5.65,0.7418,,,,"USco,gold",no,Simbad,1,0.999806,16.51,9.414191238465817,3427.6,0.9197,-1.4548166387485022,0.289,0.621,0.021,0.2536190476190476,0.013866982803217402,0.22085619164817394,0.009083756291806893
74,203839698,15 57 47.56,-24 44 12.4,,12.05,,6.06,0.32,12.01,5.74,0.9672,,,,"USco,gold",no,Simbad,1,0.999992,18.07,10.798825238465817,3380.4,0.9911,-1.836540458659017,0.264,0.441,0.022,0.2311428571428572,0.013866982803217402,,0.0
80,204849054,15 57 56.02,-20 35 10.5,,12.34,,6.46,0.34,12.3,6.12,0.9839,,,,"USco,bronze",no,Simbad,1,0.999998,18.76,11.398350238465817,,,-1.896196284292576,0.174,0.436,0.023,,0.013866982803217402,,0.0
91,204553379,15 58 23.36,-21 51 59.1,,11.28,,6.38,0.42,11.23,5.96,1.8469,,,,"USco,gold",no,Simbad,1,0.999998,17.61,10.311070238465817,,,-1.7366006477624436,0.204,0.524,0.022,,0.013866982803217402,0.12975627137193277,0.009083756291806893
96,204066097,15 58 35.97,-23 48 14.0,,12.08,,6.32,0.28,12.04,6.04,0.3588,,,,"USco,gold",no,Simbad,1,0.999998,18.36,11.032694238465815,,,-2.07727454523862,0.188,0.343,0.021,,0.013866982803217402,,0.0
101,204238921,15 58 39.87,-23 07 10.8,,11.71,,6.12,0.0,11.71,6.12,1.9986,,,,"USco,bronze",no,Simbad,1,0.999998,17.83,10.585282238465815,3318.4,1.0496,-1.7166987506685698,0.173,0.526,0.026,0.20161904761904767,0.013866982803217402,0.1117952265653377,0.009083756291806893
102,204594600,15 58 48.10,-21 41 34.2,,12.52,,6.84,0.53,12.45,6.31,0.6008,,,,"USco,silver",no,Simbad,1,0.999999,19.29,11.635464238465817,,,-2.341988585492948,0.144,0.243,0.021,,0.013866982803217402,,0.0
105,203397761,15 59 01.92,-26 16 33.1,,11.26,,5.94,0.0,11.26,5.94,0.5179,0.5938,,,"USco,gold",no,Simbad,1,0.999995,17.2,10.022828238465816,,,-1.7945249701942907,0.21,0.464,0.031,,0.013866982803217402,0.15338206159307635,0.009083756291806893
108,204367110,15 59 12.43,-22 36 50.4,,11.79,,6.56,0.52,11.72,6.04,0.944,,,,"USco,gold",no,Simbad,1,0.999998,18.28,10.776322238465816,,,-1.8807441231339528,0.187,0.428,0.022,,0.013866982803217402,0.10087331882070395,0.009083756291806893
110,204477741,15 59 18.38,-22 10 43.2,16.27,10.07,6.19,6.19,0.33,10.03,5.86,0.8214,0.7623,,,"USco,gold",no,Simbad,1,0.999982,16.22,8.843879238465815,,,,0.229,,,,0.013866982803217402,0.3023699487681351,0.009083756291806893
112,204247509,15 59 25.90,-23 05 08.3,,11.57,,6.62,0.56,11.5,6.06,0.6198,,,,"USco,silver",no,Simbad,1,0.999999,18.119999,10.721535238465815,,,-1.861381580746021,0.183,0.474,0.022,,0.013866982803217402,0.1038398729173774,0.009083756291806893
113,203462615,15 59 38.05,-26 03 23.6,,10.25,,6.24,0.16,10.23,6.08,0.5201,0.4421,,,"USco,gold",no,Simbad,1,0.999988,16.47,8.956816238465816,3475.6,1.0185,-1.4595453713086113,0.181,0.642,0.021,0.27647619047619043,0.013866982803217402,0.2857779796002534,0.009083756291806893
122,204096760,16 00 07.04,-23 40 49.0,,10.61,,6.16,0.46,10.55,5.7,0.5255,1.8177,,,"USco,gold",no,Simbad,1,0.999998,16.71,9.537035238465815,,,-1.6031035361084944,0.275,0.589,0.023,,0.013866982803217402,0.2031342418819898,0.009083756291806893
128,204270520,16 00 26.30,-22 59 41.4,,11.34,,6.49,0.42,11.28,6.07,0.5123,,,,"USco,gold",no,Simbad,1,0.999998,17.77,10.412004238465816,,,-1.7500682349652408,0.182,0.529,0.022,,0.013866982803217402,0.12303181291693702,0.009083756291806893
129,204769599,16 00 26.69,-20 56 31.8,18.6,12.51,6.09,6.09,0.44,12.45,5.65,1.6401,,,,"USco,gold",yes,Simbad,1,0.999998,18.54,11.568375238465816,,,-2.009217327075904,0.289,0.367,0.023,,0.013866982803217402,,0.0
131,204894208,16 00 29.45,-20 22 53.9,,11.29,,6.29,0.69,11.2,5.61,1.6968,,,,"USco,bronze",yes,Simbad,1,0.999998,17.49,10.324123238465816,,,-1.7117507790533646,0.304,0.523,0.021,,0.013866982803217402,0.1288368644289586,0.009083756291806893
