,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
408,412,R01- 2397,11.52,0.005,11.52,0.006,11.48,0.022,11.44,0.11,0.52,,,,[R2001]  2397,05 35 56.2,-05 52 28.5,2,15.629422,0.5705,6.973920294395505,0.5265362950259151,0.0896731857449002
409,413,R01- 2400,10.0,0.002,9.64,0.002,9.46,0.008,8.9,0.023,4.88,,,,[R2001]  2400,05 35 56.9,-05 45 19.1,1,16.28562,2.7261,5.474518294395503,0.806217319620407,0.0896731857449002
410,414,R01- 2408,11.49,0.006,11.4,0.007,11.49,0.052,10.8,0.137,1.77,M2,R01,H,[R2001]  2408,05 35 57.5,-05 39 51.4,1,15.944698,0.9661,6.893597294395505,0.5415188140149401,0.0896731857449002
411,415,R01- 2410,11.54,0.005,11.63,0.008,11.72,0.019,11.62,0.028,6.09,,,,[R2001]  2410,05 35 57.7,-06 11 24.7,1,15.252483,0.4431,6.724381294395505,0.5730824002043822,0.0896731857449002
412,416,CHS 13140,12.24,0.007,12.3,0.011,12.34,0.026,12.44,0.054,2.27,,,,[CHS2001] 13140,05 35 58.3,-06 22 11.6,1,17.767403,,,0.0,0.0
413,417,HBJM 10874,13.11,0.01,12.56,0.01,12.33,0.038,11.5,0.084,2.8,,,,[H97b] 10874,05 35 58.8,-05 10 14.6,1,18.736795,,,0.0,0.0
414,418,R01- 2424,12.77,0.009,12.38,0.011,12.2,0.024,11.32,0.034,13.94,,,,[R2001]  2424,05 35 58.9,-06 02 39.7,1,17.2182,0.0016,9.131598294395504,0.12406811519471567,0.0896731857449002
415,419,R01- 2425,11.85,0.006,11.82,0.008,11.83,0.026,11.83,0.07,9.09,,,,[R2001]  2425,05 35 59.0,-05 59 08.5,2,15.666935,0.4926,7.089333294395503,0.5050084952163878,0.0896731857449002
416,420,Par 2282,11.5,0.005,11.57,0.008,11.61,0.044,11.42,0.186,8.6,M1,R01,H,Parenago 2282,05 35 59.2,-04 58 46.2,2,15.123196,0.4972,6.540994294395505,0.60728928005317,0.0896731857449002
417,421,JW 1044,11.07,0.007,10.9,0.005,10.42,0.044,9.38,0.094,2.98,M4.5,H97,L,JW 1044,05 35 59.5,-05 37 09.6,1,16.172014,,,0.0,0.0
418,422,Par 2307,8.78,0.003,8.44,0.002,8.17,0.002,7.51,0.002,9.21,,,,Parenago 2307,05 35 59.8,-06 16 06.6,1,13.214391,,,0.0,0.0
419,423,R01- 2434,12.08,0.008,12.29,0.013,12.03,0.037,11.84,0.126,1.01,,,,[R2001]  2434,05 35 59.9,-05 04 30.8,1,17.549625,,,0.0,0.0
420,424,R01- 2436,11.83,0.007,11.79,0.009,11.85,0.029,11.74,0.096,7.96,M2.5,R01,L,[R2001]  2436,05 36 00.2,-04 43 46.0,1,15.883095,0.694,7.104093294395504,0.5022553363410192,0.0896731857449002
421,425,R01- 2437,9.8,0.002,9.91,0.003,9.72,0.005,9.7,0.008,9.47,K6,R01,H,[R2001]  2437,05 36 00.2,-06 03 29.5,1,14.687219,4.0696,2.5326172943955036,0.0,0.0
422,426,Par 2306,10.56,0.004,10.62,0.005,10.52,0.029,10.09,0.087,9.46,,,,Parenago 2306,05 36 00.8,-05 41 06.5,1,14.101925,2.1922,3.824723294395504,0.0,0.0
423,427,Par 2304,10.28,0.002,10.24,0.003,10.32,0.014,10.27,0.058,2.52,,,,Parenago 2304,05 36 02.6,-05 07 36.5,1,13.722716,,,0.0,0.0
424,428,JW 1051,12.15,0.008,11.92,0.009,11.86,0.054,11.1,0.103,2.25,M3,H97,L,JW 1051,05 36 02.8,-05 32 54.4,1,17.515879,,,0.0,0.0
425,429,H97: 1053,11.76,0.008,11.54,0.009,11.26,0.051,10.22,0.089,1.05,M5,H97,L,[H97b] 1053,05 36 03.9,-05 30 18.8,1,16.612507,,,0.0,0.0
426,430,Par 2318,10.34,0.002,10.43,0.003,10.37,0.009,10.22,0.031,1.1,M0,R01,H,Parenago 2318,05 36 04.5,-05 09 28.9,1,13.681243,,,0.0,0.0
427,431,CHS 13694,10.74,0.003,10.64,0.004,10.76,0.009,10.54,0.016,2.54,,,,[CHS2001] 13694,05 36 05.2,-06 25 25.4,1,14.410564,,,0.0,0.0
428,432,Par 2332,9.56,0.002,9.58,0.002,9.51,0.007,9.46,0.03,4.46,K7,R01,H,Parenago 2332,05 36 07.3,-05 40 22.2,1,14.433728,,,0.0,0.0
429,433,H97: 5087,11.13,0.005,11.13,0.006,11.01,0.042,10.79,0.183,0.81,M4,H97,L,[H97b] 5087,05 36 08.7,-05 21 02.2,1,15.340031,,,0.0,0.0
430,434,R01- 2515,11.9,0.008,11.95,0.011,11.92,0.07,10.64,0.118,5.29,,,,[R2001]  2515,05 36 09.0,-05 44 48.0,2,15.721808,0.5117,7.125107294395503,0.49833562898402467,0.0896731857449002
431,435,R01- 2517,10.62,0.003,10.61,0.004,10.55,0.009,10.46,0.031,6.55,M1,R01,H,[R2001]  2517,05 36 09.2,-05 51 02.9,1,15.075407,3.331,3.659405294395505,0.0,0.0
432,436,Par 2348,11.33,0.004,11.4,0.007,11.36,0.016,11.35,0.024,6.95,K8,R01,H,Parenago 2348,05 36 09.4,-05 46 26.6,2,14.52724,0.9799,5.462337294395503,0.8084894217987773,0.0896731857449002
433,437,R01- 2524,10.65,0.003,10.77,0.004,10.73,0.008,10.59,0.016,1.8,,,,[R2001]  2524,05 36 09.5,-06 18 36.3,1,14.296535,,,0.0,0.0
434,438,R01- 2532,13.07,0.01,12.94,0.012,12.89,0.049,12.44,0.129,0.54,,,,[R2001]  2532,05 36 10.0,-05 05 35.4,1,17.773455,,,0.0,0.0
435,439,H97: 5073,10.18,0.003,10.14,0.003,10.02,0.015,10.08,0.076,0.86,K3,H97,H,[H97b] 5073,05 36 10.5,-05 19 44.9,1,13.514942,0.8891,4.540840294395505,0.9803747635054967,0.0896731857449002
436,440,Par 2347,10.18,0.003,10.14,0.003,10.02,0.015,10.08,0.076,6.01,K3,H97,H,Parenago 2347,05 36 10.5,-05 19 44.9,1,13.514942,0.8891,4.540840294395505,0.9803747635054967,0.0896731857449002
437,441,R01- 2553,11.26,0.004,11.28,0.005,11.37,0.02,11.2,0.05,0.34,K3,R01,H,[R2001]  2553,05 36 11.4,-05 38 51.6,1,16.069683,3.3176,4.667081294395505,0.9568272344028108,0.0896731857449002
438,442,R01- 2569,11.6,0.005,11.58,0.006,11.75,0.034,11.3,0.119,4.1,,,,[R2001]  2569,05 36 13.1,-04 55 13.8,1,16.017979,,,0.0,0.0
439,443,Par 2363,11.03,0.004,11.04,0.005,11.14,0.038,10.89,0.142,0.82,M0,R01,H,Parenago 2363,05 36 14.7,-05 37 35.0,1,14.611087,2.4374,4.088685294395503,0.0,0.0
440,444,R01- 2596,11.89,0.006,11.82,0.008,11.72,0.023,11.37,0.077,1.24,,,,[R2001]  2596,05 36 15.8,-04 55 20.2,1,17.141603,,,0.0,0.0
441,445,HBJM 11056,13.8,0.011,13.2,0.014,12.82,0.041,11.84,0.054,3.74,,,,[H97b] 11056,05 36 16.2,-05 07 47.3,1,20.429327,,,0.0,0.0
442,446,CHS 14574,12.37,0.009,12.27,0.012,12.12,0.027,11.73,0.045,2.05,,,,[CHS2001] 14574,05 36 16.3,-05 40 02.2,1,17.01764,,,0.0,0.0
443,447,Par 2368,8.86,0.002,8.61,0.002,8.14,0.002,6.8,0.003,7.41,K6,R01,H,Parenago 2368,05 36 17.0,-05 11 42.8,1,12.598325,,,0.0,0.0
444,448,CHS 14673,11.63,0.005,11.61,0.008,11.51,0.015,11.41,0.024,6.19,,,,[CHS2001] 14673,05 36 17.7,-06 28 36.3,1,15.229865,0.4188,6.726063294395503,0.5727686594706658,0.0896731857449002
445,449,HBJM 11082,11.83,0.006,11.79,0.009,11.75,0.023,11.77,0.056,1.5,,,,[H97b] 11082,05 36 18.8,-05 12 18.3,1,16.127329,0.8263,7.216027294395504,0.4813764687616791,0.0896731857449002
446,450,R01- 2642,12.45,0.008,12.31,0.009,12.44,0.025,12.3,0.06,1.56,,,,[R2001]  2642,05 36 19.3,-05 00 28.4,1,17.342213,,,0.0,0.0
447,451,CHS 14797,10.86,0.003,10.57,0.004,10.2,0.006,9.4,0.007,3.65,,,,[CHS2001] 14797,05 36 19.4,-06 25 51.2,1,16.946981,,,0.0,0.0
448,452,H97: 5002,11.84,0.006,11.54,0.007,11.24,0.018,10.32,0.039,3.94,,,,[H97b] 5002,05 36 19.9,-05 13 06.5,1,17.08172,,,0.0,0.0
449,453,Par 2378,10.56,0.003,10.63,0.004,10.72,0.01,10.52,0.023,10.18,K7,R01,H,Parenago 2378,05 36 20.6,-05 41 39.6,1,13.619318,,,0.0,0.0
450,454,Par 2384,10.47,0.003,10.39,0.003,9.95,0.006,8.99,0.005,5.97,K7,R01,H,Parenago 2384,05 36 24.2,-05 44 48.6,1,13.725049,1.2531,4.386947294395505,0.0,0.0
451,455,H97: 5065,12.13,0.007,12.07,0.009,12.15,0.048,11.83,0.182,1.31,,,,[H97b] 5065,05 36 25.6,-05 18 42.0,1,16.807705,,,0.0,0.0
452,456,R01- 2711,11.17,0.004,11.38,0.007,11.38,0.018,11.19,0.058,9.57,M0.5,R01,H,[R2001]  2711,05 36 25.8,-04 50 19.8,1,14.328652,0.4537,5.789950294395505,0.7473802999575716,0.0896731857449002
453,457,R01- 2715,8.27,0.002,7.88,0.002,7.47,0.001,6.69,0.002,4.36,,,,[R2001]  2715,05 36 26.1,-06 08 03.8,1,14.491327,4.433,1.9733252943955044,0.0,0.0
454,458,R01- 2722,11.09,0.003,11.11,0.005,10.51,0.008,9.86,0.02,2.21,,,,[R2001]  2722,05 36 26.9,-05 56 30.2,1,17.71885,,,0.0,0.0
455,459,R01- 2724,12.5,0.01,12.11,0.011,11.75,0.02,11.03,0.037,2.64,M6,R01,L,[R2001]  2724,05 36 26.9,-04 55 06.2,1,17.546066,,,0.0,0.0
456,460,Par 2390,10.76,0.003,10.73,0.004,10.8,0.01,10.7,0.017,5.08,,,,Parenago 2390,05 36 27.3,-05 46 42.4,1,13.946177,1.1708,4.690374294395504,0.952482428870747,0.0896731857449002
457,461,H97: 5146,10.3,0.002,10.1,0.003,9.82,0.006,9.11,0.016,5.88,M2.5,H97,H,[H97b] 5146,05 36 27.5,-05 30 55.6,1,14.489546,,,0.0,0.0
458,462,R01- 2751,11.52,0.005,11.54,0.007,11.33,0.016,10.95,0.029,5.66,,,,[R2001]  2751,05 36 29.3,-04 53 51.0,1,15.745256,,,0.0,0.0
459,463,H97: 5079,10.8,0.004,10.64,0.004,10.8,0.013,10.74,0.047,5.06,M1,H97,H,[H97b] 5079,05 36 29.7,-05 20 06.8,1,14.720513,2.6677,3.967812294395504,0.0,0.0
460,464,H97: 5078,10.68,0.003,10.8,0.005,10.61,0.012,10.35,0.044,2.46,,,,[H97b] 5078,05 36 30.2,-05 20 06.0,1,14.721642,,,0.0,0.0
