,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
42,44,Par 1435,9.87,0.002,9.33,0.002,9.14,0.004,8.31,0.003,10.57,,,,Parenago 1435,05 34 23.0,-04 41 39.3,1,14.651336,2.8289,3.7374332943955046,0.0,0.0
43,45,H97: 3020,9.67,0.002,9.94,0.003,9.72,0.012,9.63,0.051,21.45,M0.5,H97,H,[H97b] 3020,05 34 23.9,-05 15 40.3,1,15.003438,4.8344,2.0840362943955046,0.0,0.0
44,46,R01- 1175,11.23,0.004,11.48,0.006,11.33,0.013,11.19,0.019,2.09,M0,R01,H,[R2001]  1175,05 34 24.3,-06 06 55.6,1,14.601104,0.5497,5.966402294395504,0.7144669944202298,0.0896731857449002
45,47,CHS 3730,11.63,0.005,11.59,0.007,11.48,0.019,11.31,0.045,7.95,,,,[CHS2001] 3730,05 34 24.4,-04 52 52.4,1,17.80471,3.3159,6.403809294395504,0.6328781757289763,0.0896731857449002
46,48,R01- 1183,10.53,0.003,10.52,0.004,10.64,0.01,10.42,0.039,5.12,,,,[R2001]  1183,05 34 25.2,-04 45 10.9,1,15.231329,,,0.0,0.0
47,49,R01- 1186,10.78,0.003,11.05,0.005,10.73,0.011,10.68,0.043,2.26,,,,[R2001]  1186,05 34 25.3,-04 54 39.8,1,15.239552,,,0.0,0.0
48,50,HBJM 10135,11.68,0.005,11.76,0.009,11.67,0.02,11.66,0.048,15.0,,,,[H97b] 10135,05 34 26.1,-05 07 33.3,1,16.287485,,,0.0,0.0
49,51,R01- 1200,11.68,0.005,11.76,0.009,11.67,0.02,11.66,0.048,15.0,,,,[R2001]  1200,05 34 26.1,-05 07 33.3,1,16.287485,,,0.0,0.0
50,52,Par 1458,11.06,0.004,10.99,0.005,11.06,0.012,10.92,0.022,6.73,,,,Parenago 1458,05 34 26.5,-05 01 00.9,1,15.204656,,,0.0,0.0
51,53,H97: 3122,11.48,0.005,11.21,0.006,11.43,0.034,11.01,0.116,17.08,,,,[H97b] 3122,05 34 26.8,-05 28 32.2,1,15.103554,,,0.0,0.0
52,54,H97: 3145,10.24,0.003,10.21,0.003,10.17,0.016,10.16,0.077,1.66,M3,H97,L,[H97b] 3145,05 34 27.1,-05 32 29.1,1,15.696405,,,0.0,0.0
53,55,Par 1469,8.49,0.002,8.61,0.003,8.57,0.005,8.61,0.027,5.03,G9IV-V,H97,H,Parenago 1469,05 34 27.3,-05 24 22.3,1,11.650246,0.953,2.612244294395504,0.0,0.0
54,56,H97: 3120,11.1,0.005,11.09,0.006,10.93,0.025,10.43,0.084,1.57,,,,[H97b] 3120,05 34 27.5,-05 28 28.5,1,15.528883,,,0.0,0.0
55,57,R01- 1227,8.42,0.002,7.21,0.002,6.68,0.002,5.91,0.001,9.35,,,,[R2001]  1227,05 34 27.7,-05 37 19.2,1,18.044678,6.2441,3.7155752943955047,0.0,0.0
56,58,HBJM 10141,8.42,0.002,7.21,0.002,6.68,0.002,5.91,0.001,8.87,,,,[H97b] 10141,05 34 27.7,-05 37 19.2,1,18.044678,6.2441,3.7155752943955047,0.0,0.0
57,59,R01- 1228,11.91,0.008,11.85,0.01,11.81,0.056,11.18,0.165,17.55,,,,[R2001]  1228,05 34 27.8,-05 42 10.1,2,15.633917,,,0.0,0.0
58,60,Par 1486,10.61,0.003,10.75,0.004,10.63,0.008,10.55,0.021,3.88,K5,R01,H,Parenago 1486,05 34 28.0,-05 59 52.5,1,13.532107,0.7472,4.699905294395505,0.9507046268874026,0.0896731857449002
59,61,R01- 1234,11.13,0.004,11.41,0.007,11.2,0.011,11.08,0.019,7.0,K8,R01,H,[R2001]  1234,05 34 28.1,-06 16 13.2,1,14.5518,1.6071,4.859698294395503,0.92089869761689,0.0896731857449002
60,62,Par 1485,10.28,0.002,10.32,0.003,10.32,0.009,10.21,0.024,1.92,,,,Parenago 1485,05 34 28.9,-05 47 13.8,1,13.483571,,,0.0,0.0
61,63,Par 1482,9.63,0.003,9.68,0.003,9.37,0.026,8.95,0.052,3.37,K8-M0,H97,H,Parenago 1482,05 34 29.1,-05 14 14.6,1,14.397004,,,0.0,0.0
62,64,Par 1483,8.88,0.003,8.42,0.002,8.12,0.008,7.55,0.026,8.26,K4,H97,H,Parenago 1483,05 34 29.3,-05 14 39.8,1,13.841247,2.911,2.8452442943955045,0.0,0.0
63,65,R01- 1247,12.8,0.009,12.86,0.011,12.81,0.035,12.43,0.124,2.11,,,,[R2001]  1247,05 34 29.6,-05 04 28.9,1,17.59711,,,0.0,0.0
64,66,R01- 1249,11.48,0.004,11.39,0.006,11.14,0.014,9.95,0.017,10.26,,,,[R2001]  1249,05 34 29.6,-05 47 24.7,2,15.160836,0.4641,6.611734294395504,0.5940942625167731,0.0896731857449002
65,67,R01- 1251,11.7,0.005,11.71,0.008,11.62,0.018,11.69,0.046,7.2,,,,[R2001]  1251,05 34 29.9,-05 04 05.4,2,15.646241,0.6156,6.9456402943955045,0.5318113175862156,0.0896731857449002
66,68,R01- 1257,11.25,0.004,11.27,0.006,11.29,0.015,11.07,0.023,0.75,,,,[R2001]  1257,05 34 30.2,-04 58 30.4,2,15.289117,,,0.0,0.0
67,69,R01- 1258,12.26,0.008,12.46,0.011,12.35,0.027,12.3,0.064,3.09,,,,[R2001]  1258,05 34 30.4,-04 57 05.2,1,16.346037,0.6135,7.647535294395505,0.4008879809787825,0.0896731857449002
68,70,R01- 1265,12.94,0.009,12.69,0.011,12.61,0.03,11.95,0.041,1.68,M5,R01,L,[R2001]  1265,05 34 31.0,-05 58 03.7,1,17.464998,0.385,8.994996294395504,0.14954826482060773,0.0896731857449002
69,71,JW 15,10.59,0.003,10.35,0.003,10.12,0.012,9.48,0.036,9.65,M1,H97,H,JW 15,05 34 31.1,-05 21 55.9,1,15.3724,1.1237,6.163698294395504,0.6776656913452028,0.0896731857449002
70,72,JW 17,10.72,0.003,10.75,0.004,10.63,0.019,10.05,0.066,3.14,M4,H97,L,JW 17,05 34 31.3,-05 28 54.8,1,15.066507,,,0.0,0.0
71,73,Par 1497,11.61,0.005,11.62,0.007,11.61,0.019,11.76,0.064,12.06,,,,Parenago 1497,05 34 31.8,-05 35 20.0,1,15.086097,,,0.0,0.0
72,74,JW 20,11.09,0.004,11.17,0.005,11.05,0.016,11.01,0.068,0.67,M3.5,H97,L,JW 20,05 34 31.9,-05 26 36.8,1,15.18668,,,0.0,0.0
73,75,H97: 3115,10.48,0.003,10.11,0.003,9.74,0.006,8.66,0.017,0.85,M3,H97,L,[H97b] 3115,05 34 32.0,-05 27 42.6,1,17.170973,3.3878,5.698171294395504,0.7644996880585906,0.0896731857449002
74,76,R01- 1278,12.5,0.009,12.44,0.011,12.39,0.055,11.32,0.1,2.67,M5,R01,L,[R2001]  1278,05 34 32.2,-05 41 48.5,1,16.728586,0.7301,7.9134847943955045,0.35128085183725616,0.0896731857449002
75,77,Par 1496,10.93,0.003,11.01,0.005,10.9,0.01,10.9,0.022,0.5,,,,Parenago 1496,05 34 32.9,-05 00 40.4,2,15.006882,,,0.0,0.0
76,78,R01- 1284,10.96,0.003,10.94,0.005,10.99,0.01,10.98,0.027,1.16,,,,[R2001]  1284,05 34 33.0,-05 57 47.1,1,15.404353,3.786,3.533351294395505,0.0,0.0
77,79,HBJM 10180,13.56,0.011,13.6,0.015,13.06,0.074,12.75,0.15,1.12,,,,[H97b] 10180,05 34 33.3,-05 07 26.7,1,18.24904,,,0.0,0.0
78,80,R01- 1299,11.85,0.006,11.86,0.008,11.83,0.021,11.81,0.027,5.19,,,,[R2001]  1299,05 34 34.3,-06 02 09.7,2,15.782368,0.5543,7.1430652943955035,0.49498595235354675,0.0896731857449002
79,81,Par 1500,11.09,0.004,11.32,0.006,11.25,0.019,11.22,0.071,4.08,K6,R01,H,Parenago 1500,05 34 34.5,-04 41 10.6,1,14.114636,0.7008,5.328834794395505,0.8333914267238873,0.0896731857449002
80,82,HBJM 10192,12.61,0.009,12.59,0.013,12.6,0.035,12.29,0.111,2.3,,,,[H97b] 10192,05 34 35.6,-05 37 24.0,1,17.797903,,,0.0,0.0
81,83,JW 33,12.16,0.007,12.22,0.009,12.14,0.023,11.88,0.051,1.5,,,,JW 33,05 34 35.7,-05 35 52.1,1,16.103796,0.4785,7.540294294395505,0.42089147087481577,0.0896731857449002
82,84,R01- 1329,11.18,0.004,11.18,0.004,11.2,0.014,11.4,0.048,8.39,,,,[R2001]  1329,05 34 36.1,-05 42 15.2,1,14.377857,1.2338,5.059055294395504,0.883712959550538,0.0896731857449002
83,85,Par 1524,10.15,0.002,10.2,0.003,10.04,0.006,9.52,0.014,6.0,,,,Parenago 1524,05 34 36.5,-05 36 17.2,1,14.350425,,,0.0,0.0
84,86,JW 36,10.24,0.002,10.15,0.003,9.73,0.008,8.97,0.023,2.72,M3,H97,L,JW 36,05 34 37.1,-05 31 09.0,1,16.057564,,,0.0,0.0
85,87,Par 1527,9.33,0.002,9.26,0.002,8.63,0.003,8.04,0.008,8.27,K2-K5,H97,H,Parenago 1527,05 34 37.5,-05 34 51.9,1,14.088563,1.3378,4.665761294395503,0.9570734518662241,0.0896731857449002
86,88,Par 1536,10.47,0.003,10.45,0.004,10.46,0.008,10.47,0.035,1.86,,,,Parenago 1536,05 34 37.7,-05 43 04.5,1,14.847003,,,0.0,0.0
87,89,R01- 1351,11.41,0.005,11.63,0.007,11.38,0.032,11.08,0.076,8.42,K7,R01,H,[R2001]  1351,05 34 38.0,-04 51 08.9,1,15.805328,2.3278,5.392527294395505,0.821510967942862,0.0896731857449002
88,90,CHS 4881,12.63,0.009,12.3,0.01,12.08,0.026,11.62,0.057,2.84,,,,[CHS2001] 4881,05 34 38.2,-05 05 17.2,1,18.29695,1.4246,8.787347294395504,0.188280696208109,0.0896731857449002
89,91,Par 1544,10.59,0.003,10.59,0.003,10.62,0.009,10.53,0.019,4.42,K6,R01,H,Parenago 1544,05 34 38.7,-05 57 43.1,1,13.651517,,,0.0,0.0
90,92,Par 1555,10.95,0.003,10.86,0.004,10.82,0.009,10.65,0.016,4.71,,,,Parenago 1555,05 34 38.7,-06 06 19.3,1,13.872574,,,0.0,0.0
91,93,R01- 1372,11.11,0.004,11.25,0.006,11.12,0.011,10.99,0.02,4.96,,,,[R2001]  1372,05 34 39.7,-06 07 13.3,2,15.590133,,,0.0,0.0
92,94,R01- 1374,11.89,0.005,11.8,0.007,11.88,0.02,11.78,0.024,2.66,M3,R01,L,[R2001]  1374,05 34 39.9,-06 08 34.1,1,15.654278,0.5363,7.032976294395505,0.5155206750743624,0.0896731857449002
93,95,Par 1534,10.49,0.002,10.47,0.003,10.54,0.008,10.44,0.016,2.36,,,,Parenago 1534,05 34 40.1,-04 58 39.8,1,13.957875,,,0.0,0.0
94,96,Par 1554,10.05,0.002,10.11,0.003,10.21,0.007,10.29,0.023,2.42,,,,Parenago 1554,05 34 40.3,-05 50 15.6,1,12.21002,0.3068,3.8182182943955034,0.0,0.0
95,97,R01- 1382,10.9,0.003,10.78,0.004,10.8,0.016,10.67,0.064,18.88,,,,[R2001]  1382,05 34 40.6,-04 43 31.5,1,16.5918,5.2715,3.235299294395505,0.0,0.0
