col1,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
192,36,3020,,,,15.25,13.48,,3.08,16.56,5.384997294395504,3.571,M0.5(H),3.09,0.37,3.69,0.23,4.07,Simbad,05 34 23.80,-05 15 39.78,1,V1676 Ori,M0.5,1.0,H,3700.0,0.179,0.41,0.04,0.18,0.6,0.4,0.2,2.99,0.41,21.45,opt,Re01,,,"d,g",Simbad,83.59937,-5.26111,0.7602465955664863,0.7566893214053997,0.05236065508113028
193,37,3123,,,,14.12,16.09,,3.33,19.42,8.894998294395505,3.535,M2.5(H),2.44,-0.79,1.15,0.26,6.23,Simbad,05 34 23.89,-05 28 34.37,1,2MASS J05342396-0528347,M6,1.0,H13,2800.0,-1.196,,,,,,,1.07,0.17,2.3,opt,R09,2.0,A,b,Simbad,83.59987,-5.47633,1.2486487153359105,0.2411735650657282,0.05236065508113028
194,45,3051,,,,12.96,16.74,,3.39,20.13,10.814998294395503,3.509,M4(H),1.23,-1.24,0.77,0.15,6.44,Simbad,05 34 26.71,-05 19 40.99,1,2MASS J05342678-0519414,M4,1.0,H,3160.0,-1.319,0.16,0.08,0.11,6.5,2.5,9.5,0.73,0.15,0.73,opt,R09,2.0,,,Simbad,83.61158,-5.32819,1.1455083433489397,0.1255694593614092,0.05236065508113028
195,48,3145,,1471.0,,15.35,13.15,,2.75,15.9,7.294997294395504,3.526,M3(H),0.52,-0.05,2.8,0.18,4.43,Simbad,05 34 26.98,-05 32 28.75,1,V1116 Ori,M3,1.0,H,3360.0,-0.136,0.29,0.07,0.12,0.7,0.6,0.5,2.53,0.42,1.66,opt,H02,3.0,,,Simbad,83.61275,-5.54142,1.2480450490702752,0.3970266962601697,0.05236065508113028
196,49,3029,,,,13.98,15.44,,3.11,18.55,10.464998294395505,3.494,M5(H),0.0,-0.94,1.17,0.13,6.0,Simbad,05 34 27.05,-05 16 48.26,1,2MASS J05342712-0516487,M4,1.0,H13,3160.0,-0.974,0.19,0.08,0.11,3.5,2.4,3.1,1.09,0.23,0.56,opt,R09,2.0,N,,Simbad,83.613,-5.28022,1.1731100786451196,0.13916215300447646,0.05236065508113028
197,51,3120,,,,13.26,13.94,,3.06,17.0,,,,,,,,,Simbad,05 34 27.46,-05 28 28.15,1,2MASS J05342753-0528284,M4.5,1.0,H13,3020.0,-0.526,0.19,0.09,0.07,0.5,0.42,1.5,1.99,0.39,1.57,opt,H02,3.0,,,Simbad,83.61473,-5.47457,1.162758378922825,0.0,0.0
198,52,3142,,1470.0,,14.89,10.78,,1.55,12.33,2.2749982943955036,3.736,G8(H)K2(S),1.97,1.14,4.2,2.92,6.03,Simbad,05 34 27.61,-05 31 55.00,1,V1963 Ori,G8,1.0,H,5210.0,1.004,2.53,0.28,0.22,2.2,0.6,0.9,3.9,0.47,3.37,MIR,M11,3.0,N,a,Simbad,83.61542,-5.53203,1.3902045287261149,0.0,0.0
199,53,3110,,,,12.55,14.18,,2.27,16.45,6.2449992943955035,3.623,K6e(H),2.12,-0.18,1.55,0.67,6.23,Simbad,05 34 27.85,-05 26 34.21,1,2MASS J05342792-0526346,K6e,1.0,H13,4020.0,-0.295,0.76,0.15,0.13,4.3,1.9,3.0,1.47,0.19,0.84,opt,H02,2.0,A,,Simbad,83.61637,-5.44296,1.258359951744864,0.5530627452944912,0.05236065508113028
200,54,1,,,,12.51,15.6,,3.62,19.220001,11.024998294395504,3.483,M5.5(H),0.11,-0.9,1.29,0.11,5.29,Simbad,05 34 28.13,-05 26 39.22,1,2MASS J05342821-0526397,M5.5,1.0,H,2840.0,-1.072,,,,,,,1.2,0.21,0.71,opt,R09,,N,b,Simbad,83.61754,-5.44436,1.2803822395929338,0.11715315042644218,0.05236065508113028
201,57,3082,,,,11.89,15.96,,,,,,,,,,,,Simbad,05 34 28.89,-05 23 47.71,1,2MASS J05342896-0523481,M5,1.0,H13,2880.0,,,,,,,,,,2.99,opt,R09,3.0,,c,Simbad,83.6207,-5.39671,1.2472800448998131,0.0,0.0
202,63,8,,,99.0,11.76,15.73,,,,,3.483,M5.5(H),0.0,-0.98,1.18,0.1,5.43,Simbad,05 34 29.38,-05 23 37.22,1,2MASS J05342945-0523374,M5.5,1.0,H,2840.0,,,,,,,,,,1.79,opt,R09,3.0,,c,Simbad,83.62272,-5.39374,1.114209865007602,0.0,0.0
