col1,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
45,1176,807,,,99.0,2.68,15.32,,,,,3.471,M6(H),0.0,-0.71,1.68,0.11,4.71,Simbad,05 35 26.85,-05 24 00.32,1,V2456 Ori,M3.5,1.0,H13,3260.0,,,,,,,,,,0.85,opt,R09,,N,c,Simbad,83.86236,-5.40016,1.7570008422365064,0.0,0.0
46,1178,805,,,99.0,8.07,15.22,,,,,,,,,,,,Simbad,05 35 26.94,-05 15 44.62,1,V2459 Ori,M5.5,1.0,H13,2840.0,,,,,,,,,,5.68,opt,R09,2.0,,c,Simbad,83.86274,-5.26243,1.761222357622957,0.0,0.0
47,1180,812,,,99.0,7.52,14.04,,3.41,17.45,,,,,,,,,Simbad,05 35 27.11,-05 30 24.42,1,2MASS J05352720-0530247,M5,1.0,H13,2880.0,-0.458,0.13,0.04,0.1,0.1,0.07,1.3,2.37,0.53,4.39,opt,S99,2.0,,,Simbad,83.86334,-5.50687,1.4027951575871784,0.0,0.0
48,1183,811,a,,99.0,6.79,13.38,,2.56,15.940001,5.884998294395505,3.58,M0(H),1.97,0.13,2.69,0.29,4.89,Simbad,05 35 27.35,-05 17 09.62,1,V1345 Ori,M0,1.0,H,3770.0,,,,,,,,,,11.1,opt,H00,2.0,,c,Simbad,83.86445,-5.2861,1.794967738250297,0.6240552123386318,0.05236065508113028
49,1187,815,,,99.0,4.89,13.77,,2.69,16.460001,8.004998294395504,3.526,M3(H)M3.2(P),0.37,-0.34,2.01,0.22,5.25,Simbad,05 35 27.39,-05 27 25.52,1,V1287 Ori,M3,1.0,H,3360.0,-0.421,0.3,0.08,0.08,1.5,0.5,0.6,1.82,0.3,6.42,opt,H00,,,g,Simbad,83.86457,-5.4572,1.6441389331370837,0.3291220469643065,0.05236065508113028
50,1188,818,,2048.0,98.0,12.26,12.13,,1.82,13.95,5.594997294395505,3.591,K8V(D),0.27,0.2,2.78,0.32,4.93,Simbad,05 35 27.43,-05 35 19.42,1,V1539 Ori,K8V,1.0,D,3940.0,0.106,0.6,0.05,0.1,0.9,0.2,0.4,2.43,0.29,4.62,opt,S99,3.0,,,Simbad,83.86462,-5.58875,1.1790985022964813,0.6987532505129153,0.05236065508113028
51,1190,817,,,99.0,5.83,13.75,,3.04,16.79,8.704998294395503,3.5,M4.5(P),0.0,-0.3,2.37,0.15,4.49,Simbad,05 35 27.45,-05 28 30.62,1,V1540 Ori,M4.5,1.0,P,3020.0,-0.456,0.17,0.06,0.1,0.2,0.13,1.4,2.16,0.43,2.23,opt,H00,3.0,,,Simbad,83.86479,-5.47525,1.5133127427294495,0.25983138689757995,0.05236065508113028
52,1191,3119,,,,6.15,16.83,,,,,,,,,,,,Simbad,05 35 27.61,-05 28 51.12,1,2MASS J05352769-0528514,M7,1.0,H13,2650.0,,,,,,,,,,4.16,opt,H02,3.0,,c,Simbad,83.86541,-5.48096,1.3620320587807102,0.0,0.0
53,1192,816,,,99.0,6.0,15.23,,3.46,18.689999,6.8049962943955045,3.562,M1(H),3.8,-0.14,2.13,0.29,5.55,Simbad,05 35 27.62,-05 18 04.52,1,V1541 Ori,M1,1.0,H,3630.0,-0.326,0.42,0.07,0.11,1.6,0.3,0.8,1.74,0.24,3.53,opt,R09,3.0,N,,Simbad,83.86557,-5.30129,1.7489075014090172,0.4643990364117562,0.05236065508113028
54,1194,823,,,99.0,5.45,13.88,,3.28,17.16,9.074998294395504,3.494,M5(H),0.0,-0.31,2.4,0.15,4.39,Simbad,05 35 27.78,-05 28 01.72,1,V1542 Ori,M5,1.0,H,2880.0,-0.456,0.13,0.04,0.1,0.1,0.07,1.3,2.38,0.54,9.0,opt,E93,,,g,Simbad,83.86621,-5.46722,1.6707562993936176,0.22270806229229168,0.05236065508113028
55,1195,819,,,99.0,7.03,13.16,,2.85,16.01,7.564999294395504,3.518,M3.5(H),0.36,-0.06,2.86,0.14,4.04,Simbad,05 35 27.82,-05 16 57.02,1,V1347 Ori,M3.5,1.0,H,3260.0,-0.151,0.27,0.08,0.1,0.3,0.23,0.9,2.64,0.49,5.76,opt,H02,3.0,N,,Simbad,83.86638,-5.28257,1.6770405142795093,0.3713689462020635,0.05236065508113028
56,1197,821,,,99.0,6.69,14.16,,3.16,17.32,8.594998294395504,3.509,M4(H),0.64,-0.35,2.13,0.17,4.89,Simbad,05 35 27.93,-05 17 20.02,1,2MASS J05352804-0517202,M4,1.0,H,3160.0,-0.431,0.23,0.1,0.12,1.2,1.11,0.5,2.03,0.42,,,,,,f,Simbad,83.86685,-5.28896,1.718996937441299,0.27143283655987616,0.05236065508113028
57,1198,825,,,99.0,2.91,15.75,,,,,3.526,M3e(H),0.0,-1.22,0.73,0.2,6.62,Simbad,05 35 28.02,-05 23 06.22,1,V2471 Ori,M3e,1.0,H,3360.0,,,,,,,,,,9.35,opt,R09,,A,c,Simbad,83.86721,-5.38511,1.6580586311106096,0.0,0.0
58,1200,822,,,99.0,12.11,15.74,,3.72,19.46,7.554997294395504,3.544,M2(H),3.82,-0.33,1.87,0.27,5.73,Simbad,05 35 28.06,-05 11 37.32,1,V1543 Ori,M2,1.0,H,3490.0,-0.453,0.35,0.05,0.08,1.8,0.4,0.9,1.62,0.23,6.4,opt,H02,,,g,Simbad,83.86736,-5.19377,1.6093000786382872,0.37232441273861444,0.05236065508113028
59,1204,827,,,98.0,6.22,16.34,,2.2,18.54,9.884999294395504,3.562,M1(H),0.57,-1.38,0.51,0.41,7.5,Simbad,05 35 28.24,-05 17 54.22,1,2MASS J05352835-0517544,M1,1.0,H,3630.0,-1.556,,,,,,,0.42,0.06,6.76,opt,H02,3.0,,b,Simbad,83.86813,-5.29847,1.682998265382753,0.16235916583635,0.05236065508113028
60,1205,828,,,99.0,5.81,13.9,,2.87,16.77,8.684998294395504,3.509,M4(H),0.0,-0.41,2.01,0.18,5.05,Simbad,05 35 28.24,-05 18 22.82,1,V1545 Ori,M4,1.0,H,3160.0,-0.508,0.23,0.11,0.1,1.5,1.4,0.6,1.86,0.39,1.14,opt,H02,3.0,,,Simbad,83.86814,-5.30641,1.7159014959522585,0.2618420515627735,0.05236065508113028
61,1206,830,,,99.0,3.4,13.0,,2.36,15.36,6.524998294395504,3.555,M1.5(H)M4(Eetal),0.75,0.01,2.61,0.25,4.8,Simbad,05 35 28.26,-05 25 03.12,1,V1288 Ori,M1.5,1.0,H,3560.0,-0.168,0.4,0.1,0.08,1.1,0.2,0.3,2.17,0.3,9.23,opt,H00,,N,g,Simbad,83.86825,-5.41761,1.813089863832393,0.5041978643251775,0.05236065508113028
62,1207,829,,,99.0,5.26,15.52,,3.72,19.24,8.144998294395505,3.526,M3(H),3.01,-0.39,1.89,0.22,5.45,Simbad,05 35 28.30,-05 19 01.92,1,2MASS J05352841-0519021,M3,1.0,H,3360.0,-0.478,0.31,0.09,0.09,1.7,0.4,0.7,1.7,0.28,3.23,opt,R09,,,g,Simbad,83.8684,-5.31725,1.7418380609306194,0.3158654536601959,0.05236065508113028
63,1210,834,,,99.0,7.72,12.99,,2.24,15.23,,,,,,,,,Simbad,05 35 28.82,-05 16 18.22,1,V497 Ori,K8e,1.0,H13,3940.0,0.024,0.64,0.08,0.07,1.2,0.3,0.5,2.21,0.26,7.01,opt,H02,2.0,,,Simbad,83.87055,-5.2718,1.6929777173332348,0.0,0.0
64,1211,835,,,99.0,12.14,14.06,,2.52,16.58,8.494998294395502,3.526,M3(H),0.0,-0.54,1.59,0.23,5.92,Simbad,05 35 28.82,-05 35 06.62,1,V1548 Ori,M3,1.0,H,3360.0,-0.643,0.29,0.08,0.09,2.3,0.5,1.3,1.41,0.23,8.85,opt,H02,2.0,,,Simbad,83.87042,-5.58522,1.21844725705141,0.2813749140873865,0.05236065508113028
65,1212,836,,,99.0,6.59,13.43,,2.2,15.63,6.504998294395504,3.58,M0(H),1.04,-0.11,2.03,0.35,5.71,Simbad,05 35 28.99,-05 29 10.02,1,V1550 Ori,M0,1.0,H,3770.0,-0.308,0.53,0.12,0.09,2.2,0.8,1.4,1.65,0.23,12.2,opt,H00,2.0,,,Simbad,83.87122,-5.4862,1.5639790147443189,0.5080995208654797,0.05236065508113028
66,1213,838,,,99.0,4.0,13.54,,2.94,16.48,8.314998294395503,3.509,M4(H),0.08,-0.24,2.42,0.16,4.52,Simbad,05 35 29.23,-05 25 46.02,1,2MASS J05352934-0525462,M4,1.0,H,3160.0,-0.32,0.23,0.09,0.13,0.4,0.33,1.0,2.3,0.48,7.75,opt,H02,,,g,Simbad,83.87226,-5.42952,1.6972477893912217,0.2992730738142913,0.05236065508113028
67,1214,837,,,99.0,7.55,13.3,,2.21,15.51,6.354999294395505,3.58,M0(H)M1(Eetal),1.07,-0.06,2.17,0.34,5.61,Simbad,05 35 29.34,-05 16 33.22,1,V1289 Ori,M1,1.0,H,3630.0,-0.334,0.43,0.08,0.09,1.7,0.4,0.9,1.72,0.24,10.6,opt,H02,3.0,N,,Simbad,83.87274,-5.27595,1.767876126971407,0.5348935275403243,0.05236065508113028
68,1216,3097,,,,3.94,16.05,,,,,,,,,,,,Simbad,05 35 29.40,-05 25 36.86,1,2MASS J05352948-0525372,M6,1.0,H13,2800.0,,,,,,,,,,2.86,opt,R09,,,c,Simbad,83.87283,-5.427,1.230577058271752,0.0,0.0
69,1217,839,,,99.0,3.62,13.5,,3.7,17.2,4.694999294395505,3.562,M1(H),4.42,0.7,5.62,0.15,2.97,Simbad,05 35 29.47,-05 24 56.62,1,V1290 Ori,M1,1.0,H,3630.0,0.516,0.41,0.06,0.1,0.04,0.03,0.16,4.58,0.64,7.52,opt,H02,3.0,N,,Simbad,83.87326,-5.4158,1.698491726428891,0.9859574562714499,0.05236065508113028
70,1218,843,,,98.0,8.49,13.77,,2.45,16.220001,7.565000294395505,3.544,M2(H),0.57,-0.33,1.86,0.27,5.74,Simbad,05 35 29.57,-05 31 11.92,1,V1552 Ori,M2,1.0,H,3490.0,-0.458,0.35,0.06,0.08,1.8,0.4,0.9,1.61,0.22,0.84,opt,H02,,,g,Simbad,83.87358,-5.5201,1.4025970204902714,0.3713689462020635,0.05236065508113028
71,1220,3019,,,,8.0,13.89,,3.4,17.29,,,,,,,,,Simbad,05 35 29.73,-05 16 05.98,1,2MASS J05352980-0516064,M3.5,1.0,H13,3260.0,-0.1,0.28,0.09,0.1,0.2,0.15,0.9,2.8,0.52,13.87,opt,H02,3.0,,,Simbad,83.8742,-5.26846,1.2585446344640758,0.0,0.0
72,1223,845,,,99.0,3.36,14.12,,2.32,16.44,8.124999294395503,3.544,M2e(H),0.23,-0.55,1.44,0.3,6.02,Simbad,05 35 29.75,-05 23 48.12,1,2MASS J05352986-0523484,M2e,1.0,H13,3490.0,-0.679,0.35,0.07,0.07,3.2,1.0,1.7,1.25,0.17,5.13,opt,R09,,A,g,Simbad,83.87442,-5.39678,1.6795100397293123,0.31749287626319767,0.05236065508113028
73,1225,841,,,99.0,11.43,14.41,,3.25,17.66,8.704997294395506,3.509,M4e(H),0.87,-0.4,2.03,0.18,5.02,Simbad,05 35 29.87,-05 12 27.32,1,V2485 Ori,M4e,1.0,H,3160.0,-0.475,0.24,0.12,0.11,1.4,1.31,0.5,1.93,0.4,4.69,opt,H02,2.0,A,,Simbad,83.87495,-5.20763,1.7688963694273447,0.25983138689757995,0.05236065508113028
74,1226,842,,,99.0,14.62,15.71,,4.08,19.79,10.414998294395504,3.483,M5.6(P),1.29,-0.65,1.7,0.12,4.84,Simbad,05 35 29.99,-05 09 09.22,1,V1291 Ori,M5.6,1.0,P,2832.0,-0.913,,,,,,,1.45,0.24,2.87,opt,R09,3.0,,b,Simbad,83.87542,-5.15263,1.673758910867293,0.1409615863436173,0.05236065508113028
75,1227,846,,,99.0,9.69,16.08,,4.13,20.21,9.544998294395503,3.5,M4.5(H),2.58,-0.6,1.67,0.15,5.26,Simbad,05 35 30.03,-05 14 18.42,1,V2486 Ori,M4.5,1.0,H,3020.0,-0.714,0.16,0.07,0.1,1.7,1.68,1.0,1.61,0.32,5.46,opt,H02,,,g,Simbad,83.87562,-5.2385,1.7836628200722957,0.1817932013636544,0.05236065508113028
76,1228,848,,,99.0,4.24,13.8,,2.73,16.53,8.394999294395506,3.518,M3.5(H),0.05,-0.4,1.95,0.2,5.26,Simbad,05 35 30.17,-05 25 51.32,1,V1554 Ori,M3.5,1.0,H,3260.0,-0.482,0.25,0.06,0.1,1.5,1.1,0.7,1.8,0.34,4.94,opt,H02,,N,g,Simbad,83.87617,-5.431,1.6780643750088378,0.29168115133416955,0.05236065508113028
77,1231,850,,2077.0,99.0,4.15,13.41,,2.14,15.55,6.3649982943955035,3.591,K8e(H),1.1,-0.11,1.94,0.4,5.76,Simbad,05 35 30.31,-05 25 38.32,1,V1348 Ori,K8e,1.0,H,3940.0,-0.206,0.64,0.06,0.07,2.3,0.8,1.1,1.7,0.2,7.78,opt,E93,2.0,A,,Simbad,83.87676,-5.42739,1.7022990350111735,0.5321517406153261,0.05236065508113028
78,1232,853,,,99.0,5.94,16.04,,3.13,19.170002,10.005000294395503,3.518,M3.5(H),1.08,-1.04,0.93,0.18,6.33,Simbad,05 35 30.34,-05 28 11.02,1,V2488 Ori,M4.5,1.0,H13,3020.0,-1.322,0.11,0.05,0.09,4.7,1.7,4.3,0.8,0.16,3.9,opt,H02,,,g,Simbad,83.87688,-5.46978,1.6710143141714071,0.15742934078935197,0.05236065508113028
79,1235,855,,,99.0,6.21,14.05,,2.34,16.39,8.024997294395503,3.544,M2.5(H)M1.8(P),0.28,-0.51,1.51,0.3,5.97,Simbad,05 35 30.39,-05 28 30.22,1,V1292 Ori,M2.5,1.0,H,3425.0,-0.672,0.31,0.06,0.09,2.6,0.6,1.7,1.31,0.2,7.08,opt,H02,2.0,,,Simbad,83.87704,-5.47517,1.5379792470731632,0.32743501491281596,0.05236065508113028
80,1238,851,,,99.0,8.84,15.69,,,,,,,,,,,,Simbad,05 35 30.52,-05 15 16.12,1,2MASS J05353063-0515162,M5.5,1.0,H13,2840.0,,,,,,,,,,2.59,opt,R09,,,c,Simbad,83.87765,-5.25451,1.73656672381678,0.0,0.0
81,1239,860,,,99.0,5.26,13.93,,2.91,16.84,8.244998294395502,3.518,M3.5(H)M3.7(P)M4:(Eetal),0.51,-0.33,2.09,0.2,5.1,Simbad,05 35 30.56,-05 27 16.42,1,V1293 Ori,M3.5,1.0,H,3260.0,-0.421,0.27,0.09,0.09,1.4,1.2,0.5,1.93,0.36,6.33,opt,H02,,N,g,Simbad,83.87776,-5.45465,1.5621708470593292,0.3062746097006688,0.05236065508113028
82,1242,859,,,99.0,3.73,14.98,,,,,3.494,M5(H),0.0,-0.75,1.44,0.14,5.37,Simbad,05 35 30.61,-05 24 30.92,1,2MASS J05353071-0524312,M3,1.0,H13,3360.0,,,,,,,,,,1.38,opt,R09,3.0,A,c,Simbad,83.87797,-5.40867,1.5626587834166157,0.0,0.0
83,1243,863,,,99.0,8.06,14.04,,2.62,16.66,8.574998294395504,3.518,M3.5(H),0.0,-0.5,1.72,0.21,5.75,Simbad,05 35 30.70,-05 30 35.82,1,V1555 Ori,M4.5,1.0,H13,3020.0,-0.572,0.18,0.08,0.08,0.7,0.62,1.5,1.89,0.37,7.91,opt,H00,2.0,,,Simbad,83.87833,-5.51006,1.5331490892197726,0.27353327723396353,0.05236065508113028
84,1245,3092,,,,4.13,14.27,,1.97,16.24,,,,,,,,,Simbad,05 35 30.83,-05 25 23.19,1,2MASS J05353092-0525236,M3.5,1.0,H13,3260.0,-0.732,0.24,0.09,0.11,2.5,1.1,1.6,1.35,0.25,0.65,opt,R09,,,g,Simbad,83.87885,-5.42323,1.4704372404686803,0.0,0.0
85,1246,865,,,99.0,4.31,14.34,,3.6,17.94,9.024998294395504,3.494,M5(H),0.83,-0.29,2.45,0.15,4.35,Simbad,05 35 30.85,-05 25 43.72,1,JW 865,M5,1.0,H,2880.0,-0.459,0.13,0.04,0.1,0.1,0.07,1.3,2.37,0.53,1.58,opt,R09,,N,g,Simbad,83.87901,-5.42888,1.6966602590373008,0.22791834890595689,0.05236065508113028
86,1247,862,,,99.0,5.88,15.46,,3.8,19.26,11.174998294395506,3.471,M6e(H),0.0,-0.77,1.57,0.11,4.77,Simbad,05 35 30.91,-05 18 45.02,1,V2495 Ori,M6e,1.0,H,2800.0,-0.944,,,,,,,1.43,0.22,3.49,opt,H02,3.0,A,b,Simbad,83.87927,-5.31258,1.7354214710523468,0.11128468851227456,0.05236065508113028
87,1249,864,,,99.0,11.51,14.45,,2.46,16.91,8.824998294395504,3.526,M3(H),0.0,-0.7,1.33,0.23,6.09,Simbad,05 35 31.09,-05 12 27.82,1,V1557 Ori,M3,1.0,H,3360.0,-0.824,0.28,0.08,0.09,3.5,1.0,2.6,1.14,0.19,3.7,opt,H02,3.0,,,Simbad,83.88,-5.20779,1.6583865841365102,0.24808751548161567,0.05236065508113028
88,1253,866,,2073.0,98.0,8.65,11.82,,2.13,13.95,2.7749982943955036,3.708,K1IV(Ham),3.09,0.99,3.98,1.95,5.7,Simbad,05 35 31.18,-05 15 32.92,1,V1294 Ori,K3,1.0,StE,4550.0,0.83,1.6,0.41,0.57,0.6,0.2,0.6,4.18,0.63,6.76,opt,H00,3.0,,,Simbad,83.8804,-5.25919,1.740419181064899,0.0,0.0
89,1258,872,,,99.0,6.15,15.18,,3.24,18.42,10.334998294395506,3.494,M5(H),0.0,-0.83,1.32,0.13,5.56,Simbad,05 35 31.30,-05 28 16.12,1,V1559 Ori,M5.5,1.0,H13,2840.0,-0.904,,,,,,,1.46,0.25,4.19,opt,H00,2.0,,b,Simbad,83.88088,-5.47121,1.6770890615115106,0.14388920115685183,0.05236065508113028
90,1260,870,,,,7.74,15.18,,2.47,17.65,,,,,,,,,Simbad,05 35 31.44,-05 16 36.52,1,2MASS J05353156-0516369,M3.5e,1.0,H13,3260.0,-1.096,0.21,0.09,0.12,5.1,1.8,5.4,0.89,0.17,3.83,opt,R09,2.0,,,Simbad,83.88151,-5.27693,1.8776496466183776,0.0,0.0
91,1264,878,,,99.0,7.69,14.44,,3.74,18.18,10.094998294395504,3.471,M6(H),0.0,-0.36,2.51,0.14,4.32,Simbad,05 35 31.58,-05 30 03.82,1,V1561 Ori,M6.5,1.0,H13,2725.0,-0.48,0.11,0.02,0.02,0.07,0.04,0.03,2.59,0.37,5.54,opt,H02,2.0,,,Simbad,83.88202,-5.50114,1.590323752159234,0.15343569266011503,0.05236065508113028
92,1265,875,,,99.0,7.72,15.88,,,,,,,,,,,,Simbad,05 35 31.64,-05 16 39.82,1,2MASS J05353175-0516399,M5.5e,1.0,H13,2840.0,,,,,,,,,,5.18,opt,R09,,,c,Simbad,83.8823,-5.27775,1.674789438818344,0.0,0.0
93,1267,880,,,99.0,7.27,14.17,,2.74,16.91,8.824998294395504,3.509,M4(H),0.0,-0.51,1.77,0.18,5.31,Simbad,05 35 31.69,-05 29 33.72,1,V1562 Ori,M4,1.0,H13,3160.0,-0.672,0.21,0.09,0.13,2.2,2.0,0.9,1.54,0.32,1.58,opt,H02,3.0,,,Simbad,83.88245,-5.4928,1.506884610599157,0.24808751548161567,0.05236065508113028
94,1269,5156,,,,9.25,17.02,,,,,,,,,,,,Simbad,05 35 31.84,-05 31 47.30,1,V2508 Ori,M8,1.0,H13,2570.0,,,,,,,,,,4.36,opt,H02,2.0,,c,Simbad,83.88307,-5.52994,1.5241331812766308,0.0,0.0
95,1278,884,,,99.0,9.81,14.91,,3.44,18.35,,,,,,,,,Simbad,05 35 32.30,-05 14 24.52,1,2MASS J05353242-0514247,M2.25,1.0,H13,3457.5,-0.323,0.36,0.09,0.06,1.4,0.3,0.3,1.92,0.28,2.7,opt,R09,,,g,Simbad,83.88509,-5.24022,1.8366296669527,0.0,0.0
96,1279,885,,,,9.17,16.33,,1.54,17.869999,,,,,,,,,Simbad,05 35 32.32,-05 15 06.52,1,V2516 Ori,M0.5,1.0,H13,3700.0,-1.616,,,,,,,0.38,0.05,9.1,opt,R09,2.0,,b,Simbad,83.88518,-5.25192,1.8815298606796251,0.0,0.0
97,1284,891,,,99.0,7.04,15.84,,3.11,18.95,8.194998294395505,3.555,M0-M3(H),2.67,-0.66,1.21,0.37,6.29,Simbad,05 35 32.69,-05 17 38.22,1,2MASS J05353280-0517384,M1.5,2.0,H,3560.0,-0.836,0.36,0.12,0.26,5.5,2.5,12.5,1.01,0.21,1.04,opt,H02,3.0,,,Simbad,83.8867,-5.29402,1.7803745517855114,0.31103306663070596,0.05236065508113028
98,1287,892,,,99.0,8.36,13.99,,2.22,16.21,6.124997294395504,3.623,late-K:(H),2.0,-0.13,1.63,0.65,6.14,Simbad,05 35 32.80,-05 16 05.02,1,2MASS J05353291-0516052,K7,3.0,H,3970.0,-0.319,0.69,0.27,0.34,3.8,2.3,8.7,1.46,0.31,8.56,opt,E93,3.0,,,Simbad,83.88715,-5.26812,1.7455717622486548,0.5747954519118786,0.05236065508113028
99,1288,894,,,99.0,7.14,14.65,,3.3,17.949999,,,,,,,,,Simbad,05 35 33.00,-05 17 33.82,1,2MASS J05353311-0517340,M5,1.0,H13,2880.0,-0.764,0.12,0.05,0.09,0.3,0.15,2.4,1.67,0.38,8.66,opt,H02,,,g,Simbad,83.88796,-5.29278,1.6596220206408925,0.0,0.0
100,1291,5076,,,,5.4,17.13,,3.62,20.75,7.774999294395505,3.591,K7-M0(H),4.89,-0.67,1.02,0.66,6.87,Simbad,05 35 33.15,-05 19 57.46,1,V2524 Ori,K8.5,2.0,H,3910.0,-0.806,0.65,0.19,0.09,18.5,10.8,26.5,0.86,0.13,6.99,opt,R09,,,a,Simbad,83.8885,-5.33271,1.3763626342677502,0.3509580207526128,0.05236065508113028
101,1292,896,,,99.0,9.06,15.72,,,,,,,,,,,,Simbad,05 35 33.47,-05 15 23.12,1,V2527 Ori,M1.8,1.0,D10,3518.0,,,,,,,,,,6.29,NIR,C01,,,c,Simbad,83.88997,-5.25645,1.836977613744224,0.0,0.0
102,1296,900,,,99.0,15.6,14.62,,2.78,17.4,9.134998294395503,3.518,M3.5(H),0.18,-0.69,1.39,0.2,6.05,Simbad,05 35 33.79,-05 38 21.22,1,V804 Ori,M3.5,1.0,H,3260.0,-0.778,0.25,0.1,0.09,2.8,0.9,1.9,1.28,0.24,5.32,opt,H02,3.0,,,Simbad,83.89104,-5.63908,1.0366016044631328,0.21650141180075821,0.05236065508113028
103,1298,904,,,99.0,10.93,16.77,,3.76,20.53,7.874999294395504,3.562,M1(H),4.57,-0.57,1.3,0.4,6.24,Simbad,05 35 34.20,-05 33 21.32,1,V2532 Ori,M1,1.0,H,3630.0,-0.754,0.41,0.07,0.11,5.4,2.1,4.3,1.06,0.15,3.01,opt,R09,2.0,,,Simbad,83.89287,-5.556,1.354988170009368,0.34117717245466045,0.05236065508113028
104,1299,902,,,84.0,5.74,15.32,,,,,,,,,,,,Simbad,05 35 34.26,-05 26 59.32,1,2MASS J05353437-0526596,M7,1.0,H13,2650.0,,,,,,,,,,3.21,opt,R09,,,c,Simbad,83.89324,-5.44992,1.7992475871753475,0.0,0.0
105,1301,3002,,,,11.19,15.87,,3.32,19.19,,,,,,,,,Simbad,05 35 34.41,-05 13 07.60,1,2MASS J05353449-0513077,M6,1.0,H13,2800.0,-1.108,,,,,,,1.19,0.19,1.41,opt,H02,3.0,,b,Simbad,83.89375,-5.21881,1.3493989010803409,0.0,0.0
106,1302,903,,,99.0,8.76,15.59,,,,,,,,,,,,Simbad,05 35 34.50,-05 15 52.62,1,2MASS J05353461-0515528,M4.3,1.0,D10,3076.0,,,,,,,,,,,,,,,"c,f",Simbad,83.89425,-5.26467,1.802660766739942,0.0,0.0
107,1303,905,,,99.0,5.96,16.33,,,,,,,,,,,,Simbad,05 35 34.54,-05 27 14.82,1,2MASS J05353464-0527151,M4.7,1.0,D10,2964.0,,,,,,,,,,0.43,opt,R09,3.0,,c,Simbad,83.89437,-5.45421,1.658992944754672,0.0,0.0
108,1304,906,,,99.0,12.14,14.17,,2.45,16.62,8.534998294395505,3.526,M3(H),0.0,-0.58,1.51,0.23,5.98,Simbad,05 35 34.61,-05 34 38.02,1,V2539 Ori,M3,1.0,H,3360.0,-0.712,0.29,0.09,0.09,2.7,0.6,1.8,1.3,0.22,10.66,opt,H02,2.0,N,,Simbad,83.89452,-5.57725,1.1195504974213275,0.27707019361383173,0.05236065508113028
109,1306,910,,,99.0,6.49,15.89,,3.52,19.41,8.404998294395503,3.535,M2.5(H),2.92,-0.59,1.45,0.27,6.02,Simbad,05 35 35.01,-05 27 54.42,1,2MASS J05353512-0527548,M2,1.0,H13,3490.0,-0.638,0.36,0.07,0.06,3.0,1.0,1.3,1.31,0.18,1.37,opt,R09,3.0,N,,Simbad,83.89633,-5.46524,1.6899238526569105,0.29018603590311565,0.05236065508113028
110,1308,913,,,98.0,11.43,16.96,,1.59,18.55,9.184997294395503,3.679,K1-K5e(H),1.28,-1.52,0.26,,,Simbad,05 35 35.05,-05 33 49.02,1,V2542 Ori,K3,2.0,H,4550.0,-1.563,,,,,,,0.27,0.06,9.56,opt,H02,2.0,A,b,Simbad,83.89642,-5.56367,1.3691133587694544,0.2115521200339485,0.05236065508113028
111,1313,914,,,99.0,9.02,13.18,,2.09,15.27,7.124998294395505,3.555,M1-M2(H)M3(Eetal),0.06,-0.23,1.98,0.28,5.7,Simbad,05 35 35.49,-05 15 43.12,1,V425 Ori,M1.5,1.0,H,3560.0,-0.34,0.38,0.06,0.08,1.5,0.3,0.7,1.78,0.25,7.71,opt,E93,,,g,Simbad,83.89836,-5.26201,1.7425073122015406,0.41903875925452083,0.05236065508113028
112,1315,918,,,97.0,16.48,15.1,,2.41,17.51,,,,,,,,,Simbad,05 35 35.55,-05 39 09.02,2,V2547 Ori,M3,1.0,H13,3360.0,-1.084,0.26,0.08,0.1,6.8,2.9,5.7,0.85,0.14,0.76,opt,R09,2.0,,,Simbad,83.89834,-5.65227,1.145586513764942,0.0,0.0
113,1325,923,,2123.0,98.0,11.9,13.16,,2.12,15.28,6.824998294395504,3.562,M1(H),0.37,-0.15,2.11,0.29,5.59,Simbad,05 35 36.36,-05 34 11.02,1,V568 Ori,M1,1.0,H,3630.0,-0.334,0.43,0.08,0.09,1.7,0.4,0.9,1.72,0.24,1.15,opt,H02,2.0,,,Simbad,83.90184,-5.56976,1.2237315850254604,0.46083295247875117,0.05236065508113028
114,1326,3049,,,,5.95,16.49,,,,,,,,,,,,Simbad,05 35 36.41,-05 20 09.04,1,2MASS J05353650-0520094,M3.5,1.0,H13,3260.0,,,,,,,,,,9.87,MIR,M11,,,c,Simbad,83.90209,-5.33596,1.42989709103272,0.0,0.0
115,1331,927,,,99.0,15.28,13.96,,2.29,16.25,8.164998294395504,3.509,M4(H),0.0,-0.43,1.95,0.18,5.1,Simbad,05 35 36.73,-05 37 46.92,1,2MASS J05353679-0537464,M4,1.0,H,3160.0,-0.588,0.22,0.08,0.11,1.9,1.7,0.7,1.69,0.35,1.99,opt,R09,,,g,Simbad,83.90329,-5.62958,0.989024175595116,0.31343994750929544,0.05236065508113028
