recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag
397,R01- 2318,11.09,0.004,11.15,0.005,11.11,0.021,10.92,0.076,0.93,,,,[R2001]  2318,05 35 48.9,-05 00 28.6,1,16.04725,4.384,11.663251
398,Par 2215,11.19,0.005,10.75,0.005,10.55,0.014,9.97,0.036,2.66,M1,R01,H,Parenago 2215,05 35 49.0,-05 01 39.4,2,15.354857,0.6247,14.730158
399,Par 2235,10.71,0.007,10.65,0.005,10.35,0.064,9.14,0.115,8.63,M0-M0,H97,H,Parenago 2235,05 35 49.5,-05 35 26.3,2,13.926422,1.6349,12.291522
400,R01- 2337,11.36,0.005,11.59,0.008,11.39,0.033,10.89,0.08,1.55,,,,[R2001]  2337,05 35 50.4,-04 42 08.2,1,16.422377,,
401,R01- 2342,11.96,0.007,11.52,0.007,11.32,0.022,10.61,0.054,7.42,,,,[R2001]  2342,05 35 50.9,-04 43 23.1,1,17.482258,1.544,15.938258
402,Par 2243,9.58,0.002,9.25,0.002,8.92,0.004,7.94,0.006,4.98,,,,Parenago 2243,05 35 51.1,-05 07 08.9,2,13.564971,,
403,R01- 2356,11.23,0.005,11.17,0.006,11.16,0.031,10.75,0.081,6.24,M2,R01,H,[R2001]  2356,05 35 52.2,-05 39 24.7,1,16.253263,,
404,Par 2258,9.62,0.003,9.43,0.002,9.09,0.006,8.19,0.024,7.75,K5-K6,H97,H,Parenago 2258,05 35 52.8,-05 12 59.0,1,14.273129,0.4464,13.82673
405,R01- 2366,11.54,0.006,11.44,0.007,11.32,0.027,11.02,0.098,6.62,,,,[R2001]  2366,05 35 53.6,-05 02 34.5,1,16.769266,3.6844,13.084866
406,Par 2255,10.01,0.002,9.71,0.002,9.25,0.004,8.67,0.006,5.66,,,,Parenago 2255,05 35 54.1,-04 47 19.4,1,15.153193,,
407,JW 1025,11.54,0.008,11.26,0.008,10.85,0.066,9.41,0.101,4.52,M5.5,H97,L,JW 1025,05 35 54.2,-05 17 10.4,1,17.470192,,
408,HBJM 1026,9.54,0.004,9.06,0.003,8.85,0.03,7.9,0.064,4.21,M0.5,H97,H,[H97b] 1026,05 35 54.3,-05 26 44.5,1,14.256231,2.1909,12.065331
409,Par 2257,9.94,0.002,10.05,0.003,9.98,0.006,9.9,0.02,1.32,G6,R01,H,Parenago 2257,05 35 54.5,-04 48 04.9,1,11.814171,0.2432,11.570971
410,JW 1031,11.46,0.005,11.54,0.007,11.37,0.03,10.69,0.068,8.86,,,,JW 1031,05 35 55.0,-05 13 15.8,1,15.147061,,
411,Par 2268,10.86,0.004,10.86,0.005,10.94,0.035,10.9,0.177,6.54,K6,R01,H,Parenago 2268,05 35 56.1,-04 56 55.1,1,13.963237,,
412,R01- 2397,11.52,0.005,11.52,0.006,11.48,0.022,11.44,0.11,0.52,,,,[R2001]  2397,05 35 56.2,-05 52 28.5,2,15.629422,0.5705,15.058922
413,R01- 2400,10.0,0.002,9.64,0.002,9.46,0.008,8.9,0.023,4.88,,,,[R2001]  2400,05 35 56.9,-05 45 19.1,1,16.28562,2.7261,13.55952
414,R01- 2408,11.49,0.006,11.4,0.007,11.49,0.052,10.8,0.137,1.77,M2,R01,H,[R2001]  2408,05 35 57.5,-05 39 51.4,1,15.944698,0.9661,14.978599
415,R01- 2410,11.54,0.005,11.63,0.008,11.72,0.019,11.62,0.028,6.09,,,,[R2001]  2410,05 35 57.7,-06 11 24.7,1,15.252483,0.4431,14.809383
416,CHS 13140,12.24,0.007,12.3,0.011,12.34,0.026,12.44,0.054,2.27,,,,[CHS2001] 13140,05 35 58.3,-06 22 11.6,1,17.767403,,
417,HBJM 10874,13.11,0.01,12.56,0.01,12.33,0.038,11.5,0.084,2.8,,,,[H97b] 10874,05 35 58.8,-05 10 14.6,1,18.736795,,
418,R01- 2424,12.77,0.009,12.38,0.011,12.2,0.024,11.32,0.034,13.94,,,,[R2001]  2424,05 35 58.9,-06 02 39.7,1,17.2182,0.0016,17.2166
419,R01- 2425,11.85,0.006,11.82,0.008,11.83,0.026,11.83,0.07,9.09,,,,[R2001]  2425,05 35 59.0,-05 59 08.5,2,15.666935,0.4926,15.174335
420,Par 2282,11.5,0.005,11.57,0.008,11.61,0.044,11.42,0.186,8.6,M1,R01,H,Parenago 2282,05 35 59.2,-04 58 46.2,2,15.123196,0.4972,14.625996
421,JW 1044,11.07,0.007,10.9,0.005,10.42,0.044,9.38,0.094,2.98,M4.5,H97,L,JW 1044,05 35 59.5,-05 37 09.6,1,16.172014,,
422,Par 2307,8.78,0.003,8.44,0.002,8.17,0.002,7.51,0.002,9.21,,,,Parenago 2307,05 35 59.8,-06 16 06.6,1,13.214391,,
423,R01- 2434,12.08,0.008,12.29,0.013,12.03,0.037,11.84,0.126,1.01,,,,[R2001]  2434,05 35 59.9,-05 04 30.8,1,17.549625,,
424,R01- 2436,11.83,0.007,11.79,0.009,11.85,0.029,11.74,0.096,7.96,M2.5,R01,L,[R2001]  2436,05 36 00.2,-04 43 46.0,1,15.883095,0.694,15.189095
425,R01- 2437,9.8,0.002,9.91,0.003,9.72,0.005,9.7,0.008,9.47,K6,R01,H,[R2001]  2437,05 36 00.2,-06 03 29.5,1,14.687219,4.0696,10.617619
426,Par 2306,10.56,0.004,10.62,0.005,10.52,0.029,10.09,0.087,9.46,,,,Parenago 2306,05 36 00.8,-05 41 06.5,1,14.101925,2.1922,11.909725
427,Par 2304,10.28,0.002,10.24,0.003,10.32,0.014,10.27,0.058,2.52,,,,Parenago 2304,05 36 02.6,-05 07 36.5,1,13.722716,,
428,JW 1051,12.15,0.008,11.92,0.009,11.86,0.054,11.1,0.103,2.25,M3,H97,L,JW 1051,05 36 02.8,-05 32 54.4,1,17.515879,,
429,H97: 1053,11.76,0.008,11.54,0.009,11.26,0.051,10.22,0.089,1.05,M5,H97,L,[H97b] 1053,05 36 03.9,-05 30 18.8,1,16.612507,,
430,Par 2318,10.34,0.002,10.43,0.003,10.37,0.009,10.22,0.031,1.1,M0,R01,H,Parenago 2318,05 36 04.5,-05 09 28.9,1,13.681243,,
431,CHS 13694,10.74,0.003,10.64,0.004,10.76,0.009,10.54,0.016,2.54,,,,[CHS2001] 13694,05 36 05.2,-06 25 25.4,1,14.410564,,
432,Par 2332,9.56,0.002,9.58,0.002,9.51,0.007,9.46,0.03,4.46,K7,R01,H,Parenago 2332,05 36 07.3,-05 40 22.2,1,14.433728,,
433,H97: 5087,11.13,0.005,11.13,0.006,11.01,0.042,10.79,0.183,0.81,M4,H97,L,[H97b] 5087,05 36 08.7,-05 21 02.2,1,15.340031,,
434,R01- 2515,11.9,0.008,11.95,0.011,11.92,0.07,10.64,0.118,5.29,,,,[R2001]  2515,05 36 09.0,-05 44 48.0,2,15.721808,0.5117,15.210109
435,R01- 2517,10.62,0.003,10.61,0.004,10.55,0.009,10.46,0.031,6.55,M1,R01,H,[R2001]  2517,05 36 09.2,-05 51 02.9,1,15.075407,3.331,11.744407
436,Par 2348,11.33,0.004,11.4,0.007,11.36,0.016,11.35,0.024,6.95,K8,R01,H,Parenago 2348,05 36 09.4,-05 46 26.6,2,14.52724,0.9799,13.547339
437,R01- 2524,10.65,0.003,10.77,0.004,10.73,0.008,10.59,0.016,1.8,,,,[R2001]  2524,05 36 09.5,-06 18 36.3,1,14.296535,,
438,R01- 2532,13.07,0.01,12.94,0.012,12.89,0.049,12.44,0.129,0.54,,,,[R2001]  2532,05 36 10.0,-05 05 35.4,1,17.773455,,
439,H97: 5073,10.18,0.003,10.14,0.003,10.02,0.015,10.08,0.076,0.86,K3,H97,H,[H97b] 5073,05 36 10.5,-05 19 44.9,1,13.514942,0.8891,12.625842
440,Par 2347,10.18,0.003,10.14,0.003,10.02,0.015,10.08,0.076,6.01,K3,H97,H,Parenago 2347,05 36 10.5,-05 19 44.9,1,13.514942,0.8891,12.625842
441,R01- 2553,11.26,0.004,11.28,0.005,11.37,0.02,11.2,0.05,0.34,K3,R01,H,[R2001]  2553,05 36 11.4,-05 38 51.6,1,16.069683,3.3176,12.752083
442,R01- 2569,11.6,0.005,11.58,0.006,11.75,0.034,11.3,0.119,4.1,,,,[R2001]  2569,05 36 13.1,-04 55 13.8,1,16.017979,,
443,Par 2363,11.03,0.004,11.04,0.005,11.14,0.038,10.89,0.142,0.82,M0,R01,H,Parenago 2363,05 36 14.7,-05 37 35.0,1,14.611087,2.4374,12.173687
444,R01- 2596,11.89,0.006,11.82,0.008,11.72,0.023,11.37,0.077,1.24,,,,[R2001]  2596,05 36 15.8,-04 55 20.2,1,17.141603,,
445,HBJM 11056,13.8,0.011,13.2,0.014,12.82,0.041,11.84,0.054,3.74,,,,[H97b] 11056,05 36 16.2,-05 07 47.3,1,20.429327,,
446,CHS 14574,12.37,0.009,12.27,0.012,12.12,0.027,11.73,0.045,2.05,,,,[CHS2001] 14574,05 36 16.3,-05 40 02.2,1,17.01764,,
447,Par 2368,8.86,0.002,8.61,0.002,8.14,0.002,6.8,0.003,7.41,K6,R01,H,Parenago 2368,05 36 17.0,-05 11 42.8,1,12.598325,,
448,CHS 14673,11.63,0.005,11.61,0.008,11.51,0.015,11.41,0.024,6.19,,,,[CHS2001] 14673,05 36 17.7,-06 28 36.3,1,15.229865,0.4188,14.811065
449,HBJM 11082,11.83,0.006,11.79,0.009,11.75,0.023,11.77,0.056,1.5,,,,[H97b] 11082,05 36 18.8,-05 12 18.3,1,16.127329,0.8263,15.301029
450,R01- 2642,12.45,0.008,12.31,0.009,12.44,0.025,12.3,0.06,1.56,,,,[R2001]  2642,05 36 19.3,-05 00 28.4,1,17.342213,,
451,CHS 14797,10.86,0.003,10.57,0.004,10.2,0.006,9.4,0.007,3.65,,,,[CHS2001] 14797,05 36 19.4,-06 25 51.2,1,16.946981,,
452,H97: 5002,11.84,0.006,11.54,0.007,11.24,0.018,10.32,0.039,3.94,,,,[H97b] 5002,05 36 19.9,-05 13 06.5,1,17.08172,,
453,Par 2378,10.56,0.003,10.63,0.004,10.72,0.01,10.52,0.023,10.18,K7,R01,H,Parenago 2378,05 36 20.6,-05 41 39.6,1,13.619318,,
454,Par 2384,10.47,0.003,10.39,0.003,9.95,0.006,8.99,0.005,5.97,K7,R01,H,Parenago 2384,05 36 24.2,-05 44 48.6,1,13.725049,1.2531,12.471949
455,H97: 5065,12.13,0.007,12.07,0.009,12.15,0.048,11.83,0.182,1.31,,,,[H97b] 5065,05 36 25.6,-05 18 42.0,1,16.807705,,
456,R01- 2711,11.17,0.004,11.38,0.007,11.38,0.018,11.19,0.058,9.57,M0.5,R01,H,[R2001]  2711,05 36 25.8,-04 50 19.8,1,14.328652,0.4537,13.874952
457,R01- 2715,8.27,0.002,7.88,0.002,7.47,0.001,6.69,0.002,4.36,,,,[R2001]  2715,05 36 26.1,-06 08 03.8,1,14.491327,4.433,10.058327
458,R01- 2722,11.09,0.003,11.11,0.005,10.51,0.008,9.86,0.02,2.21,,,,[R2001]  2722,05 36 26.9,-05 56 30.2,1,17.71885,,
459,R01- 2724,12.5,0.01,12.11,0.011,11.75,0.02,11.03,0.037,2.64,M6,R01,L,[R2001]  2724,05 36 26.9,-04 55 06.2,1,17.546066,,
460,Par 2390,10.76,0.003,10.73,0.004,10.8,0.01,10.7,0.017,5.08,,,,Parenago 2390,05 36 27.3,-05 46 42.4,1,13.946177,1.1708,12.775376
461,H97: 5146,10.3,0.002,10.1,0.003,9.82,0.006,9.11,0.016,5.88,M2.5,H97,H,[H97b] 5146,05 36 27.5,-05 30 55.6,1,14.489546,,
462,R01- 2751,11.52,0.005,11.54,0.007,11.33,0.016,10.95,0.029,5.66,,,,[R2001]  2751,05 36 29.3,-04 53 51.0,1,15.745256,,
463,H97: 5079,10.8,0.004,10.64,0.004,10.8,0.013,10.74,0.047,5.06,M1,H97,H,[H97b] 5079,05 36 29.7,-05 20 06.8,1,14.720513,2.6677,12.052814
464,H97: 5078,10.68,0.003,10.8,0.005,10.61,0.012,10.35,0.044,2.46,,,,[H97b] 5078,05 36 30.2,-05 20 06.0,1,14.721642,,
