recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag
129,R01- 1480,12.19,0.007,12.23,0.009,12.28,0.022,12.2,0.025,2.75,,,,[R2001]  1480,05 34 48.1,-06 18 11.6,1,16.096434,0.5543,15.542133
130,Par 1598,9.59,0.003,9.63,0.003,9.52,0.018,9.42,0.032,6.82,M1,R01,H,Parenago 1598,05 34 48.2,-04 47 40.1,1,13.39537,,
131,H97: 3130,12.77,0.011,12.48,0.012,12.4,0.048,11.28,0.067,3.46,M4.5,H97,L,[H97b] 3130,05 34 48.2,-05 30 10.2,1,18.520403,,
132,JW 94,11.14,0.004,11.27,0.006,10.98,0.022,10.74,0.067,4.75,M2.5,H97,H,JW 94,05 34 48.3,-05 32 35.1,1,16.838728,,
133,Par 1612,10.72,0.003,10.67,0.004,10.68,0.011,10.65,0.05,1.3,K8,H97,H,Parenago 1612,05 34 48.3,-05 37 22.8,1,13.902919,1.3239,12.579019
134,Par 1603,11.38,0.006,11.39,0.008,11.46,0.017,11.33,0.029,9.0,,,,Parenago 1603,05 34 48.4,-05 05 01.4,2,15.106976,,
135,Par 1613,10.87,0.003,10.9,0.004,10.92,0.018,10.99,0.083,2.98,K6,R01,H,Parenago 1613,05 34 48.5,-05 41 58.2,1,13.686006,0.5104,13.175606
136,R01- 1489,11.43,0.006,11.18,0.006,10.87,0.023,10.1,0.044,5.65,M3.5,R01,L,[R2001]  1489,05 34 48.6,-04 47 50.0,1,16.059444,0.4866,15.5728445
137,JW 100,11.88,0.007,11.39,0.007,11.13,0.02,10.53,0.053,2.09,M2.5,H97,H,JW 100,05 34 48.8,-05 33 33.1,1,16.783361,,
138,JW 99,9.83,0.004,9.94,0.005,9.69,0.031,9.26,0.109,1.69,M1,H97,H,JW 99,05 34 48.8,-05 23 18.0,1,14.555361,4.2597,10.295661
139,JW 101,11.65,0.014,10.63,0.006,9.47,0.031,7.59,0.036,9.37,,,,JW 101,05 34 48.9,-05 31 45.9,1,15.411764,0.341,15.070765
140,R01- 1493,12.19,0.009,12.19,0.011,12.09,0.048,11.44,0.135,11.45,,,,[R2001]  1493,05 34 48.9,-04 57 14.3,1,16.55936,1.0268,15.53256
141,JW 104,11.24,0.006,10.77,0.005,10.55,0.033,9.66,0.07,1.78,M3,H97,L,JW 104,05 34 49.1,-05 26 26.6,1,16.484816,0.7166,15.768215
142,Par 1625,10.35,0.002,10.05,0.003,9.78,0.005,8.99,0.008,6.95,M3.5,R01,L,Parenago 1625,05 34 49.1,-05 46 05.0,1,15.064927,,
143,CHS 5951,11.07,0.004,10.89,0.004,10.65,0.008,9.73,0.008,10.03,,,,[CHS2001] 5951,05 34 50.0,-06 28 12.1,1,14.262395,1.8864,12.375995
144,Par 1622,10.91,0.005,10.85,0.007,10.96,0.045,10.55,0.164,4.94,K8,H97,H,Parenago 1622,05 34 50.5,-05 11 10.6,1,14.44855,2.0462,12.40235
145,JW 114,10.78,0.007,10.59,0.006,10.21,0.037,9.44,0.097,8.73,M1,H97,H,JW 114,05 34 50.5,-05 23 35.4,1,15.871574,,
146,Par 1633,10.13,0.003,10.23,0.004,10.07,0.022,9.68,0.079,2.34,K5,H97,H,Parenago 1633,05 34 50.7,-05 24 01.4,1,13.0578,,
147,JW 117,9.46,0.002,9.22,0.002,8.9,0.006,8.37,0.026,8.87,M0,H97,H,JW 117,05 34 50.7,-05 27 01.1,1,14.344956,2.5445,11.800456
148,R01- 1518,11.76,0.006,11.79,0.008,11.73,0.019,11.64,0.054,5.82,M1,R01,H,[R2001]  1518,05 34 50.9,-06 00 13.6,1,15.392712,0.441,14.951712
149,Par 1643,9.79,0.002,9.98,0.003,9.67,0.006,9.17,0.024,3.2,,,,Parenago 1643,05 34 51.0,-05 42 21.4,1,12.488465,0.4914,11.997066
150,Par 1620,10.19,0.002,10.24,0.003,10.12,0.009,9.84,0.031,1.29,,,,Parenago 1620,05 34 51.1,-04 43 41.4,1,13.155997,,
151,JW 121,9.66,0.003,9.22,0.003,8.7,0.016,7.92,0.045,5.54,M3,H97,L,JW 121,05 34 51.2,-05 16 54.9,1,16.548773,,
152,R01- 1524,12.1,0.007,11.94,0.009,11.95,0.022,11.93,0.051,3.15,M4,R01,L,[R2001]  1524,05 34 51.4,-05 00 11.4,1,16.2817,0.8055,15.4762
153,Par 1642,8.64,0.002,8.23,0.002,7.9,0.004,6.88,0.013,6.63,K2,H97,H,Parenago 1642,05 34 51.6,-05 25 13.0,1,13.957253,2.0986,11.858654
154,HBJM 10288,10.4,0.003,10.36,0.003,10.17,0.01,9.84,0.038,7.44,,,,[H97b] 10288,05 34 51.8,-05 39 24.1,1,15.290154,,
155,R01- 1526,10.4,0.003,10.36,0.003,10.17,0.01,9.84,0.038,7.36,,,,[R2001]  1526,05 34 51.8,-05 39 24.1,1,15.290154,,
156,R01- 1528,11.44,0.004,11.52,0.007,11.46,0.015,11.34,0.023,1.82,,,,[R2001]  1528,05 34 52.1,-06 03 20.7,1,14.939937,,
157,R01- 1535,11.55,0.005,11.46,0.007,11.43,0.014,11.31,0.021,0.9,M3,R01,L,[R2001]  1535,05 34 52.4,-06 11 57.0,1,15.346974,,
158,JW 133,10.76,0.004,10.82,0.005,10.81,0.029,10.66,0.121,2.03,M1.5,H97,H,JW 133,05 34 52.6,-05 24 03.8,1,14.507621,,
159,JW 135,9.78,0.003,9.45,0.002,9.1,0.009,8.28,0.026,3.69,M3,H97,L,JW 135,05 34 52.7,-05 29 45.3,1,15.506721,,
160,JW 136,9.12,0.002,8.87,0.003,8.67,0.008,7.93,0.028,8.65,,,,JW 136,05 34 52.7,-05 27 55.0,1,14.828218,,
161,JW 137,9.12,0.002,8.87,0.003,8.67,0.008,7.93,0.028,8.65,,,,JW 137,05 34 52.7,-05 27 53.0,1,15.193907,,
162,JW 138,11.23,0.007,10.94,0.007,10.13,0.037,8.89,0.065,4.44,M3.5,H97,L,JW 138,05 34 52.9,-05 28 59.1,1,16.059362,0.2484,15.810963
163,JW 140,11.05,0.003,11.08,0.005,11.04,0.014,11.27,0.051,4.58,M3.5,H97,L,JW 140,05 34 53.4,-05 10 27.9,1,15.390889,,
164,R01- 1555,12.76,0.01,12.4,0.011,12.06,0.026,11.4,0.058,2.02,,,,[R2001]  1555,05 34 53.5,-05 40 04.0,1,17.465794,,
165,JW 149,11.08,0.008,10.83,0.006,10.29,0.036,9.24,0.068,2.76,M3,H97,L,JW 149,05 34 54.6,-05 28 18.2,1,17.200209,,
166,Par 1655,11.31,0.004,11.35,0.006,11.36,0.014,11.46,0.044,7.36,,,,Parenago 1655,05 34 55.4,-05 01 39.4,1,14.918934,0.5525,14.366434
167,JW 156,9.76,0.002,9.49,0.002,8.82,0.005,7.79,0.015,7.92,M0.5,H97,H,JW 156,05 34 55.6,-05 36 06.2,1,17.04217,5.9491,11.093069
168,Par 1659,8.05,0.002,8.09,0.002,7.93,0.003,7.96,0.023,17.4,K2,H97,H,Parenago 1659,05 34 56.0,-05 23 13.0,1,11.099768,1.1575,9.942267
169,JW 158,10.27,0.002,10.3,0.003,10.27,0.014,10.08,0.046,1.92,M1.5,H97,H,JW 158,05 34 56.0,-05 29 26.4,1,14.537218,4.1212,10.416018
170,JW 159,10.74,0.005,10.82,0.005,10.62,0.037,10.16,0.119,1.12,M2,H97,H,JW 159,05 34 56.0,-05 31 13.1,1,14.831566,,
171,R01- 1591,11.39,0.004,11.39,0.006,11.48,0.017,11.49,0.051,0.46,,,,[R2001]  1591,05 34 56.1,-05 06 01.8,1,15.550913,,
172,R01- 1592,11.55,0.005,11.53,0.006,11.57,0.016,11.51,0.022,4.19,,,,[R2001]  1592,05 34 56.3,-06 04 17.4,1,15.110431,,
173,JW 166,11.61,0.005,11.69,0.008,11.57,0.031,11.08,0.124,0.67,M5,H97,L,JW 166,05 34 56.4,-05 38 05.2,1,15.72338,,
174,JW 164,10.53,0.003,10.28,0.003,9.91,0.01,9.11,0.027,6.52,M2,H97,H,JW 164,05 34 56.5,-05 27 51.1,1,15.322326,,
175,R01- 1595,11.61,0.006,11.87,0.009,11.72,0.05,10.71,0.115,0.84,M2,R01,H,[R2001]  1595,05 34 56.6,-05 52 07.0,1,15.738347,0.5565,15.181847
176,JW 168,11.83,0.008,11.85,0.008,11.82,0.037,11.76,0.145,0.92,M5.5,H97,L,JW 168,05 34 56.8,-05 26 37.2,1,16.601412,1.1746,15.426812
