,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
423,499,381,,1809,99,7.24,13.25,,2.11,15.36,6.67499729439551,3.571,M0.5(H),0.6,-0.14,2.04,0.32,5.7,Simbad,05 35 12.11,-05 30 32.42,1,107,LW Ori,M0.5,1,H,3700,-0.334,0.45,0.06,0.13,1.8,0.5,1.4,1.66,0.23,7.75,opt,P09,2,,,Simbad,83.80087,-5.50914,1.55252608873145,0.482571170226526,0.0791312828659902
424,500,378,a,1808,99,1.14,12.89,,2.11,15,6.1049982943955,3.58,K1(H)M0(Sam),0.81,0.05,2.44,0.31,5.27,Simbad,05 35 12.17,-05 23 47.72,1,614,V1228 Ori,K1,1,H,4920,,,,,,,,,,9.03,opt,H00,,,c,Simbad,83.80115,-5.39666,1.60351928569054,0.57785186482701,0.0791312828659902
425,512,387,,,99,3.91,16.1,,,,,3.54,M2-2.5(H),0,-1.4,0.56,0.25,7.08,Simbad,05 35 12.59,-05 19 35.22,2,613,V2225 Ori,M3,1,H,3360,,,,,,,,,,7.44,opt,H02,,,c,Simbad,83.80287,-5.3265,1.4865386310163,,0
426,513,392,,,99,3.91,15.21,,,,,3.465,M6-M6.5(H),0,-0.62,1.93,0.11,4.48,Simbad,05 35 12.60,-05 27 10.32,1,609,JW 392,M6.25,1,H,2762.5,,,,,,,,,,3.9,opt,P09,,,c,Simbad,83.80295,-5.45295,1.64033564431978,,0
427,514,383,,,99,7.22,14.57,,3.06,17.63,8.2349982943955,3.526,M3(H),1.31,-0.43,1.82,0.22,5.64,Simbad,05 35 12.61,-05 16 13.32,1,202,V1492 Ori,M3,1,H,3360,-0.51,0.31,0.09,0.09,1.8,0.5,0.7,1.64,0.27,7.11,opt,S99,3,,,Simbad,83.80295,-5.27042,1.47632358674315,0.307075697188433,0.0791312828659902
428,515,386,,,99,6.57,14.05,,3.5,17.55,4.5549972943955,3.602,K6-K8(H),4.91,0.57,4.04,0.31,4.15,Simbad,05 35 12.64,-05 16 52.62,1,50,2MASS J05351273-0516527,K8,1,H13,3940,0.386,0.72,0.19,0,0.6,0.2,0.1,3.35,0.4,1.08,opt,R09,3,N,,Simbad,83.80308,-5.28133,1.49117700323059,1.04341309574191,0.0791312828659902
429,517,390,,,99,2.88,15.05,,2.55,17.6,9.51499829439551,3.494,M5(H),0,-0.78,1.4,0.13,5.42,Simbad,05 35 12.69,-05 20 38.82,1,258,2MASS J05351278-0520390,M3,1,H13,3360,-1.02,0.26,0.08,0.09,5.6,2.1,4.4,0.91,0.15,2.42,opt,R09,,,g,Simbad,83.80321,-5.34417,1.2160112255892,0.183775872216152,0.0791312828659902
430,518,388,,,99,8.03,13.57,,2.62,16.189999,5.4549972943955,3.602,K5(H)M0.3(P)M1(Eetal),2.65,0.22,2.67,0.38,5.4,Simbad,05 35 12.72,-05 15 23.82,1,38,V485 Ori,K5,1,H,4140,0.248,0.83,0.2,0.25,1,0.3,0.8,2.59,0.38,9.08,opt,E93,3,N,,Simbad,83.80341,-5.25667,1.4822799026788,0.737492153111116,0.0791312828659902
431,523,393,,,99,4.4,15.1,,3.1,18.2,,,,,,,,,Simbad,05 35 12.91,-05 19 03.92,1,53,V2230 Ori,K6,1,D10,4020,-0.145,0.71,0.11,0.16,2.3,0.8,1.8,1.75,0.23,4.85,opt,R09,3,,,Simbad,83.80421,-5.31782,1.51735910031352,,0
432,526,394,,,99,3,14.98,,3.84,18.82,4.5849982943955,3.623,K6(H),6.15,0.49,3.32,0.47,5.07,Simbad,05 35 12.94,-05 20 30.02,1,63,2MASS J05351304-0520302,K6,1,H,4020,0.364,0.68,0.12,0.18,0.6,0.1,0.2,3.14,0.41,4.48,opt,R09,3,,,Simbad,83.80435,-5.34174,1.57227370609557,1.03068319670245,0.0791312828659902
