,recno,ID,m_ID,Parenago,Mem,Rproj,Imag,l_V-I,VmI,V,Vmag,logT,SpT_1,AV,log(L),R,M,log(age),Simbad_1,RAJ2000,DEJ2000,single,recno_2,Name,SpT_2,e_SpT,ref1,Teff,logL,M*,e_M*_2,E_M*_2a,Age,e_Age_2,E_Age_2a,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad_2,_RA,_DE,Separation,Mass_calc,Mass_e
517,839,582,,,99,0.44,14.96,,3.69,18.65,6.8149982943955,3.544,M2(H),3.75,-0.03,2.62,0.22,4.71,Simbad,05 35 18.12,-05 23 15.22,1,188,MAX 150,M2,1,H,3490,-0.16,0.32,0.03,0.11,1,0.5,0.3,2.27,0.32,,,,,A,f,Simbad,83.82597,-5.38767,1.72953439545448,0.462926466111838,0.0791312828659902
518,845,591,,,99,5.41,13.99,,2.8,16.789999,,,,,,,,,Simbad,05 35 18.19,-05 28 45.82,1,187,2MASS J05351829-0528461,M2.5,1,Sta,3425,-0.386,0.33,0.07,0.08,1.5,0.3,0.5,1.82,0.27,5.09,opt,P09,,,g,Simbad,83.82621,-5.47949,1.53808058437054,,0
519,848,588,,,99,0.83,15.92,,3.54,19.46,8.8249982943955,3.526,M3(H),2.55,-0.66,1.38,0.23,6.06,Simbad,05 35 18.23,-05 24 04.42,1,238,V1336 Ori,M3,1,H,3360,-0.751,0.28,0.07,0.1,2.9,0.6,1.9,1.24,0.21,,,,,,f,Simbad,83.82633,-5.40133,1.38195710489353,0.248059280026711,0.0791312828659902
520,849,3140,,,,8.33,15.78,,2.3,18.08,,,,,,,,,Simbad,05 35 18.23,-05 31 41.65,1,489,V1513 Ori,K1,1,H13,4920,-0.572,,,,,,,0.71,0.09,11.05,opt,S99,2,,b,Simbad,83.82628,-5.52836,1.23589427718271,,0
521,852,589,,1925,99,0.89,11.3,,2.12,13.42,2.12499829439551,3.719,K0(H)G8-K0:(HT)K1IV(Ham)M0(Eetal),3.21,1.23,5.01,2.73,5.69,Simbad,05 35 18.26,-05 22 37.02,1,2,V1229 Ori,K0,1,H,5030,1.119,2.86,0.18,0.13,1.2,0.3,0.5,4.77,0.58,14.3,opt,H00,3,,a,Simbad,83.82657,-5.37705,1.78105298175947,,0
522,855,9224,,,99,1.16,15.16,,3.95,19.11,6.9949982943955,3.535,M2.5(H),4.03,-0.03,2.76,0.2,4.53,Simbad,05 35 18.28,-05 24 26.32,2,195,2MASS J05351836-0524267,M2.5,1,H,3425,-0.136,0.31,0.04,0.12,0.9,0.7,0.3,2.42,0.36,,,,,,f,Simbad,83.82652,-5.40743,1.33671219791131,0.437549043532096,0.0791312828659902
523,864,592,,,99,5.06,14.37,,2.58,16.95,8.35499829439551,3.535,M2.5(H)M4(Eetal),0.51,-0.57,1.48,0.27,6,Simbad,05 35 18.43,-05 18 20.42,1,186,2MASS J05351853-0518205,M2.5,1,H,3425,-0.675,0.33,0.08,0.06,2.9,0.9,1.5,1.3,0.2,7.92,opt,H02,3,,,Simbad,83.82725,-5.30572,1.65190947975915,0.295452089683061,0.0791312828659902
524,868,596,,1927,99,0.56,13.06,,2.52,15.58,3.8249982943955,3.679,K2-K5e(H),3.67,0.63,3.01,1.07,5.66,Simbad,05 35 18.55,-05 23 13.52,1,10,AF Ori,G8,3,H13,5210,0.698,2,0.3,0.23,4.2,2,3.4,2.74,0.44,,,,2,A,"a,f",Simbad,83.82776,-5.3872,1.72555506309633,,0
525,882,601,,1921,98,7.17,12.52,,1.25,13.77,5.27499929439551,3.679,K3-K4(H)K2.5-K5(P)K5(Eetal)K2V(Ham),0.41,0.05,1.55,1.17,6.55,Simbad,05 35 18.79,-05 16 13.72,1,23,MU Ori,K3,1,StE,4550,0.001,1.28,0.17,0.09,6.9,3.6,5.1,1.61,0.24,2.22,opt,H02,3,N,a,Simbad,83.82873,-5.27056,1.59896492554085,0.78792963457167,0.0791312828659902
526,886,606,,,99,2.33,13.68,,3.33,17.01,7.12499829439551,3.522,M3.3(P),1.8,0.06,3.25,0.14,3.87,Simbad,05 35 18.85,-05 21 07.62,1,203,V2343 Ori,M3.3,1,P,3300,-0.03,0.31,0.1,0.06,0.3,0.25,0.6,2.95,0.52,5.62,opt,H02,,,g,Simbad,83.829,-5.35217,1.65398813670442,0.41903679471549,0.0791312828659902
527,889,9243,,,,1.24,14.99,,3.63,18.619999,5.2949972943955,3.602,K7(H),5.24,0.28,2.88,0.37,5.06,Simbad,05 35 18.90,-05 22 18.47,2,64,2MASS J05351894-0522187,K7,1,H,3970,0.161,0.67,0.08,0.05,0.9,0.2,0.3,2.54,0.3,,,,3,A,f,Simbad,83.82896,-5.37186,0.78587707953735,0.78224822636118,0.0791312828659902
528,890,607,,,99,0.77,13.64,,1.86,15.5,4.9549982943955,3.713,G8-K2(H)<=K5(P),2.46,0.11,1.42,1.31,6.86,Simbad,05 35 18.95,-05 23 49.22,1,26,V1337 Ori,K0,2,H,5030,0.02,1.14,0.11,0.19,17.5,8,9.5,1.34,0.21,,,,2,N,"a,f",Simbad,83.82946,-5.39711,1.83688788600722,0.889181256616658,0.0791312828659902
529,898,5147,,,,7.7,17.19,,,,,,,,,,,,Simbad,05 35 19.11,-05 31 02.66,1,525,V2346 Ori,M6,1,H13,2800,,,,,,,,,,11.88,opt,P09,2,,c,Simbad,83.83004,-5.51751,1.5338766687645,,0
530,900,9250,,,,0.87,14.23,,2.8,17.029999,5.1249972943955,3.643,K5(H),3.82,0.2,2.19,0.68,5.79,Simbad,05 35 19.15,-05 22 50.62,1,37,2MASS J05351921-0522506,K5,1,H,4140,0.097,0.83,0.19,0.28,1.5,0.6,1.4,2.17,0.32,2.27,opt,H02,3,,,Simbad,83.83005,-5.38074,0.926946881578723,0.834173046852434,0.0791312828659902
531,907,618,,,2,13.5,13.91,,2.74,16.65,,,,,,,,,Simbad,05 35 19.41,-05 36 51.14,1,235,V1731 Ori,M3.4,1,D10,3280,-0.505,0.28,0.08,0.1,1.7,1.2,0.6,1.73,0.32,5.82,opt,Re01,3,,,Simbad,83.83121,-5.61439,1.3716456032387,,0
532,909,620,,,99,0.96,14.41,,2.59,17,6.6649982943955,3.591,K8(H),2.25,-0.23,1.69,0.45,5.93,Simbad,05 35 19.50,-05 23 56.92,1,91,V2354 Ori,M0,1,H13,3770,-0.457,0.51,0.1,0.14,3.2,1.2,2.7,1.39,0.19,8.09,opt,H02,3,A,,Simbad,83.83165,-5.39919,1.44296121523963,0.48387785100915,0.0791312828659902
533,910,622,,1940,99,1.32,12.89,,2.46,15.35,7.0649992943955,3.535,M0-M2.5e(H)M0.5(P)<M0(Sam),0.2,-0.05,2.68,0.2,4.6,Simbad,05 35 19.56,-05 24 26.12,1,95,V2356 Ori,M0.5,1,P,3700,0.028,0.51,0.15,0.05,0.9,0.2,0.2,2.52,0.34,3.77,opt,P09,2,A,,Simbad,83.83191,-5.40739,1.54708936590765,0.427644005806171,0.0791312828659902
534,911,626,,,99,12.24,15.4,,3.01,18.41,10.3249982943955,3.494,M5(H),0,-0.92,1.19,0.13,5.95,Simbad,05 35 19.58,-05 35 35.52,1,585,2MASS J05351966-0535356,M5,1,H,2880,-1.064,,,,,,,1.18,0.27,1.63,opt,H02,,N,b,Simbad,83.83196,-5.59325,1.36149512851037,0.144344768263005,0.0791312828659902
535,913,628,,,99,7.29,14.39,,3.5,17.89,,,,,,,,,Simbad,05 35 19.69,-05 30 37.02,1,411,V1514 Ori,M5.5,1,H13,2840,-0.588,0.1,0.01,0.08,0.08,0.03,0.92,2.1,0.36,2.26,opt,S99,3,,,Simbad,83.83248,-5.51045,1.6814050747567,,0
536,915,624,,,98,1.31,15.44,,2.88,18.32,,,late-M(H),,,,,,Simbad,05 35 19.72,-05 22 21.33,1,184,2MASS J05351981-0522216,M2.1,1,D10,3477,-0.87,0.33,0.06,0.07,5.2,1.9,3,1.01,0.14,10,opt,R09,,,g,Simbad,83.83258,-5.37267,1.50806379176894,,0
537,916,625,,,99,1.64,14.39,,1.07,15.46,7.37499829439551,3.562,M1(H)M6-M6.5(H),0,-0.73,1.08,0.42,6.52,Simbad,05 35 19.74,-05 24 47.52,1,57,MLLA 151,K7,1,H13,3970,-0.828,0.69,0.05,0.03,26.5,10.5,12.5,0.81,0.1,,,,3,N,"a,f",Simbad,83.83266,-5.41333,1.5421449636314,0.388964397606666,0.0791312828659902
538,917,633,,,98,7.73,16.19,,,,,,,,,,,,Simbad,05 35 19.76,-05 31 03.42,1,518,V2360 Ori,M3e,1,H13,3360,,,,,,,,,,4.23,MIR,M11,2,,c,Simbad,83.83275,-5.51772,1.53869489556717,,0
539,918,632,,,99,7.2,15.32,,4.01,19.33,10.1349982943955,3.483,M5.5(H),1.11,-0.54,1.94,0.13,4.63,Simbad,05 35 19.77,-05 30 31.82,1,413,2MASS J05351986-0530321,M5.5,1,H,2840,-0.773,0.1,0.03,0.06,0.2,0.1,1.9,1.7,0.29,3.78,opt,H02,,,g,Simbad,83.83278,-5.50894,1.49621819350347,0.151866758327311,0.0791312828659902
540,920,639,,1941,99,10.55,13.62,,2.53,16.15,,,,,,,,,Simbad,05 35 19.85,-05 33 53.22,1,261,V1515 Ori,M3.5,1,H13,3260,-0.472,0.26,0.07,0.1,1.5,1.2,0.6,1.82,0.34,5.24,opt,H00,3,,,Simbad,83.8331,-5.56486,1.43023803228087,,0
541,923,638,,,99,5.88,17.03,,,,,,,,,,,,Simbad,05 35 19.92,-05 29 11.52,1,544,V2362 Ori,M5e,1,H13,2880,,,,,,,,,,2.79,MIR,M11,,,c,Simbad,83.83342,-5.48664,1.5532870134834,,0
542,926,636,,,99,2.41,13.4,,2.46,15.86,6.17499729439551,3.575,M0.3(P),1.6,0.04,2.47,0.29,5.11,Simbad,05 35 19.94,-05 25 37.22,1,99,V1516 Ori,M0.3,1,P,3728,-0.161,0.49,0.09,0.09,1.3,0.3,0.7,2,0.27,11.68,opt,H02,2,,,Simbad,83.83351,-5.4271,1.56645840604821,0.565951992997416,0.0791312828659902
543,927,634,,,99,2.79,16.28,,,,,,,,,,,,Simbad,05 35 19.98,-05 20 43.82,1,554,V2363 Ori,M2,2,H13,3490,,,,,,,,,,5.38,opt,H02,,,c,Simbad,83.83368,-5.34554,1.54624779370528,,0
544,932,642,,,99,5.39,15.96,,2.85,18.81,10.7249982943955,3.494,M5(H),0,-1.14,0.92,0.12,6.23,Simbad,05 35 20.07,-05 28 41.22,1,587,2MASS J05352016-0528416,M5,1,H,2880,-1.288,,,,,,,0.91,0.21,1.99,opt,R09,,,b,Simbad,83.83403,-5.47824,1.51773714575457,0.129089584275834,0.0791312828659902
545,933,646,,,99,11.61,15.67,,3.35,19.02,8.8749992943955,3.526,M3(H),2.06,-0.68,1.35,0.23,6.08,Simbad,05 35 20.07,-05 34 57.02,1,246,2MASS J05352016-0534572,M3,1,H,3360,-0.769,0.28,0.07,0.1,3,0.7,2.1,1.22,0.2,1.94,opt,H02,2,,,Simbad,83.83401,-5.58256,1.39328139304997,0.243009786666221,0.0791312828659902
546,934,3075,,,,0.95,,,,,,,,,,,,,Simbad,05 35 20.08,-05 23 08.23,1,620,2MASS J05352017-0523085,M2,1,SHC-ir,3490,,,,,,,,,,9.02,MIR,M11,,,c,Simbad,83.83408,-5.38569,1.50304838637508,,0
547,937,9261,,,,1.29,16.85,,4.96,21.810001,,,,,,,,,Simbad,05 35 20.12,-05 22 28.82,1,221,2MASS J05352012-0522281,M3,1,H13,3360,-0.236,0.29,0.06,0.13,1.1,0.9,0.3,2.25,0.37,3.51,opt,R09,2,,,Simbad,83.83408,-5.37453,1.02165048190495,,0
548,938,635,,,99,9.44,15.88,,4.1,19.98,9.39499829439551,3.5,M4.5(H),2.5,-0.54,1.8,0.16,5.13,Simbad,05 35 20.14,-05 13 59.22,1,350,2MASS J05352024-0513593,M4.5,1,H,3020,-0.653,0.16,0.06,0.11,0.7,0.61,1.7,1.72,0.34,4.12,opt,H02,2,,,Simbad,83.83436,-5.23316,1.59698519328802,0.192861175181699,0.0791312828659902
549,940,649,,,98,8.95,15.69,,3.84,19.529999,11.4449972943955,3.471,M6(H),0,-0.86,1.41,0.1,4.88,Simbad,05 35 20.18,-05 32 16.52,1,575,V1518 Ori,M6,1,H,2800,-1.036,,,,,,,1.29,0.2,1.81,opt,H02,2,,b,Simbad,83.83449,-5.53801,1.49103685184269,,0
550,941,647,,1963,99,7.34,13.65,,2.31,15.959999,7.8749972943955,3.494,M5e(H),0,-0.22,2.66,0.15,4.17,Simbad,05 35 20.20,-05 30 39.02,1,106,MY Ori,M0.5e,1,H13,3700,-0.369,0.45,0.07,0.12,2,0.6,1.5,1.59,0.22,8.2,opt,P09,2,A,,Simbad,83.83456,-5.51098,1.49820820302643,0.341273308428593,0.0791312828659902
551,944,5119,,,,3.06,16.62,,1.37,17.990002,9.90500029439551,3.483,M5.5(H),0,-1.33,0.78,0.09,6.32,Simbad,05 35 20.26,-05 26 17.04,1,565,2MASS J05352035-0526173,M5.5,1,H,2840,-1.48,,,,,,,0.75,0.13,2.14,opt,H02,3,A,b,Simbad,83.8348,-5.43816,1.41428134239456,0.161509195156636,0.0791312828659902
552,946,643,,,99,6.22,15.06,,3.7,18.76,6.2549982943955,3.562,M1(H),4.42,0.08,2.74,0.25,4.73,Simbad,05 35 20.31,-05 17 14.22,1,129,V2367 Ori,M1,1,H,3630,-0.108,0.41,0.08,0.1,1,0.2,0.3,2.23,0.31,5.81,opt,R09,2,,,Simbad,83.83508,-5.28733,1.63965990602614,0.551657475912932,0.0791312828659902
553,950,650,,,98,2.7,15.5,,,,,,,,,,,,Simbad,05 35 20.42,-05 20 52.02,1,526,2MASS J05352052-0520522,M3.5,1,H13,3260,,,,,,,,,,,,,3,,"c,f",Simbad,83.83554,-5.34777,1.6375478490191,,0
554,954,651,,,99,2.84,15.37,,,,,,,,,,,,Simbad,05 35 20.46,-05 20 43.12,1,454,V1521 Ori,M3,1,D10,3360,,,,,,,,,,3.32,opt,S99,,,c,Simbad,83.83571,-5.34533,1.6502002269029,,0
555,957,658,,,99,1.73,13.58,,,,,3.544,M2e(H),0,-0.4,1.73,0.29,5.83,Simbad,05 35 20.52,-05 24 46.02,1,598,2MASS J05352062-0524464,M2e,1,H,3490,,,,,,,,,,3.2,opt,P09,2,A,c,Simbad,83.83595,-5.41289,1.65786097886972,,0
556,958,657,,,,1.21,16.12,,3.68,19.800001,7.34499929439551,3.562,M1(H),4.37,-0.36,1.66,0.35,5.9,Simbad,05 35 20.54,-05 22 44.92,2,360,2MASS J05352063-0522455,M4.5,1,H13,3020,-1.011,0.14,0.07,0.08,3,2.6,1.6,1.14,0.23,5.41,opt,R09,,N,g,Simbad,83.83598,-5.37931,1.54158311247854,0.391952476815063,0.0791312828659902
557,965,667,,,99,14.56,15.81,,3.24,19.050001,10.6749982943955,3.5,M4.5(H),0.29,-1.05,1,0.14,6.2,Simbad,05 35 20.67,-05 37 53.92,1,394,2MASS J05352074-0537536,M4.5,1,H,3020,-1.161,0.12,0.06,0.09,3.9,2.4,2.5,0.96,0.19,3.38,opt,R09,2,,,Simbad,83.83644,-5.63158,1.15212689781892,0.130894844696368,0.0791312828659902
558,967,663,,,99,2.17,14.57,,2.36,16.93,8.8449982943955,3.5,M4.5(H),0,-0.62,1.63,0.15,5.31,Simbad,05 35 20.73,-05 21 29.82,1,362,2MASS J05352083-0521300,M4.5,1,H,3020,-0.784,0.14,0.05,0.11,1.4,1.21,1.6,1.48,0.29,4.23,opt,R09,,N,g,Simbad,83.83681,-5.35836,1.58339698487288,0.246082708083956,0.0791312828659902
559,970,664,,,99,6.84,14.05,,2.88,16.93,5.1549982943955,3.623,<=K7(H)K5.5(P)K7:(Eetal),3.69,0.26,2.55,0.51,5.55,Simbad,05 35 20.89,-05 16 37.42,1,48,V493 Ori,K5.5,1,P,4080,0.175,0.74,0.13,0.22,1,0.3,0.8,2.44,0.33,7.2,opt,E93,,N,g,Simbad,83.83747,-5.27711,1.54551826177681,0.823841848396264,0.0791312828659902
560,971,673,,1976,99,8.06,13.07,,1.83,14.9,5.4849982943955,3.643,K5(H),1.33,0.06,1.86,0.75,6.04,Simbad,05 35 20.90,-05 31 21.22,1,35,MZ Ori,K5,1,H13,4140,-0.045,0.83,0.2,0.29,2.3,1,2.6,1.85,0.27,1.44,opt,H02,2,N,,Simbad,83.83745,-5.52269,1.39339802209865,0.72955522169138,0.0791312828659902
561,974,672,,,98,4.9,14,,2.38,16.380001,6.5849992943955,3.591,K8(H),1.71,-0.19,1.76,0.44,5.87,Simbad,05 35 20.93,-05 28 08.62,1,70,V1522 Ori,K8,1,H,3940,-0.293,0.65,0.08,0.07,3.1,1,1.7,1.54,0.18,7.01,opt,H02,,N,g,Simbad,83.83762,-5.46921,1.56960784816984,0.495183720232864,0.0791312828659902
562,979,674,,,99,2.82,15.02,,,,,3.571,M0.5(H),0,-1,0.76,0.49,7.11,Simbad,05 35 21.05,-05 25 56.52,1,555,V1339 Ori,M0,1,H13,3770,,,,,,,,,,6.11,opt,P09,,,c,Simbad,83.83817,-5.43249,1.71307405421076,,0
563,982,682,,,99,9.98,16.24,,3.58,19.82,8.2749982943955,3.544,M2(H),3.46,-0.61,1.34,0.3,6.1,Simbad,05 35 21.12,-05 33 17.22,1,183,2MASS J05352121-0533175,M2,1,H,3490,-0.741,0.34,0.05,0.08,3.7,1.2,2,1.16,0.16,3.16,opt,R09,2,,,Simbad,83.83837,-5.55487,1.36196318246513,0.303207481467306,0.0791312828659902
564,984,680,,,99,4.42,15.85,,,,,,,,,,,,Simbad,05 35 21.16,-05 27 38.32,1,503,2MASS J05352126-0527386,M5,1,H13,2880,,,,,,,,,,1.67,opt,R09,3,,c,Simbad,83.8386,-5.46073,1.58316942925755,,0
565,986,9280,,,99,1.25,15.32,,3.72,19.039999,7.9449972943955,3.526,M3(H),3.01,-0.31,2.07,0.21,5.19,Simbad,05 35 21.16,-05 22 59.22,1,189,V2375 Ori,M3,1,H,3360,-0.398,0.32,0.09,0.06,1.5,0.7,0.4,1.87,0.31,7.92,opt,H02,,A,g,Simbad,83.8385,-5.38319,1.22352851863375,0.334935872371558,0.0791312828659902
566,987,678,,1974,99,1.97,12.33,,1.84,14.17,3.9249982943955,3.695,K1-K2(Sam),2.16,0.55,2.57,1.38,6,Simbad,05 35 21.18,-05 24 56.92,1,29,V377 Ori,K4,1,StE,4330,0.36,1.11,0.32,0.36,1.2,0.5,1.1,2.7,0.41,13,opt,H02,3,,,Simbad,83.83871,-5.41591,1.68660676850582,,0
567,994,683,,1975,99,3.57,11.76,,1.85,13.610001,4.47499829439551,3.623,K6(H),1.05,0.53,3.48,0.47,4.92,Simbad,05 35 21.29,-05 26 43.62,1,46,V1523 Ori,K6,1,H,4020,0.411,0.76,0.2,0.11,0.6,0.1,0.1,3.31,0.43,11.5,opt,H02,,N,g,Simbad,83.83912,-5.44555,1.51859946965769,1.07651375616,0.0791312828659902
568,1000,689,,,99,4.07,16.87,,,,,3.483,M5.5(H),0,-1.43,0.69,0.08,6.38,Simbad,05 35 21.52,-05 27 14.12,2,608,V2379 Ori,M5.5,1,H,2840,,,,,,,,,,2.67,NIR,C01,,,c,Simbad,83.84011,-5.45405,1.65402688917992,,0
569,1001,686,,,99,6.19,16.4,,,,,,,,,,,,Simbad,05 35 21.53,-05 17 19.02,1,430,[H97b] 20399,M3.5,1,D10,3260,,,,,,,,,,6.87,opt,R09,3,,c,Simbad,83.84008,-5.28858,1.33882729247257,,0
570,1008,695,,,98,3.6,14.62,,2.63,17.25,8.5249982943955,3.535,M2.8(P)M2(H),0.64,-0.64,1.37,0.27,6.07,Simbad,05 35 21.62,-05 26 44.02,1,172,V1282 Ori,M2,1,H,3490,-0.686,0.35,0.06,0.06,3.3,1.1,1.7,1.24,0.17,2.95,opt,R09,,,g,Simbad,83.84053,-5.44565,1.6324145097735,0.278411805168952,0.0791312828659902
571,1011,694,,,99,1.35,14.74,,2.99,17.73,5.67499729439551,3.623,K5-K7(H),3.97,0.05,2.01,0.57,5.81,Simbad,05 35 21.68,-05 23 38.82,1,52,V2383 Ori,K6,2,H,4020,-0.07,0.72,0.26,0.39,1.9,0.9,3.2,1.9,0.36,7.46,NIR,C01,,A,g,Simbad,83.84071,-5.39422,1.40031086361663,0.677852509562841,0.0791312828659902
572,1013,697,,,99,1.82,14.9,,3.03,17.93,,,,,,,,,Simbad,05 35 21.74,-05 22 08.02,1,161,2MASS J05352184-0522082,M2,1,H,3490,-0.548,0.36,0.07,0.07,2.3,0.6,1,1.45,0.2,0.79,opt,R09,,,g,Simbad,83.84104,-5.36897,1.65923397614794,,0
573,1014,9292,,,,1.45,14.95,,2.97,17.92,7.29499829439551,3.562,M1(H),2.54,-0.34,1.7,0.34,5.87,Simbad,05 35 21.78,-05 23 55.12,1,21,V494 Ori,K3,1,H,4550,0.396,1.46,0.4,0.27,1.9,0.9,1.9,2.54,0.38,,,,2,,"a,f",Simbad,83.84088,-5.39832,1.25750122403751,0.396865265735835,0.0791312828659902
574,1016,696,a,,99,6.46,14.06,,3.28,17.34,,,,,,,,,Simbad,05 35 21.79,-05 17 03.20,1,447,[H97b] 20416,M4.2,1,D10,3104,,,,,,,,,,0.47,opt,R09,,,c,Simbad,83.84112,-5.28425,1.1812171219136,,0
575,1019,691,,,98,8.47,15.64,,4.35,19.99,8.21499829439551,3.509,M4(H),3.69,-0.2,2.54,0.16,4.37,Simbad,05 35 21.80,-05 15 01.02,1,293,V1281 Ori,M4,1,H,3160,-0.28,0.24,0.09,0.12,0.5,0.43,0.9,2.41,0.51,6.29,opt,S99,2,,,Simbad,83.84128,-5.25031,1.60412872573542,0.309217306876104,0.0791312828659902
576,1020,692,,,99,9.02,13.24,,2.49,15.73,7.3649982943955,3.535,M2-3(H),0.28,-0.17,2.33,0.22,4.95,Simbad,05 35 21.82,-05 14 27.52,2,164,2MASS J05352193-0514276,M2.5,1,H,3425,-0.279,0.36,0.1,0.06,1.3,0.5,0.2,2.06,0.31,1.26,opt,H02,3,N,,Simbad,83.84138,-5.24101,1.66507216961648,0.389953223586886,0.0791312828659902
577,1021,702,,,99,5.25,15.07,,4.09,19.16,7.5349982943955,3.518,M3.5(H),3.54,-0.05,2.9,0.14,4,Simbad,05 35 21.83,-05 28 26.82,1,266,2MASS J05352192-0528273,M3.5,1,H,3260,-0.141,0.26,0.07,0.1,0.2,0.14,0.9,2.67,0.5,1.59,opt,R09,3,N,,Simbad,83.84137,-5.47425,1.55136587045316,0.374012197732474,0.0791312828659902
578,1024,704,,,99,5.06,14.7,,2.41,17.11,,,,,,,,,Simbad,05 35 21.96,-05 28 14.82,1,60,V1525 Ori,K8,1,H13,3940,-0.554,0.68,0.08,0.08,8.2,3.1,5.3,1.14,0.14,1.38,opt,R09,,,a,Simbad,83.84193,-5.47091,1.60700299183587,,0
579,1026,3121,,,,5.72,16.53,,3.11,19.640001,,,,,,,,,Simbad,05 35 21.98,-05 28 55.27,1,343,2MASS J05352207-0528556,M3.8,1,D10,3200,-1.381,0.16,0.07,0.12,7.7,3.2,12.3,0.66,0.13,1.34,opt,R09,3,,,Simbad,83.84196,-5.48211,1.38860731273987,,0
580,1032,711,,,99,5.42,16.37,,,,,3.471,M6(H),0,-1.13,1.03,0.08,5.23,Simbad,05 35 22.13,-05 28 36.12,1,594,2MASS J05352223-0528364,M6,1,H,2800,,,,,,,,,,1.62,opt,R09,3,,c,Simbad,83.84263,-5.4768,1.55336202676819,,0
581,1034,3034,,,,5.43,15.67,,3.91,19.58,,,,,,,,,Simbad,05 35 22.16,-05 18 08.27,1,383,2MASS J05352225-0518087,M5,1,H13,2880,-0.798,0.12,0.05,0.1,0.4,0.25,2.3,1.61,0.36,2.7,opt,R09,,,g,Simbad,83.84271,-5.30243,1.4323118898147,,0
582,1035,715,,,99,8.03,15.29,,3.46,18.75,10.6649982943955,3.471,M6(H)M5(Eetal),0,-0.7,1.7,0.11,4.7,Simbad,05 35 22.18,-05 31 16.52,1,576,V2386 Ori,M6,1,H,2800,-0.876,,,,,,,1.55,0.24,4.46,opt,E93,2,,b,Simbad,83.84284,-5.52135,1.55456578562495,0.131418305796975,0.0791312828659902
583,1036,719,,,99,12.15,14.49,,3.06,17.55,9.46499829439551,3.494,M4-M6(H),0,-0.56,1.81,0.14,5,Simbad,05 35 22.19,-05 35 26.52,1,297,V1526 Ori,M4,1,H13,3160,-0.625,0.23,0.11,0.1,2.1,1.9,0.5,1.62,0.34,6.85,opt,S99,3,,,Simbad,83.84283,-5.59075,1.34374580347103,0.18753937510518,0.0791312828659902
584,1038,710,,,99,1.68,12.65,,1.17,13.82,5.7349982943955,3.562,M0.5-M1.5(H)M0.1(P),0,-0.04,2.4,0.27,5.07,Simbad,05 35 22.21,-05 24 13.72,1,97,V1231 Ori,M0.1,1,P,3756,-0.152,0.5,0.09,0.11,1.3,0.3,0.7,1.98,0.27,7.81,opt,P09,,A,g,Simbad,83.843,-5.40394,1.70694170992235,0.662459161740338,0.0791312828659902
585,1041,716,,,99,4.34,14.44,,2.88,17.32,9.2349982943955,3.5,M4.5e(H),0,-0.57,1.73,0.15,5.2,Simbad,05 35 22.27,-05 27 27.92,1,358,V1340 Ori,M4.5e,1,H,3020,-0.732,0.15,0.06,0.11,1.4,1.38,1.4,1.57,0.31,3.95,opt,H02,2,A,,Simbad,83.84324,-5.45788,1.66797302113754,0.206658393441938,0.0791312828659902
