recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Mass,s_Mass,Lum,s_Lum,Gmag,Teff,Mass_calc,Mass_e
307,2-5-1498,08 02 07.82,-60 59 19.81,,20.29,17.55,15.24,6,13.32,<,8.0,*,-2.02,,129,,0.04,0.07,-5.54,0,1,,,,,19.83649,,,0.009349559060936414
308,2-5-1527,08 02 08.72,-60 55 45.35,,18.22,15.76,13.59,24,12.05,,8.6,*,-1.33,,59,,0.05,0.03,-5.46,0,1,0.489,0.024,0.03248,0.0085,17.209648,3652.5,0.47732919254658385,0.009349559060936414
309,2-5-162,08 01 24.78,-60 53 13.67,,17.61,15.12,12.28,39,6.04,<,8.0,*,-1.08,,44,,0.03,-0.02,-5.64,0,2,,,,,16.632614,,,0.009349559060936414
310,2-5-1637,08 02 12.20,-60 55 26.14,,16.45,14.7,12.8,41,0.91,<,8.0,,-0.99,,40,,0.28,0.27,-4.63,0,1,0.641,0.024,0.09854,0.02377,15.855885,4227.0,0.7,0.009349559060936414
311,2-5-1670,08 02 13.46,-60 54 40.18,,19.22,16.6,14.41,17,17.97,<,8.0,*,-1.66,,85,,-0.01,-0.02,,0,1,0.413,0.033,0.02085,0.00654,18.113428,3460.0,0.3398230088495575,0.009349559060936414
312,2-5-1750,08 02 15.48,-60 51 21.81,,16.67,14.91,13.1,42,7.98,<,8.0,*,-1.08,,43,,0.02,0.04,-5.87,0,1,0.613,0.021,0.08281,0.01887,16.083632,4240.1,0.8,0.009349559060936414
313,2-5-2067,08 02 25.76,-60 54 45.20,0.488,19.73,16.51,13.8,20,17.68,,35.4,*,-1.54,0.043,74,-2.18,0.55,0.54,-4.46,1,1,0.27,0.023,0.00668,0.00199,18.15437,3111.2,0.14422784810126577,0.009349559060936414
314,2-5-2268,08 02 32.23,-60 57 52.80,1.143,19.69,16.92,14.59,9,1.56,,21.5,,-1.77,0.019,96,-1.93,0.43,0.34,-4.52,1,1,0.375,0.039,0.01566,0.00567,18.430958,3366.8,0.26870129870129883,0.009349559060936414
315,2-5-2422,08 02 37.27,-60 51 14.81,,18.04,15.9,14.81,24,7.11,<,8.0,*,-1.41,,64,,-0.06,-0.04,,0,1,1.03,,1.10693,,16.752438,5261.0,0.9143250688705234,0.009349559060936414
316,2-5-2476,08 02 38.97,-60 57 23.00,1.262,18.88,16.19,13.9,16,0.08,,19.5,,-1.48,0.008,70,-1.74,0.3,0.42,-4.67,1,1,0.389,0.056,0.01721,0.00753,17.846678,,,0.009349559060936414
317,2-5-2556,08 02 42.28,-60 54 14.91,,19.65,17.04,15.04,12,46.7,<,8.0,*,-1.84,,104,,-0.03,-0.08,,0,1,0.485,0.055,0.0281,0.01142,18.540485,3466.1,0.345221238938053,0.009349559060936414
318,2-5-2581,08 02 43.17,-60 53 05.10,0.359,18.85,16.08,13.79,20,0.32,,23.5,,-1.43,0.006,65,-2.26,0.27,0.26,-4.73,1,1,,,,,18.243195,,,0.009349559060936414
319,2-5-2742,08 02 48.75,-60 52 00.90,,18.17,15.86,13.8,23,0.0,<,8.0,,-1.39,,62,,0.44,0.47,-4.48,0,1,0.505,0.024,0.0364,0.00943,17.232147,3651.0,0.4763975155279503,0.009349559060936414
320,2-5-2906,08 02 56.33,-60 50 50.93,,19.49,16.94,14.81,11,14.75,<,8.0,*,-1.8,,100,,0.03,0.07,-5.65,0,1,0.487,0.046,0.02753,0.01016,18.44088,3466.9,0.3459292035398231,0.009349559060936414
321,2-5-2945,08 02 56.42,-60 58 44.80,1.011,20.01,17.14,15.13,7,4.37,,10.5,*,-1.84,0.025,105,-2.01,0.33,0.28,-4.64,1,1,0.267,0.035,0.00946,0.00355,18.693464,,,0.009349559060936414
322,2-5-358,08 01 30.70,-60 51 00.90,1.675,18.86,16.35,14.3,20,0.35,,14.5,,-1.56,0.007,76,-1.66,0.47,0.57,-4.47,1,1,0.406,0.029,0.02055,0.00604,17.84406,3466.4,0.3454867256637169,0.009349559060936414
323,2-5-4520,08 03 47.57,-60 51 50.20,0.528,20.6,17.59,15.32,6,0.17,,32.9,,-2.0,0.013,125,-2.38,0.46,0.54,-4.53,1,1,0.235,0.043,0.00683,0.00329,19.186283,,,0.009349559060936414
324,2-5-494,08 01 35.30,-60 53 42.20,,19.24,16.67,14.37,16,0.77,<,8.0,,-1.69,,88,,0.24,0.19,-4.76,0,1,0.429,0.039,0.02203,0.00754,18.164629,3512.2,0.38601769911504413,0.009349559060936414
325,2-5-949,08 01 51.78,-60 56 30.55,,18.58,16.17,14.03,20,16.76,<,8.0,*,-1.5,,71,,0.07,-0.03,-5.29,0,1,0.512,0.028,0.03545,0.00999,17.58726,3571.2,0.42683229813664586,0.009349559060936414
326,2-6-1094,08 01 55.82,-60 42 55.80,2.355,17.26,15.22,13.19,41,0.06,<,8.0,,-1.15,0.021,47,-1.3,0.58,0.62,-4.36,1,2,0.579,0.022,0.06174,0.01452,16.37158,3832.8,0.5509929078014185,0.009349559060936414
327,2-6-117,08 01 22.49,-60 42 47.63,,16.15,14.17,13.06,66,36.14,<,8.0,*,-0.73,,29,,-0.02,-0.02,,0,1,1.17,,1.89975,,14.599173,5854.3,1.08659509202454,0.009349559060936414
328,2-6-1200,08 01 58.39,-60 42 50.80,4.717,16.66,14.79,12.92,49,1.09,<,8.0,,-1.0,0.01,40,-0.93,0.25,0.32,-4.7,1,1,0.6,0.021,0.0781,0.01783,15.952686,4170.1,0.7,0.009349559060936414
329,2-6-121,08 01 23.27,-60 46 14.50,0.332,17.37,15.09,12.94,41,0.17,,51.7,,-1.08,0.026,44,-2.12,0.6,0.71,-4.35,1,1,0.615,0.021,0.05965,0.01449,16.363691,3756.7,0.5240070921985814,0.009349559060936414
330,2-6-1250,08 01 58.22,-60 43 22.70,4.116,17.62,15.54,13.51,32,0.21,<,8.0,,-1.27,0.03,55,-1.12,0.54,0.58,-4.39,1,1,0.523,0.023,0.04734,0.01158,16.794912,3865.0,0.5624113475177305,0.009349559060936414
331,2-6-136,08 01 24.05,-60 47 23.96,,20.02,17.29,14.91,11,28.45,,8.5,*,-1.92,,115,,0.01,-0.04,-6.45,0,1,0.341,0.038,0.01347,0.0049,18.784906,3361.7,0.2653896103896103,0.009349559060936414
332,2-6-1571,08 02 09.97,-60 42 42.10,8.363,17.26,15.22,13.27,36,1.43,<,8.0,,-1.15,0.017,47,-0.75,0.34,0.42,-4.59,1,1,0.577,0.022,0.06369,0.01495,16.418446,4179.8,0.7,0.009349559060936414
333,2-6-1700,08 02 14.47,-60 45 43.90,0.771,19.58,16.87,14.65,14,0.9,,18.4,,-1.76,0.009,95,-2.09,0.46,0.4,-4.48,1,1,0.317,0.03,0.01211,0.00396,18.376904,3315.4,0.23532467532467538,0.009349559060936414
334,2-6-1739,08 02 15.23,-60 45 27.47,,20.17,17.42,14.75,8,52.55,,54.2,*,-1.97,,121,,0.17,0.24,-4.93,0,1,0.447,0.05,0.02067,0.00823,18.950392,3410.2,0.29688311688311675,0.009349559060936414
335,2-6-1857,08 02 18.74,-60 45 18.59,,17.44,15.4,13.44,35,0.2,<,8.0,,-1.22,,51,,0.18,0.23,-4.85,0,1,0.535,0.022,0.05096,0.01221,16.636372,,,0.009349559060936414
336,2-6-2033,08 02 24.67,-60 42 37.40,3.919,18.58,16.0,13.72,25,2.97,<,8.0,*,-1.42,0.006,65,-1.22,0.21,0.19,-4.81,1,1,,,,,17.735552,,,0.009349559060936414
337,2-6-2207,08 02 30.90,-60 48 44.40,0.715,20.02,17.2,14.71,12,0.62,,34.4,,-1.87,0.029,108,-2.18,0.35,0.37,-4.62,1,1,0.342,0.037,0.01216,0.00446,18.762026,3275.8,0.20961038961038975,0.009349559060936414
338,2-6-2346,08 02 34.70,-60 46 04.70,10.988,18.26,15.69,13.43,32,0.29,,18.5,,-1.3,0.027,56,-0.71,0.42,0.46,-4.51,1,2,0.54,0.023,0.03455,0.00907,17.160706,3502.2,0.3771681415929202,0.009349559060936414
339,2-6-240,08 01 27.59,-60 41 40.80,8.774,16.64,14.79,12.99,44,0.05,<,8.0,,-1.01,0.022,40,-0.66,0.36,0.44,-4.53,1,1,0.65,,0.11205,,15.868896,4270.3,0.6717745803357315,0.009349559060936414
340,2-6-2407,08 02 36.87,-60 47 26.00,0.363,19.13,16.33,13.88,22,12.02,,53.5,*,-1.52,0.01,73,-2.3,0.37,0.38,-4.59,1,1,0.47,0.027,0.02134,0.00618,17.850954,3437.7,0.32008849557522107,0.009349559060936414
341,2-6-2478,08 02 39.22,-60 46 20.75,,20.44,17.56,14.99,9,2.4,,28.6,,-2.0,,127,,0.38,0.39,-4.59,0,1,0.319,0.049,0.01134,0.00503,19.11549,,,0.009349559060936414
342,2-6-2753,08 02 48.35,-60 47 09.50,10.406,18.25,15.96,13.9,26,1.19,<,8.0,,-1.43,0.013,65,-0.8,0.29,0.33,-4.66,1,1,0.479,0.025,0.03323,0.00865,17.313387,3717.3,0.5100354609929079,0.009349559060936414
343,2-6-2921,08 02 46.18,-60 43 10.74,,16.66,14.77,12.92,48,23.16,<,8.0,*,-0.99,,39,,0.09,0.11,-5.16,0,1,0.593,0.021,0.07377,0.01669,15.93277,4207.4,0.8,0.009349559060936414
344,2-6-3335,08 03 06.00,-60 42 53.80,0.85,19.4,16.57,14.08,18,31.03,,23.6,*,-1.62,0.017,81,-1.98,0.23,0.33,-4.8,1,1,0.263,0.023,0.00826,0.00237,18.099884,,,0.009349559060936414
345,2-6-3567,08 03 12.91,-60 49 03.98,,18.38,15.78,13.53,27,4.38,<,8.0,*,-1.33,,58,,0.06,0.0,-5.38,0,1,0.385,0.023,0.01767,0.00467,17.229372,3483.5,0.3606194690265487,0.009349559060936414
346,2-6-3707,08 03 17.81,-60 49 58.10,3.297,17.08,15.22,13.31,32,0.3,<,8.0,,-1.18,0.01,49,-1.17,0.5,0.57,-4.4,1,1,0.568,0.022,0.06268,0.01471,16.367434,,,0.009349559060936414
347,2-6-4103,08 03 29.88,-60 46 51.40,,19.68,16.52,13.96,12,29.3,,9.8,*,-1.55,,75,,0.08,0.08,-5.29,0,1,0.155,0.021,0.00265,0.00076,18.125656,3180.7,0.16610344827586201,0.009349559060936414
349,2-6-4184,08 03 32.16,-60 44 26.20,1.857,18.99,16.46,14.31,13,0.61,,15.5,,-1.61,0.018,81,-1.64,0.44,0.46,-4.49,1,1,0.425,0.029,0.02264,0.00664,17.875553,3545.2,0.4106832298136645,0.009349559060936414
350,2-6-429,08 01 34.66,-60 41 49.50,1.179,19.22,16.47,13.99,14,1.15,,18.8,,-1.59,0.009,79,-1.82,0.23,0.2,-4.79,1,1,0.467,0.027,0.02183,0.00638,17.992443,3437.5,0.3199115044247788,0.009349559060936414
351,2-6-440,08 01 34.70,-60 43 52.60,2.799,17.34,15.08,12.96,38,0.3,,8.8,,-1.08,0.012,43,-1.19,0.53,0.61,-4.4,1,1,,,,,16.448027,,,0.009349559060936414
352,2-6-4563,08 03 42.78,-60 44 37.70,1.322,19.64,16.96,14.66,6,1.14,<,8.0,,-1.8,0.012,99,-1.88,0.16,0.26,-4.95,1,1,0.307,0.029,0.01126,0.00362,18.444124,3380.2,0.27740259740259726,0.009349559060936414
353,2-6-4584,08 03 43.86,-60 47 47.68,,19.17,16.61,14.49,11,20.89,<,8.0,*,-1.67,,86,,-0.08,0.02,,0,1,0.336,0.029,0.01492,0.00453,18.044027,3467.1,0.34610619469026543,0.009349559060936414
354,2-6-494,08 01 36.39,-60 45 27.80,0.489,16.96,14.96,12.76,39,0.93,,47.8,,-1.04,0.009,42,-1.93,0.76,0.91,-4.24,1,1,0.649,0.021,0.06979,0.01673,16.251757,3794.6,0.5374468085106383,0.009349559060936414
355,2-6-565,08 01 39.71,-60 47 47.22,,17.67,15.59,13.6,31,37.99,<,8.0,*,-1.29,,56,,0.05,0.05,-5.39,0,1,0.538,0.023,0.04849,0.012,16.902098,,,0.009349559060936414
356,2-6-612,08 01 41.24,-60 44 42.70,1.758,18.99,16.44,14.13,20,1.04,,12.1,,-1.6,0.018,80,-1.66,0.4,0.44,-4.53,1,1,0.428,0.026,0.02253,0.0063,17.864054,3504.3,0.3790265486725666,0.009349559060936414
357,2-6-649,08 01 42.37,-60 44 08.80,0.809,20.16,17.39,15.06,10,0.25,,27.3,,-1.95,0.037,119,-2.17,0.16,0.39,-4.96,1,1,0.319,0.044,0.01189,0.00486,18.909794,3306.6,0.22961038961038954,0.009349559060936414
358,2-6-93,08 01 22.13,-60 41 38.40,,16.24,14.29,13.29,54,28.98,<,8.0,*,-0.78,,31,,-0.04,-0.04,,0,1,1.2,,5.57108,,14.790993,6039.7,1.1504270462633452,0.009349559060936414
359,2-7-154,08 01 24.96,-60 40 35.03,,20.61,17.67,15.1,8,3.66,,22.7,,-2.04,,132,,0.36,0.23,-4.62,0,1,0.315,0.054,0.01213,0.00579,19.254822,,,0.009349559060936414
360,2-7-1803,08 02 18.19,-60 36 50.18,,20.62,17.59,15.04,8,0.33,,34.0,,-1.99,,125,,0.4,0.42,-4.59,0,1,0.306,0.055,0.00952,0.00468,19.160944,,,0.009349559060936414
361,2-7-2171,08 02 29.60,-60 40 56.78,,21.08,17.91,15.27,7,1.7,,38.7,,-2.11,,143,,0.19,0.29,-4.93,0,1,,,,,19.738533,,,0.009349559060936414
362,2-7-2350,08 02 35.08,-60 37 11.30,0.564,19.98,17.2,14.68,9,0.44,,25.4,,-1.88,0.014,109,-2.29,0.41,0.34,-4.55,1,1,0.367,0.039,0.01499,0.00548,18.722437,3328.2,0.2436363636363635,0.009349559060936414
363,2-7-2354,08 02 35.32,-60 40 19.60,4.971,17.12,15.16,13.3,37,0.06,<,8.0,,-1.13,0.008,46,-0.97,0.33,0.38,-4.6,1,1,0.561,0.022,0.06214,0.01454,16.33318,3606.6,0.4488198757763975,0.009349559060936414
364,2-7-2368,08 02 36.02,-60 37 55.50,0.542,20.49,17.59,15.24,8,1.15,,38.2,,-2.01,0.023,128,-2.37,0.29,0.5,-4.71,1,1,0.247,0.04,0.00757,0.00333,19.120968,,,0.009349559060936414
