recno,[IHA2007],RAJ2000,DEJ2000,Per,Vmag,Icmag,Kmag,SNR,RV,l_vsini,vsini,Mm,logL,amp,tc,logR,W(Ca)1,W(Ca)2,logR'1,I07,single,Mass,s_Mass,Lum,s_Lum,Gmag,Teff,Mass_calc,Mass_e
161,1-6-697,07 59 12.88,-61 19 10.00,2.223,18.27,15.92,13.53,16,0.03,,13.6,,-1.41,0.011,64,-1.46,0.56,0.61,-4.38,1,1,0.542,0.024,0.04132,0.01071,17.255278,,,0.009349559060936414
162,1-6-88,07 58 51.35,-61 19 45.99,,16.14,14.11,13.04,63,34.9,<,8.0,*,-0.7,,28,,-0.04,-0.02,,0,1,1.13,,1.53563,,14.568661,5839.7,1.082116564417178,0.009349559060936414
163,1-6-91,07 58 52.18,-61 23 59.20,2.237,18.89,16.36,14.05,17,0.63,,11.4,,-1.57,0.018,77,-1.53,0.56,0.66,-4.39,1,1,0.444,0.026,0.02468,0.00684,17.747229,3495.1,0.3708849557522123,0.009349559060936414
164,1-7-105,07 58 50.90,-61 11 44.30,0.762,18.22,15.78,13.45,26,0.02,,16.6,,-1.34,0.005,59,-1.89,0.5,0.58,-4.43,1,1,0.55,0.06,0.03705,0.01576,17.290783,,,0.009349559060936414
165,1-7-1184,07 59 24.05,-61 11 28.00,0.581,20.51,17.49,14.6,9,0.68,,28.7,,-1.96,0.045,120,-2.31,0.1,0.32,-5.18,1,1,0.409,0.055,0.01771,0.00768,19.078459,,,0.009349559060936414
166,1-7-1246,07 59 26.54,-61 15 30.51,,20.24,17.38,14.86,10,0.93,,30.4,,-1.94,,117,,0.33,0.38,-4.65,0,1,0.319,0.043,0.01198,0.0049,18.886671,3315.0,0.23506493506493506,0.009349559060936414
167,1-7-1315,07 59 27.53,-61 09 02.21,,19.88,17.07,14.69,10,0.85,,24.4,,-1.82,,102,,0.24,0.4,-4.79,0,1,0.318,0.038,0.0115,0.00435,18.610077,3262.1,0.20071428571428568,0.009349559060936414
168,1-7-1678,07 59 40.72,-61 15 54.03,,20.16,17.1,14.45,13,0.93,,37.0,,-1.8,,100,,0.25,0.28,-4.8,0,1,0.329,0.047,0.01082,0.00469,19.03948,,,0.009349559060936414
169,1-7-1773,07 59 41.78,-61 11 18.09,,16.18,14.49,12.56,53,8.96,<,8.0,*,-0.91,,36,,0.12,0.13,-5.01,0,1,0.585,0.021,0.06894,0.01564,15.654366,,,0.009349559060936414
170,1-7-1862,07 59 45.39,-61 11 06.40,1.415,18.79,16.27,13.88,13,0.93,,10.2,,-1.53,0.01,73,-1.72,0.56,0.64,-4.39,1,1,0.558,0.03,0.04012,0.01178,17.697596,3643.4,0.47167701863354045,0.009349559060936414
171,1-7-1959,07 59 48.65,-61 11 50.35,,20.47,17.38,14.84,9,2.46,,23.9,,-1.9,,113,,0.24,0.26,-4.81,0,1,,,,,19.294155,,,0.009349559060936414
172,1-7-1986,07 59 49.49,-61 10 26.79,,20.11,17.24,14.78,9,1.76,,8.9,,-1.88,,110,,0.31,0.31,-4.68,0,1,0.356,0.046,0.0143,0.00576,18.824684,3285.8,0.21610389610389624,0.009349559060936414
173,1-7-2049,07 59 51.44,-61 08 01.60,2.805,18.13,15.74,13.52,25,0.19,,16.3,,-1.33,0.01,58,-1.32,0.49,0.52,-4.44,1,1,0.508,0.067,0.03452,0.01561,17.229225,,,0.009349559060936414
174,1-7-2545,08 00 09.34,-61 13 28.40,1.749,18.24,15.87,13.53,26,1.35,,9.1,,-1.38,0.011,62,-1.55,0.5,0.57,-4.43,1,1,0.509,0.028,0.03372,0.00945,17.305729,3737.5,0.5171985815602836,0.009349559060936414
175,1-7-2921,08 00 22.05,-61 13 58.20,0.749,19.82,17.03,14.58,11,0.94,,26.4,,-1.81,0.01,101,-2.13,0.32,0.29,-4.65,1,1,0.415,0.04,0.01918,0.00685,18.557453,3379.7,0.277077922077922,0.009349559060936414
176,1-7-2945,08 00 22.90,-61 14 25.01,,20.35,17.44,14.93,8,0.45,,9.3,,-1.95,,119,,0.26,0.36,-4.75,0,1,0.287,0.042,0.01021,0.00427,19.018106,,,0.009349559060936414
177,1-7-3076,08 00 27.20,-61 09 30.10,0.545,20.33,17.52,15.09,5,3.0,,24.7,,-2.0,0.022,126,-2.36,0.1,0.29,-5.16,1,1,0.282,0.043,0.00916,0.00393,19.06268,,,0.009349559060936414
178,1-7-3212,08 00 32.34,-61 13 14.10,6.795,17.4,15.25,13.12,33,1.02,,10.9,,-1.15,0.006,48,-0.85,0.35,0.46,-4.57,1,1,0.586,0.022,0.05916,0.01407,16.49294,3861.2,0.561063829787234,0.009349559060936414
179,1-7-3219,08 00 33.01,-61 15 10.70,0.863,19.82,17.01,14.51,13,0.9,,19.1,,-1.8,0.011,100,-2.06,0.43,0.35,-4.53,1,1,0.327,0.032,0.01313,0.00438,18.53333,3353.4,0.26000000000000006,0.009349559060936414
180,1-7-3292,08 00 35.55,-61 11 38.69,,20.8,17.85,15.05,5,2.13,,16.8,,-2.12,,144,,0.06,0.03,-5.43,0,1,,,,,19.430311,,,0.009349559060936414
181,1-7-3688,08 00 47.13,-61 11 49.60,0.308,20.26,17.29,14.93,7,0.7,,29.1,,-1.88,0.021,110,-2.55,0.45,0.26,-4.53,1,1,0.276,0.036,0.01053,0.00429,18.840754,3394.7,0.2868181818181817,0.009349559060936414
182,1-7-3741,08 00 49.32,-61 12 15.70,0.916,17.92,15.59,13.28,24,1.42,,29.7,,-1.28,0.015,55,-1.78,0.66,0.73,-4.31,1,1,0.565,0.023,0.04533,0.01141,16.941397,3648.7,0.4749689440993788,0.009349559060936414
183,1-7-3757,08 00 50.02,-61 13 54.45,,16.44,14.34,12.38,48,31.66,<,8.0,*,-0.79,,31,,0.07,0.03,-5.25,0,2,,,,,15.876112,,,0.009349559060936414
184,1-7-3787,08 00 50.94,-61 11 46.67,,17.0,14.88,12.86,30,22.28,<,8.0,*,-1.01,,40,,0.05,0.06,-5.4,0,1,0.607,0.022,0.06598,0.01564,16.132652,4071.5,0.6241007194244604,0.009349559060936414
185,1-7-3887,08 00 53.19,-61 07 18.50,4.584,19.31,16.68,14.35,7,0.07,,10.9,,-1.69,0.013,88,-1.28,0.06,0.18,-5.35,1,1,0.408,0.033,0.01976,0.00627,18.1422,3389.7,0.2835714285714285,0.009349559060936414
186,1-7-4606,08 01 18.72,-61 13 35.64,,19.16,16.54,14.3,10,0.59,,17.9,,-1.64,,83,,0.42,0.37,-4.52,0,1,0.387,0.029,0.01879,0.00565,18.01858,3506.9,0.38132743362831867,0.009349559060936414
187,1-7-533,07 59 02.95,-61 08 32.82,,19.99,17.26,12.96,9,0.55,,26.5,,-1.91,,113,,0.46,0.29,-4.49,0,1,,,,,18.821718,,,0.009349559060936414
188,1-7-698,07 59 08.19,-61 12 30.95,,20.9,17.93,15.34,6,2.01,,21.1,,-2.14,,148,,1.73,1.92,-3.94,0,1,,,,,19.496626,,,0.009349559060936414
189,1-7-907,07 59 15.05,-61 11 26.53,,20.14,17.16,14.67,12,5.59,<,8.0,*,-1.83,,104,,0.05,0.11,-5.46,0,1,0.194,0.025,0.00604,0.00209,18.702868,,,0.009349559060936414
190,1-8-1118,07 59 24.44,-61 00 18.17,,15.71,14.2,12.2,53,2.67,<,8.0,*,-0.78,,31,,0.11,0.15,-5.06,0,1,0.555,0.021,0.04665,0.0111,15.62804,,,0.009349559060936414
191,1-8-1232,07 59 28.77,-61 05 23.90,1.184,20.28,17.39,15.21,9,0.39,,20.3,,-1.94,0.028,117,-1.99,0.25,0.27,-4.77,1,1,0.239,0.039,0.00806,0.00348,18.964224,3267.1,0.2039610389610389,0.009349559060936414
192,1-8-1419,07 59 33.96,-60 59 07.50,1.465,19.02,16.48,14.09,17,0.05,,17.2,,-1.62,0.015,81,-1.74,0.32,0.4,-4.64,2,1,0.438,0.03,0.02421,0.00717,17.922821,3486.5,0.36327433628318584,0.009349559060936414
193,1-8-1620,07 59 40.66,-60 59 34.50,,20.48,17.53,14.91,7,4.3,,41.7,,-1.98,,123,,0.34,0.27,-4.64,0,1,0.368,0.089,0.01701,0.0105,19.118206,,,0.009349559060936414
194,1-8-1621,07 59 40.92,-61 01 26.57,,18.42,15.86,13.73,21,20.71,<,8.0,*,-1.37,,61,,0.02,-0.04,-5.91,0,1,0.41,0.024,0.02077,0.00551,17.294195,3532.6,0.4028571428571428,0.009349559060936414
195,1-8-1630,07 59 41.26,-61 02 06.19,,20.28,17.37,14.98,9,36.86,<,8.0,*,-1.93,,116,,0.09,-0.06,-5.22,0,1,0.199,0.03,0.00493,0.00196,18.959612,3192.5,0.17,0.009349559060936414
196,1-8-175,07 58 52.73,-61 02 02.10,4.073,18.49,16.06,13.77,23,1.45,,10.1,,-1.46,0.016,67,-1.22,0.56,0.6,-4.38,1,1,0.509,0.026,0.03524,0.00948,17.41297,,,0.009349559060936414
197,1-8-1946,07 59 52.47,-61 02 00.90,8.198,16.93,15.1,13.15,27,0.52,<,8.0,,-1.14,0.013,47,-0.76,0.32,0.37,-4.58,1,1,0.588,0.022,0.07078,0.01651,16.280842,4094.0,0.7,0.009349559060936414
198,1-8-1964,07 59 54.16,-61 06 17.70,0.482,20.39,17.42,14.89,8,0.14,,30.3,,-1.94,0.017,117,-2.39,0.26,0.37,-4.76,1,1,0.331,0.05,0.01257,0.00552,19.015766,,,0.009349559060936414
199,1-8-1974,07 59 53.64,-61 00 41.70,0.63,19.49,16.81,14.49,10,0.92,,31.9,,-1.74,0.015,93,-2.17,0.36,0.32,-4.59,1,1,0.389,0.036,0.01794,0.00601,18.305084,3364.2,0.2670129870129869,0.009349559060936414
200,1-8-2018,07 59 55.83,-61 02 49.90,6.488,17.4,15.39,13.49,24,0.45,<,8.0,,-1.22,0.006,51,-0.9,0.23,0.31,-4.76,1,1,0.523,0.023,0.04919,0.01185,16.616142,3884.6,0.5693617021276596,0.009349559060936414
201,1-8-2316,08 00 07.45,-60 59 51.12,,20.34,17.55,15.13,6,18.09,<,8.0,*,-2.01,,128,,-0.01,-0.16,,0,1,0.291,0.057,0.01053,0.0053,19.077034,,,0.009349559060936414
202,1-8-2812,08 00 24.25,-61 00 15.74,,17.01,15.01,13.02,20,24.32,<,8.0,*,-1.06,,43,,0.06,0.06,-5.33,0,1,0.57,0.022,0.05717,0.01355,16.247995,,,0.009349559060936414
203,1-8-310,07 58 57.72,-61 06 21.85,,16.71,14.82,13.48,36,349.24,<,8.0,*,-1.01,,40,,0.01,-0.04,-6.15,0,1,,,,,15.705791,,,0.009349559060936414
204,1-8-3126,08 00 37.02,-61 03 07.77,,17.02,14.87,12.79,19,0.31,,13.1,,-1.0,,40,,0.57,0.57,-4.37,0,1,,,,,16.551361,,,0.009349559060936414
205,1-8-3156,08 00 38.67,-61 06 24.51,,18.87,16.29,14.1,11,0.46,,9.9,,-1.54,,74,,0.47,0.49,-4.47,0,1,0.448,0.03,0.02503,0.00734,17.726019,3536.4,0.4052173913043479,0.009349559060936414
206,1-8-355,07 58 58.97,-61 06 10.26,,16.66,14.79,13.76,33,23.51,<,8.0,*,-1.0,,40,,-0.05,-0.05,,0,1,0.99,,3.47468,,15.624817,5252.5,0.9119834710743802,0.009349559060936414
207,1-8-3644,08 00 44.50,-60 58 16.19,,15.8,14.05,12.35,41,0.05,<,8.0,,-0.74,,29,,0.48,0.58,-4.4,0,1,,,,,15.980682,,,0.009349559060936414
208,1-8-3730,08 00 59.16,-61 06 24.30,0.36,17.82,15.43,13.38,19,3.6,,62.0,,-1.21,0.014,51,-2.15,0.47,0.55,-4.46,1,1,0.546,0.024,0.04213,0.01094,16.786215,3669.9,0.488136645962733,0.009349559060936414
209,1-8-39,07 58 48.77,-60 58 50.50,,19.08,16.52,14.38,15,1.43,<,8.0,,-1.63,,83,,0.05,-0.02,-5.42,0,1,0.225,0.023,0.00747,0.00221,17.957453,3418.4,0.3030088495575222,0.009349559060936414
210,1-8-421,07 59 00.77,-61 01 13.29,,20.52,17.64,15.36,7,1.41,,32.1,,-2.04,,131,,0.18,0.31,-4.91,0,1,0.21,0.038,0.00723,0.00328,19.212463,,,0.009349559060936414
211,1-8-441,07 59 01.32,-61 02 09.70,,19.13,16.56,14.44,17,5.69,<,8.0,*,-1.65,,84,,0.05,-0.04,-5.43,0,1,0.332,0.028,0.01369,0.00417,18.024174,3491.6,0.36778761061946896,0.009349559060936414
212,1-8-475,07 59 03.06,-61 06 24.40,5.065,17.89,15.69,13.51,24,0.17,<,8.0,,-1.33,0.011,58,-1.06,0.48,0.51,-4.44,1,1,0.535,0.024,0.04373,0.0111,17.068651,3652.1,0.4770807453416149,0.009349559060936414
213,1-8-555,07 59 05.79,-61 01 51.97,,20.82,17.92,15.29,6,33.2,<,8.0,*,-2.15,,149,,0.25,-0.02,-4.78,0,1,,,,,19.500927,,,0.009349559060936414
214,1-8-587,07 59 07.15,-61 05 03.90,0.505,17.67,15.51,13.5,29,2.13,,26.5,*,-1.26,0.015,54,-2.03,0.41,0.66,-4.51,1,1,0.529,0.022,0.04344,0.0107,16.861866,3765.1,0.5269858156028369,0.009349559060936414
215,1-8-617,07 59 07.49,-61 00 30.20,,17.85,15.69,13.24,23,4.95,<,8.0,*,-1.33,,58,,0.15,0.13,-4.95,0,1,,,,,16.981873,4680.9,1.3,0.009349559060936414
216,1-8-688,07 59 10.34,-61 02 55.70,5.229,17.03,15.1,13.2,35,0.03,<,8.0,,-1.11,0.004,45,-0.94,0.32,0.32,-4.61,1,1,0.598,0.022,0.07213,0.0169,16.307697,4198.8,0.8,0.009349559060936414
217,1-8-770,07 59 13.31,-61 05 47.84,,16.57,14.7,13.99,40,71.17,<,8.0,*,-0.97,,38,,0.04,0.02,-5.55,0,1,1.27,,2.0691,,15.414183,6079.9,1.4,0.009349559060936414
218,1-8-862,07 59 15.57,-60 59 17.30,1.545,20.04,17.18,15.02,10,0.61,,21.4,,-1.86,0.041,107,-1.84,0.28,0.33,-4.73,2,1,0.326,0.045,0.01142,0.00473,18.686289,3529.2,0.4007453416149067,0.009349559060936414
219,1-8-946,07 59 19.29,-61 02 51.90,1.142,20.03,17.18,14.71,11,0.41,,19.0,,-1.86,0.015,107,-1.97,0.29,0.25,-4.71,1,1,0.337,0.04,0.01406,0.00533,18.738941,3435.4,0.3180530973451328,0.009349559060936414
220,2-1-1063,07 59 21.09,-60 50 52.74,,19.32,16.33,13.84,19,0.23,,30.2,,-1.5,,71,,0.43,0.49,-4.55,0,1,,,,,18.200142,,,0.009349559060936414
221,2-1-1237,07 59 26.93,-60 56 00.49,,19.26,16.6,14.42,15,0.29,,9.6,,-1.66,,85,,0.2,0.24,-4.85,0,1,0.357,0.032,0.01613,0.00512,18.159517,3521.7,0.3944247787610618,0.009349559060936414
222,2-1-1265,07 59 27.46,-60 51 39.10,0.586,20.5,17.57,15.23,7,0.21,,28.1,,-2.0,0.015,126,-2.33,0.21,0.41,-4.86,1,1,0.232,0.038,0.00789,0.00339,19.192251,,,0.009349559060936414
223,2-1-144,07 58 53.58,-60 54 24.20,1.603,16.76,14.72,12.67,44,0.8,,42.3,,-0.95,0.023,37,-1.37,0.57,0.69,-4.36,1,2,0.657,0.021,0.07709,0.01823,16.004044,3852.3,0.5579078014184398,0.009349559060936414
224,2-1-1776,07 59 44.71,-60 58 30.30,2.716,17.8,15.58,13.54,26,0.87,<,8.0,,-1.28,0.024,55,-1.31,0.55,0.59,-4.38,1,1,0.527,0.024,0.04582,0.01156,16.84805,3597.9,0.44341614906832305,0.009349559060936414
225,2-1-1843,07 59 46.58,-60 51 21.30,1.647,18.81,16.24,14.02,15,1.01,,9.9,,-1.52,0.009,72,-1.64,0.38,0.39,-4.56,1,1,0.436,0.028,0.02419,0.00691,17.665014,3556.7,0.4178260869565216,0.009349559060936414
226,2-1-2066,07 59 56.29,-60 57 27.62,,19.64,16.85,14.65,11,29.4,<,8.0,*,-1.74,,93,,0.08,-0.06,-5.23,0,1,0.24,0.028,0.00721,0.00244,18.39003,3319.0,0.23766233766233766,0.009349559060936414
227,2-1-2166,07 59 59.62,-60 51 47.50,0.321,20.8,17.77,15.72,5,7.07,,45.5,,-2.07,0.016,137,-2.63,0.11,0.3,-5.16,1,1,,,,,19.405663,,,0.009349559060936414
228,2-1-2213,08 00 01.44,-60 55 17.70,1.025,19.95,17.1,14.77,7,1.44,<,8.0,,-1.83,0.017,103,-2.0,0.21,0.46,-4.84,1,1,0.328,0.04,0.01284,0.00484,18.729174,3264.8,0.2024675324675326,0.009349559060936414
229,2-1-228,07 58 55.49,-60 55 59.60,1.051,17.4,15.31,13.26,27,1.52,,26.6,,-1.18,0.025,49,-1.67,0.93,1.03,-4.15,1,1,0.582,0.022,0.06108,0.01456,16.533504,3973.5,0.600599520383693,0.009349559060936414
230,2-1-2573,08 00 13.25,-60 55 16.48,,20.05,17.01,14.55,9,4.01,,43.3,,-1.76,,96,,0.15,0.28,-5.01,0,1,0.356,0.04,0.01152,0.00439,18.620306,3260.9,0.19995652173913048,0.009349559060936414
231,2-1-2586,08 00 13.07,-60 53 12.90,1.3,16.45,14.53,12.49,33,21.54,,23.1,*,-0.88,0.008,35,-1.43,0.27,0.27,-4.67,1,1,0.61,,0.17444,,15.748789,3947.5,0.6,0.009349559060936414
232,2-1-259,07 58 56.58,-60 52 15.90,0.959,17.51,15.29,13.24,32,0.14,,28.7,,-1.17,0.022,48,-1.7,0.46,0.56,-4.47,1,1,0.441,0.043,0.03018,0.01049,16.763481,,,0.009349559060936414
233,2-1-2681,08 00 15.95,-60 53 29.20,1.904,19.59,16.85,14.62,8,0.09,,19.8,,-1.74,0.01,94,-1.69,0.25,0.32,-4.75,1,1,0.398,0.039,0.01681,0.00598,18.414436,3402.4,0.29181818181818187,0.009349559060936414
234,2-1-2752,08 00 16.98,-60 51 12.45,,19.68,17.06,14.87,6,38.1,<,8.0,*,-1.84,,105,,0.17,-0.16,-4.91,0,1,0.61,0.078,0.0516,0.02626,18.642193,3434.1,0.31690265486725655,0.009349559060936414
235,2-1-304,07 58 58.18,-60 56 32.90,7.835,16.57,14.9,13.06,37,0.01,<,8.0,,-1.07,0.008,43,-0.74,0.29,0.41,-4.61,1,1,0.596,0.021,0.08037,0.01806,16.001173,4302.5,0.8,0.009349559060936414
236,2-1-4131,08 01 05.46,-60 53 14.35,,21.01,17.93,15.27,5,4.72,,12.7,*,-2.13,,146,,0.61,0.44,-4.41,0,2,,,,,19.614538,,,0.009349559060936414
237,2-1-4208,08 01 08.39,-60 54 13.20,5.72,18.79,16.3,14.04,21,0.42,<,8.0,,-1.55,0.005,75,-1.12,0.33,0.34,-4.61,1,1,0.455,0.027,0.02689,0.00755,17.727842,3572.7,0.4277639751552794,0.009349559060936414
238,2-1-4379,08 01 15.19,-60 56 11.10,0.267,18.8,16.27,14.03,17,2.0,,57.9,,-1.53,0.007,73,-2.44,0.35,0.48,-4.59,1,1,0.417,0.026,0.02247,0.00626,17.712448,3487.7,0.36433628318584055,0.009349559060936414
239,2-1-641,07 59 08.80,-60 57 02.70,6.575,17.3,15.25,13.27,31,0.47,<,8.0,,-1.16,0.013,48,-0.86,0.36,0.46,-4.57,1,1,0.579,0.022,0.06316,0.01484,16.476284,,,0.009349559060936414
240,2-1-683,07 59 09.59,-60 50 51.50,0.761,17.57,15.36,13.35,30,0.71,,28.1,,-1.19,0.031,50,-1.82,0.52,0.57,-4.41,1,1,0.56,0.022,0.05491,0.01326,16.642092,,,0.009349559060936414
241,2-1-833,07 59 14.87,-60 57 31.43,,17.75,15.54,13.46,24,1.72,<,8.0,*,-1.27,,54,,0.18,0.17,-4.88,0,1,0.562,0.026,0.05027,0.01333,16.853773,,,0.009349559060936414
242,2-1-912,07 59 17.09,-60 54 12.50,0.481,20.51,17.48,15.01,8,3.86,,44.2,,-1.95,0.032,119,-2.39,0.36,0.31,-4.64,1,1,0.317,0.046,0.01222,0.00522,19.087498,,,0.009349559060936414
243,2-1-943,07 59 18.48,-60 55 06.11,,17.98,15.62,13.5,26,21.12,,11.7,*,-1.29,,55,,0.03,0.0,-5.67,0,1,0.574,0.023,0.04745,0.01213,17.013918,3743.8,0.5194326241134752,0.009349559060936414
244,2-2-1247,07 59 36.56,-60 47 23.31,,18.33,15.97,,15,1.61,,8.0,,-1.43,,65,,0.37,0.39,-4.56,0,1,0.55,,0.03794,,17.417372,,,0.009349559060936414
245,2-2-1299,07 59 39.16,-60 50 15.39,,20.97,17.94,15.52,5,1.24,<,8.0,,-2.14,,148,,0.21,0.31,-4.87,0,1,,,,,19.528244,,,0.009349559060936414
246,2-2-1311,07 59 39.14,-60 45 37.30,0.367,18.66,16.08,13.83,9,7.24,,44.1,,-1.45,0.024,67,-2.26,0.43,0.45,-4.51,1,1,0.505,0.028,0.02902,0.00832,17.579916,3473.4,0.35168141592920366,0.009349559060936414
247,2-2-1402,07 59 42.35,-60 50 27.86,,16.17,14.6,12.89,41,1.61,<,8.0,*,-0.94,,37,,0.27,0.33,-4.67,0,1,0.66,,0.11892,,15.711231,4246.7,0.8,0.009349559060936414
248,2-2-169,07 58 56.42,-60 47 22.80,0.452,17.11,15.2,13.13,18,3.1,,55.3,,-1.16,0.024,48,-2.02,0.53,0.56,-4.38,1,1,0.585,0.022,0.06717,0.01582,16.446419,3643.9,0.47198757763975163,0.009349559060936414
249,2-2-19,07 58 50.90,-60 48 36.04,,20.15,17.29,,7,1.19,,21.3,,-1.9,,112,,0.36,0.25,-4.61,0,1,,,,,18.741581,3283.3,0.2144805194805196,0.009349559060936414
250,2-2-1907,08 00 02.42,-60 48 44.73,,19.35,16.69,14.51,10,2.2,,21.0,,-1.69,,88,,0.29,0.37,-4.68,0,1,0.409,0.034,0.02089,0.00675,18.181295,3307.9,0.23045454545454552,0.009349559060936414
251,2-2-2153,08 00 11.63,-60 48 32.40,6.784,17.0,15.05,13.08,20,1.94,<,8.0,*,-1.08,0.015,44,-0.81,0.37,0.48,-4.55,1,1,0.59,0.021,0.07048,0.01628,16.266953,,,0.009349559060936414
252,2-2-2387,08 00 18.18,-60 48 17.20,2.247,18.37,15.98,13.88,11,0.09,,9.6,,-1.43,0.009,65,-1.46,0.48,0.5,-4.45,1,1,0.468,0.025,0.03096,0.00819,17.347458,3687.6,0.49913043478260866,0.009349559060936414
253,2-2-3180,08 00 42.27,-60 46 50.69,,18.66,16.27,14.2,15,13.37,<,8.0,*,-1.54,,74,,-0.02,0.02,,0,1,0.416,0.028,0.02426,0.00683,17.657904,3589.7,0.43832298136645953,0.009349559060936414
254,2-2-3311,08 00 47.43,-60 46 21.43,,20.51,17.6,15.12,9,0.93,,55.4,,-2.02,,128,,0.16,0.48,-4.96,0,1,0.294,0.048,0.01074,0.00482,19.162994,,,0.009349559060936414
255,2-2-3336,08 00 48.53,-60 48 12.13,,21.26,18.17,15.42,6,1.93,,13.8,,-2.22,,162,,0.21,0.31,-4.88,0,1,,,,,19.811493,,,0.009349559060936414
256,2-2-3494,08 00 52.80,-60 49 09.26,,15.64,14.27,12.45,57,7.38,<,8.0,*,-0.8,,31,,0.05,0.11,-5.38,0,1,0.636,0.021,0.10019,0.02198,15.36471,4391.9,0.7008986175115206,0.009349559060936414
257,2-2-3759,08 01 03.29,-60 48 15.96,,20.3,17.29,14.75,12,2.3,,40.4,,-1.88,,110,,0.4,0.4,-4.58,0,1,,,,,19.129652,,,0.009349559060936414
258,2-2-3845,08 01 04.95,-60 41 55.99,,19.48,16.92,14.64,10,2.6,<,8.0,*,-1.79,,99,,0.03,-0.01,-5.61,0,1,0.495,0.042,0.03031,0.01054,18.34596,3542.3,0.4088819875776399,0.009349559060936414
259,2-2-3933,08 01 07.66,-60 43 35.20,8.677,17.95,15.78,13.62,27,70.99,<,8.0,*,-1.36,0.016,60,-0.84,0.69,0.4,-4.28,1,1,0.59,,0.13979,,17.061172,4017.8,0.6112230215827338,0.009349559060936414
260,2-2-4051,08 01 12.71,-60 48 25.30,10.033,18.08,15.79,13.64,27,1.09,<,8.0,,-1.36,0.018,60,-0.78,0.56,0.59,-4.38,1,1,0.523,0.024,0.03987,0.01027,17.151806,3764.2,0.5266666666666666,0.009349559060936414
261,2-2-464,07 59 06.93,-60 46 50.78,,16.29,14.8,13.19,32,33.03,<,8.0,*,-1.02,,41,,0.14,0.16,-4.94,0,1,0.71,,0.34337,,15.817502,4372.4,0.9,0.009349559060936414
262,2-2-511,07 59 09.08,-60 47 57.00,0.392,19.56,16.64,14.3,10,1.15,,40.3,,-1.63,0.041,83,-2.32,0.42,0.16,-4.55,1,1,0.44,0.036,0.02152,0.00719,18.24327,3320.4,0.23857142857142863,0.009349559060936414
263,2-2-745,07 59 17.98,-60 45 18.82,,17.62,15.3,13.09,21,0.12,,14.8,,-1.16,,48,,0.46,0.52,-4.47,0,1,0.593,0.024,0.05242,0.01361,16.689053,3614.9,0.45397515527950316,0.009349559060936414
264,2-2-90,07 58 54.31,-60 50 05.75,,19.05,16.44,14.22,14,53.42,<,8.0,*,-1.6,,79,,0.06,-0.02,-5.37,0,1,0.304,0.025,0.01505,0.00423,17.857592,3427.5,0.3110619469026549,0.009349559060936414
265,2-3-1157,07 59 36.36,-60 33 04.90,3.402,17.79,15.5,13.36,33,1.0,,12.0,,-1.24,0.02,53,-1.19,0.53,0.54,-4.41,1,2,0.554,0.042,0.04779,0.01612,16.921043,3741.8,0.5187234042553193,0.009349559060936414
266,2-3-1199,07 59 37.51,-60 32 45.57,,18.61,16.14,,19,0.53,,34.8,,-1.48,,70,,0.51,0.49,-4.42,0,1,0.56,,0.02978,,17.577223,3474.5,0.3526548672566372,0.009349559060936414
267,2-3-1361,07 59 44.31,-60 32 19.72,,18.13,15.65,13.41,28,2.26,,41.1,,-1.29,,56,,0.63,0.65,-4.34,0,2,0.525,0.024,0.0373,0.00975,17.048992,3543.7,0.40975155279503095,0.009349559060936414
268,2-3-1480,07 59 48.60,-60 33 33.71,,18.27,16.02,13.8,22,8.33,<,8.0,*,-1.45,,67,,0.1,0.08,-5.15,0,1,0.604,0.026,0.0629,0.01662,17.342724,3727.4,0.5136170212765958,0.009349559060936414
269,2-3-1757,07 59 55.85,-60 37 45.71,,19.7,16.72,14.12,10,0.15,,43.3,,-1.66,,85,,0.26,0.28,-4.76,0,1,,,,,18.296272,3359.7,0.264090909090909,0.009349559060936414
270,2-3-1984,07 59 55.72,-60 33 47.15,,20.22,17.19,14.64,10,1.26,,24.5,,-1.84,,104,,0.23,0.16,-4.83,0,1,,,,,19.010878,,,0.009349559060936414
271,2-3-2156,08 00 06.39,-60 38 21.46,,19.24,16.64,14.37,9,33.29,,21.6,*,-1.68,,87,,0.04,0.05,-5.52,0,1,0.444,0.032,0.02663,0.00805,18.130524,3517.8,0.39097345132743383,0.009349559060936414
272,2-3-2191,08 00 07.19,-60 33 38.48,,19.78,17.03,14.49,14,17.87,,9.3,*,-1.81,,102,,0.02,-0.07,-5.85,0,1,0.31,0.031,0.01568,0.00509,18.556461,3336.4,0.24896103896103902,0.009349559060936414
273,2-3-2256,08 00 09.22,-60 39 30.45,,17.6,15.03,12.84,17,9.51,<,8.0,*,-1.03,,41,,0.1,-0.01,-5.12,0,1,0.507,0.021,0.0307,0.00771,16.485493,3507.3,0.38168141592920374,0.009349559060936414
274,2-3-2921,08 00 37.60,-60 36 22.76,,15.49,14.07,12.59,30,0.71,<,8.0,,-0.72,,29,,0.32,0.38,-4.6,0,1,,,,,15.714796,,,0.009349559060936414
275,2-3-2979,08 00 40.83,-60 39 47.18,,18.24,15.5,13.25,7,16.75,,20.8,*,-1.2,,50,,0.19,-0.02,-4.88,0,1,0.235,0.02,0.00746,0.00191,17.0108,3358.6,0.2633766233766233,0.009349559060936414
