Unnamed: 0,recno,RAJ2000_x,DEJ2000_x,i'mag_x,Per_x,Power_x,l_FAP_x,FAP_x,Amp_x,M13_Mass,bin_x,Vmag_x,Icmag_x,Jmag_x,Hmag_x,Kmag_x,Mmb_x,XH_x,PSS_x,M13_single,M13_Mass_calc,M13_Mass_e,RAJ2000_y,DEJ2000_y,i'mag_y,Per_y,Power_y,l_FAP_y,FAP_y,Amp_y,bin_y,Vmag_y,Icmag_y,Jmag_y,Hmag_y,Kmag_y,Mmb_y,XH_y,PSS_y,Tess_single,Tess_Mass,s_Mass,s_Lum,logL,Teff,Tess_Mass_calc,Tess_Mass_e,Age_calc (Myr),Age_e (Myr),Mass_calc,Mass_e
25,26,02 18 14.52,+57 09 31.8,17.51,0.126,386.0,<,0.001,0.062,1.18,2,,,15.34,14.64,2.4913608199120354,,X,0.999442,1,1.2590854898013808,0.0037941954566645,02 18 14.52,+57 09 31.8,17.51,0.126,386.0,<,0.001,0.062,2.0,,,15.34,14.64,14.3,,X,0.999442,1.0,0.456,0.059,0.01082,-1.598771832501887,3388.7,0.235095238095238,0.0186945933377917,31.356,20.168,0.284,0.0696
26,27,02 18 57.60,+57 03 31.7,16.77,0.365,384.8,<,0.001,0.067,1.29,2,,,15.12,14.54,2.511360819912035,,X,0.999992,1,1.2554024985761905,0.0037941954566645,02 18 57.60,+57 03 31.7,16.77,0.365,384.8,<,0.001,0.067,2.0,,,15.12,14.54,14.32,,X,0.999992,1.0,0.77,,,-0.0441391435331746,4843.6,0.860628272251309,0.0186945933377917,9.0,3.761,1.1862,0.0822
27,28,02 19 46.36,+57 07 30.9,19.11,2.15,383.6,<,0.001,0.091,0.73,1,21.06,18.7,16.95,16.08,4.061360819912034,1.0,,0.999979,1,0.7355801030399812,0.0037941954566645,02 19 46.36,+57 07 30.9,19.11,2.15,383.6,<,0.001,0.091,1.0,21.06,18.7,16.95,16.08,15.87,1.0,,0.999979,1.0,,,,,,,0.0186945933377917,,,,
28,29,02 19 32.76,+57 05 44.1,17.0,0.712,383.2,<,0.001,0.037,1.26,1,18.23,16.6,15.36,14.75,2.751360819912035,3.0,X,0.999996,1,1.207846753842652,0.0037941954566645,02 19 32.76,+57 05 44.1,17.0,0.712,383.2,<,0.001,0.037,1.0,18.23,16.6,15.36,14.75,14.56,3.0,X,0.999996,1.0,0.82,,,0.1163254272395975,4853.6,0.8632460732984294,0.0186945933377917,5.667,2.574,1.2993,0.069
29,30,02 17 58.31,+57 08 38.2,16.27,0.372,381.9,<,0.001,0.034,1.36,2,,,14.86,14.32,2.331360819912036,,,0.999993,1,1.291392628312076,0.0037941954566645,02 17 58.31,+57 08 38.2,16.27,0.372,381.9,<,0.001,0.034,2.0,,,14.86,14.32,14.14,,,0.999993,1.0,,,,,4753.6,,0.0186945933377917,,,,
30,31,02 18 48.73,+57 11 27.5,16.8,0.348,379.1,<,0.001,0.025,1.3,2,,,15.19,14.56,2.5313608199120345,,,0.999985,1,1.252027562241279,0.0037941954566645,02 18 48.73,+57 11 27.5,16.8,0.348,379.1,<,0.001,0.025,2.0,,,15.19,14.56,14.34,,,0.999985,1.0,0.78,,,-0.0802160988784904,5024.5,0.9089442815249268,0.0186945933377917,15.683,6.973,1.1089,0.08
31,32,02 18 18.03,+57 16 58.2,16.9,0.717,378.7,<,0.001,0.041,1.27,2,18.12,16.47,15.24,14.52,2.501360819912035,3.0,,0.999993,1,1.2582587806882046,0.0037941954566645,02 18 18.03,+57 16 58.2,16.9,0.717,378.7,<,0.001,0.041,2.0,18.12,16.47,15.24,14.52,14.31,3.0,,0.999993,1.0,,,,,4969.7,,0.0186945933377917,,,,
32,33,02 19 51.52,+57 08 33.6,19.2,0.743,378.4,<,0.001,0.088,0.76,2,21.2,18.6,16.77,15.95,3.8313608199120353,1.0,X,0.999973,1,0.8277607066294574,0.0037941954566645,02 19 51.52,+57 08 33.6,19.2,0.743,378.4,<,0.001,0.088,2.0,21.2,18.6,16.77,15.95,15.64,1.0,X,0.999973,1.0,,,,,,,0.0186945933377917,,,,
33,34,02 19 20.52,+57 09 25.4,17.1,3.47,378.1,<,0.001,0.035,1.25,1,18.37,16.76,15.5,14.91,2.8713608199120344,0.0,X,0.999996,1,1.1771051311135114,0.0037941954566645,02 19 20.52,+57 09 25.4,17.1,3.47,378.1,<,0.001,0.035,1.0,18.37,16.76,15.5,14.91,14.68,0.0,X,0.999996,1.0,0.81,,,-0.2816395005470164,4777.3,0.8432722513089006,0.0186945933377917,19.49,9.543,0.9929,0.0651
34,35,02 18 58.23,+57 13 55.2,17.04,0.395,375.6,<,0.001,0.03,1.26,1,18.29,16.6,15.44,14.86,2.811360819912034,3.0,,0.999996,1,1.1932406660685917,0.0037941954566645,02 18 58.23,+57 13 55.2,17.04,0.395,375.6,<,0.001,0.03,1.0,18.29,16.6,15.44,14.86,14.62,3.0,,0.999996,1.0,0.81,,,-0.1089422593630421,4860.2,0.8649738219895288,0.0186945933377917,11.785,4.973,1.1227,0.079
35,36,02 19 23.99,+57 09 08.5,18.18,2.2,371.4,<,0.001,0.058,1.03,1,19.48,17.71,16.36,15.64,3.551360819912034,1.0,X,0.999998,1,0.9433741575000424,0.0037941954566645,02 19 23.99,+57 09 08.5,18.18,2.2,371.4,<,0.001,0.058,1.0,19.48,17.71,16.36,15.64,15.36,1.0,X,0.999998,1.0,,,,,3756.7,,0.0186945933377917,,,,
36,37,02 19 46.02,+57 03 41.4,18.31,5.32,367.4,<,0.001,0.042,1.0,1,19.65,17.8,16.48,15.75,3.761360819912035,1.0,,0.999992,1,0.8558167855800591,0.0037941954566645,02 19 46.02,+57 03 41.4,18.31,5.32,367.4,<,0.001,0.042,1.0,19.65,17.8,16.48,15.75,15.57,1.0,,0.999992,1.0,,,,,3729.8,,0.0186945933377917,,,,
