recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,Mass,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Mass_calc,Mass_e
350,02 18 51.73,+57 01 30.2,18.89,7.94,178.8,<,0.001,0.039,0.82,1,,,16.83,16.01,4.001360819912035,,X,0.999996,1,0.7170792220901626,0.012947409840164022
351,02 18 33.69,+56 59 32.0,19.17,4.02,178.8,<,0.001,0.027,0.72,1,,,16.88,16.08,3.9913608199120354,,,0.999996,1,0.7220326775726258,0.012947409840164022
352,02 17 58.35,+57 06 33.0,18.47,9.17,178.5,<,0.001,0.024,0.96,1,19.96,17.94,16.52,15.79,3.7813608199120345,1.0,,0.999995,1,0.811377918127425,0.012947409840164022
353,02 19 14.58,+57 06 06.6,17.16,0.504,176.3,<,0.001,0.029,1.24,1,18.16,16.7,15.62,15.0,3.001360819912035,1.0,X,0.999984,1,1.1415056399222758,0.012947409840164022
354,02 19 37.14,+57 11 17.2,19.18,1.35,175.2,<,0.001,0.022,0.72,1,21.2,18.6,16.88,16.04,3.9413608199120347,1.0,,0.999989,1,0.743166581385718,0.012947409840164022
355,02 19 47.45,+57 03 57.2,17.79,0.912,174.9,<,0.001,0.021,1.12,1,18.93,17.23,15.96,15.26,3.2413608199120354,1.0,X,0.999961,1,1.0513236718035803,0.012947409840164022
356,02 19 35.44,+57 16 34.0,19.3,0.323,174.5,<,0.001,0.026,0.68,1,21.24,18.67,16.94,16.09,4.001360819912035,1.0,,0.999998,1,0.7170792220901626,0.012947409840164022
357,02 18 11.45,+57 12 56.2,18.66,0.483,174.3,<,0.001,0.022,0.9,1,20.19,18.17,16.69,15.91,3.841360819912035,1.0,,0.999999,1,0.7861282380602761,0.012947409840164022
358,02 19 22.63,+57 09 52.6,15.63,0.323,173.9,<,0.001,0.009,1.59,1,16.37,15.27,14.44,14.11,2.1213608199120344,3.0,X,0.999998,1,,0.0
359,02 19 25.60,+57 05 47.2,18.2,8.2,173.9,<,0.001,0.026,1.03,1,19.62,17.71,16.32,15.61,3.591360819912035,1.0,X,0.999992,1,0.8962691754880261,0.012947409840164022
360,02 19 58.00,+57 06 37.7,18.88,7.87,173.8,<,0.001,0.025,0.83,1,20.56,18.3,16.78,15.98,3.9613608199120343,1.0,,0.999997,1,0.7340744230431856,0.012947409840164022
361,02 18 53.78,+57 15 01.4,18.83,3.88,172.2,<,0.001,0.02,0.84,1,20.53,18.33,16.75,15.95,3.891360819912034,1.0,,0.999996,1,0.7644896500173062,0.012947409840164022
362,02 18 58.41,+57 06 11.1,16.83,3.73,172.0,<,0.001,0.021,1.29,1,,,15.42,14.91,2.9513608199120345,,X,0.999991,1,1.1590834282073732,0.012947409840164022
363,02 18 30.59,+57 00 48.1,19.32,0.487,171.8,<,0.001,0.039,0.68,2,,,16.87,16.05,3.9613608199120343,,,0.999993,1,0.7340744230431856,0.012947409840164022
364,02 18 12.42,+57 03 56.4,17.45,3.88,171.7,<,0.001,0.011,1.19,1,18.72,17.05,15.78,15.14,3.1513608199120355,3.0,X,0.999992,1,1.089191263906934,0.012947409840164022
365,02 18 19.46,+57 01 23.6,19.5,6.49,171.6,<,0.001,0.06,0.62,1,21.62,18.98,17.25,16.47,4.4113608199120335,1.0,,0.999998,1,0.5569368144460576,0.012947409840164022
