recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
87,02 18 35.13,+57 04 06.7,16.7,5.59,325.3,<,0.001,0.017,1,17.62,16.29,15.31,14.79,14.65,0,,0.999996,1,5299.0,131.0,0.91,,,0.3117729272242421
88,02 18 30.64,+57 10 08.7,18.06,8.2,324.7,<,0.001,0.042,1,19.43,17.67,16.33,15.58,15.36,1,X,0.99999,1,,,,,,
89,02 18 44.90,+57 10 05.4,18.96,3.25,322.5,<,0.001,0.078,1,,,16.92,16.11,15.82,,X,0.999982,1,,,,,,
90,02 18 29.63,+57 07 14.2,19.37,2.12,321.9,<,0.001,0.079,1,,,17.17,16.37,16.13,,,0.99999,1,,,,,,
91,02 19 33.09,+57 09 44.0,17.02,4.12,320.3,<,0.001,0.033,1,18.09,16.58,15.45,14.93,14.73,3,X,0.999993,1,5222.0,144.0,0.89,,,-0.014968927310056427
92,02 18 24.46,+57 09 28.5,19.38,0.405,318.5,<,0.001,0.081,1,21.55,18.82,17.1,16.35,16.04,1,X,0.999996,1,,,,,,
93,02 19 53.35,+57 07 22.1,19.72,4.22,317.9,<,0.001,0.11,1,21.93,19.13,17.35,16.55,16.28,1,,0.999992,1,,,,,,
94,02 18 19.80,+57 12 24.4,18.23,3.19,317.5,<,0.001,0.044,1,19.7,17.71,16.27,15.52,15.27,1,,0.999996,1,,,,,,
95,02 18 32.38,+57 14 29.2,17.91,0.58,316.8,<,0.001,0.047,1,19.28,17.5,16.04,15.28,15.05,1,,0.999974,1,,,,,,
96,02 18 31.43,+57 05 36.2,17.08,2.93,316.2,<,0.001,0.018,2,18.34,16.69,15.37,14.7,14.49,3,X,0.999984,1,4741.0,132.0,,,,
97,02 19 14.09,+57 01 47.7,16.3,0.853,313.9,<,0.001,0.027,2,17.39,15.85,14.72,14.07,13.9,3,X,0.999995,1,4878.0,128.0,,,,
98,02 18 53.61,+57 10 04.6,17.2,0.342,313.9,<,0.001,0.041,1,18.43,16.73,15.64,14.96,14.76,1,X,0.999992,1,,,,,,
99,02 18 35.88,+57 12 12.5,18.77,7.14,313.0,<,0.001,0.038,1,20.39,18.3,16.69,15.89,15.63,1,,0.999994,1,,,,,,
100,02 19 07.67,+57 11 03.4,17.82,3.39,312.1,<,0.001,0.029,2,19.28,17.37,15.85,15.13,14.86,1,X,0.99998,1,,,,,,
101,02 18 06.86,+57 05 15.0,19.47,4.85,311.0,<,0.001,0.072,1,21.61,18.84,17.03,16.26,16.0,1,,0.999997,1,,,,,,
102,02 18 24.49,+57 08 28.9,18.28,0.423,310.1,<,0.001,0.05,1,,,16.43,15.72,15.46,,,0.999996,1,,,,,,
103,02 19 08.85,+57 06 59.0,16.25,1.5,309.7,<,0.001,0.026,1,17.14,15.84,14.85,14.4,14.28,3,X,0.999998,1,5437.0,149.0,0.95,,,0.4177124398471052
104,02 19 10.54,+57 15 45.1,17.03,0.337,308.9,<,0.001,0.022,2,18.31,16.6,15.37,14.68,14.46,3,,0.999995,1,4770.0,130.0,0.77,,,-0.25195159008836093
105,02 18 15.55,+57 13 54.8,16.75,2.69,308.4,<,0.001,0.02,1,17.82,16.42,15.35,14.79,14.62,3,,0.99999,1,5262.0,132.0,,,,
106,02 18 48.39,+57 07 40.2,18.04,5.35,306.4,<,0.001,0.045,1,,,16.36,15.6,15.38,,X,0.999998,1,,,,,,
107,02 18 03.79,+57 01 41.7,15.7,0.404,305.9,<,0.001,0.013,1,16.47,15.33,14.51,14.02,13.87,1,,0.999996,1,5501.0,123.0,0.96,,,0.587744629952993
108,02 19 16.62,+57 13 41.4,17.39,6.14,305.9,<,0.001,0.025,1,18.51,16.87,15.69,15.1,14.9,1,X,0.999984,1,4922.0,137.0,0.81,,,-0.2256728514871318
