recno,RAJ2000,DEJ2000,i'mag,Per,Power,l_FAP,FAP,Amp,bin,Vmag,Icmag,Jmag,Hmag,Kmag,Mmb,XH,PSS,single,Teff,s_Teff,Mass,s_Mass,s_Lum,logL
156,02 19 12.60,+57 13 21.4,15.89,7.46,276.0,<,0.001,0.009,2,16.87,15.5,14.53,14.04,13.91,3,,0.999996,1,5304.0,125.0,0.91,,,-0.04452391761868153
157,02 19 02.44,+57 14 29.9,16.9,0.474,276.0,<,0.001,0.038,2,18.26,16.5,15.15,14.5,14.25,3,X,0.999987,1,4584.0,130.0,0.72,,,-0.1281177981509421
158,02 19 43.76,+57 05 31.9,15.95,0.691,275.7,<,0.001,0.007,1,16.81,15.53,14.65,14.17,14.05,2,,0.999999,1,5470.0,124.0,0.96,,,0.24518929417363097
159,02 18 15.01,+57 12 13.3,19.1,7.3,275.3,<,0.001,0.031,1,20.71,18.64,17.01,16.19,15.92,0,,0.999996,1,,,,,,
160,02 19 37.66,+57 04 37.7,17.69,3.62,274.9,<,0.001,0.018,1,18.88,17.19,15.94,15.33,15.15,1,X,0.999998,1,5036.0,156.0,0.84,,,0.043884689176931405
161,02 18 32.93,+57 08 27.4,19.3,0.485,274.6,<,0.001,0.073,1,21.1,18.74,17.06,16.25,15.97,1,,0.999992,1,,,,,,
162,02 18 37.15,+57 09 05.6,19.23,0.413,274.4,<,0.001,0.051,1,,,17.04,16.22,15.89,,X,0.999995,1,,,,,,
163,02 18 46.57,+57 13 37.5,18.36,7.3,273.8,<,0.001,0.02,1,19.83,17.96,16.53,15.79,15.55,1,,0.999993,1,,,,,,
164,02 19 18.35,+56 59 17.3,16.23,0.665,273.6,<,0.001,0.025,1,17.17,15.81,14.86,14.4,14.24,3,X,0.999994,1,5172.0,126.0,0.88,,,0.14978855816568723
165,02 19 55.82,+57 04 01.6,19.36,1.42,273.0,<,0.001,0.041,2,21.47,18.75,16.92,16.11,15.82,1,,0.999996,1,,,,,,
166,02 19 47.78,+57 03 38.7,18.27,6.58,272.5,<,0.001,0.026,1,19.72,17.78,16.4,15.68,15.48,1,,0.999991,1,4555.0,159.0,0.72,,,-0.3004484306198472
167,02 19 03.97,+57 05 48.2,18.56,5.75,272.5,<,0.001,0.037,1,20.21,18.02,16.44,15.68,15.4,1,X,0.999997,1,,,,,,
168,02 18 20.82,+57 00 53.0,19.13,1.85,272.4,<,0.001,0.066,1,,,16.8,16.01,15.73,,,0.999995,1,,,,,,
169,02 18 58.43,+57 13 38.1,18.14,3.41,268.7,<,0.001,0.035,1,19.51,17.67,16.33,15.61,15.37,1,X,0.999994,1,,,,,,
170,02 20 01.46,+57 02 54.1,19.12,2.92,266.3,<,0.001,0.053,1,20.89,18.66,16.99,16.16,15.92,1,,0.999999,1,,,,,,
171,02 18 29.54,+57 03 10.2,17.74,0.886,266.2,<,0.001,0.018,2,19.07,17.28,15.87,15.15,14.92,1,X,0.999973,1,4453.0,135.0,0.7,,,-0.41020672816320536
172,02 18 44.26,+57 11 39.1,17.49,4.98,265.9,<,0.001,0.032,1,,,15.84,15.23,15.0,,X,0.999991,1,4988.0,141.0,0.83,,,-0.2774812465753931
173,02 19 19.86,+57 04 36.2,17.68,2.29,264.5,<,0.001,0.031,1,18.9,17.16,15.84,15.2,15.0,3,X,0.999986,1,4698.0,144.0,0.75,,,-0.11349235459290095
174,02 19 19.08,+57 03 19.3,18.07,0.459,264.2,<,0.001,0.034,2,19.68,17.56,16.0,15.19,14.95,3,X,0.999976,1,4128.0,144.0,,,,
176,02 19 34.45,+57 15 14.8,18.75,2.83,262.3,<,0.001,0.023,2,,,16.56,15.69,15.4,,,0.99998,1,,,,,,
177,02 19 25.37,+57 14 32.3,17.63,0.412,262.0,<,0.001,0.026,1,18.9,17.18,15.95,15.25,15.04,1,,0.999998,1,4727.0,137.0,0.76,,,-0.052796721189028874
178,02 18 20.31,+57 12 22.2,17.42,3.36,261.1,<,0.001,0.021,1,18.65,17.07,15.83,15.2,14.98,0,X,0.999995,1,4758.0,131.0,,,,
179,02 19 03.46,+57 12 40.5,20.02,0.437,259.9,<,0.001,0.084,1,22.59,19.44,17.47,16.63,16.33,1,,0.999997,1,,,,,,
180,02 18 19.44,+57 11 47.9,19.56,0.61,259.9,<,0.001,0.054,1,21.79,18.96,17.23,16.42,16.15,1,,0.999995,1,,,,,,
181,02 19 50.82,+57 04 07.3,18.31,1.85,259.9,<,0.001,0.018,1,19.8,17.87,16.39,15.64,15.4,1,,0.999995,1,,,,,,
182,02 18 33.69,+57 10 17.6,19.79,5.49,259.8,<,0.001,0.054,1,,,17.5,16.74,16.45,,,0.999989,1,,,,,,
183,02 17 56.64,+57 10 14.1,18.33,3.11,259.5,<,0.001,0.031,2,,,16.01,15.21,14.92,,,0.999961,1,,,,,,
184,02 18 26.33,+57 05 20.2,18.4,3.19,259.3,<,0.001,0.028,1,19.85,17.91,16.5,15.72,15.48,1,,0.999998,1,4400.0,151.0,0.69,,,-0.9263549544868479
185,02 19 48.85,+57 01 23.6,18.72,0.494,258.9,<,0.001,0.025,2,20.54,18.13,16.37,15.59,15.33,1,,0.999984,1,,,,,,
186,02 19 17.88,+57 13 52.5,19.39,0.436,258.5,<,0.001,0.043,1,21.34,18.85,17.07,16.27,15.97,1,,0.999989,1,,,,,,
187,02 18 49.60,+57 08 59.0,17.06,3.38,257.1,<,0.001,0.021,2,18.33,16.64,15.44,14.78,14.55,3,X,0.999989,1,4866.0,125.0,0.79,,,-0.15077105411551128
188,02 18 34.89,+57 09 39.8,17.11,0.553,255.9,<,0.001,0.01,1,18.27,16.71,15.54,14.92,14.71,3,X,0.999996,1,4871.0,133.0,0.79,,,-0.42470821404518033
189,02 18 11.77,+57 10 34.3,17.09,1.19,255.3,<,0.001,0.024,2,18.44,16.69,15.36,14.63,14.42,3,X,0.999993,1,4540.0,130.0,,,,
190,02 19 07.96,+57 06 51.5,17.46,3.36,254.4,<,0.001,0.035,1,,,15.82,15.28,15.09,,X,0.999994,1,,,,,,
191,02 19 05.66,+57 00 39.6,17.8,6.9,253.5,<,0.001,0.019,1,19.13,17.36,16.01,15.3,15.12,1,X,0.999989,1,4436.0,139.0,0.69,,,-0.4214524713668477
192,02 19 03.23,+57 01 20.5,17.49,0.638,252.9,<,0.001,0.02,1,18.8,17.01,15.73,15.07,14.87,3,,0.999993,1,4518.0,127.0,0.71,,,-0.6371030321974557
193,02 19 07.57,+57 06 09.2,15.97,0.467,252.9,<,0.001,0.018,2,16.92,15.52,14.55,14.08,13.94,3,X,0.999995,1,5361.0,125.0,0.93,,,0.4657961268929154
194,02 18 19.29,+57 03 43.2,18.49,0.816,252.7,<,0.001,0.03,1,20.13,17.99,16.44,15.63,15.41,1,X,0.999994,1,,,,,,
195,02 19 00.64,+57 10 20.1,16.96,0.814,252.2,<,0.001,0.049,2,18.1,16.51,15.41,14.72,14.49,3,X,0.999993,1,5193.0,136.0,0.88,,,0.18192358219219498
196,02 19 22.49,+57 13 19.5,19.61,2.13,252.1,<,0.001,0.074,1,21.67,19.05,17.23,16.4,16.1,1,,0.999999,1,,,,,,
197,02 18 10.61,+57 16 28.0,18.29,8.0,251.3,<,0.001,0.032,2,20.12,17.71,16.12,15.28,15.01,0,,0.999986,1,,,,,,
198,02 19 46.25,+57 11 48.8,19.42,11.8,249.0,<,0.001,0.041,2,21.75,18.8,16.93,16.13,15.82,1,,0.999997,1,,,,,,
199,02 19 35.50,+57 07 00.6,18.69,3.5,248.9,<,0.001,0.034,1,20.35,18.12,16.6,15.76,15.54,1,X,0.999993,1,,,,,,
200,02 18 49.89,+57 01 12.8,17.09,3.12,248.2,<,0.001,0.011,1,18.23,16.75,15.56,14.94,14.8,3,X,0.999994,1,4862.0,130.0,0.79,,,-0.15465386258859146
201,02 19 40.12,+57 03 55.4,18.58,0.418,247.1,<,0.001,0.025,2,20.27,17.99,16.32,15.5,15.24,1,X,0.999987,1,,,,,,
202,02 19 48.81,+57 05 26.3,18.1,0.33,247.0,<,0.001,0.043,1,19.57,17.63,16.25,15.44,15.25,1,,0.999997,1,4552.0,141.0,0.72,,,-0.6862171168448029
203,02 19 26.52,+57 12 31.7,18.59,0.281,246.6,<,0.001,0.027,1,20.19,18.1,16.47,15.7,15.44,1,,0.999996,1,,,,,,
204,02 18 43.18,+57 07 23.1,17.19,1.88,246.2,<,0.001,0.036,1,18.26,16.7,15.64,15.01,14.74,3,X,0.999986,1,4762.0,167.0,0.77,,,-0.5099431478540716
205,02 19 25.15,+57 09 48.3,17.01,1.19,246.1,<,0.001,0.024,2,18.13,16.6,15.4,14.77,14.54,3,X,0.999995,1,4929.0,137.0,0.81,,,-0.25024050207021864
206,02 19 25.79,+57 05 25.3,18.77,0.297,245.9,<,0.001,0.044,1,20.55,18.3,16.69,15.84,15.61,1,,0.999988,1,,,,,,
207,02 19 51.89,+57 15 05.1,18.79,0.348,245.8,<,0.001,0.027,2,,,16.46,15.66,15.35,,,0.999977,1,,,,,,
208,02 19 14.75,+57 04 29.6,15.72,0.808,245.5,<,0.001,0.024,1,16.41,15.37,14.61,14.23,14.13,3,,0.999997,1,6165.0,131.0,1.17,,,0.5873045356193138
209,02 19 42.06,+57 06 04.9,18.93,7.14,245.2,<,0.001,0.028,1,20.57,18.37,16.88,16.07,15.87,1,,0.999996,1,,,,,,
210,02 18 51.92,+57 06 56.7,18.21,4.95,245.1,<,0.001,0.078,1,19.72,17.74,16.43,15.67,15.52,1,X,0.999998,1,,,,,,
211,02 19 13.91,+57 05 32.1,18.41,7.46,245.0,<,0.001,0.04,1,19.86,17.88,16.48,15.76,15.56,1,X,0.999993,1,,,,,,
212,02 19 11.89,+57 16 01.4,19.02,11.0,244.8,<,0.001,0.046,1,20.7,18.44,16.96,16.11,15.88,1,,0.999994,1,,,,,,
213,02 19 46.03,+57 00 48.3,18.54,5.65,244.5,<,0.001,0.026,1,19.99,17.98,16.65,15.9,15.67,1,,0.999993,1,,,,,,
214,02 19 24.51,+57 01 53.3,16.76,0.334,244.3,<,0.001,0.039,2,17.87,16.34,15.18,14.52,14.34,3,,0.999988,1,4637.0,126.0,0.74,,,-0.03061670755529367
215,02 19 59.96,+57 10 12.4,16.02,0.0663,242.2,<,0.001,0.004,1,16.95,15.59,14.66,14.25,14.04,3,,0.999999,1,5511.0,124.0,,,,
216,02 19 26.64,+57 11 05.4,18.48,2.66,240.4,<,0.001,0.03,1,19.98,18.01,16.52,15.76,15.51,1,X,0.999994,1,,,,,,
217,02 19 17.42,+57 13 52.9,19.96,0.454,239.7,<,0.001,0.094,1,,,17.47,16.61,16.31,,,0.999985,1,,,,,,
218,02 18 22.22,+57 04 47.4,17.15,4.31,238.6,<,0.001,0.012,1,18.27,16.8,15.69,15.11,14.95,3,,0.999996,1,4856.0,136.0,0.79,,,-0.4910664739499672
219,02 19 50.27,+57 06 48.6,18.88,5.56,237.3,<,0.001,0.025,1,20.54,18.27,16.77,15.98,15.76,1,,0.999991,1,,,,,,
220,02 19 50.24,+57 06 17.1,17.93,4.76,237.3,<,0.001,0.024,1,19.43,17.53,16.01,15.29,15.1,1,X,0.999998,1,4680.0,161.0,0.75,,,-0.5747919488613437
221,02 19 55.75,+57 06 50.9,18.27,5.41,235.7,<,0.001,0.026,1,19.62,17.72,16.32,15.61,15.41,1,X,0.999998,1,4611.0,154.0,0.73,,,-0.44218012240920834
222,02 19 06.28,+57 08 37.6,17.43,0.415,235.6,<,0.001,0.055,1,,,15.69,15.09,14.83,,X,0.999994,1,,,,,,
223,02 18 32.15,+57 08 39.8,18.36,5.21,235.4,<,0.001,0.026,1,,,16.51,15.75,15.49,,,0.999977,1,,,,,,
224,02 18 07.55,+57 06 54.4,18.29,2.4,235.3,<,0.001,0.028,1,19.79,17.82,16.45,15.69,15.46,1,,0.999997,1,4514.0,149.0,0.71,,,-0.7073231328148841
225,02 19 40.42,+56 59 43.3,16.83,4.9,235.3,<,0.001,0.016,1,,,15.48,14.95,14.75,,,0.999995,1,5045.0,129.0,,,,
226,02 18 07.33,+57 09 20.9,19.17,0.755,235.2,<,0.001,0.038,1,,,17.0,16.14,15.88,,,0.999997,1,,,,,,
227,02 18 51.80,+57 11 14.9,16.06,0.369,233.8,<,0.001,0.007,2,17.11,15.61,14.57,13.98,13.76,3,X,0.999994,1,4936.0,124.0,,,,
228,02 19 41.01,+57 10 07.9,19.33,0.342,232.4,<,0.001,0.035,2,,,16.78,15.96,15.66,,,0.999997,1,,,,,,
229,02 18 43.78,+57 08 42.3,18.88,6.45,231.7,<,0.001,0.053,1,,,16.95,16.21,15.89,,,0.999983,1,,,,,,
230,02 19 35.44,+57 11 18.4,16.64,3.36,231.0,<,0.001,0.012,1,17.64,16.23,15.16,14.63,14.45,3,X,0.999996,1,4967.0,134.0,0.82,,,-0.04971792263978884
231,02 19 35.29,+57 09 49.3,18.31,4.57,230.4,<,0.001,0.022,2,19.98,17.75,16.23,15.42,15.13,1,,0.999994,1,,,,,,
232,02 19 46.83,+57 03 20.1,18.71,5.0,229.7,<,0.001,0.036,1,20.3,18.22,16.72,15.94,15.72,1,,0.99998,1,,,,,,
233,02 19 37.99,+57 07 11.5,19.91,3.28,229.0,<,0.001,0.059,2,,,17.34,16.49,16.2,,,0.999996,1,,,,,,
234,02 19 23.34,+57 11 24.6,17.13,1.95,228.4,<,0.001,0.019,2,18.11,16.58,15.42,14.78,14.57,3,X,0.999992,1,4911.0,137.0,0.8,,,-0.020092138227874045
235,02 18 50.86,+57 06 15.9,18.51,4.42,228.0,<,0.001,0.03,1,20.04,18.08,16.62,15.89,15.7,1,X,0.999997,1,,,,,,
236,02 19 16.84,+57 03 10.8,18.36,1.23,227.5,<,0.001,0.033,1,19.83,17.88,16.49,15.72,15.5,1,X,0.999993,1,4255.0,150.0,0.67,,,-0.907735639211652
237,02 19 14.13,+57 00 02.1,18.63,4.48,227.4,<,0.001,0.024,1,20.3,18.06,16.5,15.7,15.47,1,,0.999939,1,,,,,,
238,02 18 30.10,+57 13 32.9,18.07,1.38,226.9,<,0.001,0.017,2,19.72,17.53,16.04,15.22,14.95,1,,0.999999,1,4126.0,139.0,0.65,,,-0.3796244721389844
239,02 17 55.58,+57 11 33.1,18.81,0.861,226.9,<,0.001,0.046,1,20.34,18.24,16.7,15.88,15.62,1,,0.999992,1,,,,,,
240,02 19 50.23,+57 12 37.0,19.02,3.3,226.1,<,0.001,0.029,1,20.74,18.48,16.97,16.13,15.85,1,,0.999998,1,,,,,,
241,02 19 31.42,+57 09 11.6,17.74,0.847,225.6,<,0.001,0.024,2,19.34,17.27,15.77,15.02,14.76,3,X,0.999987,1,4223.0,135.0,0.66,,,-0.8635648295416174
242,02 18 02.50,+57 05 11.1,17.96,0.306,225.4,<,0.001,0.017,1,,,16.2,15.47,15.24,,,0.999991,1,4046.0,163.0,0.491,0.085,0.0299,-1.2313618987523856
243,02 19 22.24,+57 13 56.2,16.63,0.9,223.9,<,0.001,0.01,2,17.75,16.21,14.99,14.42,14.21,3,X,0.999993,1,4986.0,128.0,,,,
244,02 18 31.45,+57 04 39.3,19.03,0.683,222.8,<,0.001,0.037,1,20.8,18.49,16.89,16.06,15.8,1,,0.999999,1,,,,,,
245,02 18 47.01,+57 06 42.7,19.76,0.746,222.7,<,0.001,0.074,1,22.5,19.24,17.25,16.49,16.2,1,,0.999997,1,,,,,,
246,02 18 00.27,+57 09 46.2,18.54,3.92,222.4,<,0.001,0.019,1,20.06,18.07,16.59,15.81,15.56,1,,0.999987,1,4390.0,178.0,0.69,,,-0.3526072485882794
247,02 18 47.38,+57 08 42.5,17.59,7.69,221.9,<,0.001,0.028,1,,,15.9,15.23,14.97,,X,0.999988,1,,,,,,
248,02 18 22.58,+57 14 45.1,19.85,4.39,221.6,<,0.001,0.052,1,22.56,19.26,17.34,16.55,16.24,1,,0.999932,1,,,,,,
249,02 19 03.50,+57 13 08.0,19.36,0.833,221.6,<,0.001,0.056,2,21.23,18.69,16.95,16.14,15.83,1,,0.999999,1,,,,,,
250,02 18 13.49,+57 00 24.6,19.33,0.553,221.3,<,0.001,0.043,1,21.33,18.75,16.99,16.18,15.92,1,,0.999991,1,,,,,,
251,02 18 45.12,+57 13 11.1,20.01,2.87,221.3,<,0.001,0.056,1,22.31,19.5,17.58,16.8,16.47,1,,0.999239,1,,,,,,
252,02 19 24.26,+57 05 55.8,17.29,0.327,221.2,<,0.001,0.027,2,18.63,16.86,15.57,14.91,14.7,3,X,0.999996,1,4100.0,169.0,0.544,0.066,0.03301,-1.1149782051377024
253,02 18 21.34,+57 13 43.0,20.08,0.609,218.6,<,0.001,0.082,1,,,17.59,16.83,16.53,,,0.999218,1,,,,,,
254,02 18 31.46,+57 14 36.2,18.63,6.1,218.2,<,0.001,0.028,2,20.51,18.09,16.42,15.64,15.35,1,,0.99999,1,,,,,,
255,02 19 20.03,+57 00 19.6,18.73,1.63,218.1,<,0.001,0.033,1,20.41,18.14,16.62,15.83,15.58,1,,0.999972,1,,,,,,
256,02 19 03.58,+57 04 03.0,15.82,0.541,217.8,<,0.001,0.005,2,16.64,15.45,14.51,14.11,13.92,3,X,0.999996,1,5982.0,127.0,1.1,,,0.7793338151726427
257,02 18 16.07,+57 07 21.2,19.44,6.29,217.1,<,0.001,0.056,1,,,17.2,16.38,16.11,,,0.999988,1,,,,,,
258,02 18 15.06,+57 14 43.9,18.39,2.5,216.8,<,0.001,0.018,1,,,16.44,15.65,15.41,,,0.99999,1,,,,,,
259,02 19 51.30,+57 09 28.5,16.66,2.29,214.3,<,0.001,0.006,1,17.65,16.27,15.31,14.84,14.63,0,,0.999999,1,5571.0,130.0,0.98,,,0.0809293774247747
260,02 18 58.98,+57 16 06.0,19.32,3.66,214.1,<,0.001,0.041,1,21.24,18.78,17.13,16.26,15.99,1,,0.999999,1,,,,,,
261,02 18 42.75,+57 14 19.1,15.91,1.29,213.4,<,0.001,0.004,2,16.72,15.53,14.61,14.11,13.94,3,,0.999996,1,5890.0,123.0,1.07,,,0.2701149352793389
262,02 18 35.97,+57 13 18.9,18.38,1.25,213.2,<,0.001,0.029,1,19.82,17.89,16.4,15.64,15.4,1,,0.999992,1,,,,,,
263,02 19 33.92,+57 03 31.5,16.49,0.332,213.1,<,0.001,0.011,2,17.61,16.08,14.91,14.31,14.15,3,X,0.999996,1,5038.0,124.0,,,,
264,02 18 49.71,+57 00 06.2,19.05,6.33,212.5,<,0.001,0.053,1,,,16.98,16.19,15.97,,,0.999998,1,,,,,,
265,02 18 17.39,+57 07 30.9,16.09,1.96,211.9,<,0.001,0.008,2,17.13,15.75,14.67,14.16,14.03,3,X,0.999995,1,5155.0,124.0,,,,
266,02 19 38.99,+57 06 53.4,19.08,0.63,211.6,<,0.001,0.044,2,21.33,18.42,16.59,15.77,15.48,1,X,0.999997,1,,,,,,
267,02 18 53.89,+57 01 34.1,17.19,8.43,211.0,<,0.001,0.019,1,,,15.53,14.89,14.73,,X,0.999987,1,4753.0,126.0,0.76,,,-0.0896424427271224
268,02 18 54.16,+57 15 11.7,18.77,0.73,210.9,<,0.001,0.02,1,20.37,18.2,16.65,15.86,15.62,1,,0.999996,1,4158.0,181.0,0.65,,,-0.8259111045363144
270,02 19 26.59,+57 09 37.0,16.98,0.382,210.6,<,0.001,0.009,2,18.14,16.55,15.36,14.73,14.52,3,X,0.999992,1,5040.0,129.0,0.84,,,0.04066562067398447
271,02 19 26.77,+57 00 12.2,16.59,3.48,210.5,<,0.001,0.016,1,17.52,16.14,15.39,14.8,14.59,3,,0.999994,1,5185.0,125.0,0.88,,,0.08460844670453223
272,02 18 52.34,+57 04 35.2,17.74,0.25,210.5,<,0.001,0.025,2,19.14,17.29,15.84,15.1,14.84,3,X,0.999994,1,4448.0,134.0,0.7,,,-0.33452220135529664
273,02 19 21.07,+57 07 29.3,18.7,1.83,210.4,<,0.001,0.045,1,20.25,18.23,16.64,15.87,15.69,1,X,0.999977,1,,,,,,
274,02 19 32.83,+57 16 43.3,17.72,11.5,210.4,<,0.001,0.014,1,18.99,17.24,16.0,15.29,15.06,1,,0.999994,1,4395.0,135.0,0.69,,,-0.4074568570953883
275,02 18 44.00,+57 13 21.4,18.46,15.9,209.9,<,0.001,0.039,2,20.42,17.93,16.26,15.47,15.16,1,X,0.999996,1,,,,,,
276,02 17 56.52,+57 10 37.0,17.22,1.21,209.9,<,0.001,0.011,1,18.19,16.75,15.74,15.23,15.04,0,,0.999996,1,4997.0,131.0,0.83,,,-0.48159135639657746
277,02 18 53.55,+57 09 56.6,19.18,4.46,209.3,<,0.001,0.047,1,,,17.14,16.32,16.05,,,0.999998,1,,,,,,
278,02 19 58.46,+57 05 14.6,18.86,6.94,209.2,<,0.001,0.021,1,20.7,18.36,16.8,15.96,15.71,1,,0.999996,1,,,,,,
279,02 19 18.12,+57 02 09.2,19.86,6.58,209.0,<,0.001,0.08,1,21.88,19.19,17.49,16.65,16.36,1,,0.999997,1,,,,,,
280,02 19 43.09,+57 00 45.0,17.79,0.854,208.7,<,0.001,0.041,1,,,16.16,15.48,15.25,,,0.99995,1,,,,,,
282,02 18 52.95,+57 13 48.8,20.06,1.81,206.8,<,0.001,0.07,1,,,17.44,16.73,16.42,,,0.999836,1,,,,,,
283,02 18 05.14,+57 07 17.7,19.51,0.322,206.8,<,0.001,0.057,1,21.59,18.99,17.21,16.34,16.08,1,,0.999998,1,,,,,,
284,02 18 01.32,+57 02 29.8,18.9,5.65,205.9,<,0.001,0.026,1,20.59,18.44,16.93,16.11,15.88,1,,0.999996,1,,,,,,
285,02 18 16.36,+57 02 56.4,19.27,5.49,204.7,<,0.001,0.039,1,,,17.05,16.27,16.0,,,0.999991,1,,,,,,
286,02 19 51.46,+57 03 10.8,19.39,3.75,204.5,<,0.001,0.045,1,21.26,18.75,17.13,16.26,16.04,1,,0.999987,1,,,,,,
287,02 19 32.90,+57 06 01.8,17.27,3.06,204.2,<,0.001,0.019,1,18.46,16.83,15.59,15.04,14.87,0,X,0.999995,1,5111.0,152.0,0.86,,,0.23475005965248383
288,02 19 33.51,+57 09 50.6,18.31,0.885,203.2,<,0.001,0.038,1,,,16.35,15.64,15.37,,,,2,,,,,,
289,02 18 32.12,+57 10 56.4,18.5,5.56,202.8,<,0.001,0.021,1,20.07,18.07,16.67,15.88,15.64,1,,0.999998,1,,,,,,
290,02 18 31.03,+57 01 56.2,17.87,4.88,202.4,<,0.001,0.018,1,19.09,17.4,16.17,15.47,15.26,1,,0.999995,1,,,,,,
291,02 18 51.37,+57 11 16.2,17.26,5.38,202.3,<,0.001,0.021,1,18.38,16.84,15.7,15.05,14.86,1,X,0.999998,1,,,,,,
292,02 18 35.42,+57 03 41.6,19.03,5.9,202.2,<,0.001,0.035,1,20.75,18.52,16.93,16.11,15.91,1,X,0.999989,1,,,,,,
293,02 18 47.14,+57 09 12.2,17.42,1.85,202.0,<,0.001,0.012,1,18.62,16.97,15.83,15.2,14.97,0,X,0.999995,1,,,,,,
294,02 19 51.31,+57 07 36.9,19.02,0.863,200.5,<,0.001,0.038,2,21.18,18.46,16.66,15.81,15.56,1,X,0.999992,1,,,,,,
295,02 19 08.05,+57 11 12.7,16.77,3.57,200.2,<,0.001,0.01,2,17.88,16.32,15.15,14.58,14.37,3,X,0.999995,1,5168.0,127.0,0.87,,,0.29471086124544454
296,02 19 34.66,+57 13 06.9,18.08,5.08,199.8,<,0.001,0.024,1,19.36,17.62,16.3,15.59,15.39,1,,0.999988,1,4755.0,202.0,0.76,,,-0.4637446593241532
297,02 18 24.90,+57 02 06.1,18.51,0.58,199.3,<,0.001,0.071,1,,,16.58,15.66,15.48,,,0.999993,1,,,,,,
298,02 18 08.87,+57 02 08.9,19.28,0.543,199.0,<,0.001,0.034,2,,,16.76,15.98,15.7,,,0.999993,1,,,,,,
299,02 18 07.84,+57 07 34.6,18.65,0.333,198.9,<,0.001,0.026,1,20.26,18.14,16.68,15.86,15.65,1,,0.999999,1,,,,,,
300,02 18 50.71,+57 15 07.6,20.17,0.535,198.7,<,0.001,0.078,1,22.52,19.62,17.56,16.78,16.49,1,,0.999995,1,,,,,,
301,02 18 01.64,+57 02 40.9,19.79,0.677,198.2,<,0.001,0.07,1,21.85,19.2,17.48,16.64,16.39,1,,0.999998,1,,,,,,
302,02 18 55.07,+57 15 22.2,17.55,5.59,197.8,<,0.001,0.012,2,19.13,17.11,15.56,14.8,14.59,3,X,0.999982,1,4357.0,143.0,0.68,,,-0.3338846772296441
304,02 19 32.43,+57 12 56.8,19.25,9.43,197.1,<,0.001,0.037,1,20.95,18.62,17.03,16.2,15.94,1,,0.999996,1,,,,,,
305,02 18 03.23,+57 06 33.0,17.56,2.71,196.4,<,0.001,0.017,1,,,15.83,15.06,14.86,,,0.99999,1,,,,,,
307,02 19 31.58,+57 05 02.6,15.99,0.464,195.9,<,0.001,0.006,2,16.95,15.54,14.58,14.04,13.9,3,X,0.999994,1,5259.0,124.0,0.9,,,0.3503895287463476
308,02 19 38.26,+57 08 28.7,18.8,2.25,195.8,<,0.001,0.031,1,20.4,18.3,16.81,15.95,15.72,1,,0.999994,1,,,,,,
309,02 18 01.15,+57 06 00.0,20.02,4.02,195.5,<,0.001,0.079,1,22.34,19.35,17.52,16.81,16.52,1,,0.99949,1,,,,,,
310,02 18 09.29,+57 07 02.3,19.71,0.769,195.3,<,0.001,0.045,1,21.98,19.15,17.28,16.45,16.21,1,X,0.999997,1,,,,,,
311,02 18 12.92,+57 10 54.7,17.51,0.496,195.0,<,0.001,0.015,1,18.71,17.08,15.87,15.22,15.0,3,,0.999994,1,4925.0,136.0,0.81,,,0.036133645113012924
312,02 19 23.54,+57 04 26.3,16.01,1.7,194.8,<,0.001,0.006,2,16.87,15.56,14.66,14.13,13.98,3,X,0.999999,1,5390.0,127.0,0.94,,,0.2384049381446432
313,02 18 33.66,+57 00 21.9,17.7,4.72,194.6,<,0.001,0.02,2,19.13,17.22,15.8,15.05,14.84,3,,0.999992,1,4226.0,134.0,,,,
314,02 18 08.07,+56 59 36.7,19.2,1.25,194.6,<,0.001,0.067,1,,,17.12,16.28,16.04,,,0.999995,1,,,,,,
315,02 19 25.34,+57 07 11.1,18.66,1.16,193.2,<,0.001,0.028,1,20.17,18.02,16.61,15.82,15.6,1,,0.999991,1,,,,,,
316,02 19 26.20,+57 05 11.3,17.9,3.92,192.9,<,0.001,0.025,1,,,16.11,15.44,15.23,,X,0.999998,1,,,,,,
317,02 18 58.15,+57 09 41.1,18.19,6.14,192.8,<,0.001,0.036,2,,,16.15,15.37,15.1,,X,0.999996,1,,,,,,
318,02 18 07.51,+57 01 08.9,18.99,0.872,192.7,<,0.001,0.033,1,20.74,18.47,16.91,16.09,15.85,1,,0.999995,1,,,,,,
319,02 18 09.34,+57 11 54.5,15.99,11.9,191.9,<,0.001,0.005,2,17.09,15.61,14.56,13.94,13.77,1,,0.999985,1,4588.0,123.0,0.73,,,-0.4401053391639985
320,02 20 00.82,+56 59 31.8,18.38,8.06,190.9,<,0.001,0.034,1,19.72,17.85,16.73,15.91,15.63,1,,0.999992,1,,,,,,
321,02 19 32.82,+57 13 22.8,19.38,8.2,190.5,<,0.001,0.057,1,,,17.18,16.33,16.04,,,0.999992,1,,,,,,
322,02 18 36.93,+57 14 17.1,18.5,0.543,189.9,<,0.001,0.023,2,20.64,18.03,16.38,15.58,15.29,1,,0.999917,1,,,,,,
323,02 18 24.39,+57 04 50.9,16.77,6.67,189.4,<,0.001,0.006,1,17.77,16.41,15.4,14.9,14.74,0,,0.999992,1,5198.0,129.0,0.88,,,-0.07461054701537859
324,02 18 18.16,+57 06 07.0,19.65,7.25,189.3,<,0.001,0.028,1,21.7,19.08,17.32,16.5,16.23,1,,0.999999,1,,,,,,
