Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
259,7.934998294395506,0.3349069608975934,0.01718105414908555,0.26,1,99.0,0.76,2.4814,83.83311809421,-5.56487364519
264,8.724998294395505,0.22140355877778495,0.01718105414908555,0.26,1,99.0,4.51,2.5297,83.84138433449,-5.47428340662
265,7.534998294395504,0.39237703792028156,0.01718105414908555,0.26,1,99.0,0.75,2.3169,83.77438768531,-5.45046198782
269,9.574998294395503,0.09927964510457365,0.01718105414908555,0.26,1,99.0,5.21,2.2866,83.99979028509,-5.5009512721
274,9.094998294395502,0.1682437375317991,0.01718105414908555,0.25,1,99.0,0.76,2.5505,83.87616429034,-5.43102347656
275,8.394998294395505,0.26881637232150246,0.01718105414908555,0.25,1,99.0,3.1,2.4557,83.89104576925,-5.63908497171
277,9.814998294395505,0.0647975988909606,0.01718105414908555,0.25,1,99.0,5.32,2.7855,83.81215632718,-5.6108917689
284,8.394998294395505,0.26881637232150246,0.01718105414908555,0.24,1,99.0,2.88,2.4815,83.63039535208,-5.48189100307
286,9.234998294395504,0.14812921057385808,0.01718105414908555,0.24,1,99.0,3.14,2.7914,83.7827594251,-5.28479155203
287,9.864998294395503,0.05761383926312469,0.01718105414908555,0.24,1,99.0,8.93,2.5457,83.80617587515,-5.51337469971
288,8.704998294395503,0.22427706262891967,0.01718105414908555,0.24,1,99.0,1.39,2.4723,83.65924159709,-5.40656906862
289,8.824998294395504,0.20703603952211314,0.01718105414908555,0.24,1,99.0,2.11,2.3102,83.90977851485,-5.47630989778
290,9.014998294395504,0.17973775293633643,0.01718105414908555,0.24,1,99.0,9.81,2.5094,83.72049812506,-5.4830672297
292,8.214998294395507,0.2946779069817118,0.01718105414908555,0.24,1,98.0,4.44,2.3257,83.87496709032,-5.20758415473
293,8.704998294395505,0.22427706262891944,0.01718105414908555,0.24,1,99.0,6.29,2.6149,83.78311827569,-5.35477573857
298,7.844998294395504,0.34783772822769854,0.01718105414908555,0.23,1,99.0,6.15,2.5812,83.8668553001,-5.28894870712
300,8.314998294395505,0.2803103877260402,0.01718105414908555,0.23,1,99.0,,2.5129,83.86815460218,-5.30640381536
304,8.044998294395503,0.3191026897163547,0.01718105414908555,0.23,1,98.0,3.21,2.4479,83.77739242044,-5.54764834155
306,8.184998294395506,0.29898816275841344,0.01718105414908555,0.22,1,99.0,2.39,2.5896,84.03621063148,-5.35061799087
311,8.984998294395504,0.18404800871303806,0.01718105414908555,0.22,1,99.0,2.53,2.3884,83.82368809706,-5.53400699178
316,9.654998294395503,0.08778562970003612,0.01718105414908555,0.21,1,99.0,4.78,2.4952,83.79247757441,-5.33916284503
324,9.684998294395502,0.08347537392333448,0.01718105414908555,0.2,1,99.0,7.87,2.3853,83.84601454442,-5.49487848804
329,9.054998294395503,0.17399074523406788,0.01718105414908555,0.19,1,99.0,1.57,2.5152,83.79637140454,-5.5832425484
330,8.784998294395505,0.21278304722438168,0.01718105414908555,0.19,1,99.0,,2.4147,83.8783470696,-5.51006820775
332,10.304998294395505,-0.005603245461831996,0.01718105414908555,0.18,1,99.0,7.91,2.1741,83.79856690175,-5.40595995728
333,8.884998294395503,0.1984155279687101,0.01718105414908555,0.18,1,98.0,14.4,2.4994,83.76738044752,-5.37343962233
338,9.384998294395505,0.12657793169035014,0.01718105414908555,0.17,1,99.0,1.15,2.5725,83.81542005454,-5.47099255866
340,8.704998294395503,0.22427706262891967,0.01718105414908555,0.17,1,99.0,4.38,2.3674,83.86480603308,-5.47528088355
342,8.394998294395506,0.26881637232150224,0.01718105414908555,0.17,1,99.0,2.23,2.3651,83.78031534703,-5.37404641934
348,9.394998294395505,0.12514117976478278,0.01718105414908555,0.16,1,99.0,0.73,1.4018,83.8343610255,-5.23316926954
349,7.714998294395504,0.366515503260072,0.01718105414908555,0.16,1,99.0,1.71,2.5414,83.82063383034,-5.42974809933
352,9.884998294395503,0.054740335411990415,0.01718105414908555,0.15,1,99.0,0.64,2.5732,83.75762944541,-5.50535978168
354,9.864998294395505,0.05761383926312447,0.01718105414908555,0.15,1,99.0,3.78,2.5031,83.77692961618,-5.51923414916
