Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
180,4.341360819912033,0.5919022114124379,0.06036238380157702,0.6,1,1.0,0.61,0.432,34.96174053582,57.06866598834
181,3.591360819912035,0.889126060008484,0.06036238380157702,1.0,1,1.0,1.85,0.8881,34.64036416669,57.17152229109
184,3.671360819912035,0.8574221828249058,0.06036238380157702,0.98,1,1.0,3.19,0.3757,34.95353183227,57.02316085187
185,3.5213608199120348,0.9168669525441153,0.06036238380157702,0.88,2,1.0,0.494,1.1862,34.82451243781,57.23121518285
186,4.161360819912035,0.6632359350754884,0.06036238380157702,0.65,1,1.0,0.436,0.4715,34.70661813166,57.14964225357
194,3.601360819912035,0.8851630753605368,0.06036238380157702,0.95,1,1.0,0.816,0.2693,34.75263954972,57.17217209759
196,4.291360819912036,0.6117171346521733,0.06036238380157702,0.59,1,1.0,2.13,-1.0459,34.54420358591,57.27443743903
198,4.011360819912035,0.7226807047946979,0.06036238380157702,0.64,2,1.0,11.8,0.2489,34.89789259255,57.11679711252
199,3.731360819912034,0.8336442749372226,0.06036238380157702,0.89,1,1.0,3.5,0.4859,34.70780675821,57.02016749586
201,3.431360819912035,0.9525338143756408,0.06036238380157702,0.93,2,1.0,0.418,0.3439,34.95340331018,57.09059188128
203,3.631360819912034,0.8732741214166952,0.06036238380157702,0.92,1,1.0,0.281,0.5818,34.67984924925,57.1230073883
206,3.801360819912034,0.8059033824015913,0.06036238380157702,0.86,1,1.0,0.297,3.1424,34.96622651327,57.25134903074
209,4.061360819912034,0.7028657815549619,0.06036238380157702,0.81,1,1.0,7.14,0.5053,34.71631647259,57.11566740274
211,3.751360819912035,0.8257183056413273,0.06036238380157702,0.97,1,1.0,7.46,0.6385,34.79952175391,57.26698795726
212,4.0713608199120355,0.6989027969070141,0.06036238380157702,0.78,1,1.0,11.0,0.3518,34.94182759819,57.01338091908
213,3.8613608199120346,0.7821254745139075,0.06036238380157702,0.94,1,1.0,5.65,0.3758,34.85213229256,57.03141380998
216,3.7013608199120345,0.8455332288810642,0.06036238380157702,0.95,1,1.0,2.66,0.1802,34.82252945736,57.23129497329
219,3.9513608199120345,0.7464586126823818,0.06036238380157702,0.82,1,1.0,5.56,0.7323,34.95933926935,57.1046887248
224,3.6513608199120355,0.8653481521208002,0.06036238380157702,1.0,1,1.0,2.4,0.2472,34.91845175345,56.99532268911
231,3.3213608199120355,0.9961266455030608,0.06036238380157702,1.0,2,1.0,4.57,0.4167,34.94511189961,57.05550219418
232,3.9113608199120353,0.7623105512741708,0.06036238380157702,0.89,1,1.0,5.0,0.7353,34.90827348596,57.1198015857
235,3.891360819912034,0.7702365205700659,0.06036238380157702,0.94,1,1.0,4.42,0.7401,34.82015965494,57.05293453751
236,3.6913608199120347,0.8494962135290114,0.06036238380157702,0.99,1,1.0,1.23,0.3742,34.80886375985,57.00054349118
237,3.6613608199120353,0.861385167472853,0.06036238380157702,0.91,1,1.0,4.48,0.1964,34.62537189543,57.22574054663
239,3.811360819912034,0.8019403977536441,0.06036238380157702,0.85,1,1.0,0.861,0.8124,34.95928280793,57.21021964702
240,4.041360819912034,0.7107917508508563,0.06036238380157702,0.77,1,1.0,3.3,0.6018,34.88089589067,57.15316721549
244,3.9913608199120354,0.7306066740905923,0.06036238380157702,0.77,1,1.0,0.683,-0.1144,34.69585000643,57.11179382418
245,4.391360819912034,0.5720872881727013,0.06036238380157702,0.53,1,1.0,0.746,0.3271,34.50111018443,57.16279277736
246,3.751360819912035,0.8257183056413273,0.06036238380157702,0.94,1,1.0,3.92,0.3113,34.69737527484,57.14511999135
248,4.431360819912033,0.5562353495809125,0.06036238380157702,0.52,1,1.0,4.39,0.213,34.76457005453,57.21883230447
249,4.021360819912035,0.7187177201467507,0.06036238380157702,0.67,2,1.0,0.833,1.2499,34.55619015202,57.00673462483
250,4.111360819912035,0.6830508583152253,0.06036238380157702,0.66,1,1.0,0.553,,34.687964114,57.2197000628
251,4.6613608199120335,0.4650867026781247,0.06036238380157702,0.47,1,1.0,2.87,0.8257,34.85105855426,57.098790124
254,3.5413608199120343,0.9089409832482209,0.06036238380157702,0.91,2,1.0,6.1,0.2785,34.83345665786,57.00537169664
255,3.7713608199120348,0.8177923363454329,0.06036238380157702,0.88,1,1.0,1.63,0.2057,34.76486840694,57.06743156935
260,4.181360819912035,0.655309965779594,0.06036238380157702,0.67,1,1.0,3.66,0.4573,34.67808575009,57.23860782227
262,3.591360819912035,0.889126060008484,0.06036238380157702,0.99,1,1.0,1.25,0.4408,34.89130929055,57.05869479269
266,3.671360819912035,0.8574221828249058,0.06036238380157702,0.75,2,1.0,0.63,0.1575,34.72449190406,57.02607214694
268,3.811360819912034,0.8019403977536441,0.06036238380157702,0.87,1,1.0,0.73,,34.62550369153,57.10992780473
269,4.7813608199120345,0.41753088690275675,0.06036238380157702,0.43,1,1.0,7.41,0.3566,34.86076794826,57.16023307617
273,3.881360819912034,0.7741995052180131,0.06036238380157702,0.89,1,1.0,1.83,0.805,34.88679438657,57.27861453879
275,3.351360819912035,0.9842376915592193,0.06036238380157702,0.95,2,1.0,15.9,0.5732,34.48546466938,57.17689324484
278,3.9013608199120355,0.766273535922118,0.06036238380157702,0.83,1,1.0,6.94,-0.2954,34.82548926194,57.03583837514
279,4.551360819912034,0.5086795338055445,0.06036238380157702,0.52,1,1.0,6.58,0.5221,34.92954006652,57.01246703665
281,4.811360819912036,0.4056419329589145,0.06036238380157702,0.43,1,1.0,8.0,,34.72061140839,57.23014898878
283,4.271360819912033,0.6196431039480692,0.06036238380157702,0.61,1,1.0,0.322,0.3161,34.50545256644,57.04151911919
284,4.0713608199120355,0.6989027969070141,0.06036238380157702,0.81,1,1.0,5.65,0.2016,34.56815071496,57.04894735071
286,4.231360819912034,0.635495042539858,0.06036238380157702,0.65,1,1.0,3.75,0.2475,34.88710119719,57.10047039427
289,3.8313608199120353,0.794014428457749,0.06036238380157702,0.94,1,1.0,5.56,0.5294,34.62929265767,57.03219710681
292,4.101360819912035,0.6870138429631725,0.06036238380157702,0.77,1,1.0,5.9,0.4115,34.69638123101,57.15332924096
294,3.751360819912035,0.8257183056413273,0.06036238380157702,0.78,2,1.0,0.863,0.4899,34.78352320854,57.18681821236
299,3.841360819912035,0.7900514438098019,0.06036238380157702,0.9,1,1.0,0.333,-0.6517,34.71128669788,57.25202653504
300,4.681360819912033,0.4571607333822303,0.06036238380157702,0.44,1,1.0,0.535,0.8096,34.50682455705,57.0446274936
301,4.581360819912035,0.4967905798617023,0.06036238380157702,0.53,1,1.0,0.677,0.4719,34.729452323,57.25610701831
303,4.831360819912035,0.3977159636630201,0.06036238380157702,0.36,2,1.0,0.363,,0.0,0.0
304,4.131360819912034,0.6751248890193307,0.06036238380157702,0.7,1,1.0,9.43,,34.73054492398,57.10918182689
306,4.9113608199120335,0.3660120864794423,0.06036238380157702,0.41,1,1.0,3.94,0.0717,34.90938289087,57.14121926352
308,3.9113608199120353,0.7623105512741708,0.06036238380157702,0.85,1,1.0,2.25,-0.1497,34.53869845724,57.11724908722
309,4.711360819912034,0.4452717794383878,0.06036238380157702,0.48,1,1.0,4.02,0.4167,34.55383812662,57.18181747329
310,4.4013608199120355,0.5681243035247534,0.06036238380157702,0.55,1,1.0,0.769,0.4308,34.8480441189,57.07394802808
315,3.7913608199120343,0.8098663670495385,0.06036238380157702,0.9,1,1.0,1.16,0.1392,34.74228152772,57.16135943911
318,4.041360819912034,0.7107917508508563,0.06036238380157702,0.79,1,1.0,0.872,0.8607,35.00338234677,56.99209847611
