Index,Kmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
349,4.539359821608809,0.3042140954043185,0.012963976336862026,0.29,2,3.0,1.1423,6.8927,239.12301718652,-22.94960843104
356,5.859359821608809,0.19746957281854904,0.012963976336862026,0.236,2,3.0,1.6533,7.0899,239.23100088815,-22.97799571212
364,5.22935982160881,0.24841582223448438,0.012963976336862026,0.3,2,3.0,1.8142,7.0541,239.27035859269,-24.92308490353
365,5.509359821608809,0.2257730447162909,0.012963976336862026,0.181,2,3.0,0.7722,6.8807,239.27667778527,-22.10179062285
369,6.219359821608808,0.16835743029515748,0.012963976336862026,0.125,2,1.0,0.3057,7.3033,239.31964175243,-25.48873814033
378,5.39935982160881,0.23466842159843831,0.012963976336862026,0.196,2,3.0,1.2548,4.314,239.40484210898,-22.75706525235
380,6.339359821608809,0.15865338278736008,0.012963976336862026,0.181,2,2.0,0.3899,7.0617,239.41389852364,-22.34938566344
384,5.72935982160881,0.20798229095199594,0.012963976336862026,0.258,2,3.0,1.7251,7.0735,239.44417833662,-22.48907028367
385,5.23935982160881,0.24760715160883462,0.012963976336862026,0.204,2,3.0,0.3628,7.0137,239.44532658791,-22.67347711174
387,6.349359821608809,0.15784471216171037,0.012963976336862026,0.154,2,3.0,1.7205,5.7423,239.45330329823,-23.52738073799
388,3.769359821608809,0.36648173357935065,0.012963976336862026,0.265,2,3.0,0.3236,6.7803,239.45841219069,-23.08607904169
396,6.759359821608809,0.12468921651006981,0.012963976336862026,0.229,2,1.0,1.0369,6.8633,239.55288601997,-23.47691801414
398,4.40935982160881,0.31472681353776544,0.012963976336862026,0.241,2,3.0,3.0965,8.0388,239.56536725166,-20.36039143134
403,5.949359821608809,0.19019153718770115,0.012963976336862026,0.248,2,1.0,1.7179,6.6514,239.59734061357,-21.86646105816
405,6.2493598216088095,0.16593141841820802,0.012963976336862026,0.179,2,3.0,1.1105,7.1499,239.62339096477,-22.18675133246
409,6.439359821608809,0.15056667653086242,0.012963976336862026,0.301,2,1.0,0.8422,6.3646,239.65079035095,-19.77051693134
411,5.2993598216088085,0.24275512785493614,0.012963976336862026,0.269,2,3.0,1.8162,5.9759,239.65375070431,-22.95432138227
416,6.39935982160881,0.15380135903346148,0.012963976336862026,0.174,2,1.0,1.4332,6.9227,239.75296908188,-23.30750637771
417,4.72935982160881,0.28884935351697283,0.012963976336862026,0.17,2,1.0,2.403,7.7619,239.757961509,-26.27592561059
419,5.199359821608809,0.2508418341114338,0.012963976336862026,0.269,2,3.0,0.619,7.4573,239.79945285142,-26.58366708518
424,5.889359821608808,0.1950435609415998,0.012963976336862026,0.145,2,3.0,1.4106,7.0356,239.85792467216,-23.08573271006
426,4.609359821608809,0.2985534010247701,0.012963976336862026,0.306,2,3.0,3.6874,7.1821,239.9343714717,-20.48992502167
431,5.469359821608808,0.22900772721889007,0.012963976336862026,0.303,2,3.0,0.7104,6.4989,239.99769938985,-22.3306568657
435,5.64935982160881,0.21445165595719412,0.012963976336862026,0.272,2,3.0,1.6656,6.9206,240.05065695369,-21.95101280885
440,6.349359821608809,0.15784471216171037,0.012963976336862026,0.123,2,1.0,0.5851,6.6668,240.1095811088,-22.99490355203
443,5.31935982160881,0.2411377866036365,0.012963976336862026,0.281,2,3.0,0.8106,7.0797,240.12270343753,-20.38168794717
445,5.469359821608808,0.22900772721889007,0.012963976336862026,0.246,2,1.0,1.2661,,240.13054485113,-20.45150132234
455,6.059359821608808,0.18129616030555373,0.012963976336862026,0.23,2,3.0,1.7554,7.1625,240.20711693406,-23.64543210005
458,4.81935982160881,0.2815713178861249,0.012963976336862026,0.194,2,3.0,3.906,6.8138,240.22008186365,-24.67744770827
459,6.029359821608809,0.18372217218250297,0.012963976336862026,0.221,2,1.0,2.0221,8.1878,240.27157736852,-22.45878423206
462,5.97935982160881,0.18776552531075175,0.012963976336862026,0.136,2,3.0,1.3834,7.1336,240.29315771477,-22.37445118148
465,5.769359821608809,0.20474760844939693,0.012963976336862026,0.178,2,1.0,1.9662,8.3087,240.32971893126,-23.11107102805
468,5.039359821608809,0.2637805641218301,0.012963976336862026,0.193,2,1.0,5.0729,6.9789,240.36049089156,-23.02632627644
472,5.9993598216088095,0.18614818405945227,0.012963976336862026,0.161,2,1.0,0.7695,7.6733,240.39698538689,-24.72697256294
474,4.9993598216088095,0.2670152466244291,0.012963976336862026,0.319,2,3.0,1.8094,7.1731,240.42069502397,-20.36901743712
477,6.0493598216088085,0.1821048309312035,0.012963976336862026,0.139,2,3.0,0.52,7.0226,240.45622448787,-22.34598559835
479,5.6693598216088095,0.2128343147058946,0.012963976336862026,0.251,2,1.0,2.0304,,240.46447374128,-24.757081157
