Index,Vmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
22,11.889990748440747,0.32773960516695055,0.013601094896210647,0.35,,1.0,,2.3515,120.27942619471,-61.41780873825
23,10.879990748440745,0.42391858380285163,0.013601094896210647,0.47,,1.0,,2.5318,120.29113538554,-61.39765367264
24,10.829990748440748,0.42867991937888594,0.013601094896210647,0.45,,1.0,,2.5163,120.28419980342,-61.39147518971
25,12.579990748440748,0.2620331742176718,0.013601094896210647,0.26,,1.0,,2.3271,120.20648251133,-61.36205155905
26,12.889990748440747,0.23251289364625682,0.013601094896210647,0.23,,1.0,,2.4556,120.13353808727,-61.27604880153
27,11.889990748440747,0.32773960516695055,0.013601094896210647,0.34,,1.0,,2.5801,120.13758017303,-61.25291491547
28,11.889990748440747,0.32773960516695055,0.013601094896210647,0.34,,1.0,,2.4903,120.09190501163,-61.23277629089
29,9.469990748440745,0.5581882470470299,0.013601094896210647,0.6,,1.0,,2.4817,120.13478721221,-61.22051738545
30,9.989990748440748,0.5086703570562687,0.013601094896210647,0.55,,1.0,,2.3645,120.20560689187,-61.20429495893
31,12.329990748440748,0.2858398520978451,0.013601094896210647,0.3,,1.0,,2.6536,120.19645762639,-61.19704105354
32,10.309990748440745,0.47819780936964706,0.013601094896210647,0.51,,1.0,,2.644,120.03891311063,-61.22450072276
34,12.399990748440745,0.279173982291397,0.013601094896210647,0.27,,1.0,,2.2222,120.1133685921,-61.15829574997
35,11.379990748440745,0.37630522804250455,0.013601094896210647,0.39,,1.0,,2.4685,120.22173591495,-61.12172047565
37,9.889990748440747,0.5181930282083383,0.013601094896210647,0.57,,1.0,,2.3781,120.24650635798,-61.10664658516
39,12.079990748440748,0.30964652997801867,0.013601094896210647,0.32,,1.0,,2.5561,120.73510208587,-60.97907796378
40,11.759990748440748,0.3401190776646408,0.013601094896210647,0.36,,1.0,,2.2012,120.63428531597,-60.96465210603
41,10.949990748440745,0.41725271399640285,0.013601094896210647,0.47,,1.0,,3.0076,120.66238577506,-60.95634837925
42,10.919990748440748,0.42010951534202357,0.013601094896210647,0.48,,1.0,,,120.67986492389,-60.88467506341
43,12.669990748440748,0.2534627701808092,0.013601094896210647,0.26,,1.0,,2.6457,120.94816724265,-60.86391194509
44,9.149990748440745,0.588660794733652,0.013601094896210647,0.6,,1.0,,2.4297,120.82428676016,-60.83279143028
45,11.709990748440747,0.34488041324067553,0.013601094896210647,0.35,,1.0,,2.7582,120.92837734825,-60.74375788303
47,10.849990748440748,0.42677538514847213,0.013601094896210647,0.46,,1.0,,2.5324,118.87025946381,-61.22630345188
48,9.529990748440747,0.5524746443557881,0.013601094896210647,0.58,,1.0,,2.3682,118.81830337245,-61.22692295643
49,10.429990748440746,0.46677060398716375,0.013601094896210647,0.5,,1.0,,2.5974,119.2083066314,-61.53879809411
50,9.669990748440748,0.5391429047428908,0.013601094896210647,0.57,,1.0,,2.4754,119.28711234797,-61.48847056785
52,9.519990748440746,0.5534269114709951,0.013601094896210647,0.58,,1.0,,2.498,119.57602270274,-61.35245814129
54,10.619990748440747,0.44867752879823164,0.013601094896210647,0.48,,1.0,,2.2795,119.43630733117,-61.39236958916
55,9.309990748440745,0.5734245208903409,0.013601094896210647,0.6,,1.0,,2.4604,119.40135115067,-61.35808676264
56,11.109990748440746,0.4020164401530919,0.013601094896210647,0.42,,1.0,,2.2388,119.48734209013,-61.31215198836
57,10.909990748440746,0.4210617824572307,0.013601094896210647,0.45,,1.0,,2.6536,119.11754190857,-61.46291054459
60,12.039990748440745,0.31345559843884674,0.013601094896210647,0.32,,1.0,,2.5665,119.48064835741,-61.25335358055
61,10.429990748440746,0.46677060398716375,0.013601094896210647,0.5,,1.0,,1.3803,119.35127681846,-61.2914865083
62,9.349990748440748,0.569615452429513,0.013601094896210647,0.63,,1.0,,2.433,119.39018760104,-61.25503825903
63,9.969990748440745,0.510574891286683,0.013601094896210647,0.52,,1.0,,2.3836,119.72961640993,-61.30950985555
66,10.289990748440745,0.4801023436000609,0.013601094896210647,0.52,,1.0,3.081,2.9723,119.71205083969,-61.19560978954
68,10.859990748440746,0.42582311803326545,0.013601094896210647,0.45,,1.0,,2.1084,119.93909673089,-61.18507977923
69,12.579990748440748,0.2620331742176718,0.013601094896210647,0.27,,1.0,,2.4049,119.85017291051,-61.191077803
77,9.959990748440747,0.5115271584018897,0.013601094896210647,0.54,,1.0,4.943,2.3983,119.76273028354,-61.10674475059
79,12.349990748440748,0.2839353178674313,0.013601094896210647,0.28,,1.0,,2.6197,119.86981972183,-61.08994765868
