Index,Gmag,masses,mass_e,expected masses,binary,membership,period,parallax,ra,dec
1377,10.362314661666396,0.31634569058849005,0.04209712602898778,0.327,1,1,1.7216,7.455,57.09512296363,24.81469358262
1378,8.410514661666395,0.5609889258557221,0.04209712602898778,0.576,1,1,,8.3624,57.09692033616,28.65970233779
1380,9.017036661666396,0.4849660216950744,0.04209712602898778,0.503,1,1,,8.0694,57.10351631334,22.40706284626
1381,10.658909661666396,0.27916977073805205,0.04209712602898778,0.288,1,1,0.7114,7.4687,57.10522821659,24.24035732523
1382,8.171520661666396,0.5909449999255332,0.04209712602898778,0.605,1,1,0.3992,6.5393,57.10636705902,22.2113911741
1383,9.086346661666395,0.4762785421191078,0.04209712602898778,0.495,1,1,1.634,7.5103,57.10859424734,25.24449048958
1385,6.842805661666397,0.757489285379012,0.04209712602898778,0.746,1,1,0.2353,7.4614,57.11688600086,23.30055677555
1386,11.647054661666395,0.15531333579946272,0.04209712602898778,0.183,1,1,0.6205,7.2452,57.12405282632,23.96812762182
1388,9.544567661666395,0.41884403658196967,0.04209712602898778,0.44,1,1,0.258,7.3412,57.1294732995,24.28127310518
1389,11.403837661666397,0.18579873069237673,0.04209712602898778,0.198,1,1,0.4896,7.1438,57.13271390512,24.03280319756
1390,11.415043661666395,0.1843941441085033,0.04209712602898778,0.197,1,1,1.3602,7.0659,57.14081534927,24.03284976688
1395,8.446912661666396,0.5564267143190602,0.04209712602898778,0.57,1,1,,7.2322,57.15691851053,22.76911351203
1399,10.102439661666397,0.3489190386595382,0.04209712602898778,0.366,1,1,0.9204,7.3877,57.16636349177,24.21171256485
1400,10.852144661666397,0.2549492381184886,0.04209712602898778,0.263,1,1,0.8848,7.4819,57.16855137095,24.60929160554
1402,10.675277661666396,0.277118166846847,0.04209712602898778,0.285,1,1,0.2671,8.5112,57.17084540802,23.23797186912
1403,10.073097661666395,0.35259683444251366,0.04209712602898778,0.37,1,1,0.3368,7.3423,57.17568673916,25.00769635422
1405,10.897859661666395,0.24921921173246497,0.04209712602898778,0.258,1,1,,7.6107,57.17979485408,26.53902530025
1408,11.198742661666397,0.21150582380495653,0.04209712602898778,0.221,1,1,0.5,7.3365,57.18360002515,25.10607888928
1412,7.483266661666397,0.6772123865663843,0.04209712602898778,0.676,1,1,3.92,7.4478,57.18936995061,23.33871256339
