,flag,Gaia,TIC,RAdeg,DEdeg,Sec,Theia,logAge,e_logAge,BP-RP,Gmag,Tmag,Teff,e_Teff,Mass,e_Mass,Rad,e_Rad,CorrP1,e_CorrP1,CorrP2,e_CorrP2,CorrA1,CorrA2,PCAP1,e_PCAP1,PCAP2,e_PCAP2,PCAA1,PCAA2,RAWP1,e_RAWP1,RAWP2,e_RAWP2,RAWA1,RAWA2,Per,e_Per,PType,logAM,e_logAM,RUWE,sigmaVar,sigmaInst,sigmap2p,c1,c2,c3,c4,c5,c6,Mass_calc,Mass_e
12454,True,3017188622495555328,427373477,83.704679,-6.006364,32,13,6.69,0.12,-0.2924,-0.0202,8.542,,,,,,,0.89312,0.0001,0.5641,0.0016,0.65859,0.01179,0.89302,0.0001,1.0196,0.0046,0.6598,0.01282,13.861,0.062,6.092,0.028,0.38025,0.12549,0.89312,0.0001,corr,,,0.995,0.000686,0.0002245,0.0004864,1.0,1.0,2.12,2.12,2.12,2.12,0.0,0.0
12455,True,3017188622495555328,427373477,83.704679,-6.006364,6,13,6.69,0.12,-0.2924,-0.0202,8.542,,,,,,,0.89302,,0.78282,,0.75532,0.02318,0.89278,0.00011,4.155,0.033,0.71021,0.04417,17.663,0.095,2.9801,0.0035,0.38119,0.21541,0.893,,corr,,,0.995,0.000711,0.0001405,0.0003049,1.0,1.0,2.12,2.12,2.12,2.12,0.0,0.0
12456,True,3017188553776076800,427373480,83.712053,-6.003781,32,13,6.69,0.12,2.002,7.1617,14.346,4076.0,126.0,0.64,,1.093,,0.89513,0.00025,13.71,0.21,0.24343,0.06054,0.89375,0.00036,13.57,0.12,0.16237,0.10648,16.65,0.057,7.071,0.021,0.45562,0.21207,,,,,,1.138,0.001362,0.0002956,0.001235,1.0,1.0,2.55,4.22,5.29,5.29,0.3053064572144046,0.05117071635240562
12457,True,3017188553776076800,427373480,83.712053,-6.003781,6,13,6.69,0.12,2.002,7.1617,14.346,4076.0,126.0,0.64,,1.093,,0.89308,0.0002,0.84088,0.00058,0.36007,0.09906,0.89332,,6.5963,,0.18127,0.14595,14.976,0.027,5.839,0.024,0.789,0.1059,0.89308,0.0002,corr,43.383,,1.138,0.001142,0.0001661,0.0007994,1.0,1.0,2.55,4.22,5.29,5.29,0.3053064572144046,0.05117071635240562
12458,True,3017188622495554304,427373482,83.70534,-6.003153,6,13,6.69,0.12,2.4322,7.1559,14.264,3774.0,123.0,,,1.407,,0.89263,,0.87854,,0.58147,0.04156,0.89308,0.00019,11.93,0.14,0.42487,0.09683,15.283,0.044,2.7445,0.006,0.50025,0.10564,0.893,,corr,,,1.059,0.000664,0.0001263,0.0003249,1.0,2.14,3.14,3.14,3.14,4.2,0.3064038960259034,0.05117071635240562
12459,True,3017188622495554304,427373482,83.70534,-6.003153,32,13,6.69,0.12,2.4322,7.1559,14.264,3774.0,123.0,,,1.407,,0.89312,0.0001,0.5641,0.0016,0.65859,0.01179,0.89302,0.0001,1.0196,0.0046,0.6598,0.01282,13.861,0.062,6.092,0.028,0.38025,0.12549,0.89312,0.0001,corr,,,1.059,0.000686,0.0002245,0.0004864,1.0,2.14,3.14,3.14,3.14,4.2,0.3064038960259034,0.05117071635240562
12460,True,3017187931005152384,427373487,83.743888,-6.000031,32,13,6.69,0.12,1.7928,6.1192,13.45,,,,,,,5.022,0.028,12.46,0.2,0.06565,0.06367,5.543,0.052,11.87,0.27,0.05977,0.03522,15.742,0.063,6.141,0.027,0.40506,0.13497,,,,,,1.751,0.0025,0.0001644,0.002734,2.15,2.15,2.15,2.15,2.55,2.55,0.5025616228720782,0.05117071635240562
12461,True,3017187931005152384,427373487,83.743888,-6.000031,6,13,6.69,0.12,1.7928,6.1192,13.45,,,,,,,4.1625,0.0089,5.895,0.019,0.18178,0.16894,6.3089,0.0096,12.161,0.097,0.46697,0.12303,14.442,,5.8201,,0.78663,0.05625,6.3089,0.0096,pca,,,1.751,0.000985,0.0002444,0.0006797,2.15,2.15,2.15,2.15,2.55,2.55,0.5025616228720782,0.05117071635240562
12462,True,3017188588135813632,427373488,83.721325,-5.998621,32,13,6.69,0.12,2.3949,8.3875,15.156,3405.0,157.0,0.62,0.022,0.64,0.021,7.844,0.049,4.88,0.21,0.09528,0.06386,5.736,0.02,7.768,0.041,0.19142,0.17343,15.231,0.099,6.317,0.018,0.23638,0.23208,,,,,,1.059,0.00353,0.0009696,0.002865,1.0,1.0,2.18,3.11,5.19,8.42,0.07336844084355815,0.05117071635240562
12463,True,3017188588135813632,427373488,83.721325,-5.998621,6,13,6.69,0.12,2.3949,8.3875,15.156,3405.0,157.0,0.62,0.022,0.64,0.021,2.5627,0.0019,0.89316,0.00085,0.34556,0.07238,2.5758,,0.89474,,0.48187,0.04487,14.87,0.027,3.0636,0.0072,0.74376,0.12113,2.5627,0.0019,corr,42.447,0.044,1.059,0.001543,0.0007473,0.001062,1.0,1.0,2.18,3.11,5.19,8.42,0.07336844084355815,0.05117071635240562
12464,True,3017188622495553792,427373489,83.702854,-5.998597,32,13,6.69,0.12,-0.1669,0.9535,9.426,,,,,,,0.89149,0.00035,5.274,0.049,0.16281,0.04268,0.89198,0.0004,5.768,0.082,0.1409,0.03753,15.362,0.058,5.872,0.023,0.43524,0.13321,,,,,,1.098,0.001058,0.0003466,0.001185,1.0,1.0,1.9,1.9,1.9,1.9,0.0,0.0
12465,True,3017188622495553792,427373489,83.702854,-5.998597,6,13,6.69,0.12,-0.1669,0.9535,9.426,,,,,,,0.89257,0.0003,0.9493,0.0013,0.2182,0.04713,6.519,0.021,12.095,0.063,0.18765,0.17897,6.737,0.015,18.29,0.52,0.29271,0.17553,,,,,,1.098,0.000784,0.0001708,0.0005199,1.0,1.0,1.9,1.9,1.9,1.9,0.0,0.0
12466,True,3017188347617639040,427373500,83.765169,-5.983565,6,13,6.69,0.12,-0.2313,0.2801,8.987,,,,,,,1.4802,0.0042,5.397,0.073,0.03859,0.03348,10.128,0.065,6.429,0.044,0.19298,0.10391,14.7,1.8,12.0,20.0,0.42342,0.16091,,,,,,1.098,0.000804,0.0001665,0.0005414,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
12467,True,3017188347617639040,427373500,83.765169,-5.983565,32,13,6.69,0.12,-0.2313,0.2801,8.987,,,,,,,13.31,0.24,8.157,0.099,0.0651,0.05963,12.663,0.078,4.585,0.017,0.17873,0.08924,19.303,,5.9486,,0.35553,0.1534,,,,,,1.098,0.001098,0.0001021,0.001062,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
12468,True,3017188893075487104,427373503,83.691319,-5.980906,6,13,6.69,0.12,1.3518,4.5263,11.978,5300.0,993.2,0.91,0.301,1.833,0.16,4.367,,6.123,,0.40923,0.19313,4.5017,0.0046,6.724,0.02,0.50133,0.29692,6.1199,0.006,4.4821,0.004,0.5663,0.44996,4.37,,corr,43.293,,3.792,0.00727,0.0006587,0.00156,1.0,1.0,1.0,1.0,2.9,5.1,0.8039599474505426,0.05117071635240562
12469,True,3017188893075487104,427373503,83.691319,-5.980906,32,13,6.69,0.12,1.3518,4.5263,11.978,5300.0,993.2,0.91,0.301,1.833,0.16,5.8896,0.0048,4.3474,0.0069,0.56239,0.18697,5.8496,,4.3862,,0.63371,0.20995,5.6809,0.0071,18.89,0.71,0.42686,0.1993,5.8896,0.0048,corr,43.163,0.22,3.792,0.00839,0.0009266,0.003426,1.0,1.0,1.0,1.0,2.9,5.1,0.8039599474505426,0.05117071635240562
12470,True,3017189103531882880,427373508,83.756699,-5.972718,6,13,6.69,0.12,2.3363,7.9241,15.007,4018.0,123.0,0.63,,1.046,,4.089,0.018,11.86,0.26,0.07216,0.03984,11.775,,6.7186,,0.42529,0.15855,6.649,0.034,3.901,0.024,0.21549,0.11716,6.649,0.034,raw,42.463,,0.981,0.000808,0.0003353,0.0005643,1.0,1.0,1.0,1.0,1.54,1.54,0.16105001760438736,0.05117071635240562
12471,True,3017189103531882880,427373508,83.756699,-5.972718,32,13,6.69,0.12,2.3363,7.9241,15.007,4018.0,123.0,0.63,,1.046,,2.7938,0.0064,2.1153,0.0066,0.102,0.05706,14.92,0.36,2.85,0.014,0.07826,0.04978,12.597,0.044,5.544,0.034,0.43426,0.08279,,,,,,0.981,0.00204,0.0004683,0.002236,1.0,1.0,1.0,1.0,1.54,1.54,0.16105001760438736,0.05117071635240562
12472,True,3017188966092933120,427373512,83.722479,-5.96818,32,13,6.69,0.12,0.5199,3.5967,11.058,8928.0,,2.25,,1.111,,3.4019,0.0067,4.479,0.035,0.12806,0.04052,3.4323,0.0075,9.72,0.13,0.11235,0.04884,9.505,0.036,4.73,0.036,0.285,0.09175,,,,,,1.601,0.001764,0.0009857,0.002016,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
