,recno,Name,SpT,e_SpT,ref1,AV,Imag,VmI,Vmag,l_V-I,Teff,logL*,Mass,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,n_Per,ref2,Cl,Acc,Notes,Simbad,_RA,_DE,Separation,Mass_calc,Mass_e
136,596,2MASS J05350121-0521444,M6,1.0,H,0.0,16.6,,,,2800.0,,,,,,,,,,8.2,opt,R09,3.0,,c,Simbad,83.75508,-5.36233,1.2127827723672897,0.0,0.0
137,505,2MASS J05350132-0518212,M4.5,1.0,H13,,15.7,,,,3020.0,,,,,,,,,,2.74,opt,R09,3.0,,c,Simbad,83.7555,-5.30591,1.345381463620451,0.0,0.0
138,148,KV Ori,M1.5,1.0,H,0.24,13.74,2.16,7.574998294395504,,3560.0,-0.564,0.38,0.06,0.08,2.6,0.7,1.5,1.38,0.19,2.83,opt,Re01,3.0,N,,Simbad,83.75594,-5.15906,1.133478759170955,0.3704159316033153,0.05568971782550209
139,191,V1479 Ori,M2.5,1.0,H,0.59,14.04,2.61,7.974998294395503,,3425.0,-0.524,0.32,0.06,0.09,1.9,0.4,1.1,1.55,0.23,5.46,opt,H02,3.0,N,,Simbad,83.75619,-5.47244,1.5009830718544297,0.3316689065961191,0.05568971782550209
140,476,2MASS J05350158-0525339,M5,1.0,H13,0.0,15.59,2.89,10.394998294395505,,2880.0,-1.14,,,,,,,1.08,0.24,2.71,opt,R09,3.0,,b,Simbad,83.75659,-5.42611,1.4185806268111232,0.14168785782760615,0.05568971782550209
141,387,2MASS J05350160-0524101,M5,1.0,H13,0.88,15.11,3.62,9.764998294395506,,2880.0,-0.755,0.12,0.05,0.1,0.3,0.15,2.3,1.69,0.38,0.81,opt,R09,3.0,,e,Simbad,83.7567,-5.40282,1.5006554073986234,0.16744336601362644,0.05568971782550209
142,227,2MASS J05350161-0533380,M3,1.0,H,3.7,16.01,3.99,8.214998294395505,,3360.0,-0.506,0.29,0.06,0.1,1.7,0.4,0.8,1.65,0.27,6.69,opt,P09,,N,g,Simbad,83.75673,-5.56057,1.4595416997157775,0.30943875607837673,0.05568971782550209
143,455,2MASS J05350171-0527099,M4.9,1.0,D10,,16.15,,,,2908.0,,,,,,,,,,3.37,opt,R09,,,c,Simbad,83.75715,-5.45276,1.4926259732288647,0.0,0.0
144,354,2MASS J05350182-0530193,M4.5,1.0,H,0.0,14.98,2.99,9.884998294395503,,3020.0,-0.948,0.15,0.07,0.08,2.7,2.5,1.4,1.23,0.24,3.78,opt,R09,3.0,,,Simbad,83.75762,-5.50537,1.561490600362297,0.16235916583635,0.05568971782550209
145,388,V2120 Ori,M5,1.0,H13,2.62,15.52,4.3,9.114998294395503,,2880.0,-0.494,0.12,0.03,0.12,0.1,0.08,1.6,2.28,0.51,1.69,opt,R09,2.0,,,Simbad,83.75863,-5.30629,1.2191030293085117,0.21873810441653704,0.05568971782550209
146,163,JW 222,M2,1.0,H,1.59,14.14,2.85,7.3149982943955045,,3490.0,-0.356,0.36,0.07,0.07,1.5,0.3,0.5,1.81,0.25,5.17,opt,H00,2.0,N,,Simbad,83.7591,-5.48607,1.5392703448984246,0.3949915947892526,0.05568971782550209
147,5,V403 Ori,K3,1.0,H,4.03,11.33,2.66,1.874997294395504,,4550.0,1.357,2.51,1.02,0.49,0.3,0.1,0.1,7.68,1.15,6.09,MIR,M11,3.0,N,a,Simbad,83.75992,-5.26333,1.2185265487079089,0.0,0.0
148,477,2MASS J05350270-0532249,M6,1.0,H13,,16.27,4.25,,,2800.0,-1.174,,,,,,,1.1,0.17,2.73,opt,R09,3.0,,b,Simbad,83.76125,-5.54026,1.5498658834386796,0.0,0.0
149,484,V2124 Ori,M5.5,1.0,H13,1.03,16.66,3.68,11.224998294395503,,2840.0,-1.496,,,,,,,0.74,0.13,3.22,opt,H02,2.0,,b,Simbad,83.76152,-5.53412,1.505131995348693,0.10930094566496638,0.05568971782550209
150,153,V2128 Ori,M1.5,1.0,H,0.88,14.17,2.41,7.6149982943955035,,3560.0,-0.605,0.37,0.06,0.09,2.8,0.8,1.9,1.31,0.18,7.75,opt,H02,,N,g,Simbad,83.76315,-5.30831,1.2880500752351092,0.3666282669840486,0.05568971782550209
151,611,V2129 Ori,M6,1.0,H,0.0,15.57,,,,2800.0,,,,,,,,,,5.53,NIR,C01,,,c,Simbad,83.76343,-5.29814,1.3945594756789517,0.0,0.0
152,409,2MASS J05350343-0526100,M4.5,1.0,H,0.0,15.95,2.88,10.744998294395502,,3020.0,-1.336,0.11,0.05,0.09,4.8,1.8,4.6,0.78,0.16,3.96,MIR,M11,3.0,,,Simbad,83.7643,-5.43613,1.4171846933052403,0.12817739687723836,0.05568971782550209
153,601,2MASS J05350370-0522457,M5.5,1.0,H,0.0,16.53,,,,2840.0,,,,,,,,,,5.11,MIR,M11,2.0,A,c,Simbad,83.76542,-5.37936,1.4154774311311822,0.0,0.0
154,317,V2136 Ori,M4,1.0,H13,0.8,15.32,3.22,9.654998294395503,,3160.0,-0.857,0.21,0.09,0.11,2.9,2.3,1.9,1.24,0.26,5.22,opt,H02,2.0,,,Simbad,83.76651,-5.31661,1.3912149323043843,0.17357650357897603,0.05568971782550209
155,140,V1482 Ori,M1.5,1.0,H13,0.34,13.58,2.36,7.514997294395505,,3560.0,-0.4,0.38,0.06,0.1,1.7,0.3,0.9,1.66,0.23,10.15,opt,H00,2.0,N,,Simbad,83.76694,-5.44366,1.498594600753398,0.3761709246745875,0.05568971782550209
156,500,2MASS J05350416-0520156,M4,1.0,H13,,16.54,,,,3160.0,,,,,,,,,,1.24,opt,R09,3.0,,c,Simbad,83.76734,-5.33768,1.3740170851084803,0.0,0.0
157,335,2MASS J05350416-0522243,M4,1.0,H13,0.0,15.47,2.91,10.294999294395504,,3160.0,-1.111,0.17,0.08,0.12,4.3,2.3,4.8,0.93,0.19,2.48,opt,R09,3.0,A,,Simbad,83.76737,-5.37343,1.5115049596967765,0.14574975749428976,0.05568971782550209
158,179,V1322 Ori,M2e,1.0,H,1.21,13.95,2.7,7.354998294395504,,3490.0,-0.374,0.35,0.06,0.08,1.5,0.2,0.6,1.78,0.25,8.73,opt,H00,2.0,A,,Simbad,83.76748,-5.44107,1.485756945474759,0.3909526332845051,0.05568971782550209
159,125,V2138 Ori,M1,1.0,H,3.11,15.69,3.19,7.684997794395505,,3630.0,-0.678,0.41,0.06,0.11,4.2,1.5,3.5,1.16,0.16,13.33,opt,R09,3.0,,,Simbad,83.7675,-5.25594,1.3458464379772548,0.3591687332821208,0.05568971782550209
160,18,V2140 Ori,K2,1.0,H,3.47,13.64,2.35,4.434997794395505,,4760.0,0.296,1.58,0.12,0.12,4.3,1.9,3.2,2.06,0.3,3.82,opt,H02,,N,a,Simbad,83.76875,-5.39904,1.382512656999821,1.0926857779218853,0.05568971782550209
161,210,V1483 Ori,M3,1.0,H,1.16,14.02,3.0,7.774999294395505,,3360.0,-0.328,0.3,0.07,0.09,1.3,0.8,0.4,2.03,0.34,2.71,opt,H02,,,g,Simbad,83.76876,-5.43456,1.4354725629324576,0.3509580207526128,0.05568971782550209
162,32,Parenago 1726,K4.5,1.0,H,1.02,12.62,1.71,5.224997294395504,,4235.0,0.106,0.95,0.25,0.33,1.9,0.9,2.3,2.1,0.32,9.23,opt,P09,2.0,N,,Simbad,83.7689,-5.49395,1.6324604794722457,0.8006966624955978,0.05568971782550209
163,213,V1323 Ori,M3,1.0,H,1.7,14.35,3.21,7.775000294395504,,3360.0,-0.328,0.3,0.07,0.09,1.3,0.8,0.4,2.03,0.34,0.96,opt,R09,2.0,N,,Simbad,83.7692,-5.43974,1.561222896343018,0.3509580207526128,0.05568971782550209
164,185,2MASS J05350461-0524424,M2,1.0,H,0.0,14.68,2.12,8.714998294395505,,3490.0,-0.928,0.33,0.06,0.07,6.3,2.3,3.7,0.94,0.13,0.84,opt,R09,3.0,N,,Simbad,83.76922,-5.4118,1.4601468660236625,0.2591646022688198,0.05568971782550209
165,105,V2143 Ori,M0.5,1.0,H,1.29,13.69,2.38,6.6949982943955035,,3700.0,-0.342,0.46,0.08,0.1,1.9,0.5,1.2,1.64,0.22,10.98,opt,H02,2.0,N,,Simbad,83.76981,-5.44389,1.490391209859281,0.4801737032995592,0.05568971782550209
166,357,V2145 Ori,M4.5,1.0,H,0.0,14.51,2.64,9.064998294395503,,3020.0,-0.76,0.15,0.06,0.1,1.7,1.51,1.2,1.52,0.3,5.22,opt,H02,2.0,,,Simbad,83.77008,-5.37742,1.4938413809168305,0.22385551330425044,0.05568971782550209
167,401,V2148 Ori,M5,1.0,H13,0.04,14.9,3.14,9.914996294395506,,2880.0,-0.864,0.11,0.04,0.09,0.4,0.3,2.6,1.49,0.33,7.75,opt,H02,2.0,,,Simbad,83.7711,-5.61217,1.2539858958440429,0.1611124224814569,0.05568971782550209
168,98,V387 Ori,M0,1.0,H,0.22,12.74,1.88,6.3149982943955045,,3770.0,-0.188,0.49,0.07,0.14,1.4,0.3,0.9,1.89,0.26,8.25,NIR,C01,2.0,,,Simbad,83.7722,-5.57459,1.374472341117059,0.5418099572273222,0.05568971782550209
169,89,V2150 Ori,M0,1.0,H,2.3,14.3,2.69,6.604998294395504,,3770.0,-0.35,0.52,0.1,0.11,2.4,0.9,1.7,1.57,0.21,6.54,opt,P09,2.0,,,Simbad,83.77239,-5.40293,1.4357310237095484,0.4926717393082925,0.05568971782550209
170,34,V2151 Ori,K5,1.0,StE,0.43,12.88,1.61,5.974997294395504,,4140.0,-0.106,0.86,0.2,0.25,3.0,1.4,3.1,1.72,0.25,9.8,opt,H02,,N,g,Simbad,83.77252,-5.45475,1.4947281468532383,0.6020048980004077,0.05568971782550209
171,549,V2154 Ori,M6,1.0,H13,0.0,17.49,,,,2800.0,,,,,,,,,,3.56,MIR,M11,,,c,Simbad,83.77271,-5.37514,1.409190177083267,0.0,0.0
172,144,V2155 Ori,M1.5e,1.0,H,0.6,14.07,2.3,7.6849972943955045,,3560.0,-0.634,0.38,0.06,0.08,3.2,1.0,1.9,1.27,0.18,2.98,opt,P09,,A,g,Simbad,83.7729,-5.46451,1.5234998701301108,0.3591687332821208,0.05568971782550209
173,593,V1324 Ori,M2,1.0,H,0.13,13.01,2.28,7.074998294395504,,3490.0,,,,,,,,,,0.95,opt,H02,3.0,,c,Simbad,83.77369,-5.41829,1.2805202250461591,0.4255491842939247,0.05568971782550209
174,521,V2157 Ori,M3,1.0,H13,,16.27,,,,3360.0,,,,,,,,,,5.99,opt,R09,2.0,,c,Simbad,83.77387,-5.19308,1.3371285808987547,0.0,0.0
175,31,V480 Ori,K4.5,4.0,H,1.61,13.66,1.94,5.904999294395504,,4235.0,-0.166,0.98,0.59,0.24,4.9,3.9,22.6,1.53,0.56,6.76,opt,H02,2.0,A,a,Simbad,83.77385,-5.40514,1.3445331043873463,0.6192631410991564,0.05568971782550209
176,240,V1484 Ori,M3,1.0,H,0.31,13.44,2.67,7.714998294395505,,3360.0,-0.301,0.28,0.04,0.12,1.2,0.9,0.3,2.09,0.35,1.99,opt,H02,,N,g,Simbad,83.77389,-5.4406,1.4384351812464908,0.3564107046288066,0.05568971782550209
177,307,V408 Ori,M4e,1.0,H13,1.44,14.6,3.11,8.184998294395504,,3160.0,-0.638,0.22,0.08,0.11,2.1,1.8,0.7,1.6,0.33,3.08,opt,P09,2.0,A,,Simbad,83.77401,-5.5655,1.4308486276374297,0.3118332996333996,0.05568971782550209
178,267,2MASS J05350584-0527016,M3.5,1.0,H,0.85,13.96,3.04,8.064998294395503,,3260.0,-0.352,0.26,0.07,0.12,1.2,1.0,0.4,2.09,0.39,3.15,opt,P09,3.0,N,,Simbad,83.77437,-5.45046,1.4302143545007815,0.3232551706196343,0.05568971782550209
179,68,V2162 Ori,K8,1.0,H,3.48,15.17,3.07,6.674998294395504,,3940.0,-0.33,0.66,0.08,0.08,3.6,1.3,1.9,1.47,0.18,7.39,opt,P09,2.0,,,Simbad,83.77453,-5.4525,1.528715527880229,0.4826476855887318,0.05568971782550209
180,592,V2163 Ori,M4.5,1.0,H,0.0,16.26,,,,3020.0,,,,,,,,,,0.78,opt,H02,3.0,,c,Simbad,83.77542,-5.24028,1.3692749940883453,0.0,0.0
181,610,JW 285,M4,1.0,H,0.0,15.06,,,,3160.0,,,,,,,,,,4.82,opt,H02,,,c,Simbad,83.77562,-5.33212,1.343073490430795,0.0,0.0
182,33,2MASS J05350627-0522027,K5,1.0,H,3.77,14.91,2.78,5.834998294395504,,4140.0,-0.188,0.88,0.22,0.2,4.1,2.1,4.3,1.57,0.23,3.81,opt,R09,,N,a,Simbad,83.77616,-5.36742,1.3771547286710275,0.6370161425559265,0.05568971782550209
183,436,2MASS J05350642-0527048,M4.7,1.0,D10,,15.48,,,,2964.0,,,,,,,,,,3.1,opt,R09,2.0,,c,Simbad,83.77676,-5.45134,1.4689027628424822,0.0,0.0
184,356,V2166 Ori,M4.5,1.0,H,0.96,15.41,3.5,9.864998294395503,,3020.0,-0.839,0.15,0.06,0.1,2.2,2.01,1.2,1.39,0.28,2.57,opt,H02,2.0,,,Simbad,83.77691,-5.51924,1.5666395343161843,0.16319568332575815,0.05568971782550209
185,590,JW 288,M5,1.0,H,0.0,15.44,2.73,10.084998294395506,,2880.0,-1.08,,,,,,,1.16,0.26,3.3,opt,R09,,,b,Simbad,83.77692,-5.35522,1.3830653707620215,0.15383045552693128,0.05568971782550209
186,112,Parenago 1754,M1,1.0,H,0.24,12.86,2.07,6.604998294395504,,3630.0,-0.22,0.43,0.09,0.08,1.3,0.3,0.6,1.96,0.27,1.91,opt,H02,,N,g,Simbad,83.77712,-5.4115,1.3794362311620387,0.4926717393082925,0.05568971782550209
187,399,V2167 Ori,M4.5,1.0,H13,0.0,15.8,1.65,9.364998294395503,,3020.0,-1.276,0.11,0.05,0.09,4.4,1.9,3.9,0.84,0.17,4.95,opt,R09,,,g,Simbad,83.77725,-5.41707,1.384370481818889,0.1953545891886893,0.05568971782550209
188,306,V2168 Ori,M3:,1.0,H13,,17.0,2.86,,,3360.0,-1.607,0.22,0.09,0.09,26.5,16.5,32.5,0.46,0.08,2.39,opt,P09,2.0,,,Simbad,83.77736,-5.54765,1.5049834557678838,0.0,0.0
189,330,2MASS J05350660-0526509,M4.5e,1.0,H,0.47,14.3,3.31,9.054999294395506,,3020.0,-0.514,0.19,0.09,0.08,0.4,0.32,1.6,2.02,0.4,,,,2.0,A,f,Simbad,83.7775,-5.44748,1.5479621058173596,0.225008876288193,0.05568971782550209
190,515,V2170 Ori,M3.5,1.0,H13,,15.43,,,,3260.0,,,,,,,,,,2.76,opt,H02,2.0,,c,Simbad,83.77879,-5.43351,1.3747712922308708,0.0,0.0
191,513,2MASS J05350713-0518305,M5,1.0,H13,0.0,16.91,,,,2880.0,,,,,,,,,,1.9,opt,R09,2.0,,c,Simbad,83.77972,-5.30849,1.3470399511339202,0.0,0.0
192,344,2MASS J05350727-0522266,M4.5,1.0,H13,0.6,14.3,2.78,8.394998294395505,,3020.0,-0.676,0.16,0.06,0.11,1.2,1.1,1.3,1.68,0.33,2.74,opt,R09,,,g,Simbad,83.78032,-5.37407,1.5087858847851827,0.29168115133416955,0.05568971782550209
193,512,[H97b] 302,M5.5,1.0,H13,,14.88,,,,2840.0,,,,,,,,,,0.77,opt,R09,2.0,,c,Simbad,83.78071,-5.37469,1.2118461903030169,0.0,0.0
194,567,2MASS J05350744-0526401,M5,1.0,H,0.0,15.07,3.26,10.244998294395502,,2880.0,-0.932,,,,,,,1.38,0.31,3.03,opt,H02,3.0,,b,Simbad,83.78103,-5.44449,1.4916310578459828,0.14763437171694038,0.05568971782550209
195,76,V2174 Ori,K8.5,2.0,H13,,15.23,3.02,,,3910.0,-0.42,0.63,0.17,0.25,4.4,2.3,5.6,1.34,0.21,7.92,opt,H02,2.0,,,Simbad,83.78137,-5.18737,1.343378105848101,0.0,0.0
196,268,V1275 Ori,M3.5,1.0,H,1.08,14.94,3.13,8.904998294395503,,3260.0,-0.688,0.26,0.1,0.09,2.4,1.0,1.1,1.42,0.27,6.14,opt,E93,3.0,,,Simbad,83.78269,-5.48817,1.4802738848205068,0.23993734422306234,0.05568971782550209
197,288,2MASS J05350786-0517053,M3,1.0,H,0.0,15.48,2.47,9.864997294395502,,3360.0,-1.236,0.24,0.08,0.11,9.5,4.4,10.5,0.71,0.12,1.39,opt,R09,3.0,N,,Simbad,83.78276,-5.28481,1.532480575847069,0.16319568332575815,0.05568971782550209
198,295,V2178 Ori,M3.5,1.0,H13,0.0,14.77,2.03,8.714999294395506,,3260.0,-0.932,0.23,0.08,0.11,3.7,1.3,3.2,1.07,0.2,0.72,opt,R09,,,g,Simbad,83.78312,-5.35479,1.5106860190102709,0.2591646022688198,0.05568971782550209
199,93,LN Ori,M0,1.0,H,1.3,14.55,2.3,7.464998294395505,,3770.0,-0.694,0.51,0.11,0.15,7.0,2.9,7.0,1.06,0.14,6.87,MIR,M11,2.0,,,Simbad,83.78341,-5.54564,1.4057424430220835,0.38005717521906285,0.05568971782550209
200,287,V1485 Ori,M3.5,1.0,H,0.36,14.83,2.85,9.234998294395504,,3260.0,-0.819,0.24,0.09,0.1,3.0,0.9,2.1,1.22,0.23,8.93,opt,R09,,,g,Simbad,83.78342,-5.61294,1.3559476347617383,0.20671597066556133,0.05568971782550209
201,508,2MASS J05350803-0536140,M5.5,1.0,H13,,15.24,,,,2840.0,,,,,,,,,,4.03,opt,H02,3.0,,c,Simbad,83.7835,-5.60392,1.357197598992727,0.0,0.0
202,407,2MASS J05350825-0529121,M4.5,1.0,H,0.5,15.95,3.32,10.684998294395504,,3020.0,-1.168,0.11,0.05,0.09,3.8,1.8,2.7,0.95,0.19,3.43,opt,R09,,,g,Simbad,83.78439,-5.4867,1.48431643022979,0.13050373534297502,0.05568971782550209
203,558,V2181 Ori,M5.5e,1.0,H13,,14.83,,,,2840.0,,,,,,,,,,8.13,opt,R09,,,c,Simbad,83.78457,-5.40969,1.4906580918848131,0.0,0.0
204,517,2MASS J05350834-0516204,M5,1.0,H13,,16.78,,,,2880.0,,,,,,,,,,4.12,opt,R09,2.0,,c,Simbad,83.78479,-5.27234,1.472440233550237,0.0,0.0
205,28,V1397 Ori,K2,1.0,H,3.52,14.73,2.37,5.494996294395504,,4760.0,-0.127,1.11,0.13,0.13,16.0,6.6,10.0,1.27,0.18,5.41,opt,H00,,,a,Simbad,83.78496,-5.47482,1.5601330404625935,0.7262108934667123,0.05568971782550209
206,178,V2184 Ori,M2,1.0,H,2.1,13.92,3.05,6.784997294395504,,3490.0,-0.144,0.35,0.06,0.08,1.0,0.6,0.2,2.32,0.32,11.37,opt,P09,2.0,,,Simbad,83.78555,-5.42166,1.4475272523517202,0.4667917434327709,0.05568971782550209
207,612,V2186 Ori,M4.5,1.0,H,0.0,15.99,,,,3020.0,,,,,,,,,,6.25,opt,P09,,A,c,Simbad,83.78582,-5.43874,1.512117864991799,0.0,0.0
208,30,LM Ori,K4,1.0,H,1.13,12.86,1.64,5.284998294395503,,4330.0,0.023,1.09,0.3,0.23,3.3,1.7,3.7,1.83,0.28,18.83,opt,Rh01,2.0,,"a,d",Simbad,83.78688,-5.53031,1.6242348804144289,0.7844054370861645,0.05568971782550209
209,538,V2188 Ori,M4,1.0,H13,,16.5,,,,3160.0,,,,,,,,,,1.23,opt,R09,,,c,Simbad,83.78712,-5.32589,1.3954548565159133,0.0,0.0
210,353,2MASS J05350904-0520172,M4,1.0,H,0.0,15.92,1.56,9.394998294395505,,3160.0,-1.372,0.15,0.07,0.12,6.9,2.9,12.6,0.69,0.14,1.16,opt,R09,2.0,A,,Simbad,83.78771,-5.33813,1.5067547552756388,0.19286080652166263,0.05568971782550209
211,20,V356 Ori,K3,1.0,StE,0.85,11.78,1.42,4.264997294395505,,4550.0,0.403,1.44,0.37,0.29,1.8,0.8,2.0,2.56,0.38,1.57,opt,H00,,N,a,Simbad,83.78773,-5.49977,1.491562003878092,1.1772188259659713,0.05568971782550209
212,616,2MASS J05350947-0520588,M6,1.0,Luc01,,16.17,,,,2800.0,,,,,,,,,,3.17,opt,R09,2.0,,c,Simbad,83.7895,-5.34967,1.7462242999806512,0.0,0.0
213,402,2MASS J05350959-0527599,M5.5,2.0,H13,0.0,14.7,1.92,8.534997294395504,,2840.0,-0.712,0.11,0.06,0.15,0.2,0.17,2.4,1.82,0.58,7.14,opt,R09,2.0,N,,Simbad,83.79,-5.46667,1.5721463311175772,0.27707019361383173,0.05568971782550209
214,131,V484 Ori,M1e,1.0,H,0.95,13.64,2.35,6.954998294395503,,3630.0,-0.382,0.41,0.05,0.11,1.8,0.4,1.4,1.63,0.23,5.27,opt,H00,2.0,A,,Simbad,83.78997,-5.47301,1.4212296967454652,0.4434091066175272,0.05568971782550209
215,152,V2191 Ori,M1e,1.0,H,0.0,15.57,1.31,8.794998294395503,,3630.0,-1.304,0.37,0.08,0.11,28.0,13.0,31.0,0.56,0.08,8.01,opt,R09,2.0,A,a,Simbad,83.79022,-5.43982,1.6246290130888434,0.2512954059658042,0.05568971782550209
216,217,[H97b] 332,M3,1.0,H13,0.0,14.25,2.07,8.234998294395504,,3360.0,-0.744,0.29,0.09,0.09,2.9,0.6,1.8,1.26,0.21,,,,,,f,Simbad,83.79033,-5.35689,1.1857903944650126,0.3070626000363092,0.05568971782550209
217,82,V1326 Ori,K8,1.0,H,0.12,11.71,1.76,5.264998294395504,,3940.0,0.236,0.61,0.09,0.1,0.7,0.1,0.2,2.82,0.34,19.5,opt,H00,3.0,N,d,Simbad,83.79063,-5.39076,1.2317005696088297,0.7904754362281722,0.05568971782550209
218,204,2MASS J05350985-0519339,M3,1.0,E,1.9,14.42,3.45,7.884999294395504,,3360.0,-0.207,0.3,0.06,0.11,1.1,0.9,0.2,2.33,0.39,7.35,opt,R09,2.0,,,Simbad,83.79105,-5.32611,1.3852679017135583,0.3403016366043042,0.05568971782550209
219,528,2MASS J05351014-0522326,M2,1.0,H13,,14.0,,,,3490.0,,,,,,,,,,,,,,,"c,f",Simbad,83.79227,-5.37574,1.4569392773648813,0.0,0.0
220,318,V2199 Ori,M3.5,1.0,H,0.0,15.25,1.94,9.104998294395505,,3260.0,-1.124,0.21,0.08,0.1,5.5,1.9,6.0,0.86,0.16,,,,,,f,Simbad,83.79246,-5.33919,1.508407814486565,0.21986510115245803,0.05568971782550209
221,619,[H97b] 3056,M6.25,0.25,RRL,,16.76,,,,2762.5,,,,,,,,,,3.86,opt,R09,2.0,,c,Simbad,83.79242,-5.35008,1.258704668224104,0.0,0.0
222,363,2MASS J05351029-0519563,M4.5,1.0,H,0.47,15.33,3.31,10.084998294395506,,3020.0,-0.926,0.14,0.06,0.09,2.4,2.1,1.5,1.26,0.25,2.66,opt,R09,,,g,Simbad,83.79291,-5.33231,1.4000882984879892,0.15383045552693128,0.05568971782550209
223,507,2MASS J05351047-0526003,M5.5,1.0,H13,,15.73,,,,2840.0,,,,,,,,,,3.12,opt,P09,3.0,,c,Simbad,83.79365,-5.43342,1.339814897449967,0.0,0.0
224,497,V2202 Ori,K9,2.0,H13,,16.53,1.92,,,3880.0,-1.656,,,,,,,0.33,0.06,9.25,opt,P09,,,b,Simbad,83.79393,-5.40458,1.231881879424036,0.0,0.0
225,382,2MASS J05351057-0533136,M5,1.0,H,1.16,14.92,3.73,9.404998294395503,,2880.0,-0.61,0.13,0.07,0.1,0.2,0.16,2.0,1.99,0.45,1.65,opt,R09,3.0,N,,Simbad,83.79407,-5.55378,1.4963626628886035,0.1923658831684281,0.05568971782550209
226,39,V1227 Ori,K5,1.0,StE,0.42,12.53,1.75,5.774998294395504,,4140.0,0.121,0.83,0.21,0.26,1.4,0.5,1.4,2.23,0.33,7.33,opt,C96,,,g,Simbad,83.79408,-5.36562,1.36818633121099,0.6519192253005995,0.05568971782550209
227,47,LQ Ori,K8,1.0,H,0.99,10.36,2.1,3.384997294395504,,3940.0,0.989,0.75,0.11,0.08,0.03,0.02,0.03,6.72,0.8,8.0,opt,H00,3.0,N,,Simbad,83.79471,-5.39572,1.4003076458385328,0.0,0.0
228,550,2MASS J05351083-0525569,M6.5,1.0,H13,,17.35,,,,2725.0,,,,,,,,,,4.26,opt,H02,,,c,Simbad,83.79516,-5.4325,1.3852497774525503,0.0,0.0
229,443,2MASS J05351091-0522463,M2.7,1.0,D10,,15.03,,,,3399.0,,,,,,,,,,,,,2.0,A,"c,f",Simbad,83.79549,-5.37955,1.3542230803502096,0.0,0.0
230,600,V2207 Ori,M3e,1.0,H,0.0,13.71,,,,3360.0,,,,,,,,,,4.69,opt,H02,2.0,A,c,Simbad,83.7956,-5.4135,1.5988558315150572,0.0,0.0
231,331,V1488 Ori,M4.5,1.0,H,0.27,13.91,3.23,8.784997294395504,,3020.0,-0.408,0.19,0.07,0.09,0.2,0.13,1.3,2.28,0.45,2.73,opt,H00,3.0,,,Simbad,83.79635,-5.58323,1.436713477879488,0.25194194454595426,0.05568971782550209
232,121,V2214 Ori,M1,1.0,H,3.34,14.87,3.28,6.724997294395504,,3630.0,-0.294,0.42,0.09,0.1,1.5,0.3,0.8,1.8,0.25,4.03,opt,H02,2.0,,,Simbad,83.79673,-5.28915,1.5866079194298963,0.4752637175459289,0.05568971782550209
233,349,2MASS J05351133-0514015,M4.5,1.0,H,3.06,16.52,4.32,9.694998294395505,,3020.0,-0.772,0.16,0.07,0.08,2.1,1.91,0.8,1.5,0.3,1.71,opt,R09,2.0,,,Simbad,83.79725,-5.23378,1.433645462676442,0.17048235691748292,0.05568971782550209
234,113,2MASS J05351138-0519121,M1,1.0,H,,13.7,2.12,,,3630.0,-0.55,0.43,0.09,0.1,3.1,1.1,1.8,1.34,0.19,2.94,opt,H02,,,g,Simbad,83.79742,-5.32003,1.5171798763329591,0.0,0.0
235,27,LU Ori,K4,1.0,StE,2.23,11.7,1.96,3.344998294395504,,4330.0,0.687,1.11,0.33,0.48,0.5,0.1,0.4,3.93,0.6,4.08,opt,H00,3.0,,,Simbad,83.7979,-5.43398,1.52087762481255,0.0,0.0
236,1,LT Ori,G8,1.0,StE,3.11,10.94,1.85,1.594998294395504,,5210.0,1.128,2.73,0.21,0.27,1.8,0.5,0.6,4.49,0.54,0.5,opt,G95,,,"a,e",Simbad,83.79845,-5.2827,1.4773565982519103,0.0,0.0
237,334,2MASS J05351165-0524213,M4.75,1.0,H,2.0,14.99,3.98,8.884998294395503,,2950.0,-0.424,0.18,0.08,0.09,0.2,0.17,1.2,2.35,0.49,4.03,opt,R09,3.0,A,,Simbad,83.79855,-5.40594,1.5922999424262163,0.24179406194161834,0.05568971782550209
238,433,2MASS J05351172-0523518,M4.4,1.0,D10,,15.29,,,,3048.0,,,,,,,,,,1.14,opt,R09,2.0,,c,Simbad,83.79875,-5.39758,1.2399524175127743,0.0,0.0
239,398,2MASS J05351178-0521555,M5.5,1.0,H13,,14.7,1.48,,,2840.0,-0.712,0.11,0.03,0.05,0.2,0.12,1.5,1.82,0.32,3.95,opt,R09,,,g,Simbad,83.79908,-5.36544,1.5048190718314962,0.0,0.0
240,556,2MASS J05351185-0517259,M3.5,1.0,H13,,16.21,,,,3260.0,,,,,,,,,,6.85,opt,R09,,,c,Simbad,83.79937,-5.29056,1.4886460114089877,0.0,0.0
241,102,Parenago 1801,M0.5,1.0,H,,12.45,1.87,,,3700.0,-0.064,0.46,0.09,0.1,1.0,0.2,0.4,2.26,0.31,3.06,opt,P09,,,g,Simbad,83.79953,-5.53202,1.4932892823291222,0.0,0.0
242,578,[OW94] 121-925,M4.5,1.0,H,,15.52,5.4,,,3020.0,0.302,,,,,,,5.17,1.02,6.45,opt,R09,2.0,,b,Simbad,83.80033,-5.3235,1.4837401602493492,0.0,0.0
