,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,recno,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,Jmag,H,K,u,g,r_xa,i,z,angDist,Mass_calc,Mass_e
236,JW 379,11.24,0.005,10.86,0.005,10.69,0.024,9.53,0.053,11.3,M5.4,H97,L,JW 379,05 35 12.2,-05 30 20.2,239,V* V1276 Ori,83.8006688692,-5.5056093765,0.0,0.0,90.0,49,05 35 12.16053,-05 30 20.1938,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Or*|TT*|V*|X|Y*?|Y*O,25.653,0.313,8.56e-05,1e-06,M5.2,,2.3389,0.1097,1.099,-0.187,0.093,0.072,90.0,,,,20.181,19.072,17.27,4.963998294395504,12.354,11.919,,,,,,0.589373,0.14425940259152326,0.055689584892635896
237,Par 1809,8.96,0.003,8.71,0.003,8.35,0.003,7.68,0.01,16.2,M0.5,H97,H,Parenago 1809,05 35 12.2,-05 30 32.9,240,V* LW Ori,83.8008793924,-5.50915517,0.0,0.0,90.0,55,05 35 12.21105,-05 30 32.9586,A,2020yCat.1350....0G,Orion_V*,*|Em*|MIR|NIR|Or*|TT?|V*|X|Y*?|Y*O,22.363,0.691,7.46e-05,2.3e-06,M0.5,,2.3877,0.0676,2.048,-0.755,0.056,0.046,90.0,,,,17.163,16.084,15.14,4.901998294395504,11.5,10.494,,,,,,0.175145,0.14915959368342957,0.055689584892635896
238,SMMV 1944,9.93,0.003,9.99,0.003,10.04,0.01,9.86,0.053,2.4,,,,SMMV 1944,05 35 12.5,-04 51 55.6,241,V* V1491 Ori,83.802134653,-4.8654504543,0.0,0.0,90.0,20,05 35 12.51232,-04 51 55.6216,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|Rad|V*|X|Y*O,30.28,1.4,0.000101,4.7e-06,,,2.5339,0.0184,1.407,-0.735,0.017,0.014,90.0,,,,,14.85,,3.2029982943955044,10.361,10.045,,,,,,0.185352,0.6502462568274142,0.055689584892635896
239,JW 383,11.05,0.013,11.11,0.02,10.83,0.062,10.15,0.161,7.11,M3,H97,L,JW 383,05 35 12.7,-05 16 13.5,242,V* V1492 Ori,83.8029631723,-5.2703927707,0.0,0.0,90.0,48,05 35 12.71116,-05 16 13.4140,A,2020yCat.1350....0G,TTau*,*|Em*|IR|NIR|Or*|TT*|V*|X|Y*?|Y*O,24.087,0.046,8.03e-05,2e-07,M3,,2.1679,0.4169,3.059,0.257,0.397,0.312,90.0,,,,19.071,17.664,,4.5379982943955035,11.75,11.394,,,,,,0.187599,0.1889368000672124,0.055689584892635896
240,JW 388,10.11,0.009,10.12,0.009,10.1,0.064,9.86,0.186,7.78,K5,H97,H,JW 388,05 35 12.8,-05 15 24.0,243,V* V1277 Ori,83.8034208425,-5.2566480314,0.0,0.0,90.0,54,05 35 12.82100,-05 15 23.9329,A,2020yCat.1350....0G,Orion_V*,*|Em*|IR|NIR|Or*|Rad|V*|X|Y*O,28.531,0.028,9.52e-05,1e-07,K5,,2.5024,0.0481,1.423,-0.254,0.048,0.038,90.0,,,,17.958,16.506,,3.594998294395504,10.71,10.35,,,,,,0.320801,0.4876339556799982,0.055689584892635896
241,JW 402,10.63,0.004,10.22,0.003,10.04,0.026,9.22,0.056,15.0,M5.5,H97,L,JW 402,05 35 13.0,-05 34 03.6,244,V* V2231 Ori,83.8043402442,-5.5676714693,0.0,0.0,90.0,39,05 35 13.04166,-05 34 03.6173,A,2020yCat.1350....0G,TTau*,*|Em*|MIR|NIR|Or*|TT*|V*|Y*?|Y*O,26.458,0.335,8.83e-05,1.1e-06,M5.5,,2.5302,0.1147,1.678,1.074,0.087,0.075,90.0,,,,21.202,19.844,17.53,4.910998294395505,12.029,11.446,,,,,,0.622171,0.14839502316118028,0.055689584892635896
242,JW 401,6.87,0.005,6.39,0.005,5.78,0.017,4.89,0.047,17.91,K0-K2,H97,H,JW 401,05 35 13.1,-05 24 55.4,245,V* V2235 Ori,83.8050022979,-5.4154146934,0.0,0.0,90.0,43,05 35 13.20055,-05 24 55.4929,A,2020yCat.1350....0G,Orion_V*,*|Em*|IR|MIR|NIR|Or*|Rad|V*|X|Y*O,25.21,0.33,8.41e-05,1.1e-06,K1:e,,2.4524,0.0481,1.793,-0.622,0.044,0.033,90.0,,,,12.5,15.016,12.83,2.312998294395504,9.041,8.123,,,,,,1.504411,1.1681790545371908,0.055689584892635896
243,Par 1805,11.04,0.005,11.04,0.006,11.13,0.043,10.91,0.154,9.76,,,,Parenago 1805,05 35 13.3,-05 09 19.6,246,V* V557 Ori A,83.8055110261,-5.1554867633,0.0,0.0,90.0,3,05 35 13.32265,-05 09 19.7523,A,2018yCat.1345....0G,Star,*|V*,,,,,,,2.529,0.0824,0.956,-0.509,0.143,0.132,90.0,,,,,,,,,,,,,,,0.371039,0.0,0.0
244,Par 1798,7.45,0.001,7.46,0.002,7.53,0.002,7.39,0.01,2.51,,,,Parenago 1798,05 35 13.3,-04 51 44.9,247,HD 294264,83.8056030249,-4.8624768997,0.0,0.0,90.0,71,05 35 13.34473,-04 51 44.9168,A,2020yCat.1350....0G,Orion_V*,*|MIR|NIR|Or*|Rad|V*|X|Y*O,,,,,B2.5V,,2.4265,0.0466,1.421,-1.437,0.039,0.035,90.0,,,,10.02,9.77,,0.0009982943955044732,7.744,7.582,,,,,,0.668687,0.0,0.0
245,JW 406,9.55,0.007,9.47,0.008,9.09,0.059,8.0,0.105,2.26,M1,H97,H,JW 406,05 35 13.5,-05 17 10.3,248,V* V1327 Ori,83.8061210812,-5.2861802922,0.0,0.0,90.0,47,05 35 13.46906,-05 17 10.2491,A,2020yCat.1350....0G,BYDra,*|BY*|Em*|IR|NIR|Rad|V*|X|Y*O,26.995,0.054,9e-05,2e-07,M1,,2.4915,0.1379,1.137,-0.208,0.126,0.105,90.0,,,,19.434,17.741,,3.4349982943955037,10.36,9.896,,,,,,0.464934,0.5516434643457749,0.055689584892635896
