,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,recno,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,Jmag,H,K,u,g,r_xa,i,z,angDist,Mass_calc,Mass_e
113,R01- 1457,10.78,0.004,10.73,0.004,10.74,0.023,10.72,0.109,0.72,,,,[R2001]  1457,05 34 46.4,-04 54 02.1,116,V* V1699 Ori,83.6933982948,-4.9005577165,0.0,0.0,90.0,22,05 34 46.41559,-04 54 02.0078,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|Rad|V*|Y*O,39.196,0.422,0.0001308,1.4e-06,M2.9,,2.4221,0.1752,1.617,-0.799,0.156,0.132,90.0,,,,,,,5.361998294395503,12.01,11.329,,,,,,0.250593,0.11685250961145867,0.055689584892635896
114,JW 83,10.17,0.005,9.71,0.004,9.12,0.025,8.14,0.055,7.4,M2,H97,H,JW 83,05 34 46.6,-05 23 25.6,117,V* V1449 Ori,83.6940366618,-5.3904435448,0.0,0.0,90.0,49,05 34 46.56880,-05 23 25.5968,A,2020yCat.1350....0G,TTau*,*|Em*|MIR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,30.709,0.035,0.0001024,1e-07,M2e,,2.4792,0.0775,1.027,-1.154,0.071,0.056,90.0,,,,18.918,17.951,,4.544998294395505,11.65,11.091,,,,,,0.465959,0.1874859691346614,0.055689584892635896
115,R01- 1461,11.76,0.006,11.72,0.007,11.62,0.03,11.49,0.133,5.6,M2.5,R01,L,[R2001]  1461,05 34 46.7,-04 57 44.1,118,V* V763 Ori,83.6947633437,-4.9622270094,0.0,0.0,90.0,22,05 34 46.74320,-04 57 44.0172,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|G|NIR|Or*|V*|Y*O,32.716,0.045,0.0001091,2e-07,,,2.4551,0.0473,1.355,0.066,0.042,0.036,90.0,,,,,,,4.807998294395505,12.15,11.968,,,,,,0.650892,0.1562204531759963,0.055689584892635896
116,Par 1593,11.06,0.004,11.02,0.005,11.03,0.012,10.88,0.024,13.07,,,,Parenago 1593,05 34 46.8,-04 59 12.4,119,V* V1700 Ori B,83.6951611998,-4.9863533459,0.0,0.0,90.0,3,05 34 46.83869,-04 59 10.8720,A,2020yCat.1350....0G,Star,*|IR|V*,,,,,,,2.6155,0.0651,0.906,-0.034,0.058,0.048,90.0,,,,,,,,,,,,,,,1.633668,0.0,0.0
117,Par 1606,10.06,0.002,10.15,0.003,10.02,0.009,9.86,0.038,3.25,M1.5,H97,H,Parenago 1606,05 34 46.9,-05 35 07.9,120,Parenago  1606,83.6955093311,-5.5855225676,0.0,0.0,90.0,34,05 34 46.92224,-05 35 07.8812,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Rad|TT*|TT?|X|Y*O,24.87,0.059,8.3e-05,2e-07,M1.5,,2.5971,0.05,1.339,-1.322,0.046,0.039,90.0,,,,16.995,15.764,14.38,3.3249982943955043,10.523,10.272,,,,,,0.332537,0.5973821494026995,0.055689584892635896
118,Par 1616,10.9,0.003,10.93,0.004,10.9,0.01,10.97,0.025,11.44,,,,Parenago 1616,05 34 47.5,-05 46 30.1,121,V* V774 Ori B,83.6979416418,-5.7749676496,0.0,0.001,90.0,0,05 34 47.50599,-05 46 29.8835,C,2018yCat.1345....0G,Star,*|V*,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234217,0.0,0.0
119,R01- 1471,10.58,0.003,10.49,0.004,10.35,0.025,9.42,0.055,12.46,,,,[R2001]  1471,05 34 47.6,-04 50 01.4,122,V* V2028 Ori,83.6984921079,-4.8336885796,0.0,0.0,90.0,24,05 34 47.63811,-04 50 01.2789,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|MIR|NIR|Or*|V*|Y*O,30.79,0.045,0.0001027,2e-07,M1.3,,2.6069,0.0677,0.592,-1.061,0.064,0.052,90.0,,,,,17.68,,4.651998294395504,11.48,10.947,,,,,,0.58229,0.16744336601362644,0.055689584892635896
120,Par 1756,10.35,0.002,10.35,0.003,10.4,0.008,10.4,0.031,4.18,,,,Parenago 1756,05 34 47.6,-05 43 50.7,123,V* V1701 Ori,83.6984970887,-5.7307749357,0.0,0.0,90.0,30,05 34 47.63930,-05 43 50.7898,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|Rad|TT*|V*|X|Y*O,26.78,0.392,8.93e-05,1.3e-06,,,2.6298,0.0137,1.387,0.651,0.012,0.011,90.0,,,,14.1,,,2.9479982943955036,10.51,10.371,,,,,,0.593402,0.7704227527114161,0.055689584892635896
121,R01- 1473,10.66,0.003,10.11,0.003,9.86,0.005,9.25,0.005,3.67,,,,[R2001]  1473,05 34 47.7,-06 19 40.1,124,V* V2029 Ori,83.6985962117,-6.3278030986,0.0,0.0,90.0,28,05 34 47.66309,-06 19 40.0912,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|Opt|Or*|TT*|V*|X|Y*O,25.841,0.031,8.62e-05,1e-07,M2.5,,2.5545,0.029,1.146,-2.098,0.026,0.023,90.0,,,,,17.021,,4.682998294395505,11.7,11.197,19.207,17.272,15.785,14.552,13.829,0.550336,0.16530588173128866,0.055689584892635896
122,Par 1604,10.92,0.005,10.71,0.005,10.26,0.03,8.99,0.053,17.08,M4,H97,L,Parenago 1604,05 34 47.9,-05 30 46.6,125,V* V2033 Ori,83.6995624359,-5.5129298946,0.0,0.0,90.0,48,05 34 47.89498,-05 30 46.5476,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|Or*|TT*|TT?|V*|X|Y*O,27.039,0.23,9.02e-05,8e-07,M4,,2.5119,0.0465,2.087,-0.782,0.044,0.036,90.0,,,,17.075,16.078,14.78,4.012998294395505,11.43,11.088,,,,,,0.091384,0.3394283475719861,0.055689584892635896
123,JW 93,11.24,0.004,11.18,0.005,11.23,0.019,11.63,0.129,5.89,M4.5,H97,L,JW 93,05 34 47.9,-05 35 43.8,126,V* V2034 Ori,83.6996376433,-5.5955237821,0.0,0.0,90.0,33,05 34 47.91303,-05 35 43.8856,A,2020yCat.1350....0G,Orion_V*,*|Em*|Ir*|NIR|Or*|V*|X|Y*O,28.116,0.283,9.38e-05,9e-07,M4.5,,2.7018,0.1144,-0.297,-1.014,0.108,0.09,90.0,,,,21.323,19.86,17.76,4.9899982943955035,12.08,11.646,,,,,,0.212587,0.14241787125492958,0.055689584892635896
124,CHS 5742,11.6,0.004,11.09,0.005,10.78,0.008,10.15,0.01,7.09,,,,[CHS2001] 5742,05 34 47.9,-06 21 41.8,127,V* V2035 Ori,83.6997285955,-6.3615976146,0.0,0.0,90.0,11,05 34 47.93486,-06 21 41.7514,A,2020yCat.1350....0G,Orion_V*,*|MIR|NIR|Opt|Or*|V*|Y*O,,,,,M2.5,,2.9456,0.1223,0.848,0.207,0.097,0.079,90.0,,,,,18.308,,6.312998294395504,12.91,12.154,24.12,19.438,17.373,15.968,15.142,0.52199,0.0,0.0
125,Par 1599,10.03,0.002,9.89,0.003,9.69,0.005,8.87,0.004,9.25,,,,Parenago 1599,05 34 47.9,-05 04 55.0,128,V* V550 Ori,83.6997861929,-5.0818807876,0.0,0.0,90.0,42,05 34 47.94869,-05 04 54.7708,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|IR|MIR|NIR|Or*|Rad|TT*|TT?|V*|X|Y*O,30.63,0.032,0.0001022,1e-07,M1.0,,2.4562,0.0525,1.713,-0.876,0.049,0.042,90.0,,,,,15.59,,3.9139982943955047,11.094,10.625,,,,,,0.762668,0.37232441273861444,0.055689584892635896
126,R01- 1480,12.19,0.007,12.23,0.009,12.28,0.022,12.2,0.025,2.75,,,,[R2001]  1480,05 34 48.1,-06 18 11.6,129,V* V1702 Ori,83.7004925876,-6.3031965032,0.0,0.0,90.0,14,05 34 48.11822,-06 18 11.5074,A,2020yCat.1350....0G,Orion_V*,*|NIR|Opt|Or*|TT*|V*|X|Y*?|Y*O,,,,,M2.9,,2.6911,0.042,1.262,0.677,0.039,0.035,90.0,,,,,17.273,,5.318998294395504,12.656,12.462,20.64,18.014,16.619,15.409,14.756,0.287008,0.11958629059960592,0.055689584892635896
127,Par 1598,9.59,0.003,9.63,0.003,9.52,0.018,9.42,0.032,6.82,M1,R01,H,Parenago 1598,05 34 48.2,-04 47 40.1,130,V* V1703 Ori,83.7009770406,-4.7944884697,0.0,0.0,90.0,25,05 34 48.23449,-04 47 40.1585,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|Rad|TT*|V*|X|Y*O,34.453,0.046,0.0001149,2e-07,,,2.5169,0.0205,0.744,-0.425,0.019,0.015,90.0,,,,15.2,,,2.639998294395504,9.972,9.724,,,,,,0.518843,0.9438161444719264,0.055689584892635896
128,H97: 3130,12.77,0.011,12.48,0.012,12.4,0.048,11.28,0.067,3.46,M4.5,H97,L,[H97b] 3130,05 34 48.2,-05 30 10.2,131,V* V2037 Ori,83.7009896096,-5.502835762,0.0,0.0,90.0,24,05 34 48.23751,-05 30 10.2087,A,2020yCat.1350....0G,Orion_V*,*|Ir*|NIR|Or*|V*|Y*O,14.44,1.3,4.82e-05,4.3e-06,M4.5,,2.6028,0.2454,1.439,-0.425,0.227,0.18,90.0,,,,21.709,20.959,18.64,6.442998294395505,13.807,13.295,,,,,,0.56007,0.0,0.0
129,JW 94,11.14,0.004,11.27,0.006,10.98,0.022,10.74,0.067,4.75,M2.5,H97,H,JW 94,05 34 48.3,-05 32 35.1,132,2MASS J05344828-0532351,83.7011836569,-5.5430847707,0.0,0.0,90.0,35,05 34 48.28408,-05 32 35.1052,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|TT*|V*|Y*O,27.947,0.056,9.32e-05,2e-07,M2.5,,2.4893,0.1017,0.634,-1.503,0.095,0.077,90.0,,,,20.539,19.26,17.37,4.764998294395504,11.94,11.578,,,,,,0.237775,0.15905575532920044,0.055689584892635896
130,Par 1612,10.72,0.003,10.67,0.004,10.68,0.011,10.65,0.05,1.3,K8,H97,H,Parenago 1612,05 34 48.3,-05 37 22.8,133,V* V1450 Ori,83.7012842406,-5.6230202825,0.0,0.0,90.0,46,05 34 48.30822,-05 37 22.8730,A,2020yCat.1350....0G,TTau*,*|Em*|NIR|Opt|Or*|Pu*|Rad|TT*|TT?|V*|X|Y*O,33.863,0.102,0.000113,3e-07,K8,,2.8607,0.0251,1.246,0.821,0.022,0.02,90.0,,,,15.767,14.754,,3.600998294395504,10.98,10.809,,,,,,0.142759,0.48513441449090106,0.055689584892635896
131,Par 1603,11.38,0.006,11.39,0.008,11.46,0.017,11.33,0.029,9.0,,,,Parenago 1603,05 34 48.4,-05 05 01.4,134,V* V1451 Ori,83.7017370891,-5.0837002976,0.0,0.0,90.0,18,05 34 48.41690,-05 05 01.3211,A,2020yCat.1350....0G,TTau*,*|IR|NIR|Opt|Or*|TT*|V*|X|Y*O,20.1,,6.7e-05,,M0.5e,,2.6474,0.032,1.421,-0.233,0.028,0.025,90.0,,,,16.5,,,4.479998294395504,11.894,11.638,,,,,,0.264571,0.20303108522701382,0.055689584892635896
132,Par 1613,10.87,0.003,10.9,0.004,10.92,0.018,10.99,0.083,2.98,K6,R01,H,Parenago 1613,05 34 48.5,-05 41 58.2,135,V* V373 Ori,83.701943079,-5.6995255061,0.0,0.0,90.0,39,05 34 48.46634,-05 41 58.2918,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|NIR|Or*|Rad|TT*|V*|X|Y*O,28.707,0.044,9.58e-05,1e-07,K6,,2.5981,0.0171,1.326,0.754,0.014,0.013,90.0,,,,15.074,14.205,,3.637998294395505,11.047,10.965,,,,,,0.510741,0.4716142045749802,0.055689584892635896
133,R01- 1489,11.43,0.006,11.18,0.006,10.87,0.023,10.1,0.044,5.65,M3.5,R01,L,[R2001]  1489,05 34 48.6,-04 47 50.0,136,V* V1704 Ori,83.7026282462,-4.7972207455,0.0,0.0,90.0,29,05 34 48.63078,-04 47 49.9947,A,2020yCat.1350....0G,TTau*,*|Em*|G|LP?|NIR|Or*|TT*|V*|Y*O,26.854,0.065,8.96e-05,2e-07,M3.3,,2.5948,0.044,1.693,0.504,0.042,0.034,90.0,,,,,17.1,,4.934998294395504,12.315,12.023,,,,,,0.4601,0.14650069890614614,0.055689584892635896
134,JW 100,11.88,0.007,11.39,0.007,11.13,0.02,10.53,0.053,2.09,M2.5,H97,H,JW 100,05 34 48.8,-05 33 33.1,137,2MASS J05344881-0533330,83.7034147725,-5.5591830911,0.0,0.0,90.0,34,05 34 48.81955,-05 33 33.0591,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|TT*|TT?|V*|Y*O,24.7,0.9,8.24e-05,3e-06,M2.5,,2.5778,0.0941,1.082,-0.677,0.087,0.067,90.0,,,,19.812,18.608,17.09,5.421998294395504,12.812,12.523,,,,,,0.29465,0.11301367087152338,0.055689584892635896
135,JW 99,9.83,0.004,9.94,0.005,9.69,0.031,9.26,0.109,1.69,M1,H97,H,JW 99,05 34 48.8,-05 23 18.0,138,V* V772 Ori,83.7034466158,-5.3883071915,0.0,0.0,90.0,50,05 34 48.82719,-05 23 17.9059,A,2020yCat.1350....0G,Orion_V*,*|Em*|NIR|Or*|Rad|TT?|V*|X|Y*O,32.16,1.336,0.0001073,4.5e-06,M1,,2.4463,0.0579,1.312,-1.217,0.05,0.04,90.0,,,,17.469,16.188,,3.1479982943955047,10.38,10.075,,,,,,0.416779,0.6740635619821113,0.055689584892635896
136,JW 101,11.65,0.014,10.63,0.006,9.47,0.031,7.59,0.036,9.37,,,,JW 101,05 34 48.9,-05 31 45.9,139,V* V1314 Ori,83.7036858536,-5.5293872498,0.0,0.0,90.0,32,05 34 48.88460,-05 31 45.7941,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|MIR|NIR|Or*|TT?|V*|Y*O,,,,,G6-K5e,,2.7388,0.1247,1.689,0.442,0.114,0.092,90.0,,,,16.532,15.779,15.86,5.534998294395503,12.949,12.539,,,,,,0.253076,0.10625483785389762,0.055689584892635896
137,R01- 1493,12.19,0.009,12.19,0.011,12.09,0.048,11.44,0.135,11.45,,,,[R2001]  1493,05 34 48.9,-04 57 14.3,140,V* V1452 Ori,83.7038185081,-4.9539801725,0.0,0.0,90.0,15,05 34 48.91644,-04 57 14.3286,A,2020yCat.1350....0G,Orion_V*,*|Em*|G|NIR|Or*|V*|Y*O,28.3,1.4,9.44e-05,4.7e-06,,,2.5535,0.0579,0.702,-1.975,0.053,0.045,90.0,,,,,17.98,,5.405998294395504,12.67,12.436,,,,,,0.247369,0.11388820953838104,0.055689584892635896
138,JW 104,11.24,0.006,10.77,0.005,10.55,0.033,9.66,0.07,1.78,M3,H97,L,JW 104,05 34 49.1,-05 26 26.6,141,V* V2044 Ori,83.7044713231,-5.4407142661,0.0,0.0,90.0,43,05 34 49.07312,-05 26 26.5714,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,26.175,0.935,8.73e-05,3.1e-06,M3e,,2.546,0.0774,2.311,1.034,0.068,0.054,90.0,,,,18.685,17.907,16.59,5.153998294395505,12.428,11.983,,,,,,0.402441,0.12983479205463097,0.055689584892635896
139,Par 1625,10.35,0.002,10.05,0.003,9.78,0.005,8.99,0.008,6.95,M3.5,R01,L,Parenago 1625,05 34 49.1,-05 46 05.0,142,V* V400 Ori,83.7046015,-5.7680653,0.046,0.077,90.0,34,05 34 49.10436,-05 46 05.0351,B,2012yCat.1322....0Z,TTau*,*|**|Em*|MIR|NIR|Or*|TT*|TT?|V*|X|Y*O,24.7,0.2,8.24e-05,7e-07,M1.0e,,,,0.2,5.2,3.6,4.0,90.0,,,,17.24,15.87,15.54,3.8539982943955042,11.199,10.911,,16.34,15.46,14.26,,0.073923,0.39195848518003906,0.055689584892635896
140,CHS 5951,11.07,0.004,10.89,0.004,10.65,0.008,9.73,0.008,10.03,,,,[CHS2001] 5951,05 34 50.0,-06 28 12.1,143,V* V2055 Ori,83.7082110827,-6.4700244996,0.0,0.0,90.0,24,05 34 49.97066,-06 28 12.0882,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|Opt|Or*|TT*|V*|Y*?|Y*O,26.942,0.022,8.99e-05,1e-07,K7.3,,2.5693,0.0201,1.011,0.275,0.018,0.015,90.0,,,,,14.918,,3.9979982943955044,11.32,11.136,17.98,15.836,14.508,13.989,13.368,0.437459,0.34381731879500865,0.055689584892635896
141,Par 1622,10.91,0.005,10.85,0.007,10.96,0.045,10.55,0.164,4.94,K8,H97,H,Parenago 1622,05 34 50.5,-05 11 10.6,144,Haro 4-327,83.71043216,-5.1862708785,0.0,0.0,90.0,38,05 34 50.50372,-05 11 10.5752,A,2020yCat.1350....0G,YSO,*|Em*|IR|NIR|Rad|X|Y*O,28.636,0.045,9.55e-05,1e-07,K8,,2.6017,0.0229,0.757,1.445,0.02,0.017,90.0,,,,16.43,15.06,14.54,3.802998294395504,11.22,11.028,,16.05,14.49,13.76,,0.060848,0.4105128652398918,0.055689584892635896
142,JW 114,10.78,0.007,10.59,0.006,10.21,0.037,9.44,0.097,8.73,M1,H97,H,JW 114,05 34 50.5,-05 23 35.4,145,V* V475 Ori,83.7104382431,-5.3931426813,0.0,0.0,90.0,48,05 34 50.50518,-05 23 35.3137,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,25.245,0.169,8.42e-05,6e-07,M1e,,2.34,0.0549,2.518,-0.016,0.048,0.038,90.0,,,,16.95,16.158,,4.438998294395503,11.67,11.205,,,,,,0.115914,0.21428759034348566,0.055689584892635896
143,Par 1633,10.13,0.003,10.23,0.004,10.07,0.022,9.68,0.079,2.34,K5,H97,H,Parenago 1633,05 34 50.7,-05 24 01.4,146,V* V1454 Ori,83.7112779483,-5.4003453585,0.0,0.0,90.0,54,05 34 50.70671,-05 24 01.2433,A,2020yCat.1350....0G,Orion_V*,*|**|Em*|MIR|NIR|Or*|Rad|V*|X|Y*?|Y*O,25.258,0.723,8.43e-05,2.4e-06,K5,,2.5475,0.0169,2.47,0.324,0.015,0.013,90.0,,,,14.96,13.65,13.21,2.927998294395504,10.534,10.283,,14.41,13.1,12.64,,0.185988,0.7803846881696651,0.055689584892635896
144,JW 117,9.46,0.002,9.22,0.002,8.9,0.006,8.37,0.026,8.87,M0,H97,H,JW 117,05 34 50.7,-05 27 01.1,147,JW  117,83.7113845244,-5.4502867885,0.0,0.0,90.0,51,05 34 50.73229,-05 27 01.0324,A,2020yCat.1350....0G,TTau*,*|Em*|G|MIR|NIR|TT*|TT?|X|Y*?|Y*O,25.145,0.047,8.39e-05,2e-07,M0e,,2.5727,0.0392,2.001,0.935,0.032,0.026,90.0,,,,16.546,15.479,14.69,3.562998294395504,10.714,10.185,,,,,,0.486809,0.4990422210364341,0.055689584892635896
145,R01- 1518,11.76,0.006,11.79,0.008,11.73,0.019,11.64,0.054,5.82,M1,R01,H,[R2001]  1518,05 34 50.9,-06 00 13.6,148,V* V1705 Ori,83.7120516667,-6.0037853252,0.0,0.0,90.0,13,05 34 50.89240,-06 00 13.6272,A,2020yCat.1350....0G,Orion_V*,*|NIR|Or*|V*|X|Y*?|Y*O,,,,,M1.1,,2.6514,0.0303,1.168,0.287,0.029,0.025,90.0,,,,,16.405,,4.719998294395504,12.129,11.924,,,,,,0.116585,0.16277688721947972,0.055689584892635896
146,Par 1643,9.79,0.002,9.98,0.003,9.67,0.006,9.17,0.024,3.2,,,,Parenago 1643,05 34 51.0,-05 42 21.4,149,V* V776 Ori,83.7123678563,-5.705966052,0.0,0.0,90.0,35,05 34 50.96829,-05 42 21.4778,A,2020yCat.1350....0G,Orion_V*,*|Em*|Er*|MIR|NIR|Or*|V*|X|Y*O|cor|smm,24.6,0.324,8.21e-05,1.1e-06,K0,,2.8726,0.0622,1.607,-0.175,0.05,0.045,90.0,0.516667,0.516667,0.0,13.561,12.813,,2.639998294395504,10.21,10.006,,,,,,0.479709,0.9438161444719264,0.055689584892635896
147,Par 1620,10.19,0.002,10.24,0.003,10.12,0.009,9.84,0.031,1.29,,,,Parenago 1620,05 34 51.1,-04 43 41.4,150,V* V1706 Ori,83.7127716601,-4.728180785,0.0,0.0,90.0,23,05 34 51.06520,-04 43 41.4508,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|TT*|V*|X,35.914,0.099,0.0001198,3e-07,,,2.5261,0.0127,1.766,-0.718,0.011,0.01,90.0,,,,14.7,,,3.007998294395504,10.43,10.228,,,,,,0.522724,0.7412934831593594,0.055689584892635896
148,JW 121,9.66,0.003,9.22,0.003,8.7,0.016,7.92,0.045,5.54,M3,H97,L,JW 121,05 34 51.2,-05 16 54.9,151,V* V2061 Ori,83.7133826789,-5.2819110929,0.0,0.0,90.0,39,05 34 51.21184,-05 16 54.8799,A,2020yCat.1350....0G,TTau*,*|Em*|MIR|NIR|Or*|TT*|TT?|V*|Y*O,27.807,0.335,9.28e-05,1.1e-06,M3,,2.5389,0.1042,1.867,-1.233,0.096,0.081,90.0,,,,20.101,18.601,,4.346998294395505,11.17,10.574,,,,,,0.178024,0.23993734422306234,0.055689584892635896
149,R01- 1524,12.1,0.007,11.94,0.009,11.95,0.022,11.93,0.051,3.15,M4,R01,L,[R2001]  1524,05 34 51.4,-05 00 11.4,152,V* V1456 Ori,83.7142073761,-5.0031642853,0.0,0.0,90.0,26,05 34 51.40977,-05 00 11.3914,A,2020yCat.1350....0G,TTau*,*|Em*|IR|NIR|Or*|TT*|TT?|V*|Y*O,32.401,0.108,0.0001081,4e-07,M4.6,,2.5432,0.0503,0.917,-2.032,0.045,0.039,90.0,,,,,17.63,,5.081998294395504,12.45,12.248,,,,,,0.146247,0.1352838432726335,0.055689584892635896
150,Par 1642,8.64,0.002,8.23,0.002,7.9,0.004,6.88,0.013,6.63,K2,H97,H,Parenago 1642,05 34 51.6,-05 25 13.0,153,V* V401 Ori,83.7148478169,-5.4202748354,0.0,0.0,90.0,57,05 34 51.56348,-05 25 12.9894,A,2020yCat.1350....0G,TTau*,*|Em*|G|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,24.21,0.282,8.08e-05,9e-07,K2,,2.5338,0.0338,1.914,0.492,0.029,0.024,90.0,,,,16.072,15.1,13.77,3.1469982943955035,10.21,9.529,,,,,,0.545512,0.6757978081638902,0.055689584892635896
151,HBJM 10288,10.4,0.003,10.36,0.003,10.17,0.01,9.84,0.038,7.44,,,,[H97b] 10288,05 34 51.8,-05 39 24.1,154,V* V1457 Ori,83.715641,-5.656699,0.07,0.06,0.0,31,05 34 51.75384,-05 39 24.1164,C,2003yCat.2246....0C,TTau*,*|**|Em*|Ir*|MIR|NIR|Or*|TT*|TT?|V*|X|Y*O,25.742,0.035,8.59e-05,1e-07,M3.0e,,,,,,,,,,,,,16.42,,3.796998294395504,11.114,10.784,,,,,,0.689223,0.4126279364133072,0.055689584892635896
152,R01- 1526,10.4,0.003,10.36,0.003,10.17,0.01,9.84,0.038,7.36,,,,[R2001]  1526,05 34 51.8,-05 39 24.1,155,V* V1457 Ori,83.715641,-5.656699,0.07,0.06,0.0,31,05 34 51.75384,-05 39 24.1164,C,2003yCat.2246....0C,TTau*,*|**|Em*|Ir*|MIR|NIR|Or*|TT*|TT?|V*|X|Y*O,25.742,0.035,8.59e-05,1e-07,M3.0e,,,,,,,,,,,,,16.42,,3.796998294395504,11.114,10.784,,,,,,0.689223,0.4126279364133072,0.055689584892635896
153,R01- 1528,11.44,0.004,11.52,0.007,11.46,0.015,11.34,0.023,1.82,,,,[R2001]  1528,05 34 52.1,-06 03 20.7,156,V* V1708 Ori,83.7169175557,-6.0557515947,0.0,0.0,90.0,25,05 34 52.06021,-06 03 20.7057,A,2020yCat.1350....0G,TTau*,*|NIR|Or*|TT*|V*|X|Y*O,25.864,0.07,8.63e-05,2e-07,M0.8,,2.5879,0.0349,1.39,0.439,0.032,0.028,90.0,,,,,15.77,,4.421998294395504,11.8,11.585,,,,,,0.593497,0.21873810441653704,0.055689584892635896
154,R01- 1535,11.55,0.005,11.46,0.007,11.43,0.014,11.31,0.021,0.9,M3,R01,L,[R2001]  1535,05 34 52.4,-06 11 57.0,157,V* V781 Ori,83.7183449152,-6.1991614019,0.0,0.0,90.0,28,05 34 52.40278,-06 11 56.9810,A,2020yCat.1350....0G,TTau*,*|Em*|Er*|G|NIR|Opt|Or*|TT*|V*|X|Y*O,29.138,0.179,9.72e-05,6e-07,M1.9,,2.5994,0.0287,1.233,0.719,0.026,0.023,90.0,,,,17.34,16.213,,4.545998294395504,11.88,11.735,,,,,,0.045579,0.1870048387992548,0.055689584892635896
155,JW 133,10.76,0.004,10.82,0.005,10.81,0.029,10.66,0.121,2.03,M1.5,H97,H,JW 133,05 34 52.6,-05 24 03.8,158,V* V1459 Ori,83.7191413887,-5.4010463817,0.0,0.0,90.0,58,05 34 52.59393,-05 24 03.7670,A,2020yCat.1350....0G,TTau*,*|Em*|G|NIR|Or*|TT*|TT?|V*|V*?|X|Y*?|Y*O,25.957,0.575,8.66e-05,1.9e-06,M1.5,,2.3944,0.0537,0.5,-0.465,0.047,0.037,90.0,,,,16.457,15.351,,3.791998294395505,11.192,11.008,,,,,,0.096429,0.4136895550255281,0.055689584892635896
156,JW 135,9.78,0.003,9.45,0.002,9.1,0.009,8.28,0.026,3.69,M3,H97,L,JW 135,05 34 52.7,-05 29 45.3,159,V* V1460 Ori,83.719392837,-5.4959344323,0.0,0.0,90.0,42,05 34 52.65428,-05 29 45.3640,A,2020yCat.1350....0G,TTau*,*|Em*|MIR|NIR|Or*|TT*|TT?|V*|X|Y*?|Y*O,23.0,0.7,7.67e-05,2.3e-06,M3e,,2.4127,0.1288,2.051,-0.872,0.117,0.088,90.0,,,,17.931,16.782,15.35,3.9019982943955043,11.07,10.528,,,,,,0.685624,0.3761709246745875,0.055689584892635896
157,JW 136,9.12,0.002,8.87,0.003,8.67,0.008,7.93,0.028,8.65,,,,JW 136,05 34 52.7,-05 27 55.0,160,V* V551 Ori A,83.7198469279,-5.4653190097,0.0,0.0,90.0,45,05 34 52.76326,-05 27 55.1484,A,2020yCat.1350....0G,Star,*|**|V*|X,,,,,M0.5,,2.4367,0.0476,0.769,-2.334,0.042,0.034,90.0,,,,,,,,,,,,,,,0.956218,0.0,0.0
158,JW 137,9.12,0.002,8.87,0.003,8.67,0.008,7.93,0.028,8.65,,,,JW 137,05 34 52.7,-05 27 53.0,161,V* V551 Ori B,83.7198457176,-5.4647090108,0.0,0.0,90.0,21,05 34 52.76297,-05 27 52.9524,A,2020yCat.1350....0G,Em*,*|**|Em*|V*|X,,,,,M1.5,,2.1679,0.0612,2.053,-2.055,0.054,0.044,90.0,,,,17.935,16.671,14.63,,,,,,,,,0.941492,0.0,0.0
