   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       30    0.76000  3.92921060000E+06   1.72319   3.83121  11.56527 -30.00000   0.49976   0.00000  0.00000E+00  8.91260E-01  1.06300E-01  2.15100E-03     0.48140     0.52410     0.00000     0.00030    -0.00520  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1170733333
       31    0.76000  4.18561060000E+06   1.72324   3.83130  11.56511 -30.00000   0.49976   0.00000  0.00000E+00  8.87650E-01  1.09800E-01  2.33400E-03     0.48010     0.52540     0.00000     0.00030    -0.00517  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1247129347
       32    0.76000  4.46115060000E+06   1.72329   3.83142  11.56491 -30.00000   0.49976   0.00000  0.00000E+00  8.83370E-01  1.13800E-01  2.55300E-03     0.47860     0.52680     0.00000     0.00030    -0.00514  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1329228245
       33    0.76000  4.71050060000E+06   1.72333   3.83153  11.56470 -30.00000   0.49976   0.00000  0.00000E+00  8.79490E-01  1.17500E-01  2.75900E-03     0.47720     0.52820     0.00000     0.00030    -0.00511  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1403523667
       34    0.76000  4.95893060000E+06   1.72337   3.83164  11.56450 -30.00000   0.49976   0.00000  0.00000E+00  8.75770E-01  1.21000E-01  2.96500E-03     0.47590     0.52970     0.00000     0.00030    -0.00521  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1477544968
       35    0.76000  5.21737060000E+06   1.72340   3.83176  11.56428 -30.00000   0.49976   0.00000  0.00000E+00  8.71920E-01  1.24600E-01  3.18600E-03     0.47450     0.53110     0.00000     0.00030    -0.00524  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1554548813
       36    0.76000  5.47615060000E+06   1.72344   3.83189  11.56404 -30.00000   0.49976   0.00000  0.00000E+00  8.67900E-01  1.28400E-01  3.42100E-03     0.47300     0.53250     0.00000     0.00030    -0.00513  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1631653962
       37    0.76000  5.72432060000E+06   1.72346   3.83201  11.56380 -30.00000   0.49976   0.00000  0.00000E+00  8.64040E-01  1.32000E-01  3.65500E-03     0.47160     0.53390     0.00000     0.00030    -0.00511  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1705597795
       38    0.76000  5.97170060000E+06   1.72349   3.83213  11.56358 -30.00000   0.49976   0.00000  0.00000E+00  8.60380E-01  1.35500E-01  3.88600E-03     0.47020     0.53540     0.00000     0.00030    -0.00523  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1779306242
       39    0.76000  6.23111060000E+06   1.72352   3.83227  11.56332 -30.00000   0.49976   0.00000  0.00000E+00  8.56540E-01  1.39100E-01  4.13600E-03     0.46870     0.53690     0.00000     0.00030    -0.00529  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1856599105
       40    0.76000  6.49064060000E+06   1.72354   3.83241  11.56304 -30.00000   0.49976   0.00000  0.00000E+00  8.52760E-01  1.42600E-01  4.38900E-03     0.46730     0.53830     0.00000     0.00030    -0.00528  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.1933927722
       41    0.76000  6.75400060000E+06   1.72356   3.83256  11.56276 -30.00000   0.49976   0.00000  0.00000E+00  8.48940E-01  1.46100E-01  4.65300E-03     0.46580     0.53980     0.00000     0.00030    -0.00528  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2012397512
       42    0.76000  7.01815060000E+06   1.72358   3.83271  11.56246 -30.00000   0.49976   0.00000  0.00000E+00  8.44870E-01  1.49900E-01  4.93600E-03     0.46430     0.54120     0.00000     0.00030    -0.00513  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2091102687
       43    0.76000  7.26606060000E+06   1.72359   3.83285  11.56219 -30.00000   0.49976   0.00000  0.00000E+00  8.41030E-01  1.53500E-01  5.21000E-03     0.46280     0.54270     0.00000     0.00030    -0.00511  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2164969051
       44    0.76000  7.51315060000E+06   1.72361   3.83298  11.56193 -30.00000   0.49976   0.00000  0.00000E+00  8.37490E-01  1.56700E-01  5.47700E-03     0.46140     0.54430     0.00000     0.00030    -0.00528  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2238591091
       45    0.76000  7.77906060000E+06   1.72363   3.83314  11.56163 -30.00000   0.49976   0.00000  0.00000E+00  8.33670E-01  1.60300E-01  5.77100E-03     0.45980     0.54580     0.00000     0.00030    -0.00530  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2317820670
       46    0.76000  8.04455060000E+06   1.72364   3.83329  11.56132 -30.00000   0.49976   0.00000  0.00000E+00  8.29880E-01  1.63800E-01  6.07000E-03     0.45830     0.54740     0.00000     0.00030    -0.00531  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2396925107
       47    0.76000  8.31100060000E+06   1.72365   3.83347  11.56098 -30.00000   0.49976   0.00000  0.00000E+00  8.25790E-01  1.67500E-01  6.39300E-03     0.45670     0.54880     0.00000     0.00030    -0.00512  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2476315582
       48    0.76000  8.55850060000E+06   1.72365   3.83362  11.56068 -30.00000   0.49976   0.00000  0.00000E+00  8.21980E-01  1.71000E-01  6.70100E-03     0.45520     0.55030     0.00000     0.00030    -0.00510  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2550059784
       49    0.76000  8.80515060000E+06   1.72366   3.83377  11.56039 -30.00000   0.49976   0.00000  0.00000E+00  8.18500E-01  1.74200E-01  6.99800E-03     0.45370     0.55190     0.00000     0.00030    -0.00530  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2623550723
       50    0.76000  9.07366060000E+06   1.72367   3.83394  11.56005 -30.00000   0.49976   0.00000  0.00000E+00  8.14700E-01  1.77700E-01  7.32900E-03     0.45210     0.55360     0.00000     0.00030    -0.00532  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2703554988
       51    0.76000  9.34120060000E+06   1.72367   3.83411  11.55970 -30.00000   0.49976   0.00000  0.00000E+00  8.10940E-01  1.81100E-01  7.66400E-03     0.45050     0.55510     0.00000     0.00030    -0.00528  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2783270236
       52    0.76000  9.60969060000E+06   1.72366   3.83429  11.55934 -30.00000   0.49976   0.00000  0.00000E+00  8.07130E-01  1.84600E-01  8.01000E-03     0.44890     0.55670     0.00000     0.00030    -0.00529  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2863268542
       53    0.76000  9.87553060000E+06   1.72365   3.83448  11.55897 -30.00000   0.49976   0.00000  0.00000E+00  8.03070E-01  1.88200E-01  8.37600E-03     0.44730     0.55820     0.00000     0.00030    -0.00511  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.2942477264
       54    0.76000  1.01226206000E+07   1.72365   3.83464  11.55864 -30.00000   0.49976   0.00000  0.00000E+00  7.99290E-01  1.91700E-01  8.72500E-03     0.44570     0.55970     0.00000     0.00030    -0.00509  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3016099304
       55    0.76000  1.03688406000E+07   1.72365   3.83479  11.55833 -30.00000   0.49976   0.00000  0.00000E+00  7.95830E-01  1.94800E-01  9.06200E-03     0.44420     0.56150     0.00000     0.00030    -0.00528  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3089462122
       56    0.76000  1.06363806000E+07   1.72366   3.83494  11.55804 -30.00000   0.49976   0.00000  0.00000E+00  7.92680E-01  1.97600E-01  9.39800E-03     0.44270     0.56290     0.00000     0.00030    -0.00522  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3169177369
       57    0.76000  1.09545506000E+07   1.72366   3.83516  11.55761 -30.00000   0.49976   0.00000  0.00000E+00  7.88230E-01  2.01600E-01  9.84700E-03     0.44070     0.56490     0.00000     0.00030    -0.00528  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3263978148
       58    0.76000  1.12224906000E+07   1.72365   3.83535  11.55721 -30.00000   0.49976   0.00000  0.00000E+00  7.84170E-01  2.05300E-01  1.02500E-02     0.43900     0.56650     0.00000     0.00030    -0.00509  7.54100E-01  2.45700E-01  3.37100E-05  9.48300E-06  8.46600E-05   1.3343812578
